C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\1\loadapp_2025-12-09_11-03-20-499.load
Comment initial walking around. 
NO SUBJECT
SubjectID 1
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	232.180	57.340	36.660	326.180	0.000	31.950	31.950	174.660	238.560	0.000		
0.010	232.180	57.340	36.660	326.180	0.010	31.950	31.950	174.660	238.560	0.010		
0.020	232.180	59.220	36.660	328.060	0.020	31.950	31.950	174.660	238.560	0.020		
0.030	232.180	57.340	36.660	326.180	0.030	31.950	31.950	174.660	238.560	0.030		
0.040	235.000	57.340	36.660	329.000	0.040	31.950	31.950	174.660	238.560	0.040		
0.050	232.180	57.340	36.660	326.180	0.050	31.950	34.790	177.500	244.240	0.050		
0.060	232.180	57.340	36.660	326.180	0.060	31.950	31.950	174.660	238.560	0.060		
0.070	232.180	54.520	36.660	323.360	0.070	31.950	31.950	174.660	238.560	0.070		
0.080	235.000	57.340	36.660	329.000	0.080	31.950	31.950	174.660	238.560	0.080		
0.090	235.000	54.520	36.660	326.180	0.090	31.950	34.790	177.500	244.240	0.090		
0.100	235.000	54.520	36.660	326.180	0.100	31.950	31.950	177.500	241.400	0.100		
0.110	232.180	57.340	36.660	326.180	0.110	31.950	34.790	177.500	244.240	0.110		
0.120	235.000	57.340	36.660	329.000	0.120	31.950	31.950	177.500	241.400	0.120		
0.130	235.000	57.340	36.660	329.000	0.130	31.950	31.950	177.500	241.400	0.130		
0.140	235.000	54.520	36.660	326.180	0.140	31.950	34.790	177.500	244.240	0.140		
0.150	235.000	57.340	36.660	329.000	0.150	34.560	34.560	174.960	244.080	0.150		
0.160	235.000	57.340	36.660	329.000	0.160	32.400	32.400	177.120	241.920	0.160		
0.170	235.000	57.340	36.660	329.000	0.170	32.400	32.400	174.960	239.760	0.170		
0.180	232.180	57.340	36.660	326.180	0.180	32.400	32.400	177.120	241.920	0.180		
0.190	232.180	59.220	36.660	328.060	0.190	32.400	34.560	180.000	246.960	0.190		
0.200	235.000	59.220	36.660	330.880	0.200	32.400	32.400	180.000	244.800	0.200		
0.210	232.180	59.220	36.660	328.060	0.210	32.400	32.400	180.000	244.800	0.210		
0.220	235.000	59.220	39.480	333.700	0.220	29.520	32.400	177.120	239.040	0.220		
0.230	235.000	59.220	36.660	330.880	0.230	29.520	32.400	180.000	241.920	0.230		
0.240	235.000	59.220	36.660	330.880	0.240	29.520	29.520	177.120	236.160	0.240		
0.250	235.000	57.340	36.660	329.000	0.250	29.520	29.520	177.120	236.160	0.250		
0.260	235.000	59.220	36.660	330.880	0.260	29.520	29.520	177.120	236.160	0.260		
0.270	235.000	59.220	36.660	330.880	0.270	27.360	32.400	180.000	239.760	0.270		
0.280	234.240	59.520	37.440	331.200	0.280	29.520	32.400	180.000	241.920	0.280		
0.290	234.240	56.640	37.440	328.320	0.290	29.520	32.400	177.120	239.040	0.290		
0.300	237.120	56.640	37.440	331.200	0.300	27.010	32.120	177.390	236.520	0.300		
0.310	237.120	56.640	37.440	331.200	0.310	29.930	32.120	179.580	241.630	0.310		
0.320	237.120	56.640	37.440	331.200	0.320	29.930	29.930	179.580	239.440	0.320		
0.330	234.240	56.640	37.440	328.320	0.330	29.930	32.120	177.390	239.440	0.330		
0.340	237.120	56.640	37.440	331.200	0.340	29.930	32.120	179.580	241.630	0.340		
0.350	237.120	56.640	37.440	331.200	0.350	29.930	32.120	179.580	241.630	0.350		
0.360	240.000	56.640	37.440	334.080	0.360	29.930	32.120	179.580	241.630	0.360		
0.370	237.120	56.640	37.440	331.200	0.370	29.930	34.310	179.580	243.820	0.370		
0.380	237.120	56.640	37.440	331.200	0.380	29.930	32.120	182.500	244.550	0.380		
0.390	237.120	56.640	34.560	328.320	0.390	29.930	32.120	179.580	241.630	0.390		
0.400	237.120	56.640	37.440	331.200	0.400	29.930	32.120	179.580	241.630	0.400		
0.410	237.120	56.640	37.440	331.200	0.410	29.930	34.310	179.580	243.820	0.410		
0.420	237.120	56.640	37.440	331.200	0.420	29.930	32.120	179.580	241.630	0.420		
0.430	237.120	59.520	37.440	334.080	0.430	29.930	32.120	182.500	244.550	0.430		
0.440	240.000	59.520	37.440	336.960	0.440	29.930	32.120	179.580	241.630	0.440		
0.450	237.120	59.520	37.440	334.080	0.450	29.930	32.120	179.580	241.630	0.450		
0.460	237.120	59.520	37.440	334.080	0.460	27.010	32.120	182.500	241.630	0.460		
0.470	240.000	59.520	37.440	336.960	0.470	29.930	32.120	179.580	241.630	0.470		
0.480	237.120	59.520	37.440	334.080	0.480	29.930	32.120	179.580	241.630	0.480		
0.490	240.000	59.520	37.440	336.960	0.490	29.930	32.120	177.390	239.440	0.490		
0.500	237.120	59.520	37.440	334.080	0.500	29.930	29.930	177.390	237.250	0.500		
0.510	237.120	59.520	37.440	334.080	0.510	29.930	32.120	179.580	241.630	0.510		
0.520	237.120	59.520	37.440	334.080	0.520	27.010	32.120	179.580	238.710	0.520		
0.530	237.120	59.520	39.360	336.000	0.530	27.010	29.930	177.390	234.330	0.530		
0.540	237.120	56.640	37.440	331.200	0.540	29.930	32.120	177.390	239.440	0.540		
0.550	234.240	56.640	37.440	328.320	0.550	27.010	32.120	174.470	233.600	0.550		
0.560	234.240	59.520	37.440	331.200	0.560	29.930	32.120	174.470	236.520	0.560		
0.570	234.240	59.520	39.360	333.120	0.570	29.930	32.120	174.470	236.520	0.570		
0.580	232.500	59.520	39.990	332.010	0.580	29.930	29.930	172.280	232.140	0.580		
0.590	232.500	59.520	39.990	332.010	0.590	29.930	32.120	172.280	234.330	0.590		
0.600	232.500	59.520	39.990	332.010	0.600	29.670	32.430	172.500	234.600	0.600		
0.610	232.500	59.520	39.990	332.010	0.610	32.430	32.430	169.740	234.600	0.610		
0.620	229.710	59.520	39.990	329.220	0.620	32.430	32.430	169.740	234.600	0.620		
0.630	229.710	59.520	39.990	329.220	0.630	32.430	32.430	166.980	231.840	0.630		
0.640	226.920	62.310	41.850	331.080	0.640	34.500	32.430	166.980	233.910	0.640		
0.650	226.920	59.520	39.990	326.430	0.650	34.500	32.430	164.910	231.840	0.650		
0.660	226.920	62.310	39.990	329.220	0.660	34.500	32.430	164.910	231.840	0.660		
0.670	226.920	62.310	41.850	331.080	0.670	37.260	34.500	162.150	233.910	0.670		
0.680	224.130	59.520	41.850	325.500	0.680	37.260	34.500	162.150	233.910	0.680		
0.690	224.130	59.520	41.850	325.500	0.690	37.260	34.500	162.150	233.910	0.690		
0.700	224.130	59.520	41.850	325.500	0.700	39.330	34.500	159.390	233.220	0.700		
0.710	222.270	62.310	41.850	326.430	0.710	39.330	34.500	157.320	231.150	0.710		
0.720	222.270	62.310	44.640	329.220	0.720	39.330	34.500	154.560	228.390	0.720		
0.730	222.500	64.970	44.500	331.970	0.730	42.090	34.500	154.560	231.150	0.730		
0.740	219.830	64.970	47.170	331.970	0.740	44.850	34.500	154.560	233.910	0.740		
0.750	219.830	66.750	47.170	333.750	0.750	44.530	34.770	152.500	231.800	0.750		
0.760	217.160	66.750	47.170	331.080	0.760	44.530	34.770	149.450	228.750	0.760		
0.770	217.160	66.750	49.840	333.750	0.770	44.530	32.330	149.450	226.310	0.770		
0.780	217.160	66.750	49.840	333.750	0.780	46.970	32.330	144.570	223.870	0.780		
0.790	217.160	69.420	49.840	336.420	0.790	46.970	34.770	144.570	226.310	0.790		
0.800	214.490	69.420	51.620	335.530	0.800	49.410	32.330	142.130	223.870	0.800		
0.810	211.820	69.420	51.620	332.860	0.810	49.410	34.770	142.130	226.310	0.810		
0.820	211.820	72.090	54.290	338.200	0.820	52.460	34.770	142.130	229.360	0.820		
0.830	209.150	69.420	54.290	332.860	0.830	54.900	34.770	139.690	229.360	0.830		
0.840	207.370	69.420	54.290	331.080	0.840	54.900	34.770	137.250	226.920	0.840		
0.850	204.700	72.090	56.960	333.750	0.850	57.340	34.770	134.810	226.920	0.850		
0.860	207.370	72.090	56.960	336.420	0.860	57.340	32.330	132.370	222.040	0.860		
0.870	202.030	72.090	56.960	331.080	0.870	62.220	34.770	129.930	226.920	0.870		
0.880	200.000	72.000	60.000	332.000	0.880	62.220	34.770	127.490	224.480	0.880		
0.890	200.000	72.000	60.000	332.000	0.890	64.660	34.770	124.440	223.870	0.890		
0.900	196.800	69.600	60.000	326.400	0.900	65.000	35.000	125.000	225.000	0.900		
0.910	194.400	72.000	62.400	328.800	0.910	67.500	35.000	122.500	225.000	0.910		
0.920	192.000	72.000	62.400	326.400	0.920	67.500	35.000	120.000	222.500	0.920		
0.930	189.600	72.000	62.400	324.000	0.930	70.000	35.000	122.500	227.500	0.930		
0.940	187.200	72.000	64.800	324.000	0.940	70.000	35.000	120.000	225.000	0.940		
0.950	184.800	74.400	67.200	326.400	0.950	72.500	35.000	117.500	225.000	0.950		
0.960	182.400	74.400	69.600	326.400	0.960	72.500	35.000	117.500	225.000	0.960		
0.970	180.000	74.400	69.600	324.000	0.970	75.000	35.000	117.500	227.500	0.970		
0.980	174.400	74.400	74.400	323.200	0.980	75.000	35.000	115.000	225.000	0.980		
0.990	172.000	76.800	76.800	325.600	0.990	75.000	35.000	115.000	225.000	0.990		
1.000	167.200	76.800	80.000	324.000	1.000	75.000	35.000	115.000	225.000	1.000		
1.010	164.800	76.800	82.400	324.000	1.010	75.000	35.000	115.000	225.000	1.010		
1.020	160.000	76.800	84.800	321.600	1.020	75.000	35.000	115.000	225.000	1.020		
1.030	157.500	77.490	86.940	321.930	1.030	75.000	35.000	115.000	225.000	1.030		
1.040	152.460	79.380	86.940	318.780	1.040	72.500	35.000	115.000	222.500	1.040		
1.050	147.420	79.380	89.460	316.260	1.050	72.380	32.430	112.330	217.140	1.050		
1.060	147.420	79.380	89.460	316.260	1.060	72.380	29.610	114.680	216.670	1.060		
1.070	147.420	79.380	91.980	318.780	1.070	72.380	29.610	112.330	214.320	1.070		
1.080	144.900	79.380	91.980	316.260	1.080	72.380	32.430	112.330	217.140	1.080		
1.090	144.900	79.380	89.460	313.740	1.090	74.730	32.430	114.680	221.840	1.090		
1.100	147.420	77.490	89.460	314.370	1.100	74.730	34.780	112.330	221.840	1.100		
1.110	147.420	79.380	89.460	316.260	1.110	74.730	34.780	112.330	221.840	1.110		
1.120	147.420	77.490	89.460	314.370	1.120	74.730	34.780	114.680	224.190	1.120		
1.130	147.420	77.490	89.460	314.370	1.130	77.080	34.780	114.680	226.540	1.130		
1.140	147.420	77.490	89.460	314.370	1.140	74.730	34.780	114.680	224.190	1.140		
1.150	147.420	77.490	89.460	314.370	1.150	77.080	34.780	114.680	226.540	1.150		
1.160	147.420	77.490	89.460	314.370	1.160	77.080	32.430	114.680	224.190	1.160		
1.170	147.420	77.490	91.980	316.890	1.170	77.080	34.780	117.500	229.360	1.170		
1.180	147.500	79.650	92.040	319.190	1.180	77.080	34.780	114.680	226.540	1.180		
1.190	147.500	77.290	92.040	316.830	1.190	77.080	34.780	117.500	229.360	1.190		
1.200	147.500	77.290	92.040	316.830	1.200	80.000	35.000	117.500	232.500	1.200		
1.210	147.500	77.290	92.040	316.830	1.210	77.500	37.500	117.500	232.500	1.210		
1.220	147.500	77.290	92.040	316.830	1.220	80.000	35.000	117.500	232.500	1.220		
1.230	144.550	74.930	89.680	309.160	1.230	80.000	37.500	120.000	237.500	1.230		
1.240	144.550	74.930	92.040	311.520	1.240	80.000	37.500	120.000	237.500	1.240		
1.250	144.550	74.930	89.680	309.160	1.250	80.000	37.500	120.000	237.500	1.250		
1.260	144.550	74.930	89.680	309.160	1.260	80.000	37.500	120.000	237.500	1.260		
1.270	144.550	74.930	89.680	309.160	1.270	80.000	37.500	120.000	237.500	1.270		
1.280	144.550	71.980	87.320	303.850	1.280	80.000	35.000	120.000	235.000	1.280		
1.290	144.550	71.980	87.320	303.850	1.290	80.000	37.500	120.000	237.500	1.290		
1.300	144.550	71.980	87.320	303.850	1.300	80.000	37.500	120.000	237.500	1.300		
1.310	142.190	71.980	87.320	301.490	1.310	80.000	37.500	122.500	240.000	1.310		
1.320	144.550	71.980	87.320	303.850	1.320	80.000	37.500	120.000	237.500	1.320		
1.330	144.460	71.920	87.420	303.800	1.330	77.500	37.500	122.500	237.500	1.330		
1.340	146.940	69.440	84.940	301.320	1.340	80.000	37.500	125.000	242.500	1.340		
1.350	144.460	69.440	84.940	298.840	1.350	77.220	39.960	124.740	241.920	1.350		
1.360	146.940	69.440	84.940	301.320	1.360	77.220	37.260	127.440	241.920	1.360		
1.370	144.460	66.960	84.940	296.360	1.370	77.220	37.260	127.440	241.920	1.370		
1.380	146.940	66.960	84.940	298.840	1.380	79.920	39.960	127.440	247.320	1.380		
1.390	146.940	69.440	84.940	301.320	1.390	79.920	37.260	127.440	244.620	1.390		
1.400	149.420	69.440	84.940	303.800	1.400	77.220	37.260	129.600	244.080	1.400		
1.410	149.420	69.440	84.940	303.800	1.410	77.220	37.260	127.440	241.920	1.410		
1.420	146.940	66.960	82.460	296.360	1.420	77.220	37.260	127.440	241.920	1.420		
1.430	149.420	69.440	82.460	301.320	1.430	77.220	39.960	129.600	246.780	1.430		
1.440	149.420	66.960	82.460	298.840	1.440	77.220	37.260	129.600	244.080	1.440		
1.450	149.420	66.960	79.980	296.360	1.450	77.220	37.260	132.300	246.780	1.450		
1.460	151.900	66.960	79.980	298.840	1.460	77.220	37.260	132.300	246.780	1.460		
1.470	155.000	66.960	77.500	299.460	1.470	77.220	39.960	135.000	252.180	1.470		
1.480	157.450	64.990	77.050	299.490	1.480	77.220	42.120	135.000	254.340	1.480		
1.490	157.450	67.000	74.370	298.820	1.490	77.220	42.120	135.000	254.340	1.490		
1.500	159.460	64.990	74.370	298.820	1.500	74.820	39.440	134.560	248.820	1.500		
1.510	159.460	64.990	74.370	298.820	1.510	74.820	42.340	137.460	254.620	1.510		
1.520	162.140	64.990	72.360	299.490	1.520	74.820	42.340	137.460	254.620	1.520		
1.530	162.140	64.990	72.360	299.490	1.530	74.820	39.440	137.460	251.720	1.530		
1.540	162.140	62.310	72.360	296.810	1.540	74.820	39.440	137.460	251.720	1.540		
