C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\10\loadapp_2025-12-11_16-09-19-793.load
Comment s10b
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	196.800	56.800	94.400	348.000	0.000	105.000	54.600	147.000	306.600	0.000		
0.010	196.800	56.800	94.400	348.000	0.010	102.000	54.600	147.000	303.600	0.010		
0.020	196.800	56.800	94.400	348.000	0.020	102.000	52.200	147.000	301.200	0.020		
0.030	196.800	56.800	94.400	348.000	0.030	102.000	52.200	147.000	301.200	0.030		
0.040	196.800	56.800	94.400	348.000	0.040	102.000	52.200	147.000	301.200	0.040		
0.050	196.800	56.800	94.400	348.000	0.050	102.000	52.200	147.000	301.200	0.050		
0.060	196.800	56.800	94.400	348.000	0.060	102.000	52.200	150.000	304.200	0.060		
0.070	196.800	56.800	94.400	348.000	0.070	102.000	52.200	150.000	304.200	0.070		
0.080	200.000	56.800	94.400	351.200	0.080	102.000	52.200	150.000	304.200	0.080		
0.090	196.800	56.800	94.400	348.000	0.090	102.000	52.200	150.000	304.200	0.090		
0.100	196.800	56.800	94.400	348.000	0.100	102.000	52.200	150.000	304.200	0.100		
0.110	200.000	56.800	96.800	353.600	0.110	99.600	52.200	150.000	301.800	0.110		
0.120	200.000	56.800	94.400	351.200	0.120	99.600	52.200	150.000	301.800	0.120		
0.130	200.000	54.400	94.400	348.800	0.130	99.600	52.200	150.000	301.800	0.130		
0.140	200.000	54.400	92.000	346.400	0.140	99.540	52.290	152.460	304.290	0.140		
0.150	199.260	56.700	94.770	350.730	0.150	99.540	52.290	152.460	304.290	0.150		
0.160	199.260	56.700	92.340	348.300	0.160	99.540	52.290	152.460	304.290	0.160		
0.170	199.260	56.700	92.340	348.300	0.170	97.020	49.770	152.460	299.250	0.170		
0.180	199.260	56.700	92.340	348.300	0.180	99.540	52.290	154.980	306.810	0.180		
0.190	199.260	56.700	92.340	348.300	0.190	97.020	52.290	154.980	304.290	0.190		
0.200	199.260	54.270	92.340	345.870	0.200	97.020	49.770	154.980	301.770	0.200		
0.210	199.260	54.270	92.340	345.870	0.210	97.020	52.290	154.980	304.290	0.210		
0.220	199.260	54.270	94.770	348.300	0.220	97.020	52.290	157.500	306.810	0.220		
0.230	202.500	54.270	92.340	349.110	0.230	97.020	49.770	157.500	304.290	0.230		
0.240	202.500	54.270	92.340	349.110	0.240	97.020	52.290	157.500	306.810	0.240		
0.250	202.500	54.270	92.340	349.110	0.250	97.020	52.290	157.500	306.810	0.250		
0.260	202.500	54.270	89.910	346.680	0.260	97.020	49.770	157.500	304.290	0.260		
0.270	199.260	51.840	92.340	343.440	0.270	97.020	52.290	157.500	306.810	0.270		
0.280	202.500	54.270	89.910	346.680	0.280	94.500	52.290	157.500	304.290	0.280		
0.290	202.500	54.270	89.910	346.680	0.290	94.720	49.920	157.440	302.080	0.290		
0.300	202.500	54.270	89.910	346.680	0.300	97.280	52.480	157.440	307.200	0.300		
0.310	202.500	54.270	89.910	346.680	0.310	97.280	49.920	160.000	307.200	0.310		
0.320	202.500	54.270	89.910	346.680	0.320	97.280	52.480	157.440	307.200	0.320		
0.330	202.500	54.270	89.910	346.680	0.330	94.720	52.480	160.000	307.200	0.330		
0.340	202.500	54.270	89.910	346.680	0.340	94.720	49.920	160.000	304.640	0.340		
0.350	202.500	54.270	89.910	346.680	0.350	94.720	49.920	160.000	304.640	0.350		
0.360	202.500	54.270	89.910	346.680	0.360	97.280	52.480	160.000	309.760	0.360		
0.370	202.500	54.270	89.910	346.680	0.370	97.280	52.480	160.000	309.760	0.370		
0.380	202.500	54.270	92.340	349.110	0.380	94.720	52.480	160.000	307.200	0.380		
0.390	202.500	54.270	89.910	346.680	0.390	97.280	52.480	160.000	309.760	0.390		
0.400	202.500	54.270	89.910	346.680	0.400	97.280	52.480	157.440	307.200	0.400		
0.410	202.500	54.270	89.910	346.680	0.410	97.280	52.480	160.000	309.760	0.410		
0.420	202.500	54.270	89.910	346.680	0.420	97.280	52.480	157.440	307.200	0.420		
0.430	202.500	54.270	89.910	346.680	0.430	97.280	49.920	157.440	304.640	0.430		
0.440	202.500	54.270	89.910	346.680	0.440	97.280	52.480	157.440	307.200	0.440		
0.450	202.500	54.270	89.910	346.680	0.450	97.280	52.480	157.440	307.200	0.450		
0.460	202.500	54.270	92.340	349.110	0.460	97.280	52.480	157.440	307.200	0.460		
0.470	202.500	54.270	89.910	346.680	0.470	97.280	52.480	157.440	307.200	0.470		
0.480	199.260	54.270	89.910	343.440	0.480	97.280	52.480	157.440	307.200	0.480		
