C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\10\loadapp_2025-12-11_16-47-10-060.load
Comment s10h
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	219.830	74.760	79.210	373.800	0.000	64.600	44.650	224.200	333.450	0.000		
0.010	219.830	74.760	79.210	373.800	0.010	64.600	44.650	224.200	333.450	0.010		
0.020	222.500	74.760	79.210	376.470	0.020	64.600	44.650	224.200	333.450	0.020		
0.030	219.830	72.090	77.430	369.350	0.030	64.600	44.650	227.050	336.300	0.030		
0.040	219.830	72.090	77.430	369.350	0.040	61.750	44.650	227.050	333.450	0.040		
0.050	219.830	74.760	77.430	372.020	0.050	61.750	44.650	229.900	336.300	0.050		
0.060	219.830	74.760	77.430	372.020	0.060	61.750	44.650	229.900	336.300	0.060		
0.070	222.500	74.760	77.430	374.690	0.070	61.750	44.650	229.900	336.300	0.070		
0.080	222.500	72.090	77.430	372.020	0.080	59.850	44.650	231.800	336.300	0.080		
0.090	222.500	74.760	77.430	374.690	0.090	59.850	44.650	231.800	336.300	0.090		
0.100	222.500	72.090	74.760	369.350	0.100	61.750	44.650	231.800	338.200	0.100		
0.110	222.500	72.090	77.430	372.020	0.110	59.850	44.650	231.800	336.300	0.110		
0.120	222.500	72.090	74.760	369.350	0.120	59.850	44.650	234.650	339.150	0.120		
0.130	222.500	72.090	74.760	369.350	0.130	59.850	44.650	234.650	339.150	0.130		
0.140	222.500	69.420	74.760	366.680	0.140	57.000	44.650	234.650	336.300	0.140		
0.150	222.500	72.090	74.760	369.350	0.150	59.850	44.650	237.500	342.000	0.150		
0.160	222.500	72.090	74.760	369.350	0.160	56.840	44.100	237.160	338.100	0.160		
0.170	222.500	69.420	74.760	366.680	0.170	56.840	44.100	237.160	338.100	0.170		
0.180	222.500	69.420	74.760	366.680	0.180	56.840	42.140	239.120	338.100	0.180		
0.190	222.500	69.420	74.760	366.680	0.190	56.840	44.100	239.120	340.060	0.190		
0.200	222.500	69.420	74.760	366.680	0.200	56.840	44.100	239.120	340.060	0.200		
0.210	222.500	69.420	74.760	366.680	0.210	56.840	44.100	239.120	340.060	0.210		
0.220	222.500	69.420	74.760	366.680	0.220	56.840	44.100	239.120	340.060	0.220		
0.230	222.500	69.420	74.760	366.680	0.230	56.840	44.100	242.060	343.000	0.230		
0.240	222.500	69.420	74.760	366.680	0.240	56.840	44.100	242.060	343.000	0.240		
0.250	222.500	69.420	74.760	366.680	0.250	56.840	44.100	242.060	343.000	0.250		
0.260	222.500	69.420	74.760	366.680	0.260	56.840	44.100	242.060	343.000	0.260		
0.270	222.500	69.420	72.090	364.010	0.270	54.880	44.100	242.060	341.040	0.270		
0.280	222.500	69.420	74.760	366.680	0.280	56.840	44.100	245.000	345.940	0.280		
0.290	222.500	69.420	74.760	366.680	0.290	54.880	44.100	245.000	343.980	0.290		
0.300	222.500	69.420	74.760	366.680	0.300	54.880	44.100	245.000	343.980	0.300		
0.310	220.000	69.520	72.160	361.680	0.310	55.000	45.000	245.000	345.000	0.310		
0.320	220.000	69.520	72.160	361.680	0.320	55.000	45.000	247.000	347.000	0.320		
0.330	220.000	66.880	72.160	359.040	0.330	55.000	45.000	247.000	347.000	0.330		
0.340	220.000	66.880	72.160	359.040	0.340	55.000	47.000	247.000	349.000	0.340		
0.350	220.000	66.880	72.160	359.040	0.350	55.000	45.000	247.000	347.000	0.350		
0.360	220.000	66.880	72.160	359.040	0.360	55.000	45.000	250.000	350.000	0.360		
0.370	220.000	66.880	69.520	356.400	0.370	55.000	45.000	247.000	347.000	0.370		
0.380	220.000	66.880	69.520	356.400	0.380	55.000	45.000	250.000	350.000	0.380		
0.390	217.360	66.880	72.160	356.400	0.390	55.000	45.000	247.000	347.000	0.390		
0.400	220.000	66.880	72.160	359.040	0.400	55.000	47.000	247.000	349.000	0.400		
0.410	220.000	66.880	72.160	359.040	0.410	55.000	45.000	250.000	350.000	0.410		
0.420	217.360	66.880	72.160	356.400	0.420	57.000	45.000	247.000	349.000	0.420		
0.430	220.000	66.880	72.160	359.040	0.430	55.000	45.000	247.000	347.000	0.430		
0.440	220.000	66.880	72.160	359.040	0.440	55.000	45.000	247.000	347.000	0.440		
0.450	220.000	66.880	72.160	359.040	0.450	57.000	45.000	247.000	349.000	0.450		
0.460	219.830	66.750	72.090	358.670	0.460	54.450	44.550	247.500	346.500	0.460		
0.470	219.830	66.750	72.090	358.670	0.470	57.420	44.550	247.500	349.470	0.470		
0.480	219.830	66.750	72.090	358.670	0.480	54.450	44.550	244.530	343.530	0.480		
0.490	219.830	66.750	69.420	356.000	0.490	57.420	44.550	244.530	346.500	0.490		
0.500	219.830	66.750	69.420	356.000	0.500	57.420	44.550	244.530	346.500	0.500		
0.510	219.830	69.420	72.090	361.340	0.510	57.420	44.550	244.530	346.500	0.510		
0.520	222.500	69.420	72.090	364.010	0.520	57.420	44.550	241.560	343.530	0.520		
0.530	219.830	66.750	72.090	358.670	0.530	54.450	44.550	241.560	340.560	0.530		
0.540	222.500	69.420	72.090	364.010	0.540	57.420	44.550	241.560	343.530	0.540		
0.550	222.500	69.420	72.090	364.010	0.550	57.420	44.550	241.560	343.530	0.550		
0.560	222.500	69.420	72.090	364.010	0.560	57.420	44.550	239.580	341.550	0.560		
0.570	222.500	69.420	72.090	364.010	0.570	57.420	44.550	239.580	341.550	0.570		
0.580	222.500	69.420	74.760	366.680	0.580	57.420	44.550	239.580	341.550	0.580		
0.590	222.500	69.420	72.090	364.010	0.590	57.420	44.550	239.580	341.550	0.590		
