C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\10\loadapp_2025-12-11_16-25-51-096.load
Comment S10 vh crashed in 4
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	194.340	67.150	79.790	341.280	0.000	74.700	57.270	199.200	331.170	0.000		
0.010	194.340	67.150	79.790	341.280	0.010	77.190	57.270	199.200	333.660	0.010		
0.020	194.340	67.150	79.790	341.280	0.020	77.190	54.780	201.690	333.660	0.020		
0.030	194.340	67.150	79.790	341.280	0.030	77.190	57.270	201.690	336.150	0.030		
0.040	194.340	67.150	77.420	338.910	0.040	74.700	57.270	201.690	333.660	0.040		
0.050	194.340	67.150	79.790	341.280	0.050	74.700	57.270	204.180	336.150	0.050		
0.060	194.340	67.150	79.790	341.280	0.060	74.700	57.270	201.690	333.660	0.060		
0.070	194.340	67.150	79.790	341.280	0.070	74.700	57.270	204.180	336.150	0.070		
0.080	197.500	67.150	79.790	344.440	0.080	74.700	57.270	204.180	336.150	0.080		
0.090	197.500	67.150	79.790	344.440	0.090	74.700	57.270	207.500	339.470	0.090		
0.100	197.500	67.150	79.790	344.440	0.100	74.700	57.270	207.500	339.470	0.100		
0.110	197.500	67.150	79.790	344.440	0.110	74.700	57.270	204.180	336.150	0.110		
0.120	197.500	67.150	79.790	344.440	0.120	72.210	57.270	207.500	336.980	0.120		
0.130	197.500	69.520	79.790	346.810	0.130	74.700	57.270	207.500	339.470	0.130		
0.140	197.500	67.150	79.790	344.440	0.140	74.700	57.270	207.500	339.470	0.140		
0.150	197.500	67.150	79.790	344.440	0.150	72.160	57.400	205.000	334.560	0.150		
0.160	197.500	67.150	79.790	344.440	0.160	74.620	54.940	205.000	334.560	0.160		
0.170	197.500	69.520	77.420	344.440	0.170	72.160	57.400	205.000	334.560	0.170		
0.180	197.500	67.150	79.790	344.440	0.180	72.160	57.400	205.000	334.560	0.180		
0.190	197.500	67.150	79.790	344.440	0.190	74.620	57.400	205.000	337.020	0.190		
0.200	197.500	67.150	79.790	344.440	0.200	74.620	57.400	205.000	337.020	0.200		
0.210	197.500	67.150	79.790	344.440	0.210	72.160	57.400	201.720	331.280	0.210		
0.220	197.500	67.150	79.790	344.440	0.220	74.620	57.400	205.000	337.020	0.220		
0.230	197.500	67.150	79.790	344.440	0.230	72.160	57.400	205.000	334.560	0.230		
0.240	197.500	67.150	79.790	344.440	0.240	74.620	57.400	205.000	337.020	0.240		
0.250	197.500	67.150	77.420	342.070	0.250	74.620	57.400	205.000	337.020	0.250		
0.260	197.500	67.150	79.790	344.440	0.260	74.620	57.400	201.720	333.740	0.260		
0.270	197.500	67.150	77.420	342.070	0.270	74.620	57.400	205.000	337.020	0.270		
0.280	194.340	67.150	79.790	341.280	0.280	74.620	57.400	205.000	337.020	0.280		
0.290	194.340	67.150	79.790	341.280	0.290	74.620	57.400	205.000	337.020	0.290		
0.300	194.340	67.150	79.790	341.280	0.300	74.700	59.760	204.180	338.640	0.300		
0.310	195.000	67.080	79.560	341.640	0.310	74.700	59.760	204.180	338.640	0.310		
0.320	195.000	64.740	77.220	336.960	0.320	77.190	59.760	207.500	344.450	0.320		
0.330	195.000	67.080	79.560	341.640	0.330	77.190	59.760	207.500	344.450	0.330		
0.340	195.000	67.080	79.560	341.640	0.340	77.190	59.760	207.500	344.450	0.340		
0.350	191.880	67.080	79.560	338.520	0.350	77.190	59.760	207.500	344.450	0.350		
0.360	191.880	67.080	79.560	338.520	0.360	77.190	59.760	207.500	344.450	0.360		
0.370	191.880	67.080	79.560	338.520	0.370	77.190	62.250	207.500	346.940	0.370		
0.380	191.880	67.080	79.560	338.520	0.380	77.190	59.760	207.500	344.450	0.380		
0.390	189.540	64.740	79.560	333.840	0.390	77.190	59.760	207.500	344.450	0.390		
0.400	189.540	67.080	77.220	333.840	0.400	79.680	62.250	207.500	349.430	0.400		
0.410	189.540	64.740	77.220	331.500	0.410	79.680	62.250	207.500	349.430	0.410		
0.420	187.200	64.740	77.220	329.160	0.420	79.680	62.250	207.500	349.430	0.420		
0.430	189.540	64.740	77.220	331.500	0.430	77.190	62.250	207.500	346.940	0.430		
0.440	189.540	64.740	77.220	331.500	0.440	77.190	62.250	207.500	346.940	0.440		
0.450	189.540	64.740	77.220	331.500	0.450	77.190	62.250	207.500	346.940	0.450		
0.460	190.000	64.600	76.760	331.360	0.460	79.680	62.250	207.500	349.430	0.460		
0.470	190.000	64.600	76.760	331.360	0.470	79.680	62.250	207.500	349.430	0.470		
0.480	190.000	64.600	76.760	331.360	0.480	79.680	62.250	207.500	349.430	0.480		
0.490	186.960	64.600	76.760	328.320	0.490	79.680	62.250	207.500	349.430	0.490		
0.500	190.000	64.600	76.760	331.360	0.500	79.680	62.250	207.500	349.430	0.500		
0.510	190.000	64.600	76.760	331.360	0.510	79.680	62.250	207.500	349.430	0.510		
0.520	190.000	64.600	76.760	331.360	0.520	79.680	62.250	207.500	349.430	0.520		
0.530	186.960	64.600	76.760	328.320	0.530	82.170	62.250	207.500	351.920	0.530		
0.540	190.000	64.600	76.760	331.360	0.540	79.680	62.250	207.500	349.430	0.540		
0.550	186.960	64.600	76.760	328.320	0.550	79.680	62.250	204.180	346.110	0.550		
0.560	186.960	64.600	76.760	328.320	0.560	82.170	62.250	207.500	351.920	0.560		
0.570	186.960	64.600	76.760	328.320	0.570	79.680	62.250	204.180	346.110	0.570		
0.580	190.000	64.600	76.760	331.360	0.580	82.170	62.250	207.500	351.920	0.580		
0.590	190.000	64.600	76.760	331.360	0.590	82.170	62.250	204.180	348.600	0.590		
0.600	190.000	66.880	76.760	333.640	0.600	82.170	62.250	204.180	348.600	0.600		
0.610	190.000	64.600	76.760	331.360	0.610	82.170	62.250	204.180	348.600	0.610		
0.620	190.000	64.600	76.760	331.360	0.620	79.680	62.250	204.180	346.110	0.620		
0.630	190.000	64.600	76.760	331.360	0.630	79.680	62.250	207.500	349.430	0.630		
0.640	190.000	64.600	76.760	331.360	0.640	82.170	62.250	204.180	348.600	0.640		
0.650	190.000	64.600	74.480	329.080	0.650	82.170	62.250	204.180	348.600	0.650		
0.660	190.000	64.600	74.480	329.080	0.660	82.170	62.250	204.180	348.600	0.660		
0.670	190.000	64.600	74.480	329.080	0.670	82.170	62.250	207.500	351.920	0.670		
0.680	190.000	64.600	74.480	329.080	0.680	82.170	62.250	207.500	351.920	0.680		
0.690	190.000	64.600	74.480	329.080	0.690	82.170	62.250	207.500	351.920	0.690		
0.700	190.000	64.600	76.760	331.360	0.700	82.170	62.250	207.500	351.920	0.700		
0.710	190.000	64.600	74.480	329.080	0.710	82.170	62.250	207.500	351.920	0.710		
