C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\10\loadapp_2025-12-11_16-43-15-332.load
Comment s10vh crashed 4
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	124.800	84.760	37.440	247.000	0.000	74.880	62.400	260.000	397.280	0.000		
0.010	124.800	84.760	37.440	247.000	0.010	74.880	62.400	256.880	394.160	0.010		
0.020	124.800	82.160	37.440	244.400	0.020	74.880	62.400	256.880	394.160	0.020		
0.030	124.800	82.160	37.440	244.400	0.030	74.880	64.480	256.880	396.240	0.030		
0.040	127.400	84.760	39.520	251.680	0.040	76.960	64.480	256.880	398.320	0.040		
0.050	127.400	84.760	39.520	251.680	0.050	76.960	64.480	254.800	396.240	0.050		
0.060	127.400	84.760	37.440	249.600	0.060	76.960	64.480	254.800	396.240	0.060		
0.070	127.400	84.760	37.440	249.600	0.070	76.960	62.400	254.800	394.160	0.070		
0.080	127.400	84.760	39.520	251.680	0.080	76.960	64.480	251.680	393.120	0.080		
0.090	127.400	84.760	39.520	251.680	0.090	79.040	64.480	251.680	395.200	0.090		
0.100	127.400	84.760	37.440	249.600	0.100	79.040	64.480	249.600	393.120	0.100		
0.110	127.400	84.760	39.520	251.680	0.110	82.160	64.480	249.600	396.240	0.110		
0.120	130.000	84.760	39.520	254.280	0.120	82.160	66.560	246.480	395.200	0.120		
0.130	127.400	84.760	39.520	251.680	0.130	82.160	66.560	246.480	395.200	0.130		
0.140	130.000	84.760	39.520	254.280	0.140	82.160	64.480	244.400	391.040	0.140		
0.150	130.000	84.760	39.520	254.280	0.150	84.390	66.930	242.500	393.820	0.150		
0.160	130.000	84.760	39.520	254.280	0.160	84.390	66.930	239.590	390.910	0.160		
0.170	130.000	84.760	39.520	254.280	0.170	84.390	66.930	239.590	390.910	0.170		
0.180	130.000	84.760	37.440	252.200	0.180	87.300	66.930	239.590	393.820	0.180		
0.190	130.000	84.760	37.440	252.200	0.190	87.300	69.840	236.680	393.820	0.190		
0.200	130.000	84.760	37.440	252.200	0.200	87.300	66.930	236.680	390.910	0.200		
0.210	130.000	84.760	39.520	254.280	0.210	87.300	66.930	236.680	390.910	0.210		
0.220	130.000	84.760	39.520	254.280	0.220	89.240	66.930	234.740	390.910	0.220		
0.230	130.000	84.760	37.440	252.200	0.230	89.240	69.840	234.740	393.820	0.230		
0.240	130.000	87.360	39.520	256.880	0.240	89.240	69.840	231.830	390.910	0.240		
0.250	130.000	84.760	39.520	254.280	0.250	89.240	69.840	231.830	390.910	0.250		
0.260	130.000	84.760	39.520	254.280	0.260	92.150	66.930	229.890	388.970	0.260		
0.270	130.000	87.360	37.440	254.800	0.270	92.150	69.840	226.980	388.970	0.270		
0.280	132.000	87.450	39.600	259.050	0.280	92.150	69.840	226.980	388.970	0.280		
0.290	132.000	84.700	37.400	254.100	0.290	92.150	69.840	226.980	388.970	0.290		
0.300	132.000	87.450	39.600	259.050	0.300	91.800	69.300	225.000	386.100	0.300		
0.310	132.000	84.700	39.600	256.300	0.310	94.500	69.300	222.300	386.100	0.310		
0.320	132.000	84.700	37.400	254.100	0.320	94.500	69.300	222.300	386.100	0.320		
0.330	134.750	87.450	39.600	261.800	0.330	94.500	69.300	222.300	386.100	0.330		
0.340	132.000	87.450	39.600	259.050	0.340	94.500	69.300	219.600	383.400	0.340		
0.350	134.750	87.450	37.400	259.600	0.350	94.500	69.300	219.600	383.400	0.350		
0.360	134.750	87.450	39.600	261.800	0.360	97.200	69.300	216.900	383.400	0.360		
0.370	134.750	87.450	39.600	261.800	0.370	97.200	69.300	216.900	383.400	0.370		
0.380	134.750	87.450	39.600	261.800	0.380	97.200	67.500	214.200	378.900	0.380		
0.390	134.750	87.450	39.600	261.800	0.390	97.200	69.300	214.200	380.700	0.390		
0.400	137.500	87.450	39.600	264.550	0.400	97.200	69.300	214.200	380.700	0.400		
0.410	137.500	87.450	39.600	264.550	0.410	97.200	69.300	214.200	380.700	0.410		
0.420	137.500	87.450	39.600	264.550	0.420	97.200	67.500	212.400	377.100	0.420		
0.430	137.460	87.000	39.440	263.900	0.430	97.200	67.500	212.400	377.100	0.430		
0.440	139.780	89.900	39.440	269.120	0.440	97.200	67.500	212.400	377.100	0.440		
0.450	139.780	89.900	39.440	269.120	0.450	96.900	67.150	209.950	374.000	0.450		
0.460	139.780	89.900	39.440	269.120	0.460	94.350	67.150	207.400	368.900	0.460		
0.470	139.780	89.900	39.440	269.120	0.470	94.350	64.600	209.950	368.900	0.470		
0.480	142.100	89.900	39.440	271.440	0.480	94.350	67.150	207.400	368.900	0.480		
0.490	142.100	89.900	39.440	271.440	0.490	96.900	67.150	207.400	371.450	0.490		
0.500	142.100	89.900	39.440	271.440	0.500	94.350	64.600	207.400	366.350	0.500		
0.510	142.100	92.220	39.440	273.760	0.510	94.350	64.600	204.850	363.800	0.510		
0.520	145.000	89.900	37.120	272.020	0.520	94.350	64.600	207.400	366.350	0.520		
0.530	145.000	89.900	39.440	274.340	0.530	91.800	64.600	207.400	363.800	0.530		
0.540	145.000	89.900	39.440	274.340	0.540	94.350	64.600	207.400	366.350	0.540		
0.550	145.000	92.220	39.440	276.660	0.550	94.350	64.600	209.950	368.900	0.550		
0.560	145.000	89.900	39.440	274.340	0.560	91.800	64.600	207.400	363.800	0.560		
0.570	145.000	92.220	39.440	276.660	0.570	91.800	64.600	209.950	366.350	0.570		
