C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\11\loadapp_2025-12-12_11-33-28-897.load
Comment s11 b
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	167.280	31.960	94.520	293.760	0.000	82.200	37.200	150.000	269.400	0.000		
0.010	170.000	29.920	94.520	294.440	0.010	82.200	37.200	150.000	269.400	0.010		
0.020	170.000	31.960	97.240	299.200	0.020	82.200	37.200	147.000	266.400	0.020		
0.030	167.280	29.920	97.240	294.440	0.030	82.200	37.200	150.000	269.400	0.030		
0.040	167.280	29.920	94.520	291.720	0.040	82.200	37.200	150.000	269.400	0.040		
0.050	170.000	31.960	97.240	299.200	0.050	82.200	37.200	150.000	269.400	0.050		
0.060	170.000	31.960	94.520	296.480	0.060	82.200	37.200	150.000	269.400	0.060		
0.070	167.280	31.960	94.520	293.760	0.070	82.200	37.200	150.000	269.400	0.070		
0.080	167.280	31.960	97.240	296.480	0.080	82.200	34.800	150.000	267.000	0.080		
0.090	167.280	31.960	94.520	293.760	0.090	82.200	37.200	150.000	269.400	0.090		
0.100	167.280	31.960	97.240	296.480	0.100	82.200	37.200	150.000	269.400	0.100		
0.110	167.280	29.920	97.240	294.440	0.110	82.200	37.200	150.000	269.400	0.110		
0.120	167.280	31.960	97.240	296.480	0.120	79.800	34.800	150.000	264.600	0.120		
0.130	167.280	31.960	94.520	293.760	0.130	79.800	34.800	150.000	264.600	0.130		
0.140	167.280	31.960	97.240	296.480	0.140	82.200	37.200	150.000	269.400	0.140		
0.150	167.280	29.920	94.520	291.720	0.150	82.200	37.200	147.000	266.400	0.150		
0.160	167.280	31.960	94.520	293.760	0.160	82.200	34.800	150.000	267.000	0.160		
0.170	167.280	31.960	97.240	296.480	0.170	82.200	37.200	150.000	269.400	0.170		
