C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\11\loadapp_2025-12-12_12-03-34-424.load
Comment s11vh
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	202.500	34.830	67.230	304.560	0.000	52.250	59.950	124.850	237.050	0.000		
0.010	202.500	32.400	67.230	302.130	0.010	52.250	59.950	122.100	234.300	0.010		
0.020	202.500	34.830	67.230	304.560	0.020	52.250	59.950	124.850	237.050	0.020		
0.030	202.500	34.830	67.230	304.560	0.030	52.250	59.950	124.850	237.050	0.030		
0.040	202.500	34.830	67.230	304.560	0.040	52.250	59.950	127.050	239.250	0.040		
0.050	202.500	32.400	67.230	302.130	0.050	52.250	59.950	127.050	239.250	0.050		
0.060	202.500	32.400	67.230	302.130	0.060	52.250	59.950	127.050	239.250	0.060		
0.070	202.500	32.400	67.230	302.130	0.070	49.500	59.950	127.050	236.500	0.070		
0.080	202.500	32.400	67.230	302.130	0.080	49.500	59.950	129.800	239.250	0.080		
0.090	202.500	32.400	64.800	299.700	0.090	49.500	59.950	129.800	239.250	0.090		
0.100	202.500	32.400	67.230	302.130	0.100	49.500	59.950	129.800	239.250	0.100		
0.110	202.500	32.400	67.230	302.130	0.110	47.300	59.950	132.000	239.250	0.110		
0.120	201.720	31.980	64.780	298.480	0.120	47.300	59.950	134.750	242.000	0.120		
0.130	201.720	31.980	67.240	300.940	0.130	47.300	59.950	137.500	244.750	0.130		
0.140	201.720	31.980	67.240	300.940	0.140	44.550	59.950	137.500	242.000	0.140		
0.150	201.720	31.980	64.780	298.480	0.150	44.640	59.520	139.500	243.660	0.150		
0.160	201.720	31.980	64.780	298.480	0.160	42.160	57.040	141.980	241.180	0.160		
0.170	201.720	31.980	64.780	298.480	0.170	42.160	57.040	141.980	241.180	0.170		
0.180	201.720	31.980	64.780	298.480	0.180	42.160	57.040	144.460	243.660	0.180		
0.190	201.720	29.520	62.320	293.560	0.190	42.160	57.040	146.940	246.140	0.190		
