C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\11\loadapp_2025-12-12_11-54-30-563.load
Comment s11vw crashed
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	154.980	37.170	62.370	254.520	0.000	74.980	84.640	107.180	266.800	0.000		
0.010	154.980	37.170	62.370	254.520	0.010	74.980	84.640	107.180	266.800	0.010		
0.020	154.980	39.690	62.370	257.040	0.020	74.980	84.640	107.180	266.800	0.020		
0.030	154.980	37.170	62.370	254.520	0.030	74.980	84.640	107.180	266.800	0.030		
0.040	154.980	37.170	64.890	257.040	0.040	74.980	84.640	107.180	266.800	0.040		
0.050	154.980	37.170	62.370	254.520	0.050	74.980	84.640	107.180	266.800	0.050		
0.060	154.980	37.170	62.370	254.520	0.060	74.980	84.640	109.940	269.560	0.060		
0.070	154.980	37.170	59.850	252.000	0.070	74.980	84.640	109.940	269.560	0.070		
0.080	154.980	37.170	62.370	254.520	0.080	74.980	84.640	109.940	269.560	0.080		
0.090	154.980	37.170	59.850	252.000	0.090	74.980	84.640	109.940	269.560	0.090		
0.100	157.500	37.170	59.850	254.520	0.100	74.980	87.400	112.240	274.620	0.100		
0.110	157.500	37.170	59.850	254.520	0.110	74.980	84.640	112.240	271.860	0.110		
0.120	157.500	37.170	59.850	254.520	0.120	74.980	87.400	112.240	274.620	0.120		
0.130	157.500	37.170	59.850	254.520	0.130	74.980	84.640	115.000	274.620	0.130		
0.140	157.500	34.650	57.330	249.480	0.140	74.980	87.400	115.000	277.380	0.140		
0.150	154.700	34.450	57.200	246.350	0.150	74.980	84.640	112.240	271.860	0.150		
0.160	154.700	34.450	57.200	246.350	0.160	74.980	87.400	115.000	277.380	0.160		
0.170	154.700	34.450	57.200	246.350	0.170	74.980	87.400	115.000	277.380	0.170		
0.180	157.300	34.450	57.200	248.950	0.180	74.980	84.640	115.000	274.620	0.180		
0.190	157.300	34.450	57.200	248.950	0.190	74.980	84.640	115.000	274.620	0.190		
0.200	157.300	34.450	54.600	246.350	0.200	74.980	84.640	112.240	271.860	0.200		
0.210	157.300	34.450	57.200	248.950	0.210	74.980	84.640	115.000	274.620	0.210		
0.220	157.300	34.450	57.200	248.950	0.220	72.220	84.640	115.000	271.860	0.220		
0.230	157.300	34.450	57.200	248.950	0.230	72.220	84.640	115.000	271.860	0.230		
0.240	157.300	34.450	54.600	246.350	0.240	74.980	84.640	115.000	274.620	0.240		
0.250	159.900	34.450	57.200	251.550	0.250	72.220	84.640	115.000	271.860	0.250		
0.260	159.900	34.450	54.600	248.950	0.260	72.220	84.640	115.000	271.860	0.260		
0.270	159.900	34.450	57.200	251.550	0.270	72.220	82.340	115.000	269.560	0.270		
0.280	159.900	34.450	54.600	248.950	0.280	72.220	84.640	112.240	269.100	0.280		
0.290	162.500	34.450	54.600	251.550	0.290	72.220	84.640	115.000	271.860	0.290		
0.300	162.140	34.840	54.940	251.920	0.300	72.500	82.500	115.000	270.000	0.300		
0.310	162.140	34.840	56.950	253.930	0.310	72.500	82.500	115.000	270.000	0.310		
0.320	162.140	34.840	56.950	253.930	0.320	70.000	82.500	115.000	267.500	0.320		
0.330	164.820	34.840	56.950	256.610	0.330	70.000	82.500	115.000	267.500	0.330		
0.340	162.140	36.850	54.940	253.930	0.340	70.000	82.500	115.000	267.500	0.340		
0.350	164.820	34.840	54.940	254.600	0.350	70.000	80.000	115.000	265.000	0.350		
0.360	162.140	34.840	54.940	251.920	0.360	67.500	80.000	117.500	265.000	0.360		
0.370	164.820	34.840	54.940	254.600	0.370	67.500	80.000	117.500	265.000	0.370		
0.380	164.820	34.840	54.940	254.600	0.380	67.500	80.000	117.500	265.000	0.380		
0.390	164.820	36.850	54.940	256.610	0.390	67.500	80.000	120.000	267.500	0.390		
0.400	164.820	34.840	54.940	254.600	0.400	65.000	77.500	120.000	262.500	0.400		
0.410	164.820	36.850	54.940	256.610	0.410	65.000	77.500	120.000	262.500	0.410		
0.420	164.820	34.840	56.950	256.610	0.420	65.000	77.500	122.500	265.000	0.420		
0.430	167.500	36.850	56.950	261.300	0.430	62.500	77.500	122.500	262.500	0.430		
0.440	167.500	34.840	54.940	257.280	0.440	62.500	77.500	125.000	265.000	0.440		
0.450	167.280	34.680	54.400	256.360	0.450	62.220	74.970	124.950	262.140	0.450		
0.460	167.280	34.680	54.400	256.360	0.460	62.220	77.010	124.950	264.180	0.460		
0.470	167.280	34.680	54.400	256.360	0.470	62.220	74.970	124.950	262.140	0.470		
0.480	167.280	34.680	54.400	256.360	0.480	62.220	74.970	124.950	262.140	0.480		
0.490	170.000	37.400	54.400	261.800	0.490	62.220	74.970	124.950	262.140	0.490		
0.500	167.280	34.680	54.400	256.360	0.500	59.670	74.970	124.950	259.590	0.500		
0.510	170.000	34.680	54.400	259.080	0.510	59.670	74.970	124.950	259.590	0.510		
0.520	170.000	34.680	54.400	259.080	0.520	59.670	74.970	124.950	259.590	0.520		
0.530	170.000	34.680	54.400	259.080	0.530	62.220	74.970	124.950	262.140	0.530		
0.540	170.000	34.680	54.400	259.080	0.540	62.220	74.970	127.500	264.690	0.540		
0.550	167.280	34.680	54.400	256.360	0.550	59.670	74.970	124.950	259.590	0.550		
0.560	167.280	34.680	54.400	256.360	0.560	62.220	74.970	124.950	262.140	0.560		
0.570	167.280	34.680	54.400	256.360	0.570	59.670	77.010	127.500	264.180	0.570		
0.580	167.280	37.400	54.400	259.080	0.580	62.220	77.010	127.500	266.730	0.580		
0.590	167.280	34.680	54.400	256.360	0.590	62.220	77.010	127.500	266.730	0.590		
0.600	167.500	34.840	54.940	257.280	0.600	59.940	77.220	127.440	264.600	0.600		
0.610	167.500	34.840	54.940	257.280	0.610	59.940	77.220	127.440	264.600	0.610		
0.620	167.500	34.840	54.940	257.280	0.620	62.100	77.220	127.440	266.760	0.620		
0.630	167.500	34.840	54.940	257.280	0.630	59.940	77.220	129.600	266.760	0.630		
0.640	167.500	34.840	52.260	254.600	0.640	59.940	77.220	129.600	266.760	0.640		
0.650	167.500	34.840	54.940	257.280	0.650	59.940	77.220	129.600	266.760	0.650		
0.660	167.500	34.840	52.260	254.600	0.660	59.940	77.220	132.300	269.460	0.660		
0.670	167.500	34.840	52.260	254.600	0.670	59.940	77.220	132.300	269.460	0.670		
0.680	167.500	34.840	52.260	254.600	0.680	57.240	77.220	135.000	269.460	0.680		
0.690	167.500	32.160	54.940	254.600	0.690	57.240	77.220	135.000	269.460	0.690		
0.700	167.500	34.840	52.260	254.600	0.700	59.940	74.520	135.000	269.460	0.700		
0.710	167.500	32.160	52.260	251.920	0.710	57.240	74.520	135.000	266.760	0.710		
0.720	167.500	34.840	52.260	254.600	0.720	57.240	74.520	135.000	266.760	0.720		
0.730	167.500	32.160	52.260	251.920	0.730	57.240	74.520	135.000	266.760	0.730		
0.740	167.500	34.840	49.580	251.920	0.740	57.240	77.220	135.000	269.460	0.740		
0.750	167.280	31.960	52.360	251.600	0.750	57.240	74.520	135.000	266.760	0.750		
0.760	167.280	31.960	49.640	248.880	0.760	57.240	74.520	132.300	264.060	0.760		
0.770	167.280	31.960	52.360	251.600	0.770	57.240	77.220	132.300	266.760	0.770		
0.780	167.280	31.960	49.640	248.880	0.780	57.240	77.220	132.300	266.760	0.780		
0.790	167.280	31.960	49.640	248.880	0.790	57.240	77.220	132.300	266.760	0.790		
0.800	167.280	31.960	52.360	251.600	0.800	57.240	77.220	132.300	266.760	0.800		
0.810	167.280	34.680	49.640	251.600	0.810	59.940	77.220	132.300	269.460	0.810		
0.820	167.280	31.960	52.360	251.600	0.820	59.940	77.220	132.300	269.460	0.820		
0.830	167.280	34.680	52.360	254.320	0.830	59.940	77.220	129.600	266.760	0.830		
0.840	170.000	34.680	49.640	254.320	0.840	59.940	77.220	129.600	266.760	0.840		
0.850	167.280	31.960	52.360	251.600	0.850	59.940	77.220	127.440	264.600	0.850		
0.860	170.000	34.680	52.360	257.040	0.860	59.940	77.220	127.440	264.600	0.860		
0.870	167.280	34.680	52.360	254.320	0.870	62.100	77.220	124.740	264.060	0.870		
0.880	170.000	34.680	52.360	257.040	0.880	62.100	77.220	124.740	264.060	0.880		
0.890	167.280	34.680	52.360	254.320	0.890	62.100	77.220	124.740	264.060	0.890		
0.900	166.980	34.500	54.510	255.990	0.900	62.500	77.500	122.500	262.500	0.900		
0.910	166.980	34.500	52.440	253.920	0.910	62.500	77.500	122.500	262.500	0.910		
0.920	169.740	34.500	54.510	258.750	0.920	62.500	77.500	122.500	262.500	0.920		
0.930	169.740	34.500	57.270	261.510	0.930	62.500	77.500	122.500	262.500	0.930		
0.940	169.740	34.500	54.510	258.750	0.940	60.000	77.500	122.500	260.000	0.940		
0.950	169.740	37.260	54.510	261.510	0.950	60.000	75.000	122.500	257.500	0.950		
0.960	169.740	34.500	54.510	258.750	0.960	60.000	75.000	122.500	257.500	0.960		
0.970	169.740	34.500	54.510	258.750	0.970	60.000	75.000	122.500	257.500	0.970		
0.980	169.740	37.260	57.270	264.270	0.980	60.000	75.000	122.500	257.500	0.980		
0.990	169.740	37.260	54.510	261.510	0.990	60.000	75.000	122.500	257.500	0.990		
1.000	169.740	37.260	54.510	261.510	1.000	60.000	75.000	125.000	260.000	1.000		
1.010	172.500	37.260	54.510	264.270	1.010	60.000	75.000	125.000	260.000	1.010		
1.020	172.500	37.260	57.270	267.030	1.020	57.500	75.000	125.000	257.500	1.020		
1.030	172.500	34.500	54.510	261.510	1.030	57.500	72.500	125.000	255.000	1.030		
1.040	172.500	37.260	54.510	264.270	1.040	57.500	72.500	125.000	255.000	1.040		
1.050	174.470	37.230	56.940	268.640	1.050	57.200	72.280	124.800	254.280	1.050		
1.060	174.470	37.230	56.940	268.640	1.060	54.600	69.680	124.800	249.080	1.060		
1.070	174.470	37.230	56.940	268.640	1.070	54.600	69.680	127.400	251.680	1.070		
1.080	174.470	37.230	56.940	268.640	1.080	52.000	69.680	127.400	249.080	1.080		
1.090	174.470	37.230	54.750	266.450	1.090	52.000	67.080	127.400	246.480	1.090		
1.100	177.390	37.230	54.750	269.370	1.100	52.000	67.080	130.000	249.080	1.100		
1.110	177.390	37.230	54.750	269.370	1.110	52.000	67.080	130.000	249.080	1.110		
1.120	177.390	37.230	56.940	271.560	1.120	52.000	67.080	130.000	249.080	1.120		
