C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\11\loadapp_2025-12-12_12-06-25-376.load
Comment s11w
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	184.500	37.500	97.500	319.500	0.000	62.160	59.640	105.000	226.800	0.000		
0.010	184.500	39.750	97.500	321.750	0.010	62.160	59.640	105.000	226.800	0.010		
0.020	184.500	37.500	97.500	319.500	0.020	64.680	59.640	105.000	229.320	0.020		
0.030	184.500	39.750	97.500	321.750	0.030	62.160	59.640	105.000	226.800	0.030		
0.040	184.500	37.500	94.500	316.500	0.040	62.160	59.640	105.000	226.800	0.040		
0.050	187.500	39.750	94.500	321.750	0.050	62.160	59.640	105.000	226.800	0.050		
0.060	187.500	37.500	94.500	319.500	0.060	62.160	59.640	105.000	226.800	0.060		
0.070	187.500	39.750	97.500	324.750	0.070	62.160	59.640	105.000	226.800	0.070		
0.080	187.500	39.750	94.500	321.750	0.080	64.680	59.640	105.000	229.320	0.080		
0.090	187.500	37.500	97.500	322.500	0.090	64.680	59.640	105.000	229.320	0.090		
0.100	187.500	37.500	97.500	322.500	0.100	62.160	59.640	105.000	226.800	0.100		
0.110	184.500	37.500	97.500	319.500	0.110	62.160	59.640	105.000	226.800	0.110		
0.120	187.500	37.500	97.500	322.500	0.120	62.160	59.640	105.000	226.800	0.120		
0.130	187.500	37.500	94.500	319.500	0.130	62.160	59.640	105.000	226.800	0.130		
0.140	187.500	37.500	94.500	319.500	0.140	64.680	59.640	105.000	229.320	0.140		
0.150	186.960	37.240	95.000	319.200	0.150	62.160	59.640	105.000	226.800	0.150		
0.160	186.960	37.240	95.000	319.200	0.160	62.160	59.640	105.000	226.800	0.160		
0.170	186.960	37.240	95.000	319.200	0.170	62.160	62.160	105.000	229.320	0.170		
0.180	186.960	37.240	95.000	319.200	0.180	62.160	59.640	105.000	226.800	0.180		
0.190	190.000	37.240	95.000	322.240	0.190	62.160	59.640	105.000	226.800	0.190		
0.200	190.000	37.240	95.000	322.240	0.200	62.160	59.640	105.000	226.800	0.200		
0.210	190.000	37.240	95.000	322.240	0.210	64.680	59.640	105.000	229.320	0.210		
0.220	190.000	37.240	91.960	319.200	0.220	62.160	59.640	105.000	226.800	0.220		
0.230	190.000	37.240	91.960	319.200	0.230	62.160	59.640	105.000	226.800	0.230		
0.240	190.000	37.240	91.960	319.200	0.240	62.160	59.640	105.000	226.800	0.240		
0.250	190.000	37.240	91.960	319.200	0.250	64.680	59.640	105.000	229.320	0.250		
0.260	190.000	37.240	91.960	319.200	0.260	64.680	59.640	105.000	229.320	0.260		
