C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\12\loadapp_2025-12-12_14-37-30-448.load
Comment s12h crashed (9)
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	102.000	87.000	147.000	336.000	0.000	87.420	62.040	117.500	266.960	0.000		
0.010	102.000	84.600	147.000	333.600	0.010	87.420	62.040	114.680	264.140	0.010		
0.020	102.000	87.000	147.000	336.000	0.020	87.420	62.040	114.680	264.140	0.020		
0.030	102.000	84.600	147.000	333.600	0.030	87.420	62.040	114.680	264.140	0.030		
0.040	102.000	84.600	144.600	331.200	0.040	87.420	62.040	114.680	264.140	0.040		
0.050	102.000	84.600	147.000	333.600	0.050	87.420	62.040	114.680	264.140	0.050		
0.060	102.000	84.600	147.000	333.600	0.060	87.420	62.040	114.680	264.140	0.060		
0.070	102.000	84.600	150.000	336.600	0.070	87.420	62.040	114.680	264.140	0.070		
0.080	102.000	84.600	150.000	336.600	0.080	89.770	62.040	114.680	266.490	0.080		
0.090	102.000	84.600	150.000	336.600	0.090	87.420	62.040	114.680	264.140	0.090		
0.100	102.000	84.600	147.000	333.600	0.100	87.420	62.040	114.680	264.140	0.100		
0.110	102.000	87.000	150.000	339.000	0.110	87.420	62.040	117.500	266.960	0.110		
0.120	102.000	84.600	150.000	336.600	0.120	87.420	62.040	114.680	264.140	0.120		
0.130	105.000	87.000	150.000	342.000	0.130	87.420	62.040	117.500	266.960	0.130		
0.140	102.000	87.000	147.000	336.000	0.140	84.600	62.040	117.500	264.140	0.140		
0.150	102.000	87.000	150.000	339.000	0.150	87.420	62.040	117.500	266.960	0.150		
0.160	105.000	84.600	147.000	336.600	0.160	87.420	59.690	117.500	264.610	0.160		
0.170	102.000	84.600	147.000	333.600	0.170	84.600	62.040	117.500	264.140	0.170		
0.180	105.000	84.600	147.000	336.600	0.180	84.600	62.040	117.500	264.140	0.180		
0.190	105.000	87.000	147.000	339.000	0.190	84.600	62.040	117.500	264.140	0.190		
0.200	105.000	87.000	150.000	342.000	0.200	84.600	59.690	117.500	261.790	0.200		
0.210	105.000	87.000	147.000	339.000	0.210	84.600	59.690	117.500	261.790	0.210		
0.220	105.000	87.000	150.000	342.000	0.220	84.600	59.690	117.500	261.790	0.220		
0.230	105.000	87.000	147.000	339.000	0.230	84.600	59.690	117.500	261.790	0.230		
0.240	105.000	87.000	150.000	342.000	0.240	84.600	59.690	117.500	261.790	0.240		
0.250	105.000	87.000	147.000	339.000	0.250	82.250	59.690	117.500	259.440	0.250		
0.260	105.000	87.000	150.000	342.000	0.260	82.250	59.690	117.500	259.440	0.260		
0.270	104.920	87.230	149.450	341.600	0.270	82.250	57.340	117.500	257.090	0.270		
0.280	107.360	87.230	149.450	344.040	0.280	82.250	57.340	117.500	257.090	0.280		
0.290	107.360	87.230	147.010	341.600	0.290	82.250	57.340	117.500	257.090	0.290		
0.300	107.360	89.670	149.450	346.480	0.300	79.900	57.340	117.500	254.740	0.300		
0.310	107.360	89.670	149.450	346.480	0.310	79.900	54.990	117.500	252.390	0.310		
0.320	109.800	89.670	149.450	348.920	0.320	79.900	54.990	117.500	252.390	0.320		
0.330	109.800	89.670	152.500	351.970	0.330	79.900	54.990	114.680	249.570	0.330		
0.340	109.800	92.110	149.450	351.360	0.340	79.900	54.990	114.680	249.570	0.340		
0.350	109.800	92.110	152.500	354.410	0.350	79.900	54.990	114.680	249.570	0.350		
0.360	109.800	92.110	152.500	354.410	0.360	77.080	54.990	114.680	246.750	0.360		
0.370	112.240	92.110	149.450	353.800	0.370	77.080	52.170	114.680	243.930	0.370		
0.380	109.800	92.110	152.500	354.410	0.380	77.080	52.170	114.680	243.930	0.380		
0.390	112.240	92.110	149.450	353.800	0.390	77.080	52.170	114.680	243.930	0.390		
0.400	112.240	92.110	152.500	356.850	0.400	74.730	52.170	114.680	241.580	0.400		
0.410	114.680	92.110	152.500	359.290	0.410	74.730	52.170	114.680	241.580	0.410		
0.420	114.680	92.110	152.500	359.290	0.420	72.380	49.820	114.680	236.880	0.420		
0.430	114.680	94.550	152.500	361.730	0.430	74.730	49.820	114.680	239.230	0.430		
0.440	114.680	94.550	152.500	361.730	0.440	72.380	49.820	114.680	236.880	0.440		
0.450	114.680	94.550	149.450	358.680	0.450	72.480	52.320	114.720	239.520	0.450		
0.460	117.120	94.550	152.500	364.170	0.460	72.480	49.920	117.120	239.520	0.460		
0.470	117.120	94.550	152.500	364.170	0.470	72.480	49.920	117.120	239.520	0.470		
0.480	117.120	94.550	149.450	361.120	0.480	72.480	49.920	117.120	239.520	0.480		
0.490	117.120	96.990	152.500	366.610	0.490	72.480	49.920	117.120	239.520	0.490		
0.500	117.120	94.550	152.500	364.170	0.500	69.600	49.920	117.120	236.640	0.500		
0.510	119.560	94.550	149.450	363.560	0.510	69.600	49.920	117.120	236.640	0.510		
0.520	119.560	94.550	149.450	363.560	0.520	69.600	47.040	117.120	233.760	0.520		
0.530	119.560	94.550	149.450	363.560	0.530	69.600	49.920	120.000	239.520	0.530		
0.540	119.560	94.550	152.500	366.610	0.540	69.600	47.040	117.120	233.760	0.540		
0.550	122.000	96.990	149.450	368.440	0.550	67.200	47.040	120.000	234.240	0.550		
