C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\12\loadapp_2025-12-12_14-34-24-685.load
Comment s12vw
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	17.280	79.680	240.000	336.960	0.000	115.000	64.860	89.700	269.560	0.000		
0.010	17.280	79.680	237.120	334.080	0.010	115.000	64.860	89.700	269.560	0.010		
0.020	17.280	79.680	240.000	336.960	0.020	115.000	64.860	89.700	269.560	0.020		
0.030	17.280	76.800	240.000	334.080	0.030	115.000	64.860	92.460	272.320	0.030		
0.040	17.280	76.800	240.000	334.080	0.040	115.000	62.100	89.700	266.800	0.040		
0.050	17.280	76.800	240.000	334.080	0.050	115.000	62.100	89.700	266.800	0.050		
0.060	17.280	79.680	240.000	336.960	0.060	112.240	62.100	89.700	264.040	0.060		
0.070	17.280	76.800	240.000	334.080	0.070	112.240	62.100	89.700	264.040	0.070		
0.080	17.280	76.800	240.000	334.080	0.080	112.240	62.100	89.700	264.040	0.080		
0.090	17.280	76.800	240.000	334.080	0.090	112.240	62.100	89.700	264.040	0.090		
0.100	17.280	76.800	240.000	334.080	0.100	112.240	64.860	92.460	269.560	0.100		
0.110	17.280	74.880	240.000	332.160	0.110	112.240	62.100	92.460	266.800	0.110		
0.120	17.100	74.100	237.500	328.700	0.120	109.940	64.860	94.760	269.560	0.120		
0.130	17.100	74.100	237.500	328.700	0.130	109.940	62.100	94.760	266.800	0.130		
0.140	17.100	74.100	237.500	328.700	0.140	109.940	62.100	94.760	266.800	0.140		
0.150	17.100	76.950	237.500	331.550	0.150	107.500	62.350	94.600	264.450	0.150		
0.160	17.100	76.950	237.500	331.550	0.160	107.500	62.350	94.600	264.450	0.160		
0.170	17.100	76.950	234.650	328.700	0.170	107.500	62.350	94.600	264.450	0.170		
0.180	19.950	79.800	234.650	334.400	0.180	104.920	62.350	94.600	261.870	0.180		
0.190	19.950	79.800	231.800	331.550	0.190	104.920	62.350	94.600	261.870	0.190		
0.200	19.950	81.700	229.900	331.550	0.200	104.920	59.770	97.180	261.870	0.200		
0.210	21.850	81.700	227.050	330.600	0.210	104.920	62.350	97.180	264.450	0.210		
0.220	21.850	81.700	227.050	330.600	0.220	102.340	59.770	97.180	259.290	0.220		
0.230	24.700	87.400	224.200	336.300	0.230	102.340	59.770	99.760	261.870	0.230		
0.240	26.600	87.400	222.300	336.300	0.240	102.340	59.770	99.760	261.870	0.240		
0.250	29.450	89.300	216.600	335.350	0.250	99.760	62.350	99.760	261.870	0.250		
0.260	32.300	89.300	211.850	333.450	0.260	99.760	62.350	102.340	264.450	0.260		
0.270	37.350	92.130	207.500	336.980	0.270	99.760	62.350	104.920	267.030	0.270		
0.280	42.330	92.130	199.200	333.660	0.280	97.180	62.350	104.920	264.450	0.280		
0.290	47.310	92.130	191.730	331.170	0.290	97.180	62.350	107.500	267.030	0.290		
0.300	52.290	94.620	186.750	333.660	0.300	97.290	62.040	107.160	266.490	0.300		
0.310	57.270	94.620	179.280	331.170	0.310	97.290	62.040	109.980	269.310	0.310		
0.320	62.250	94.620	174.300	331.170	0.320	94.940	62.040	109.980	266.960	0.320		
0.330	69.720	94.620	166.830	331.170	0.330	94.940	62.040	112.330	269.310	0.330		
0.340	74.700	94.620	161.850	331.170	0.340	94.940	64.860	114.680	274.480	0.340		
0.350	82.170	97.110	154.380	333.660	0.350	92.120	64.860	114.680	271.660	0.350		
0.360	87.150	99.600	151.890	338.640	0.360	92.120	64.860	117.500	274.480	0.360		
0.370	92.130	99.600	146.910	338.640	0.370	92.120	62.040	117.500	271.660	0.370		
0.380	97.110	99.600	144.420	341.130	0.380	92.120	62.040	117.500	271.660	0.380		
0.390	99.600	99.600	144.420	343.620	0.390	89.770	64.860	117.500	272.130	0.390		
0.400	102.090	99.600	141.930	343.620	0.400	92.120	64.860	117.500	274.480	0.400		
0.410	102.090	97.110	139.440	338.640	0.410	89.770	62.040	117.500	269.310	0.410		
0.420	102.480	97.440	140.000	339.920	0.420	89.770	62.040	117.500	269.310	0.420		
0.430	102.480	97.440	140.000	339.920	0.430	89.770	62.040	117.500	269.310	0.430		
0.440	99.680	94.640	137.200	331.520	0.440	89.770	62.040	117.500	269.310	0.440		
0.450	99.680	94.640	137.200	331.520	0.450	87.210	62.220	114.750	264.180	0.450		
0.460	97.440	92.400	137.200	327.040	0.460	87.210	59.670	114.750	261.630	0.460		
0.470	97.440	92.400	137.200	327.040	0.470	87.210	59.670	114.750	261.630	0.470		
0.480	97.440	92.400	134.960	324.800	0.480	87.210	62.220	114.750	264.180	0.480		
0.490	97.440	89.600	137.200	324.240	0.490	87.210	62.220	117.300	266.730	0.490		
0.500	97.440	89.600	137.200	324.240	0.500	87.210	62.220	117.300	266.730	0.500		
0.510	97.440	89.600	134.960	322.000	0.510	87.210	62.220	117.300	266.730	0.510		
