C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\13\loadapp_2025-12-12_15-33-48-861.load
Comment s13h crashed 5
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	109.740	82.460	155.000	347.200	0.000	160.000	74.880	106.880	341.760	0.000		
0.010	109.740	82.460	151.900	344.100	0.010	160.000	77.440	106.880	344.320	0.010		
0.020	112.220	82.460	151.900	346.580	0.020	160.000	77.440	106.880	344.320	0.020		
0.030	112.220	82.460	151.900	346.580	0.030	157.440	77.440	109.440	344.320	0.030		
0.040	109.740	82.460	155.000	347.200	0.040	157.440	74.880	109.440	341.760	0.040		
0.050	112.220	82.460	155.000	349.680	0.050	157.440	77.440	109.440	344.320	0.050		
0.060	112.220	82.460	155.000	349.680	0.060	157.440	74.880	109.440	341.760	0.060		
0.070	109.740	82.460	155.000	347.200	0.070	157.440	74.880	109.440	341.760	0.070		
0.080	112.220	82.460	151.900	346.580	0.080	157.440	77.440	109.440	344.320	0.080		
0.090	112.220	82.460	155.000	349.680	0.090	157.440	74.880	109.440	341.760	0.090		
0.100	112.220	82.460	151.900	346.580	0.100	157.440	74.880	109.440	341.760	0.100		
0.110	112.220	82.460	155.000	349.680	0.110	157.440	74.880	112.000	344.320	0.110		
0.120	112.220	82.460	155.000	349.680	0.120	157.440	77.440	109.440	344.320	0.120		
0.130	112.220	82.460	151.900	346.580	0.130	157.440	74.880	112.000	344.320	0.130		
0.140	109.740	82.460	151.900	344.100	0.140	157.440	74.880	112.000	344.320	0.140		
0.150	112.220	82.460	151.900	346.580	0.150	157.500	74.970	112.140	344.610	0.150		
0.160	112.220	82.460	155.000	349.680	0.160	157.500	77.490	109.620	344.610	0.160		
0.170	112.220	79.980	151.900	344.100	0.170	157.500	77.490	112.140	347.130	0.170		
0.180	109.740	79.980	151.900	341.620	0.180	157.500	74.970	112.140	344.610	0.180		
0.190	112.220	82.460	151.900	346.580	0.190	157.500	74.970	112.140	344.610	0.190		
0.200	112.220	82.460	151.900	346.580	0.200	157.500	77.490	112.140	347.130	0.200		
0.210	112.220	82.460	151.900	346.580	0.210	157.500	77.490	112.140	347.130	0.210		
0.220	112.220	79.980	151.900	344.100	0.220	157.500	74.970	112.140	344.610	0.220		
0.230	112.220	82.460	149.420	344.100	0.230	157.500	74.970	112.140	344.610	0.230		
0.240	112.220	79.980	149.420	341.620	0.240	157.500	77.490	112.140	347.130	0.240		
0.250	109.740	79.980	151.900	341.620	0.250	157.500	77.490	114.660	349.650	0.250		
0.260	112.220	82.460	149.420	344.100	0.260	157.500	77.490	112.140	347.130	0.260		
0.270	112.220	79.980	149.420	341.620	0.270	157.500	77.490	112.140	347.130	0.270		
0.280	112.200	79.800	150.000	342.000	0.280	157.500	74.970	114.660	347.130	0.280		
0.290	112.200	79.800	150.000	342.000	0.290	157.500	77.490	114.660	349.650	0.290		
0.300	112.200	79.800	150.000	342.000	0.300	157.500	77.490	114.660	349.650	0.300		
0.310	112.200	79.800	147.000	339.000	0.310	157.500	77.490	114.660	349.650	0.310		
0.320	112.200	79.800	150.000	342.000	0.320	154.980	77.490	117.180	349.650	0.320		
0.330	112.200	79.800	150.000	342.000	0.330	157.500	77.490	117.180	352.170	0.330		
0.340	112.200	79.800	150.000	342.000	0.340	154.980	74.970	117.180	347.130	0.340		
0.350	112.200	79.800	147.000	339.000	0.350	154.980	74.970	117.180	347.130	0.350		
0.360	112.200	79.800	147.000	339.000	0.360	154.980	74.970	117.180	347.130	0.360		
0.370	112.200	79.800	147.000	339.000	0.370	154.980	74.970	119.700	349.650	0.370		
0.380	112.200	77.400	147.000	336.600	0.380	154.980	77.490	119.700	352.170	0.380		
0.390	112.200	77.400	144.600	334.200	0.390	152.460	77.490	119.700	349.650	0.390		
0.400	112.200	79.800	147.000	339.000	0.400	154.980	77.490	119.700	352.170	0.400		
0.410	112.200	77.400	147.000	336.600	0.410	152.460	74.970	122.220	349.650	0.410		
0.420	112.200	77.400	147.000	336.600	0.420	152.460	74.970	122.220	349.650	0.420		
0.430	112.100	77.290	147.500	336.890	0.430	152.460	74.970	122.220	349.650	0.430		
0.440	112.100	77.290	144.550	333.940	0.440	152.460	74.970	124.740	352.170	0.440		
0.450	112.100	77.290	144.550	333.940	0.450	152.500	74.420	124.440	351.360	0.450		
0.460	114.460	77.290	144.550	336.300	0.460	149.450	74.420	124.440	348.310	0.460		
0.470	114.460	77.290	144.550	336.300	0.470	149.450	74.420	124.440	348.310	0.470		
0.480	114.460	77.290	142.190	333.940	0.480	149.450	74.420	127.490	351.360	0.480		
0.490	114.460	77.290	144.550	336.300	0.490	149.450	74.420	127.490	351.360	0.490		
0.500	114.460	77.290	144.550	336.300	0.500	149.450	74.420	127.490	351.360	0.500		
0.510	114.460	77.290	142.190	333.940	0.510	147.010	74.420	127.490	348.920	0.510		
0.520	114.460	77.290	142.190	333.940	0.520	147.010	74.420	129.930	351.360	0.520		
0.530	114.460	77.290	142.190	333.940	0.530	147.010	74.420	129.930	351.360	0.530		
