C:\Users\Public\Documents\Novel Studio\load_data\2025-12-12\13\loadapp_2025-12-12_15-42-17-440.load
Comment s13vh crashed 6
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	151.900	79.980	127.100	358.980	0.000	124.550	67.310	132.500	324.360	0.000		
0.010	155.000	82.460	129.580	367.040	0.010	124.550	67.310	132.500	324.360	0.010		
0.020	155.000	82.460	129.580	367.040	0.020	124.550	69.960	132.500	327.010	0.020		
0.030	151.900	79.980	127.100	358.980	0.030	127.200	69.960	132.500	329.660	0.030		
0.040	151.900	79.980	127.100	358.980	0.040	124.550	67.310	132.500	324.360	0.040		
0.050	151.900	82.460	127.100	361.460	0.050	124.550	67.310	132.500	324.360	0.050		
0.060	151.900	82.460	127.100	361.460	0.060	124.550	67.310	132.500	324.360	0.060		
0.070	151.900	79.980	127.100	358.980	0.070	124.550	69.960	132.500	327.010	0.070		
0.080	151.900	79.980	127.100	358.980	0.080	124.550	69.960	132.500	327.010	0.080		
0.090	151.900	82.460	127.100	361.460	0.090	124.550	67.310	132.500	324.360	0.090		
0.100	151.900	79.980	127.100	358.980	0.100	124.550	67.310	132.500	324.360	0.100		
0.110	151.900	79.980	127.100	358.980	0.110	124.550	69.960	132.500	327.010	0.110		
0.120	155.000	79.980	127.100	362.080	0.120	124.550	69.960	132.500	327.010	0.120		
0.130	151.900	79.980	127.100	358.980	0.130	124.550	69.960	132.500	327.010	0.130		
0.140	151.900	79.980	124.620	356.500	0.140	124.550	67.310	132.500	324.360	0.140		
0.150	151.900	79.980	127.100	358.980	0.150	124.550	69.960	132.500	327.010	0.150		
0.160	151.900	79.980	124.620	356.500	0.160	124.550	69.960	132.500	327.010	0.160		
0.170	155.000	82.460	127.100	364.560	0.170	124.550	69.960	132.500	327.010	0.170		
0.180	151.900	79.980	127.100	358.980	0.180	124.550	67.310	132.500	324.360	0.180		
0.190	155.000	79.980	127.100	362.080	0.190	124.550	69.960	132.500	327.010	0.190		
0.200	155.000	82.460	127.100	364.560	0.200	124.550	67.310	132.500	324.360	0.200		
0.210	151.900	79.980	127.100	358.980	0.210	124.550	67.310	132.500	324.360	0.210		
0.220	155.000	82.460	127.100	364.560	0.220	124.550	67.310	132.500	324.360	0.220		
0.230	155.000	79.980	127.100	362.080	0.230	124.550	67.310	132.500	324.360	0.230		
0.240	155.000	79.980	127.100	362.080	0.240	124.550	69.960	132.500	327.010	0.240		
0.250	155.000	82.460	127.100	364.560	0.250	124.550	67.310	129.850	321.710	0.250		
0.260	155.000	79.980	127.100	362.080	0.260	124.550	67.310	132.500	324.360	0.260		
0.270	155.000	79.980	127.100	362.080	0.270	124.550	67.310	132.500	324.360	0.270		
0.280	155.000	79.980	127.100	362.080	0.280	124.550	67.310	129.850	321.710	0.280		
0.290	155.000	79.980	127.100	362.080	0.290	127.200	67.310	129.850	324.360	0.290		
0.300	155.000	79.980	127.100	362.080	0.300	124.550	67.310	129.850	321.710	0.300		
0.310	155.000	82.460	127.100	364.560	0.310	124.550	67.310	129.850	321.710	0.310		
0.320	155.000	79.980	127.100	362.080	0.320	124.550	67.310	132.500	324.360	0.320		
0.330	155.000	79.980	127.100	362.080	0.330	124.550	67.310	129.850	321.710	0.330		
0.340	151.900	82.460	129.580	363.940	0.340	124.550	67.310	129.850	321.710	0.340		
0.350	151.900	82.460	129.580	363.940	0.350	124.550	67.310	129.850	321.710	0.350		
0.360	155.000	82.460	129.580	367.040	0.360	124.550	67.310	129.850	321.710	0.360		
0.370	151.900	82.460	129.580	363.940	0.370	124.550	67.310	129.850	321.710	0.370		
0.380	151.900	82.460	129.580	363.940	0.380	124.550	67.310	129.850	321.710	0.380		
0.390	151.900	84.940	132.060	368.900	0.390	122.430	67.310	129.850	319.590	0.390		
0.400	151.900	82.460	132.060	366.420	0.400	124.550	67.310	129.850	321.710	0.400		
0.410	151.900	82.460	132.060	366.420	0.410	122.430	67.310	129.850	319.590	0.410		
0.420	151.900	84.940	132.060	368.900	0.420	124.550	67.310	127.200	319.060	0.420		
0.430	151.900	84.940	132.060	368.900	0.430	124.550	67.310	127.200	319.060	0.430		
0.440	151.900	84.940	132.060	368.900	0.440	124.550	67.310	129.850	321.710	0.440		
0.450	150.000	84.600	132.000	366.600	0.450	124.800	67.080	127.400	319.280	0.450		
0.460	150.000	84.600	135.000	369.600	0.460	124.800	67.080	130.000	321.880	0.460		
0.470	150.000	84.600	132.000	366.600	0.470	124.800	67.080	127.400	319.280	0.470		
0.480	150.000	84.600	135.000	369.600	0.480	124.800	67.080	130.000	321.880	0.480		
0.490	150.000	84.600	135.000	369.600	0.490	124.800	65.000	127.400	317.200	0.490		
0.500	150.000	84.600	132.000	366.600	0.500	124.800	67.080	130.000	321.880	0.500		
0.510	150.000	84.600	135.000	369.600	0.510	124.800	65.000	127.400	317.200	0.510		
0.520	150.000	84.600	135.000	369.600	0.520	124.800	65.000	127.400	317.200	0.520		
0.530	150.000	84.600	135.000	369.600	0.530	124.800	65.000	127.400	317.200	0.530		
0.540	150.000	84.600	135.000	369.600	0.540	124.800	67.080	127.400	319.280	0.540		
0.550	150.000	84.600	135.000	369.600	0.550	124.800	65.000	127.400	317.200	0.550		
0.560	150.000	84.600	135.000	369.600	0.560	124.800	65.000	127.400	317.200	0.560		
0.570	150.000	84.600	137.400	372.000	0.570	124.800	65.000	127.400	317.200	0.570		
0.580	147.000	84.600	135.000	366.600	0.580	124.800	65.000	127.400	317.200	0.580		
0.590	150.000	84.600	137.400	372.000	0.590	124.800	67.080	127.400	319.280	0.590		
