C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\14\loadapp_2025-12-15_12-13-27-047.load
Comment S14b
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	129.850	82.150	127.200	339.200	0.000	102.180	109.980	195.000	407.160	0.000		
0.010	129.850	84.800	127.200	341.850	0.010	104.520	109.980	191.880	406.380	0.010		
0.020	129.850	84.800	127.200	341.850	0.020	102.180	109.980	191.880	404.040	0.020		
0.030	132.500	82.150	127.200	341.850	0.030	102.180	109.980	191.880	404.040	0.030		
0.040	129.850	84.800	127.200	341.850	0.040	102.180	109.980	191.880	404.040	0.040		
0.050	129.850	84.800	127.200	341.850	0.050	102.180	109.980	191.880	404.040	0.050		
0.060	129.850	82.150	127.200	339.200	0.060	102.180	109.980	191.880	404.040	0.060		
0.070	129.850	84.800	127.200	341.850	0.070	102.180	109.980	191.880	404.040	0.070		
0.080	132.500	84.800	127.200	344.500	0.080	102.180	106.860	189.540	398.580	0.080		
0.090	132.500	84.800	127.200	344.500	0.090	102.180	106.860	189.540	398.580	0.090		
0.100	129.850	84.800	127.200	341.850	0.100	104.520	106.860	189.540	400.920	0.100		
0.110	129.850	84.800	129.850	344.500	0.110	102.180	106.860	187.200	396.240	0.110		
0.120	129.850	84.800	129.850	344.500	0.120	104.520	106.860	189.540	400.920	0.120		
0.130	132.370	84.790	132.370	349.530	0.130	102.180	106.860	189.540	398.580	0.130		
0.140	129.930	82.350	132.370	344.650	0.140	102.180	106.860	191.880	400.920	0.140		
0.150	129.930	82.350	132.370	344.650	0.150	102.410	107.030	192.500	401.940	0.150		
0.160	132.370	82.350	134.810	349.530	0.160	99.330	107.030	189.420	395.780	0.160		
0.170	129.930	82.350	134.810	347.090	0.170	99.330	104.720	189.420	393.470	0.170		
0.180	129.930	82.350	137.250	349.530	0.180	97.020	104.720	189.420	391.160	0.180		
0.190	129.930	82.350	139.690	351.970	0.190	97.020	104.720	189.420	391.160	0.190		
0.200	127.490	84.790	142.130	354.410	0.200	97.020	102.410	189.420	388.850	0.200		
0.210	127.490	82.350	144.570	354.410	0.210	94.710	102.410	187.110	384.230	0.210		
0.220	127.490	84.790	144.570	356.850	0.220	94.710	102.410	187.110	384.230	0.220		
0.230	129.930	82.350	147.010	359.290	0.230	92.400	99.330	187.110	378.840	0.230		
0.240	129.930	84.790	149.450	364.170	0.240	92.400	99.330	187.110	378.840	0.240		
0.250	127.490	82.350	152.500	362.340	0.250	89.320	99.330	187.110	375.760	0.250		
0.260	127.490	82.350	152.500	362.340	0.260	87.010	97.020	184.800	368.830	0.260		
0.270	127.490	84.790	152.500	364.780	0.270	89.320	99.330	184.800	373.450	0.270		
0.280	124.740	81.900	154.980	361.620	0.280	87.010	99.330	184.800	371.140	0.280		
0.290	124.740	81.900	154.980	361.620	0.290	89.320	99.330	184.800	373.450	0.290		
0.300	127.260	81.900	154.980	364.140	0.300	89.540	96.940	185.000	371.480	0.300		
0.310	127.260	81.900	154.980	364.140	0.310	87.320	99.900	182.040	369.260	0.310		
0.320	124.740	81.900	157.500	364.140	0.320	89.540	96.940	185.000	371.480	0.320		
0.330	124.740	81.900	157.500	364.140	0.330	89.540	99.900	185.000	374.440	0.330		
