C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\14\loadapp_2025-12-15_12-32-49-587.load
Comment s14h crashed (1)
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	74.880	64.800	109.920	249.600	0.000	151.960	109.040	290.000	551.000	0.000		
0.010	72.480	64.800	109.920	247.200	0.010	151.960	111.360	290.000	553.320	0.010		
0.020	74.880	62.400	112.320	249.600	0.020	151.960	109.040	290.000	551.000	0.020		
0.030	72.480	62.400	112.320	247.200	0.030	151.960	109.040	286.520	547.520	0.030		
0.040	72.480	62.400	114.720	249.600	0.040	154.280	109.040	286.520	549.840	0.040		
0.050	69.600	62.400	114.720	246.720	0.050	154.280	109.040	286.520	549.840	0.050		
0.060	69.600	60.000	114.720	244.320	0.060	151.960	106.720	284.200	542.880	0.060		
0.070	69.600	60.000	114.720	244.320	0.070	154.280	106.720	284.200	545.200	0.070		
0.080	69.600	62.400	117.120	249.120	0.080	154.280	106.720	284.200	545.200	0.080		
0.090	67.200	60.000	117.120	244.320	0.090	154.280	109.040	286.520	549.840	0.090		
0.100	67.200	60.000	117.120	244.320	0.100	154.280	106.720	284.200	545.200	0.100		
0.110	67.200	60.000	120.000	247.200	0.110	156.600	106.720	284.200	547.520	0.110		
0.120	67.200	60.000	120.000	247.200	0.120	154.280	106.720	284.200	545.200	0.120		
0.130	67.200	60.000	117.120	244.320	0.130	154.280	106.720	284.200	545.200	0.130		
0.140	67.200	60.000	120.000	247.200	0.140	154.280	106.720	284.200	545.200	0.140		
0.150	67.200	60.000	120.000	247.200	0.150	157.320	107.160	285.000	549.480	0.150		
0.160	67.200	60.000	120.000	247.200	0.160	157.320	107.160	281.580	546.060	0.160		
0.170	67.200	60.000	117.120	244.320	0.170	157.320	107.160	285.000	549.480	0.170		
0.180	69.600	60.000	117.120	246.720	0.180	153.900	107.160	285.000	546.060	0.180		
0.190	67.200	60.000	120.000	247.200	0.190	153.900	107.160	281.580	542.640	0.190		
0.200	67.200	60.000	120.000	247.200	0.200	153.900	107.160	281.580	542.640	0.200		
