C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-06-41-190.load
Comment s15b
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	72.150	92.300	157.300	321.750	0.000	167.500	84.420	89.780	341.700	0.000		
0.010	72.150	94.900	162.500	329.550	0.010	164.820	84.420	89.780	339.020	0.010		
0.020	69.550	92.300	162.500	324.350	0.020	167.500	87.100	89.780	344.380	0.020		
0.030	72.150	92.300	159.900	324.350	0.030	164.820	84.420	87.100	336.340	0.030		
0.040	72.150	92.300	162.500	326.950	0.040	167.500	84.420	87.100	339.020	0.040		
0.050	69.550	92.300	159.900	321.750	0.050	167.500	84.420	87.100	339.020	0.050		
0.060	72.150	92.300	159.900	324.350	0.060	167.500	84.420	87.100	339.020	0.060		
0.070	72.150	92.300	159.900	324.350	0.070	167.500	84.420	87.100	339.020	0.070		
0.080	72.150	94.900	159.900	326.950	0.080	164.820	84.420	87.100	336.340	0.080		
0.090	69.550	92.300	162.500	324.350	0.090	167.500	84.420	87.100	339.020	0.090		
0.100	72.150	92.300	162.500	326.950	0.100	164.820	84.420	87.100	336.340	0.100		
0.110	69.550	92.300	159.900	321.750	0.110	167.500	84.420	87.100	339.020	0.110		
0.120	69.550	92.300	159.900	321.750	0.120	167.500	84.420	87.100	339.020	0.120		
0.130	69.550	92.300	162.500	324.350	0.130	167.500	84.420	87.100	339.020	0.130		
0.140	72.150	92.300	157.300	321.750	0.140	167.500	84.420	89.780	341.700	0.140		
0.150	72.150	92.300	159.900	324.350	0.150	164.820	84.420	87.100	336.340	0.150		
0.160	72.150	92.300	162.500	326.950	0.160	164.820	84.420	87.100	336.340	0.160		
0.170	72.150	94.900	159.900	326.950	0.170	167.500	84.420	87.100	339.020	0.170		
0.180	72.150	92.300	159.900	324.350	0.180	167.500	84.420	87.100	339.020	0.180		
0.190	72.150	92.300	159.900	324.350	0.190	167.500	87.100	89.780	344.380	0.190		
0.200	72.150	92.300	159.900	324.350	0.200	167.500	84.420	89.780	341.700	0.200		
0.210	72.150	94.900	159.900	326.950	0.210	164.820	84.420	89.780	339.020	0.210		
0.220	72.150	92.300	159.900	324.350	0.220	167.500	84.420	89.780	341.700	0.220		
0.230	72.150	92.300	162.500	326.950	0.230	167.500	84.420	89.780	341.700	0.230		
0.240	72.150	92.300	159.900	324.350	0.240	167.500	84.420	89.780	341.700	0.240		
0.250	72.150	92.300	159.900	324.350	0.250	167.500	84.420	87.100	339.020	0.250		
0.260	72.150	92.300	157.300	321.750	0.260	164.820	84.420	89.780	339.020	0.260		
0.270	69.550	92.300	159.900	321.750	0.270	167.500	84.420	89.780	341.700	0.270		
0.280	72.150	92.300	159.900	324.350	0.280	167.500	87.100	89.780	344.380	0.280		
0.290	72.150	92.300	159.900	324.350	0.290	167.500	84.420	89.780	341.700	0.290		
0.300	69.550	92.300	159.900	321.750	0.300	167.500	84.420	87.100	339.020	0.300		
0.310	69.550	92.300	159.900	321.750	0.310	167.500	84.420	87.100	339.020	0.310		
0.320	72.150	92.300	162.500	326.950	0.320	167.500	87.100	87.100	341.700	0.320		
0.330	72.150	92.300	159.900	324.350	0.330	167.500	87.100	89.780	344.380	0.330		
0.340	69.550	92.300	162.500	324.350	0.340	167.500	84.420	87.100	339.020	0.340		
0.350	69.550	92.300	159.900	321.750	0.350	164.820	87.100	89.780	341.700	0.350		
0.360	69.550	92.300	159.900	321.750	0.360	167.500	87.100	89.780	344.380	0.360		
0.370	69.550	92.300	159.900	321.750	0.370	167.500	87.100	89.780	344.380	0.370		
0.380	69.550	92.300	162.500	324.350	0.380	164.820	84.420	89.780	339.020	0.380		
0.390	69.550	92.300	159.900	321.750	0.390	167.500	84.420	87.100	339.020	0.390		
0.400	69.550	92.300	159.900	321.750	0.400	167.500	84.420	89.780	341.700	0.400		
0.410	69.760	92.160	160.000	321.920	0.410	164.820	87.100	87.100	339.020	0.410		
0.420	69.760	92.160	160.000	321.920	0.420	164.820	84.420	89.780	339.020	0.420		
0.430	69.760	92.160	160.000	321.920	0.430	167.500	84.420	87.100	339.020	0.430		
