C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-13-13-185.load
Comment s15bvr
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	77.290	102.070	144.550	323.910	0.000	209.950	102.000	51.850	363.800	0.000		
0.010	77.290	102.070	144.550	323.910	0.010	212.500	99.450	49.300	361.250	0.010		
0.020	77.290	104.430	142.190	323.910	0.020	209.950	99.450	51.850	361.250	0.020		
0.030	77.290	102.070	142.190	321.550	0.030	209.950	99.450	49.300	358.700	0.030		
0.040	74.930	102.070	144.550	321.550	0.040	209.950	99.450	49.300	358.700	0.040		
0.050	74.930	102.070	142.190	319.190	0.050	209.950	99.450	49.300	358.700	0.050		
0.060	74.930	102.070	144.550	321.550	0.060	209.950	99.450	49.300	358.700	0.060		
0.070	74.930	102.070	144.550	321.550	0.070	209.950	99.450	49.300	358.700	0.070		
0.080	74.930	104.430	142.190	321.550	0.080	209.950	99.450	49.300	358.700	0.080		
0.090	74.930	102.070	144.550	321.550	0.090	209.950	99.450	49.300	358.700	0.090		
0.100	74.930	102.070	144.550	321.550	0.100	209.950	99.450	49.300	358.700	0.100		
0.110	74.930	102.070	144.550	321.550	0.110	209.950	99.450	49.300	358.700	0.110		
0.120	74.930	104.430	147.500	326.860	0.120	209.950	99.450	51.850	361.250	0.120		
0.130	74.930	102.070	147.500	324.500	0.130	207.400	99.450	49.300	356.150	0.130		
0.140	74.930	104.430	144.550	323.910	0.140	207.400	99.450	49.300	356.150	0.140		
0.150	74.820	104.980	145.000	324.800	0.150	207.500	99.600	52.290	359.390	0.150		
0.160	74.820	104.980	142.100	321.900	0.160	204.180	99.600	52.290	356.070	0.160		
0.170	74.820	104.980	142.100	321.900	0.170	207.500	99.600	52.290	359.390	0.170		
0.180	74.820	104.980	145.000	324.800	0.180	204.180	97.110	52.290	353.580	0.180		
0.190	74.820	102.080	145.000	321.900	0.190	204.180	97.110	52.290	353.580	0.190		
0.200	77.140	104.980	145.000	327.120	0.200	204.180	97.110	52.290	353.580	0.200		
0.210	77.140	102.080	145.000	324.220	0.210	204.180	97.110	52.290	353.580	0.210		
0.220	77.140	102.080	145.000	324.220	0.220	201.690	97.110	52.290	351.090	0.220		
0.230	77.140	104.980	145.000	327.120	0.230	201.690	97.110	52.290	351.090	0.230		
0.240	77.140	104.980	145.000	327.120	0.240	201.690	97.110	52.290	351.090	0.240		
0.250	77.140	104.980	145.000	327.120	0.250	201.690	97.110	52.290	351.090	0.250		
0.260	77.140	102.080	139.780	319.000	0.260	201.690	97.110	52.290	351.090	0.260		
0.270	79.460	104.980	145.000	329.440	0.270	199.200	97.110	54.780	351.090	0.270		
0.280	79.460	104.980	145.000	329.440	0.280	196.710	97.110	54.780	348.600	0.280		
0.290	79.460	104.980	142.100	326.540	0.290	199.200	97.110	57.270	353.580	0.290		
0.300	79.460	104.980	145.000	329.440	0.300	197.500	97.170	56.880	351.550	0.300		
0.310	82.360	104.980	142.100	329.440	0.310	197.500	97.170	56.880	351.550	0.310		
0.320	82.360	107.300	142.100	331.760	0.320	197.500	97.170	56.880	351.550	0.320		
0.330	84.680	104.980	142.100	331.760	0.330	197.500	99.540	59.250	356.290	0.330		
0.340	82.360	107.300	139.780	329.440	0.340	194.340	97.170	56.880	348.390	0.340		
0.350	84.680	107.300	142.100	334.080	0.350	194.340	97.170	56.880	348.390	0.350		
0.360	84.680	107.300	142.100	334.080	0.360	194.340	97.170	56.880	348.390	0.360		
0.370	84.680	104.980	142.100	331.760	0.370	194.340	97.170	56.880	348.390	0.370		
0.380	84.680	104.980	142.100	331.760	0.380	194.340	97.170	59.250	350.760	0.380		
0.390	84.680	104.980	142.100	331.760	0.390	194.340	97.170	56.880	348.390	0.390		
0.400	84.680	104.980	142.100	331.760	0.400	194.340	97.170	56.880	348.390	0.400		
0.410	84.680	104.980	139.780	329.440	0.410	191.970	97.170	56.880	346.020	0.410		
0.420	84.680	104.980	142.100	331.760	0.420	194.340	97.170	56.880	348.390	0.420		
0.430	84.680	107.300	142.100	334.080	0.430	194.340	97.170	56.880	348.390	0.430		
0.440	84.680	104.980	142.100	331.760	0.440	194.340	97.170	56.880	348.390	0.440		
0.450	84.680	104.980	142.100	331.760	0.450	191.880	97.500	56.940	346.320	0.450		
0.460	84.680	104.980	142.100	331.760	0.460	195.000	97.500	56.940	349.440	0.460		
0.470	84.680	107.300	139.780	331.760	0.470	191.880	94.380	56.940	343.200	0.470		
0.480	84.680	104.980	139.780	329.440	0.480	191.880	97.500	56.940	346.320	0.480		
0.490	84.680	107.300	139.780	331.760	0.490	191.880	94.380	56.940	343.200	0.490		
0.500	84.680	104.980	145.000	334.660	0.500	191.880	97.500	59.280	348.660	0.500		
0.510	84.680	107.300	139.780	331.760	0.510	195.000	97.500	59.280	351.780	0.510		
0.520	84.680	107.300	145.000	336.980	0.520	191.880	97.500	59.280	348.660	0.520		
0.530	84.680	104.980	145.000	334.660	0.530	195.000	99.840	59.280	354.120	0.530		
0.540	82.360	107.300	142.100	331.760	0.540	191.880	97.500	59.280	348.660	0.540		
0.550	82.360	107.300	142.100	331.760	0.550	191.880	97.500	59.280	348.660	0.550		
0.560	82.360	104.980	142.100	329.440	0.560	195.000	97.500	59.280	351.780	0.560		
0.570	82.360	107.300	145.000	334.660	0.570	195.000	97.500	59.280	351.780	0.570		
0.580	82.360	107.300	142.100	331.760	0.580	195.000	97.500	59.280	351.780	0.580		
0.590	82.360	104.980	142.100	329.440	0.590	195.000	97.500	59.280	351.780	0.590		
0.600	79.650	107.380	144.550	331.580	0.600	194.340	97.170	59.250	350.760	0.600		
0.610	79.650	107.380	144.550	331.580	0.610	194.340	97.170	59.250	350.760	0.610		
0.620	79.650	107.380	144.550	331.580	0.620	194.340	97.170	59.250	350.760	0.620		
0.630	79.650	107.380	144.550	331.580	0.630	194.340	97.170	59.250	350.760	0.630		
0.640	79.650	107.380	144.550	331.580	0.640	194.340	97.170	56.880	348.390	0.640		
0.650	79.650	107.380	147.500	334.530	0.650	194.340	99.540	59.250	353.130	0.650		
0.660	79.650	107.380	147.500	334.530	0.660	194.340	97.170	59.250	350.760	0.660		
0.670	79.650	107.380	147.500	334.530	0.670	194.340	99.540	59.250	353.130	0.670		
0.680	79.650	107.380	144.550	331.580	0.680	194.340	99.540	59.250	353.130	0.680		
0.690	79.650	107.380	144.550	331.580	0.690	194.340	99.540	59.250	353.130	0.690		
0.700	79.650	107.380	144.550	331.580	0.700	194.340	99.540	62.410	356.290	0.700		
0.710	79.650	109.740	147.500	336.890	0.710	194.340	99.540	59.250	353.130	0.710		
0.720	79.650	107.380	144.550	331.580	0.720	197.500	99.540	59.250	356.290	0.720		
0.730	82.010	107.380	144.550	333.940	0.730	194.340	99.540	59.250	353.130	0.730		
0.740	82.010	107.380	147.500	336.890	0.740	194.340	97.170	59.250	350.760	0.740		
0.750	82.350	109.800	147.010	339.160	0.750	195.000	97.500	56.940	349.440	0.750		
0.760	82.350	107.360	147.010	336.720	0.760	191.880	94.380	56.940	343.200	0.760		
0.770	79.910	107.360	147.010	334.280	0.770	191.880	97.500	56.940	346.320	0.770		
0.780	79.910	109.800	147.010	336.720	0.780	191.880	94.380	56.940	343.200	0.780		
0.790	79.910	107.360	147.010	334.280	0.790	191.880	94.380	54.600	340.860	0.790		
0.800	79.910	107.360	149.450	336.720	0.800	191.880	94.380	52.260	338.520	0.800		
0.810	79.910	107.360	149.450	336.720	0.810	191.880	92.040	52.260	336.180	0.810		
0.820	77.470	107.360	149.450	334.280	0.820	189.540	92.040	49.920	331.500	0.820		
0.830	77.470	107.360	149.450	334.280	0.830	187.200	89.700	49.920	326.820	0.830		
0.840	74.420	107.360	152.500	334.280	0.840	189.540	89.700	46.800	326.040	0.840		
0.850	74.420	107.360	152.500	334.280	0.850	189.540	89.700	46.800	326.040	0.850		
0.860	71.980	107.360	152.500	331.840	0.860	191.880	89.700	46.800	328.380	0.860		
0.870	71.980	107.360	149.450	328.790	0.870	189.540	92.040	46.800	328.380	0.870		
0.880	69.540	104.920	152.500	326.960	0.880	191.880	92.040	46.800	330.720	0.880		
0.890	69.540	104.920	152.500	326.960	0.890	191.880	92.040	49.920	333.840	0.890		
0.900	69.760	109.440	154.880	334.080	0.900	194.340	94.800	49.770	338.910	0.900		
0.910	69.760	109.440	154.880	334.080	0.910	191.970	94.800	49.770	336.540	0.910		
0.920	69.760	109.440	154.880	334.080	0.920	194.340	94.800	52.140	341.280	0.920		
0.930	69.760	109.440	157.440	336.640	0.930	194.340	94.800	49.770	338.910	0.930		
0.940	69.760	109.440	157.440	336.640	0.940	194.340	94.800	49.770	338.910	0.940		
0.950	69.760	109.440	154.880	334.080	0.950	197.500	94.800	49.770	342.070	0.950		
0.960	69.760	109.440	157.440	336.640	0.960	194.340	94.800	49.770	338.910	0.960		
0.970	69.760	109.440	160.000	339.200	0.970	194.340	94.800	49.770	338.910	0.970		
0.980	69.760	109.440	157.440	336.640	0.980	197.500	97.170	49.770	344.440	0.980		
0.990	69.760	109.440	157.440	336.640	0.990	197.500	97.170	49.770	344.440	0.990		
1.000	69.760	109.440	157.440	336.640	1.000	197.500	97.170	49.770	344.440	1.000		
1.010	69.760	109.440	157.440	336.640	1.010	197.500	97.170	49.770	344.440	1.010		
1.020	69.760	109.440	157.440	336.640	1.020	197.500	97.170	49.770	344.440	1.020		
1.030	69.760	109.440	157.440	336.640	1.030	197.500	99.540	49.770	346.810	1.030		
1.040	69.760	106.880	157.440	334.080	1.040	197.500	99.540	52.140	349.180	1.040		
1.050	69.550	109.850	159.900	339.300	1.050	201.840	101.790	54.810	358.440	1.050		
1.060	72.150	109.850	157.300	339.300	1.060	201.840	104.400	54.810	361.050	1.060		
1.070	72.150	109.850	157.300	339.300	1.070	204.450	104.400	57.420	366.270	1.070		
1.080	72.150	112.450	157.300	341.900	1.080	204.450	107.010	57.420	368.880	1.080		
1.090	74.750	112.450	157.300	344.500	1.090	207.060	109.620	59.160	375.840	1.090		
1.100	77.350	114.400	157.300	349.050	1.100	209.670	109.620	57.420	376.710	1.100		
