C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-17-52-215.load
Comment s15h
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	37.500	92.250	174.750	304.500	0.000	225.000	99.900	42.300	367.200	0.000		
0.010	37.500	94.500	177.000	309.000	0.010	225.000	97.200	42.300	364.500	0.010		
0.020	39.750	94.500	177.000	311.250	0.020	225.000	97.200	42.300	364.500	0.020		
0.030	37.500	97.500	180.000	315.000	0.030	222.300	97.200	39.600	359.100	0.030		
0.040	39.750	97.500	180.000	317.250	0.040	225.000	94.500	39.600	359.100	0.040		
0.050	39.750	97.500	182.250	319.500	0.050	222.300	94.500	39.600	356.400	0.050		
0.060	39.750	97.500	182.250	319.500	0.060	222.300	94.500	36.900	353.700	0.060		
0.070	39.750	99.750	184.500	324.000	0.070	222.300	94.500	36.900	353.700	0.070		
0.080	39.750	99.750	184.500	324.000	0.080	225.000	94.500	36.900	356.400	0.080		
0.090	39.750	99.750	184.500	324.000	0.090	222.300	91.800	36.900	351.000	0.090		
0.100	37.500	99.750	187.500	324.750	0.100	222.300	91.800	34.200	348.300	0.100		
0.110	39.750	99.750	184.500	324.000	0.110	225.000	91.800	34.200	351.000	0.110		
0.120	39.270	99.330	187.110	325.710	0.120	222.300	91.800	34.200	348.300	0.120		
0.130	39.270	99.330	187.110	325.710	0.130	225.000	90.000	34.200	349.200	0.130		
0.140	36.960	99.330	187.110	323.400	0.140	222.300	91.800	34.200	348.300	0.140		
0.150	39.270	99.330	187.110	325.710	0.150	224.480	89.240	32.200	345.920	0.150		
0.160	36.960	99.330	187.110	323.400	0.160	224.480	89.240	29.440	343.160	0.160		
0.170	36.960	99.330	189.420	325.710	0.170	224.480	89.240	26.680	340.400	0.170		
0.180	36.960	99.330	187.110	323.400	0.180	224.480	89.240	24.840	338.560	0.180		
0.190	36.960	99.330	189.420	325.710	0.190	224.480	89.240	26.680	340.400	0.190		
0.200	36.960	102.410	192.500	331.870	0.200	221.720	89.240	24.840	335.800	0.200		
0.210	36.960	99.330	189.420	325.710	0.210	224.480	89.240	24.840	338.560	0.210		
0.220	36.960	99.330	192.500	328.790	0.220	227.240	89.240	24.840	341.320	0.220		
0.230	34.650	99.330	189.420	323.400	0.230	224.480	89.240	24.840	338.560	0.230		
0.240	36.960	102.410	192.500	331.870	0.240	227.240	89.240	24.840	341.320	0.240		
0.250	34.650	99.330	192.500	326.480	0.250	227.240	89.240	22.080	338.560	0.250		
0.260	34.650	99.330	189.420	323.400	0.260	230.000	89.240	22.080	341.320	0.260		
0.270	34.320	97.500	189.540	321.360	0.270	227.240	89.240	22.080	338.560	0.270		
0.280	34.320	99.840	191.880	326.040	0.280	230.000	89.240	22.080	341.320	0.280		
0.290	34.320	99.840	191.880	326.040	0.290	230.000	89.240	22.080	341.320	0.290		
0.300	34.320	99.840	195.000	329.160	0.300	229.900	89.300	21.850	341.050	0.300		
0.310	34.320	99.840	191.880	326.040	0.310	229.900	89.300	21.850	341.050	0.310		
0.320	31.980	99.840	191.880	323.700	0.320	229.900	87.400	21.850	339.150	0.320		
0.330	31.980	99.840	191.880	323.700	0.330	229.900	87.400	19.950	337.250	0.330		
0.340	29.640	99.840	191.880	321.360	0.340	231.800	89.300	19.950	341.050	0.340		
0.350	24.960	99.840	195.000	319.800	0.350	231.800	89.300	19.950	341.050	0.350		
0.360	24.960	99.840	195.000	319.800	0.360	234.650	89.300	19.950	343.900	0.360		
0.370	24.960	99.840	195.000	319.800	0.370	234.650	89.300	19.950	343.900	0.370		
0.380	24.960	99.840	195.000	319.800	0.380	234.650	87.400	17.100	339.150	0.380		
0.390	24.960	99.840	195.000	319.800	0.390	234.650	89.300	17.100	341.050	0.390		
0.400	24.960	99.840	191.880	316.680	0.400	237.500	87.400	17.100	342.000	0.400		
0.410	24.960	99.840	195.000	319.800	0.410	237.500	89.300	17.100	343.900	0.410		
0.420	24.800	100.000	196.800	321.600	0.420	234.650	87.400	17.100	339.150	0.420		
0.430	24.800	100.000	196.800	321.600	0.430	237.500	87.400	17.100	342.000	0.430		
0.440	22.400	100.000	196.800	319.200	0.440	237.500	87.400	14.250	339.150	0.440		
0.450	22.400	100.000	194.400	316.800	0.450	237.120	87.360	17.280	341.760	0.450		
0.460	22.400	100.000	196.800	319.200	0.460	237.120	87.360	17.280	341.760	0.460		
0.470	24.800	100.000	196.800	321.600	0.470	237.120	84.480	14.400	336.000	0.470		
0.480	22.400	96.800	194.400	313.600	0.480	237.120	87.360	14.400	338.880	0.480		
0.490	22.400	100.000	196.800	319.200	0.490	240.000	87.360	17.280	344.640	0.490		
0.500	24.800	100.000	200.000	324.800	0.500	237.120	87.360	17.280	341.760	0.500		
0.510	24.800	100.000	196.800	321.600	0.510	237.120	87.360	17.280	341.760	0.510		
0.520	22.400	96.800	196.800	316.000	0.520	237.120	87.360	17.280	341.760	0.520		
0.530	24.800	100.000	196.800	321.600	0.530	237.120	87.360	17.280	341.760	0.530		
0.540	24.800	102.400	200.000	327.200	0.540	237.120	87.360	17.280	341.760	0.540		
0.550	24.800	100.000	196.800	321.600	0.550	234.240	87.360	17.280	338.880	0.550		
0.560	24.800	100.000	196.800	321.600	0.560	234.240	87.360	19.200	340.800	0.560		
0.570	24.800	100.000	200.000	324.800	0.570	234.240	87.360	17.280	338.880	0.570		
0.580	24.800	100.000	196.800	321.600	0.580	234.240	87.360	17.280	338.880	0.580		
0.590	24.800	100.000	196.800	321.600	0.590	234.240	87.360	19.200	340.800	0.590		
0.600	24.800	100.000	200.000	324.800	0.600	232.500	87.420	16.740	336.660	0.600		
0.610	24.800	100.000	196.800	321.600	0.610	232.500	87.420	16.740	336.660	0.610		
0.620	24.800	100.000	200.000	324.800	0.620	229.710	87.420	19.530	336.660	0.620		
0.630	24.800	100.000	196.800	321.600	0.630	229.710	87.420	19.530	336.660	0.630		
0.640	24.800	100.000	200.000	324.800	0.640	229.710	84.630	19.530	333.870	0.640		
0.650	24.800	102.400	196.800	324.000	0.650	229.710	87.420	19.530	336.660	0.650		
0.660	27.200	102.400	196.800	326.400	0.660	226.920	84.630	19.530	331.080	0.660		
0.670	27.200	102.400	200.000	329.600	0.670	226.920	84.630	19.530	331.080	0.670		
0.680	24.800	102.400	196.800	324.000	0.680	224.130	84.630	22.320	331.080	0.680		
0.690	27.200	104.800	200.000	332.000	0.690	224.130	84.630	22.320	331.080	0.690		
0.700	27.200	102.400	196.800	326.400	0.700	222.270	84.630	22.320	329.220	0.700		
0.710	27.200	102.400	196.800	326.400	0.710	222.270	84.630	22.320	329.220	0.710		
0.720	26.860	101.910	197.500	326.270	0.720	219.480	84.630	24.180	328.290	0.720		
0.730	29.230	104.280	197.500	331.010	0.730	219.480	84.630	24.180	328.290	0.730		
0.740	26.860	104.280	197.500	328.640	0.740	216.690	84.630	24.180	325.500	0.740		
0.750	29.230	104.280	197.500	331.010	0.750	217.500	84.390	24.360	326.250	0.750		
0.760	29.230	104.280	197.500	331.010	0.760	217.500	84.390	24.360	326.250	0.760		
0.770	29.230	104.280	197.500	331.010	0.770	214.890	81.780	24.360	321.030	0.770		
