C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-36-31-029.load
Comment s15vh
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	137.200	94.640	124.880	356.720	0.000	74.420	54.900	152.500	281.820	0.000		
0.010	140.000	97.440	124.880	362.320	0.010	74.420	54.900	149.450	278.770	0.010		
0.020	137.200	94.640	122.080	353.920	0.020	77.470	54.900	152.500	284.870	0.020		
0.030	140.000	94.640	122.080	356.720	0.030	74.420	54.900	152.500	281.820	0.030		
0.040	140.000	97.440	122.080	359.520	0.040	77.470	54.900	152.500	284.870	0.040		
0.050	140.000	94.640	122.080	356.720	0.050	77.470	54.900	149.450	281.820	0.050		
0.060	140.000	97.440	122.080	359.520	0.060	77.470	54.900	149.450	281.820	0.060		
0.070	140.000	97.440	122.080	359.520	0.070	77.470	54.900	152.500	284.870	0.070		
0.080	140.000	94.640	124.880	359.520	0.080	77.470	54.900	149.450	281.820	0.080		
0.090	140.000	94.640	122.080	356.720	0.090	79.910	54.900	149.450	284.260	0.090		
0.100	140.000	94.640	122.080	356.720	0.100	77.470	54.900	149.450	281.820	0.100		
0.110	140.000	94.640	122.080	356.720	0.110	79.910	54.900	149.450	284.260	0.110		
0.120	137.200	94.640	122.080	353.920	0.120	79.910	54.900	149.450	284.260	0.120		
0.130	137.200	94.640	122.080	353.920	0.130	77.470	54.900	149.450	281.820	0.130		
0.140	137.200	94.640	122.080	353.920	0.140	77.470	57.340	149.450	284.260	0.140		
0.150	137.500	94.600	124.850	356.950	0.150	79.800	57.000	150.000	286.800	0.150		
0.160	134.750	94.600	124.850	354.200	0.160	79.800	54.600	150.000	284.400	0.160		
0.170	137.500	94.600	122.100	354.200	0.170	79.800	57.000	150.000	286.800	0.170		
0.180	137.500	94.600	122.100	354.200	0.180	79.800	57.000	147.000	283.800	0.180		
0.190	137.500	94.600	122.100	354.200	0.190	79.800	57.000	147.000	283.800	0.190		
0.200	137.500	94.600	124.850	356.950	0.200	82.200	57.000	147.000	286.200	0.200		
0.210	137.500	94.600	124.850	356.950	0.210	82.200	57.000	147.000	286.200	0.210		
0.220	137.500	94.600	122.100	354.200	0.220	82.200	57.000	144.600	283.800	0.220		
0.230	134.750	94.600	124.850	354.200	0.230	82.200	54.600	144.600	281.400	0.230		
0.240	134.750	94.600	124.850	354.200	0.240	82.200	57.000	144.600	283.800	0.240		
0.250	134.750	97.350	124.850	356.950	0.250	82.200	57.000	144.600	283.800	0.250		
0.260	134.750	97.350	122.100	354.200	0.260	82.200	57.000	142.200	281.400	0.260		
0.270	134.750	97.350	124.850	356.950	0.270	82.200	57.000	144.600	283.800	0.270		
0.280	134.750	97.350	124.850	356.950	0.280	82.200	57.000	142.200	281.400	0.280		
0.290	134.750	97.350	124.850	356.950	0.290	82.200	57.000	142.200	281.400	0.290		
0.300	135.000	97.200	124.740	356.940	0.300	82.080	57.000	142.500	281.580	0.300		
0.310	135.000	97.200	124.740	356.940	0.310	82.080	57.000	142.500	281.580	0.310		
0.320	135.000	97.200	124.740	356.940	0.320	84.930	57.000	139.650	281.580	0.320		
0.330	135.000	97.200	127.440	359.640	0.330	82.080	57.000	139.650	278.730	0.330		
0.340	135.000	97.200	127.440	359.640	0.340	82.080	57.000	139.650	278.730	0.340		
0.350	132.300	97.200	129.600	359.100	0.350	84.930	57.000	139.650	281.580	0.350		
0.360	132.300	99.900	127.440	359.640	0.360	84.930	57.000	139.650	281.580	0.360		
0.370	132.300	99.900	129.600	361.800	0.370	84.930	57.000	137.370	279.300	0.370		
0.380	132.300	97.200	127.440	356.940	0.380	84.930	57.000	137.370	279.300	0.380		
0.390	132.300	99.900	127.440	359.640	0.390	87.210	57.000	137.370	281.580	0.390		
0.400	132.300	99.900	129.600	361.800	0.400	84.930	59.850	137.370	282.150	0.400		
0.410	132.300	99.900	129.600	361.800	0.410	84.930	59.850	134.520	279.300	0.410		
0.420	129.600	99.900	127.440	356.940	0.420	87.210	59.850	137.370	284.430	0.420		
