C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-31-49-173.load
Comment s15vh crashed 8
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	36.900	102.500	201.720	341.120	0.000	184.500	82.500	49.500	316.500	0.000		
0.010	36.900	99.220	201.720	337.840	0.010	184.500	82.500	49.500	316.500	0.010		
0.020	36.900	102.500	201.720	341.120	0.020	187.500	82.500	49.500	319.500	0.020		
0.030	39.360	99.220	199.260	337.840	0.030	184.500	82.500	47.250	314.250	0.030		
0.040	39.360	102.500	201.720	343.580	0.040	182.250	82.500	49.500	314.250	0.040		
0.050	39.360	102.500	199.260	341.120	0.050	184.500	82.500	49.500	316.500	0.050		
0.060	39.360	99.220	199.260	337.840	0.060	184.500	82.500	49.500	316.500	0.060		
0.070	36.900	99.220	199.260	335.380	0.070	182.250	82.500	49.500	314.250	0.070		
0.080	39.360	99.220	199.260	337.840	0.080	182.250	82.500	49.500	314.250	0.080		
0.090	39.360	102.500	196.800	338.660	0.090	182.250	82.500	49.500	314.250	0.090		
0.100	39.360	102.500	196.800	338.660	0.100	182.250	82.500	52.500	317.250	0.100		
0.110	39.360	99.220	194.340	332.920	0.110	182.250	82.500	52.500	317.250	0.110		
0.120	39.360	99.220	194.340	332.920	0.120	182.250	82.500	52.500	317.250	0.120		
0.130	41.870	99.540	197.500	338.910	0.130	182.250	82.500	52.500	317.250	0.130		
0.140	39.500	99.540	194.340	333.380	0.140	182.250	82.500	52.500	317.250	0.140		
0.150	41.870	99.540	194.340	335.750	0.150	182.250	82.500	52.500	317.250	0.150		
0.160	41.870	99.540	194.340	335.750	0.160	182.500	82.490	51.830	316.820	0.160		
0.170	41.870	99.540	191.970	333.380	0.170	179.580	82.490	51.830	313.900	0.170		
0.180	41.870	99.540	191.970	333.380	0.180	179.580	84.680	54.750	319.010	0.180		
0.190	41.870	99.540	191.970	333.380	0.190	179.580	82.490	51.830	313.900	0.190		
0.200	41.870	99.540	191.970	333.380	0.200	179.580	82.490	54.750	316.820	0.200		
0.210	41.870	99.540	191.970	333.380	0.210	179.580	84.680	54.750	319.010	0.210		
0.220	41.870	99.540	191.970	333.380	0.220	179.580	82.490	54.750	316.820	0.220		
0.230	44.240	99.540	191.970	335.750	0.230	179.580	82.490	54.750	316.820	0.230		
0.240	41.870	99.540	191.970	333.380	0.240	177.390	82.490	54.750	314.630	0.240		
0.250	44.240	99.540	194.340	338.120	0.250	177.390	82.490	56.940	316.820	0.250		
0.260	41.870	99.540	189.600	331.010	0.260	177.390	82.490	54.750	314.630	0.260		
0.270	44.240	99.540	189.600	333.380	0.270	177.390	84.680	54.750	316.820	0.270		
0.280	41.800	97.280	190.000	329.080	0.280	177.390	82.490	56.940	316.820	0.280		
0.290	44.840	99.560	190.000	334.400	0.290	177.390	84.680	56.940	319.010	0.290		
0.300	44.840	99.560	190.000	334.400	0.300	177.390	84.680	56.940	319.010	0.300		
0.310	44.840	99.560	190.000	334.400	0.310	180.000	82.080	54.720	316.800	0.310		
0.320	44.840	99.560	190.000	334.400	0.320	180.000	82.080	56.880	318.960	0.320		
0.330	44.840	99.560	186.960	331.360	0.330	177.120	82.080	56.880	316.080	0.330		
0.340	44.840	99.560	190.000	334.400	0.340	177.120	82.080	56.880	316.080	0.340		
0.350	44.840	99.560	186.960	331.360	0.350	177.120	84.960	56.880	318.960	0.350		
0.360	44.840	99.560	190.000	334.400	0.360	177.120	84.960	56.880	318.960	0.360		
0.370	44.840	99.560	186.960	331.360	0.370	177.120	82.080	56.880	316.080	0.370		
0.380	44.840	99.560	190.000	334.400	0.380	177.120	84.960	56.880	318.960	0.380		
0.390	44.840	97.280	190.000	332.120	0.390	177.120	84.960	56.880	318.960	0.390		
0.400	44.840	99.560	190.000	334.400	0.400	177.120	84.960	56.880	318.960	0.400		
0.410	44.840	99.560	186.960	331.360	0.410	177.120	84.960	59.760	321.840	0.410		
0.420	44.840	99.560	186.960	331.360	0.420	177.120	84.960	56.880	318.960	0.420		
0.430	44.840	99.560	190.000	334.400	0.430	177.120	84.960	56.880	318.960	0.430		
0.440	44.840	99.560	190.000	334.400	0.440	177.120	82.080	56.880	316.080	0.440		
0.450	44.840	97.280	190.000	332.120	0.450	174.960	82.080	56.880	313.920	0.450		
0.460	44.840	99.560	190.000	334.400	0.460	174.960	84.960	59.760	319.680	0.460		
0.470	44.840	99.560	190.000	334.400	0.470	177.120	84.960	59.760	321.840	0.470		
0.480	44.840	99.560	190.000	334.400	0.480	177.120	84.960	56.880	318.960	0.480		
0.490	44.840	99.560	190.000	334.400	0.490	177.120	84.960	59.760	321.840	0.490		
0.500	44.840	97.280	186.960	329.080	0.500	177.120	84.960	59.760	321.840	0.500		
0.510	44.840	97.280	186.960	329.080	0.510	177.120	84.960	59.760	321.840	0.510		
0.520	44.840	99.560	190.000	334.400	0.520	177.120	84.960	59.760	321.840	0.520		
0.530	44.840	97.280	186.960	329.080	0.530	177.120	84.960	59.760	321.840	0.530		
0.540	44.840	99.560	186.960	331.360	0.540	177.120	84.960	59.760	321.840	0.540		
0.550	44.840	99.560	186.960	331.360	0.550	180.000	84.960	59.760	324.720	0.550		
0.560	44.840	99.560	186.960	331.360	0.560	177.120	82.080	59.760	318.960	0.560		
0.570	44.840	97.280	186.960	329.080	0.570	177.120	82.080	59.760	318.960	0.570		
0.580	44.840	97.280	186.960	329.080	0.580	177.120	82.080	56.880	316.080	0.580		
0.590	44.840	97.280	186.960	329.080	0.590	177.120	84.960	59.760	321.840	0.590		
0.600	44.840	97.280	186.960	329.080	0.600	177.120	84.960	59.760	321.840	0.600		
0.610	44.840	97.280	186.960	329.080	0.610	177.500	84.490	59.640	321.630	0.610		
0.620	44.840	97.280	186.960	329.080	0.620	177.500	84.490	59.640	321.630	0.620		
0.630	44.840	97.280	186.960	329.080	0.630	177.500	84.490	59.640	321.630	0.630		
0.640	44.840	97.280	190.000	332.120	0.640	177.500	84.490	59.640	321.630	0.640		
0.650	44.840	99.560	186.960	331.360	0.650	177.500	84.490	59.640	321.630	0.650		
0.660	44.840	97.280	186.960	329.080	0.660	177.500	84.490	59.640	321.630	0.660		
0.670	44.840	99.560	186.960	331.360	0.670	177.500	84.490	59.640	321.630	0.670		
0.680	44.840	97.280	186.960	329.080	0.680	177.500	84.490	59.640	321.630	0.680		
0.690	44.840	99.560	186.960	331.360	0.690	177.500	84.490	59.640	321.630	0.690		
0.700	44.840	97.280	186.960	329.080	0.700	177.500	84.490	56.800	318.790	0.700		
0.710	44.840	99.560	186.960	331.360	0.710	177.500	84.490	56.800	318.790	0.710		
0.720	44.840	99.560	186.960	331.360	0.720	177.500	84.490	56.800	318.790	0.720		
0.730	44.660	99.330	187.110	331.100	0.730	177.500	84.490	56.800	318.790	0.730		
0.740	44.660	99.330	189.420	333.410	0.740	177.500	84.490	56.800	318.790	0.740		
0.750	44.660	99.330	189.420	333.410	0.750	177.500	84.490	56.800	318.790	0.750		
0.760	42.350	99.330	189.420	331.100	0.760	179.820	84.360	56.980	321.160	0.760		
0.770	44.660	99.330	187.110	331.100	0.770	179.820	84.360	56.980	321.160	0.770		
0.780	44.660	99.330	189.420	333.410	0.780	179.820	84.360	56.980	321.160	0.780		
0.790	42.350	99.330	189.420	331.100	0.790	179.820	84.360	56.980	321.160	0.790		
0.800	42.350	99.330	187.110	328.790	0.800	179.820	84.360	54.760	318.940	0.800		
0.810	42.350	99.330	189.420	331.100	0.810	179.820	84.360	54.760	318.940	0.810		
0.820	42.350	99.330	189.420	331.100	0.820	182.040	84.360	54.760	321.160	0.820		
0.830	42.350	97.020	189.420	328.790	0.830	182.040	84.360	54.760	321.160	0.830		
0.840	42.350	99.330	192.500	334.180	0.840	182.040	84.360	54.760	321.160	0.840		
0.850	42.350	99.330	189.420	331.100	0.850	182.040	84.360	54.760	321.160	0.850		
0.860	42.350	99.330	189.420	331.100	0.860	182.040	84.360	51.800	318.200	0.860		
0.870	42.350	99.330	192.500	334.180	0.870	185.000	82.140	51.800	318.940	0.870		
0.880	41.870	99.540	191.970	333.380	0.880	182.040	84.360	51.800	318.200	0.880		
0.890	39.500	97.170	189.600	326.270	0.890	185.000	84.360	51.800	321.160	0.890		
0.900	41.870	99.540	191.970	333.380	0.900	185.000	84.360	51.800	321.160	0.900		
0.910	41.870	99.540	194.340	335.750	0.910	184.680	84.360	52.440	321.480	0.910		
0.920	39.500	99.540	189.600	328.640	0.920	184.680	84.360	52.440	321.480	0.920		
0.930	39.500	99.540	191.970	331.010	0.930	184.680	84.360	49.400	318.440	0.930		
0.940	39.500	99.540	191.970	331.010	0.940	184.680	84.360	49.400	318.440	0.940		
0.950	39.500	99.540	197.500	336.540	0.950	184.680	84.360	49.400	318.440	0.950		
0.960	39.500	99.540	197.500	336.540	0.960	184.680	84.360	49.400	318.440	0.960		
0.970	37.130	99.540	194.340	331.010	0.970	186.960	84.360	49.400	320.720	0.970		
0.980	37.130	99.540	194.340	331.010	0.980	186.960	82.080	49.400	318.440	0.980		
0.990	37.130	99.540	197.500	334.170	0.990	186.960	84.360	49.400	320.720	0.990		
1.000	37.130	99.540	194.340	331.010	1.000	186.960	84.360	49.400	320.720	1.000		
1.010	37.130	99.540	194.340	331.010	1.010	190.000	84.360	49.400	323.760	1.010		
1.020	37.130	99.540	194.340	331.010	1.020	186.960	82.080	49.400	318.440	1.020		
1.030	37.130	99.540	191.970	328.640	1.030	186.960	84.360	47.120	318.440	1.030		
1.040	37.130	99.540	197.500	334.170	1.040	186.960	82.080	47.120	316.160	1.040		
1.050	37.130	99.540	197.500	334.170	1.050	186.960	84.360	47.120	318.440	1.050		
1.060	37.130	99.540	197.500	334.170	1.060	190.000	84.360	47.120	321.480	1.060		
1.070	37.130	99.540	194.340	331.010	1.070	186.960	84.360	49.400	320.720	1.070		
1.080	37.130	99.540	197.500	334.170	1.080	186.960	84.360	49.400	320.720	1.080		
1.090	37.130	99.540	197.500	334.170	1.090	190.000	82.080	49.400	321.480	1.090		
1.100	37.130	99.540	194.340	331.010	1.100	190.000	84.360	47.120	321.480	1.100		
1.110	37.130	99.540	194.340	331.010	1.110	190.000	84.360	49.400	323.760	1.110		
1.120	37.130	97.170	194.340	328.640	1.120	190.000	84.360	47.120	321.480	1.120		
1.130	37.130	99.540	197.500	334.170	1.130	190.000	82.080	47.120	319.200	1.130		
1.140	37.130	99.540	194.340	331.010	1.140	190.000	84.360	47.120	321.480	1.140		
1.150	37.130	97.170	197.500	331.800	1.150	190.000	84.360	49.400	323.760	1.150		
1.160	37.130	99.540	194.340	331.010	1.160	190.000	84.360	47.120	321.480	1.160		
1.170	37.130	99.540	194.340	331.010	1.170	186.960	84.360	47.120	318.440	1.170		
1.180	37.130	99.540	197.500	334.170	1.180	186.960	84.360	49.400	320.720	1.180		
1.190	37.130	97.170	194.340	328.640	1.190	190.000	84.360	47.120	321.480	1.190		
1.200	37.130	97.170	197.500	331.800	1.200	186.960	82.080	47.120	316.160	1.200		
1.210	37.130	97.170	194.340	328.640	1.210	189.540	84.240	49.920	323.700	1.210		
1.220	37.130	97.170	194.340	328.640	1.220	189.540	84.240	49.920	323.700	1.220		
1.230	37.130	99.540	194.340	331.010	1.230	189.540	84.240	49.920	323.700	1.230		
1.240	39.500	99.540	194.340	333.380	1.240	189.540	84.240	46.800	320.580	1.240		
1.250	37.130	97.170	197.500	331.800	1.250	189.540	84.240	46.800	320.580	1.250		
1.260	37.130	97.170	197.500	331.800	1.260	189.540	84.240	46.800	320.580	1.260		
1.270	37.130	97.170	197.500	331.800	1.270	191.880	84.240	46.800	322.920	1.270		
1.280	37.130	99.540	194.340	331.010	1.280	191.880	81.900	44.460	318.240	1.280		
1.290	37.130	97.170	197.500	331.800	1.290	189.540	84.240	46.800	320.580	1.290		
1.300	34.760	97.170	197.500	329.430	1.300	191.880	81.900	44.460	318.240	1.300		
1.310	34.760	99.540	197.500	331.800	1.310	189.540	81.900	44.460	315.900	1.310		
1.320	34.760	97.170	197.500	329.430	1.320	195.000	84.240	44.460	323.700	1.320		
1.330	34.860	97.110	199.200	331.170	1.330	191.880	84.240	44.460	320.580	1.330		
1.340	34.860	99.600	201.690	336.150	1.340	191.880	81.900	44.460	318.240	1.340		
1.350	32.370	97.110	199.200	328.680	1.350	191.880	81.900	44.460	318.240	1.350		
1.360	32.370	97.110	199.200	328.680	1.360	194.340	84.530	41.870	320.740	1.360		
1.370	32.370	97.110	199.200	328.680	1.370	194.340	84.530	44.240	323.110	1.370		
