C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-21-28-379.load
Comment s15vw
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	57.000	87.000	172.500	316.500	0.000	224.640	71.760	27.040	323.440	0.000		
0.010	57.000	87.000	174.750	318.750	0.010	224.640	71.760	27.040	323.440	0.010		
0.020	57.000	90.000	172.500	319.500	0.020	224.640	71.760	27.040	323.440	0.020		
0.030	54.750	90.000	174.750	319.500	0.030	224.640	71.760	27.040	323.440	0.030		
0.040	54.750	87.000	174.750	316.500	0.040	224.640	71.760	27.040	323.440	0.040		
0.050	54.750	90.000	174.750	319.500	0.050	224.640	71.760	27.040	323.440	0.050		
0.060	52.500	87.000	174.750	314.250	0.060	224.640	71.760	27.040	323.440	0.060		
0.070	52.500	90.000	177.000	319.500	0.070	224.640	71.760	27.040	323.440	0.070		
0.080	52.500	87.000	177.000	316.500	0.080	224.640	71.760	27.040	323.440	0.080		
0.090	54.750	90.000	180.000	324.750	0.090	226.720	74.880	27.040	328.640	0.090		
0.100	52.500	90.000	180.000	322.500	0.100	229.840	74.880	24.960	329.680	0.100		
0.110	49.500	90.000	184.500	324.000	0.110	237.120	74.880	21.840	333.840	0.110		
0.120	47.250	92.250	187.500	327.000	0.120	244.400	74.880	19.760	339.040	0.120		
0.130	44.180	94.940	194.580	333.700	0.130	251.680	71.760	14.560	338.000	0.130		
0.140	39.480	94.940	199.280	333.700	0.140	260.000	71.760	12.480	344.240	0.140		
0.150	34.780	94.940	206.800	336.520	0.150	269.120	67.280	6.960	343.360	0.150		
0.160	31.960	94.940	214.320	341.220	0.160	274.920	61.480	4.640	341.040	0.160		
0.170	29.140	92.120	219.960	341.220	0.170	281.880	59.160	2.320	343.360	0.170		
0.180	27.260	87.420	227.480	342.160	0.180	286.520	54.520	0.000	341.040	0.180		
0.190	24.440	81.780	229.360	335.580	0.190	290.000	52.200	0.000	342.200	0.190		
0.200	21.620	79.900	229.360	330.880	0.200	290.000	46.400	0.000	336.400	0.200		
0.210	21.620	77.080	232.180	330.880	0.210	290.000	44.080	0.000	334.080	0.210		
0.220	21.620	74.260	235.000	330.880	0.220	290.000	39.440	0.000	329.440	0.220		
0.230	19.740	72.380	232.180	324.300	0.230	286.520	37.120	0.000	323.640	0.230		
0.240	16.920	69.560	229.360	315.840	0.240	284.200	37.120	0.000	321.320	0.240		
0.250	16.920	66.740	229.360	313.020	0.250	281.880	34.800	0.000	316.680	0.250		
0.260	16.920	66.740	227.480	311.140	0.260	279.560	34.800	0.000	314.360	0.260		
0.270	16.920	64.860	221.840	303.620	0.270	274.920	32.480	0.000	307.400	0.270		
0.280	17.400	64.380	217.500	299.280	0.280	271.440	29.000	0.000	300.440	0.280		
0.290	17.400	64.380	214.890	296.670	0.290	264.480	29.000	0.000	293.480	0.290		
0.300	17.400	61.770	207.060	286.230	0.300	260.000	27.040	0.000	287.040	0.300		
0.310	17.400	64.380	204.450	286.230	0.310	254.800	32.240	2.080	289.120	0.310		
0.320	19.140	64.380	197.490	281.010	0.320	254.800	37.440	4.160	296.400	0.320		
0.330	19.140	72.210	197.490	288.840	0.330	254.800	44.720	7.280	306.800	0.330		
0.340	24.360	74.820	197.490	296.670	0.340	251.680	52.000	9.360	313.040	0.340		
0.350	29.580	81.780	197.490	308.850	0.350	249.600	62.400	14.560	326.560	0.350		
0.360	34.800	89.610	194.880	319.290	0.360	244.400	71.760	27.040	343.200	0.360		
0.370	44.370	97.440	194.880	336.690	0.370	237.120	79.040	39.520	355.680	0.370		
0.380	54.810	101.790	187.050	343.650	0.380	229.840	79.040	46.800	355.680	0.380		
0.390	61.770	101.790	184.440	348.000	0.390	221.520	79.040	52.000	352.560	0.390		
0.400	66.990	99.180	179.220	345.390	0.400	217.360	79.040	54.080	350.480	0.400		
0.410	66.990	99.180	174.870	341.040	0.410	212.160	76.960	54.080	343.200	0.410		
0.420	66.990	94.830	169.650	331.470	0.420	206.960	76.960	57.200	341.120	0.420		
0.430	67.320	92.480	170.000	329.800	0.430	206.960	74.880	57.200	339.040	0.430		
0.440	64.600	92.480	164.560	321.640	0.440	204.880	71.760	57.200	333.840	0.440		
0.450	64.600	89.760	164.560	318.920	0.450	202.500	72.090	56.700	331.290	0.450		
0.460	61.880	87.040	161.840	310.760	0.460	199.260	69.660	56.700	325.620	0.460		
0.470	59.840	85.000	161.840	306.680	0.470	194.400	69.660	56.700	320.760	0.470		
0.480	57.120	82.280	161.840	301.240	0.480	191.970	69.660	59.940	321.570	0.480		
0.490	57.120	79.560	161.840	298.520	0.490	189.540	69.660	62.370	321.570	0.490		
0.500	54.400	76.840	159.800	291.040	0.500	189.540	69.660	62.370	321.570	0.500		
0.510	54.400	76.840	159.800	291.040	0.510	189.540	69.660	67.230	326.430	0.510		
0.520	54.400	76.840	159.800	291.040	0.520	189.540	69.660	67.230	326.430	0.520		
0.530	54.400	74.800	154.360	283.560	0.530	187.110	69.660	69.660	326.430	0.530		
0.540	57.120	76.840	154.360	288.320	0.540	187.110	72.090	74.520	333.720	0.540		
0.550	59.840	79.560	154.360	293.760	0.550	184.680	72.090	74.520	331.290	0.550		
0.560	61.880	76.840	152.320	291.040	0.560	184.680	74.520	81.810	341.010	0.560		
0.570	64.600	79.560	152.320	296.480	0.570	184.680	74.520	84.240	343.440	0.570		
0.580	69.540	79.910	152.500	301.950	0.580	182.250	74.520	87.480	344.250	0.580		
0.590	74.420	77.470	147.010	298.900	0.590	179.820	76.950	89.910	346.680	0.590		
0.600	74.420	79.910	144.570	298.900	0.600	180.000	77.040	92.160	349.200	0.600		
0.610	77.470	77.470	147.010	301.950	0.610	177.120	74.880	92.160	344.160	0.610		
0.620	77.470	79.910	144.570	301.950	0.620	174.960	74.880	92.160	342.000	0.620		
0.630	79.910	77.470	142.130	299.510	0.630	174.960	74.880	92.160	342.000	0.630		
0.640	79.910	77.470	139.690	297.070	0.640	172.080	72.000	92.160	336.240	0.640		
0.650	79.910	74.420	139.690	294.020	0.650	172.080	72.000	92.160	336.240	0.650		
0.660	82.350	71.980	137.250	291.580	0.660	172.080	72.000	92.160	336.240	0.660		
0.670	82.350	71.980	134.810	289.140	0.670	169.920	72.000	92.160	334.080	0.670		
0.680	82.350	71.980	132.370	286.700	0.680	172.080	72.000	92.160	336.240	0.680		
0.690	84.790	71.980	132.370	289.140	0.690	169.920	72.000	92.160	334.080	0.690		
0.700	82.350	69.540	132.370	284.260	0.700	172.080	72.000	92.160	336.240	0.700		
0.710	82.350	69.540	129.930	281.820	0.710	172.080	72.000	92.160	336.240	0.710		
0.720	82.350	69.540	132.370	284.260	0.720	169.920	72.000	92.160	334.080	0.720		
0.730	82.150	72.080	132.500	286.730	0.730	169.920	74.880	94.320	339.120	0.730		
0.740	84.800	72.080	132.500	289.380	0.740	169.920	72.000	94.320	336.240	0.740		
0.750	84.800	72.080	132.500	289.380	0.750	170.000	72.080	94.520	336.600	0.750		
0.760	84.800	69.960	132.500	287.260	0.760	170.000	72.080	94.520	336.600	0.760		
0.770	84.800	69.960	129.850	284.610	0.770	170.000	72.080	97.240	339.320	0.770		
0.780	87.450	72.080	129.850	289.380	0.780	170.000	74.800	97.240	342.040	0.780		
0.790	87.450	72.080	129.850	289.380	0.790	170.000	72.080	97.240	339.320	0.790		
0.800	87.450	72.080	129.850	289.380	0.800	170.000	74.800	99.960	344.760	0.800		
0.810	89.570	72.080	129.850	291.500	0.810	170.000	72.080	99.960	342.040	0.810		
0.820	87.450	72.080	132.500	292.030	0.820	170.000	74.800	99.960	344.760	0.820		
0.830	87.450	72.080	132.500	292.030	0.830	170.000	74.800	99.960	344.760	0.830		
0.840	87.450	72.080	129.850	289.380	0.840	170.000	72.080	99.960	342.040	0.840		
0.850	87.450	72.080	129.850	289.380	0.850	170.000	74.800	99.960	344.760	0.850		
0.860	87.450	72.080	129.850	289.380	0.860	170.000	74.800	99.960	344.760	0.860		
0.870	87.450	72.080	132.500	292.030	0.870	170.000	74.800	99.960	344.760	0.870		
0.880	89.960	69.680	130.000	289.640	0.880	170.000	72.080	99.960	342.040	0.880		
0.890	87.360	69.680	127.400	284.440	0.890	170.000	74.800	102.000	346.800	0.890		
0.900	89.960	69.680	130.000	289.640	0.900	169.500	75.000	102.000	346.500	0.900		
0.910	89.960	69.680	130.000	289.640	0.910	172.500	75.000	102.000	349.500	0.910		
0.920	89.960	69.680	124.800	284.440	0.920	172.500	75.000	99.750	347.250	0.920		
0.930	89.960	69.680	124.800	284.440	0.930	172.500	75.000	99.750	347.250	0.930		
0.940	89.960	69.680	124.800	284.440	0.940	169.500	75.000	102.000	346.500	0.940		
0.950	89.960	67.080	127.400	284.440	0.950	172.500	75.000	102.000	349.500	0.950		
0.960	92.040	67.080	124.800	283.920	0.960	174.750	77.250	102.000	354.000	0.960		
0.970	92.040	67.080	119.600	278.720	0.970	174.750	77.250	102.000	354.000	0.970		
0.980	92.040	67.080	122.200	281.320	0.980	174.750	77.250	102.000	354.000	0.980		
0.990	89.960	65.000	119.600	274.560	0.990	177.000	77.250	102.000	356.250	0.990		
1.000	89.960	65.000	119.600	274.560	1.000	180.000	79.500	102.000	361.500	1.000		
1.010	89.960	65.000	117.000	271.960	1.010	180.000	79.500	99.750	359.250	1.010		
1.020	89.960	65.000	117.000	271.960	1.020	182.250	82.500	99.750	364.500	1.020		
1.030	89.760	64.800	114.720	269.280	1.030	184.500	82.500	99.750	366.750	1.030		
1.040	87.360	60.000	117.120	264.480	1.040	187.500	82.500	99.750	369.750	1.040		
1.050	87.360	62.400	114.720	264.480	1.050	190.000	84.360	99.560	373.920	1.050		
1.060	87.360	60.000	114.720	262.080	1.060	186.960	82.080	97.280	366.320	1.060		
1.070	84.960	60.000	114.720	259.680	1.070	190.000	84.360	97.280	371.640	1.070		
1.080	84.960	60.000	114.720	259.680	1.080	190.000	84.360	97.280	371.640	1.080		
1.090	84.960	60.000	114.720	259.680	1.090	190.000	82.080	97.280	369.360	1.090		
1.100	82.080	60.000	120.000	262.080	1.100	190.000	84.360	97.280	371.640	1.100		
1.110	82.080	62.400	117.120	261.600	1.110	190.000	84.360	97.280	371.640	1.110		
1.120	82.080	60.000	114.720	256.800	1.120	190.000	84.360	97.280	371.640	1.120		
1.130	79.680	62.400	117.120	259.200	1.130	190.000	84.360	97.280	371.640	1.130		
1.140	79.680	62.400	120.000	262.080	1.140	190.000	82.080	97.280	369.360	1.140		
