C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-28-41-900.load
Comment s15w
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	77.040	102.240	177.120	356.400	0.000	149.450	77.470	82.350	309.270	0.000		
0.010	77.040	104.400	177.120	358.560	0.010	149.450	77.470	79.910	306.830	0.010		
0.020	77.040	104.400	177.120	358.560	0.020	152.500	77.470	79.910	309.880	0.020		
0.030	77.040	104.400	174.960	356.400	0.030	149.450	77.470	79.910	306.830	0.030		
0.040	77.040	104.400	177.120	358.560	0.040	152.500	77.470	79.910	309.880	0.040		
0.050	77.040	104.400	174.960	356.400	0.050	152.500	77.470	82.350	312.320	0.050		
0.060	77.040	102.240	177.120	356.400	0.060	152.500	77.470	82.350	312.320	0.060		
0.070	77.040	104.400	177.120	358.560	0.070	149.450	77.470	79.910	306.830	0.070		
0.080	77.040	104.400	177.120	358.560	0.080	152.500	77.470	79.910	309.880	0.080		
0.090	77.040	104.400	180.000	361.440	0.090	149.450	77.470	79.910	306.830	0.090		
0.100	74.880	104.400	177.120	356.400	0.100	149.450	77.470	79.910	306.830	0.100		
0.110	74.880	104.400	177.120	356.400	0.110	149.450	77.470	79.910	306.830	0.110		
0.120	74.460	104.390	177.390	356.240	0.120	149.450	77.470	79.910	306.830	0.120		
0.130	74.460	104.390	177.390	356.240	0.130	149.450	77.470	82.350	309.270	0.130		
0.140	74.460	104.390	179.580	358.430	0.140	152.500	77.470	79.910	309.880	0.140		
0.150	74.460	104.390	177.390	356.240	0.150	149.450	77.470	79.910	306.830	0.150		
0.160	74.460	104.390	177.390	356.240	0.160	149.450	77.470	79.910	306.830	0.160		
0.170	74.460	104.390	179.580	358.430	0.170	149.450	77.470	79.910	306.830	0.170		
0.180	74.460	104.390	179.580	358.430	0.180	149.450	77.470	79.910	306.830	0.180		
0.190	74.460	104.390	177.390	356.240	0.190	149.450	77.470	79.910	306.830	0.190		
0.200	74.460	104.390	179.580	358.430	0.200	149.450	77.470	79.910	306.830	0.200		
0.210	74.460	104.390	177.390	356.240	0.210	149.450	77.470	79.910	306.830	0.210		
0.220	74.460	104.390	182.500	361.350	0.220	152.500	77.470	79.910	309.880	0.220		
0.230	72.270	104.390	179.580	356.240	0.230	149.450	77.470	79.910	306.830	0.230		
0.240	74.460	107.310	179.580	361.350	0.240	149.450	77.470	79.910	306.830	0.240		
0.250	72.270	104.390	179.580	356.240	0.250	152.500	77.470	79.910	309.880	0.250		
0.260	72.270	104.390	182.500	359.160	0.260	152.500	77.470	79.910	309.880	0.260		
0.270	72.270	104.390	179.580	356.240	0.270	149.450	77.470	77.470	304.390	0.270		
0.280	72.270	104.390	182.500	359.160	0.280	152.500	77.470	79.910	309.880	0.280		
0.290	72.270	107.310	182.500	362.080	0.290	152.500	77.470	77.470	307.440	0.290		
0.300	72.270	104.390	182.500	359.160	0.300	152.320	77.440	77.440	307.200	0.300		
0.310	72.270	104.390	179.580	356.240	0.310	152.320	80.000	80.000	312.320	0.310		
0.320	72.270	107.310	182.500	362.080	0.320	154.880	80.000	77.440	312.320	0.320		
