C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\15\loadapp_2025-12-15_14-24-49-581.load
Comment s15w crashed
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	79.350	89.700	166.980	336.030	0.000	222.300	69.300	14.400	306.000	0.000		
0.010	79.350	89.700	166.980	336.030	0.010	225.000	72.000	11.700	308.700	0.010		
0.020	79.350	86.940	166.980	333.270	0.020	225.000	72.000	14.400	311.400	0.020		
0.030	79.350	86.940	169.740	336.030	0.030	225.000	72.000	11.700	308.700	0.030		
0.040	77.280	86.940	169.740	333.960	0.040	225.000	72.000	14.400	311.400	0.040		
0.050	77.280	86.940	169.740	333.960	0.050	225.000	74.700	14.400	314.100	0.050		
0.060	79.350	86.940	169.740	336.030	0.060	225.000	74.700	14.400	314.100	0.060		
0.070	77.280	86.940	169.740	333.960	0.070	225.000	74.700	14.400	314.100	0.070		
0.080	77.280	86.940	169.740	333.960	0.080	225.000	77.400	14.400	316.800	0.080		
0.090	77.280	86.940	169.740	333.960	0.090	225.000	77.400	14.400	316.800	0.090		
0.100	77.280	84.870	169.740	331.890	0.100	222.300	77.400	14.400	314.100	0.100		
0.110	77.280	84.870	172.500	334.650	0.110	222.300	77.400	14.400	314.100	0.110		
0.120	77.000	87.500	172.200	336.700	0.120	219.600	77.400	14.400	311.400	0.120		
0.130	74.900	87.500	169.400	331.800	0.130	219.600	79.200	17.100	315.900	0.130		
0.140	74.900	84.700	169.400	329.000	0.140	219.600	81.900	17.100	318.600	0.140		
0.150	74.900	87.500	169.400	331.800	0.150	220.000	81.840	16.720	318.560	0.150		
0.160	74.900	84.700	169.400	329.000	0.160	217.360	81.840	19.360	318.560	0.160		
0.170	74.900	84.700	172.200	331.800	0.170	220.000	81.840	19.360	321.200	0.170		
0.180	74.900	84.700	172.200	331.800	0.180	217.360	81.840	19.360	318.560	0.180		
0.190	72.100	84.700	172.200	329.000	0.190	217.360	84.480	19.360	321.200	0.190		
0.200	72.100	84.700	172.200	329.000	0.200	217.360	81.840	19.360	318.560	0.200		
0.210	72.100	84.700	172.200	329.000	0.210	214.720	84.480	19.360	318.560	0.210		
0.220	72.100	84.700	172.200	329.000	0.220	214.720	84.480	19.360	318.560	0.220		
0.230	72.100	81.900	172.200	326.200	0.230	214.720	84.480	19.360	318.560	0.230		
0.240	72.100	84.700	175.000	331.800	0.240	214.720	84.480	19.360	318.560	0.240		
0.250	72.100	81.900	169.400	323.400	0.250	214.720	84.480	19.360	318.560	0.250		
0.260	70.000	84.700	172.200	326.900	0.260	214.720	84.480	19.360	318.560	0.260		
0.270	70.000	81.900	172.200	324.100	0.270	214.720	84.480	19.360	318.560	0.270		
0.280	72.100	81.900	172.200	326.200	0.280	214.720	87.120	19.360	321.200	0.280		
0.290	72.100	84.700	175.000	331.800	0.290	214.720	87.120	22.000	323.840	0.290		
0.300	72.100	81.900	172.200	326.200	0.300	215.000	86.860	22.360	324.220	0.300		
0.310	70.000	81.900	175.000	326.900	0.310	215.000	84.280	19.780	319.060	0.310		
0.320	72.100	81.900	172.200	326.200	0.320	212.420	86.860	22.360	321.640	0.320		
0.330	72.100	84.700	172.200	329.000	0.330	212.420	86.860	22.360	321.640	0.330		
0.340	72.100	81.900	172.200	326.200	0.340	212.420	89.440	22.360	324.220	0.340		
0.350	72.100	81.900	172.200	326.200	0.350	212.420	86.860	22.360	321.640	0.350		
0.360	72.100	81.900	169.400	323.400	0.360	212.420	86.860	22.360	321.640	0.360		
0.370	72.100	81.900	172.200	326.200	0.370	209.840	89.440	24.940	324.220	0.370		
0.380	72.100	81.900	169.400	323.400	0.380	212.420	86.860	22.360	321.640	0.380		
0.390	72.100	81.900	169.400	323.400	0.390	209.840	89.440	24.940	324.220	0.390		
0.400	72.100	81.900	172.200	326.200	0.400	209.840	89.440	24.940	324.220	0.400		
0.410	72.100	79.800	169.400	321.300	0.410	209.840	92.020	24.940	326.800	0.410		
0.420	72.100	81.900	169.400	323.400	0.420	207.260	92.020	24.940	324.220	0.420		
0.430	72.100	79.800	169.400	321.300	0.430	209.840	89.440	26.660	325.940	0.430		
0.440	72.100	79.800	172.200	324.100	0.440	207.260	92.020	24.940	324.220	0.440		
0.450	72.100	81.900	175.000	329.000	0.450	207.500	92.130	27.390	327.020	0.450		
0.460	72.100	81.900	172.200	326.200	0.460	204.180	92.130	27.390	323.700	0.460		
0.470	72.100	81.900	172.200	326.200	0.470	204.180	92.130	27.390	323.700	0.470		
0.480	72.100	81.900	172.200	326.200	0.480	204.180	92.130	27.390	323.700	0.480		
0.490	72.100	81.900	172.200	326.200	0.490	204.180	92.130	27.390	323.700	0.490		
0.500	72.100	81.900	169.400	323.400	0.500	204.180	94.620	27.390	326.190	0.500		
0.510	72.100	81.900	172.200	326.200	0.510	204.180	94.620	27.390	326.190	0.510		
0.520	72.100	79.800	169.400	321.300	0.520	201.690	92.130	27.390	321.210	0.520		
0.530	72.100	79.800	169.400	321.300	0.530	204.180	94.620	27.390	326.190	0.530		
