C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\16\loadapp_2025-12-15_15-07-41-819.load
Comment s16bvr
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	32.340	74.970	117.110	224.420	0.000	92.120	146.640	235.000	473.760	0.000		
0.010	29.890	74.970	117.110	221.970	0.010	89.300	144.760	232.180	466.240	0.010		
0.020	32.340	74.970	117.110	224.420	0.020	89.300	144.760	232.180	466.240	0.020		
0.030	29.890	77.420	117.110	224.420	0.030	89.300	144.760	232.180	466.240	0.030		
0.040	32.340	77.420	117.110	226.870	0.040	89.300	144.760	232.180	466.240	0.040		
0.050	29.890	77.420	119.560	226.870	0.050	89.300	144.760	232.180	466.240	0.050		
0.060	32.340	77.420	119.560	229.320	0.060	89.300	141.940	232.180	463.420	0.060		
0.070	32.340	77.420	122.500	232.260	0.070	89.300	144.760	232.180	466.240	0.070		
0.080	29.890	77.420	119.560	226.870	0.080	89.300	141.940	229.360	460.600	0.080		
0.090	29.890	77.420	122.500	229.810	0.090	92.120	141.940	229.360	463.420	0.090		
0.100	29.890	77.420	122.500	229.810	0.100	92.120	141.940	229.360	463.420	0.100		
0.110	29.640	77.480	122.200	229.320	0.110	92.120	141.940	229.360	463.420	0.110		
0.120	29.640	77.480	124.800	231.920	0.120	92.120	141.940	229.360	463.420	0.120		
0.130	29.640	79.560	124.800	234.000	0.130	89.300	141.940	227.480	458.720	0.130		
0.140	29.640	77.480	124.800	231.920	0.140	89.300	141.940	227.480	458.720	0.140		
0.150	29.640	79.560	124.800	234.000	0.150	91.910	141.960	227.500	461.370	0.150		
0.160	29.640	79.560	124.800	234.000	0.160	91.910	144.690	224.770	461.370	0.160		
0.170	27.040	79.560	124.800	231.400	0.170	91.910	141.960	224.770	458.640	0.170		
0.180	27.040	79.560	124.800	231.400	0.180	91.910	141.960	224.770	458.640	0.180		
0.190	27.040	79.560	124.800	231.400	0.190	91.910	144.690	224.770	461.370	0.190		
0.200	27.040	79.560	127.400	234.000	0.200	91.910	141.960	222.040	455.910	0.200		
0.210	27.040	79.560	127.400	234.000	0.210	94.640	144.690	222.040	461.370	0.210		
0.220	27.040	79.560	127.400	234.000	0.220	91.910	141.960	222.040	455.910	0.220		
0.230	27.040	79.560	127.400	234.000	0.230	94.640	144.690	222.040	461.370	0.230		
0.240	27.040	79.560	127.400	234.000	0.240	94.640	144.690	222.040	461.370	0.240		
0.250	27.040	82.160	130.000	239.200	0.250	94.640	141.960	222.040	458.640	0.250		
0.260	27.500	82.500	129.800	239.800	0.260	94.640	144.690	222.040	461.370	0.260		
0.270	27.500	82.500	129.800	239.800	0.270	91.910	144.690	222.040	458.640	0.270		
0.280	27.500	82.500	129.800	239.800	0.280	91.910	144.690	222.040	458.640	0.280		
0.290	27.500	82.500	129.800	239.800	0.290	97.370	144.690	222.040	464.100	0.290		
0.300	27.500	82.500	132.000	242.000	0.300	94.160	144.320	220.000	458.480	0.300		
0.310	27.500	82.500	132.000	242.000	0.310	94.160	144.320	220.000	458.480	0.310		
0.320	24.750	82.500	134.750	242.000	0.320	94.160	144.320	220.000	458.480	0.320		
0.330	27.500	84.700	134.750	246.950	0.330	94.160	141.680	220.000	455.840	0.330		
0.340	27.500	84.700	134.750	246.950	0.340	94.160	141.680	220.000	455.840	0.340		
0.350	24.750	84.700	134.750	244.200	0.350	94.160	141.680	220.000	455.840	0.350		
0.360	24.750	84.700	134.750	244.200	0.360	94.160	141.680	217.360	453.200	0.360		
0.370	24.750	84.700	137.500	246.950	0.370	94.160	141.680	217.360	453.200	0.370		
0.380	24.750	84.700	137.500	246.950	0.380	94.160	139.920	217.360	451.440	0.380		
0.390	24.750	84.700	134.750	244.200	0.390	92.400	139.920	217.360	449.680	0.390		
0.400	27.500	84.700	134.750	246.950	0.400	94.160	139.920	217.360	451.440	0.400		
0.410	24.840	84.780	135.000	244.620	0.410	92.400	139.920	217.360	449.680	0.410		
0.420	27.000	84.780	135.000	246.780	0.420	92.400	139.920	220.000	452.320	0.420		
0.430	27.000	84.780	135.000	246.780	0.430	92.400	139.920	220.000	452.320	0.430		
0.440	27.000	84.780	135.000	246.780	0.440	92.400	139.920	220.000	452.320	0.440		
0.450	27.000	84.780	132.300	244.080	0.450	92.000	137.080	219.880	448.960	0.450		
0.460	27.000	84.780	132.300	244.080	0.460	92.000	137.080	219.880	448.960	0.460		
0.470	27.000	84.780	132.300	244.080	0.470	89.240	139.840	219.880	448.960	0.470		
0.480	27.000	84.780	132.300	244.080	0.480	92.000	137.080	219.880	448.960	0.480		
0.490	27.000	84.780	135.000	246.780	0.490	89.240	137.080	221.720	448.040	0.490		
0.500	27.000	82.080	132.300	241.380	0.500	89.240	137.080	221.720	448.040	0.500		
0.510	29.700	82.080	129.600	241.380	0.510	89.240	137.080	221.720	448.040	0.510		
0.520	29.700	84.780	129.600	244.080	0.520	89.240	137.080	224.480	450.800	0.520		
0.530	29.700	84.780	129.600	244.080	0.530	89.240	137.080	224.480	450.800	0.530		
0.540	29.700	84.780	129.600	244.080	0.540	89.240	137.080	224.480	450.800	0.540		
0.550	29.700	84.780	127.440	241.920	0.550	89.240	134.320	224.480	448.040	0.550		
0.560	29.640	82.160	130.000	241.800	0.560	87.400	134.320	227.240	448.960	0.560		
0.570	32.240	84.760	130.000	247.000	0.570	87.400	134.320	227.240	448.960	0.570		
0.580	32.240	82.160	127.400	241.800	0.580	87.400	137.080	230.000	454.480	0.580		
0.590	34.840	84.760	127.400	247.000	0.590	87.400	137.080	230.000	454.480	0.590		
0.600	34.840	84.760	127.400	247.000	0.600	87.300	134.830	231.830	453.960	0.600		
0.610	34.840	84.760	127.400	247.000	0.610	87.300	134.830	231.830	453.960	0.610		
0.620	34.840	84.760	124.800	244.400	0.620	84.390	131.920	231.830	448.140	0.620		
0.630	34.840	82.160	124.800	241.800	0.630	84.390	131.920	234.740	451.050	0.630		
0.640	34.840	84.760	124.800	244.400	0.640	84.390	131.920	234.740	451.050	0.640		
0.650	37.440	82.160	122.200	241.800	0.650	82.450	131.920	236.680	451.050	0.650		
0.660	37.440	82.160	122.200	241.800	0.660	82.450	131.920	236.680	451.050	0.660		
0.670	37.440	82.160	122.200	241.800	0.670	82.450	129.980	236.680	449.110	0.670		
0.680	37.440	82.160	119.600	239.200	0.680	82.450	129.980	239.590	452.020	0.680		
0.690	39.520	84.760	122.200	246.480	0.690	82.450	129.980	242.500	454.930	0.690		
0.700	37.440	82.160	119.600	239.200	0.700	79.540	129.980	239.590	449.110	0.700		
0.710	39.840	82.080	120.000	241.920	0.710	79.540	129.980	242.500	452.020	0.710		
0.720	39.840	82.080	117.120	239.040	0.720	79.540	127.070	242.500	449.110	0.720		
0.730	39.840	82.080	120.000	241.920	0.730	76.630	127.070	242.500	446.200	0.730		
0.740	39.840	84.960	117.120	241.920	0.740	76.630	127.070	242.500	446.200	0.740		
0.750	39.840	82.080	117.120	239.040	0.750	77.000	125.000	242.000	444.000	0.750		
0.760	42.240	82.080	117.120	241.440	0.760	80.000	125.000	242.000	447.000	0.760		
0.770	42.240	84.960	114.720	241.920	0.770	80.000	125.000	242.000	447.000	0.770		
0.780	42.240	82.080	117.120	241.440	0.780	77.000	125.000	245.000	447.000	0.780		
0.790	42.240	84.960	114.720	241.920	0.790	77.000	125.000	245.000	447.000	0.790		
0.800	42.240	82.080	114.720	239.040	0.800	77.000	122.000	245.000	444.000	0.800		
0.810	42.240	82.080	114.720	239.040	0.810	77.000	122.000	245.000	444.000	0.810		
0.820	42.240	82.080	114.720	239.040	0.820	77.000	122.000	245.000	444.000	0.820		
0.830	44.640	82.080	114.720	241.440	0.830	77.000	122.000	247.000	446.000	0.830		
0.840	44.640	82.080	114.720	241.440	0.840	77.000	122.000	247.000	446.000	0.840		
0.850	44.640	84.960	114.720	244.320	0.850	75.000	122.000	247.000	444.000	0.850		
0.860	44.620	82.340	115.000	241.960	0.860	75.000	120.000	247.000	442.000	0.860		
0.870	47.380	82.340	112.240	241.960	0.870	75.000	122.000	250.000	447.000	0.870		
0.880	47.380	82.340	115.000	244.720	0.880	77.000	120.000	250.000	447.000	0.880		
0.890	47.380	84.640	112.240	244.260	0.890	75.000	120.000	250.000	445.000	0.890		
0.900	47.380	82.340	112.240	241.960	0.900	74.740	119.180	252.500	446.420	0.900		
0.910	47.380	84.640	112.240	244.260	0.910	74.740	119.180	252.500	446.420	0.910		
0.920	47.380	84.640	112.240	244.260	0.920	74.740	117.160	249.470	441.370	0.920		
0.930	49.680	84.640	115.000	249.320	0.930	74.740	117.160	249.470	441.370	0.930		
0.940	49.680	84.640	115.000	249.320	0.940	74.740	117.160	249.470	441.370	0.940		
0.950	49.680	87.400	115.000	252.080	0.950	74.740	114.130	249.470	438.340	0.950		
0.960	49.680	84.640	115.000	249.320	0.960	74.740	114.130	249.470	438.340	0.960		
0.970	49.680	84.640	115.000	249.320	0.970	74.740	114.130	249.470	438.340	0.970		
0.980	49.680	84.640	112.240	246.560	0.980	74.740	114.130	249.470	438.340	0.980		
0.990	49.680	87.400	115.000	252.080	0.990	74.740	114.130	249.470	438.340	0.990		
1.000	49.680	87.400	115.000	252.080	1.000	74.740	114.130	249.470	438.340	1.000		
1.010	49.820	87.420	117.500	254.740	1.010	71.710	112.110	249.470	433.290	1.010		
1.020	49.820	87.420	117.500	254.740	1.020	74.740	112.110	249.470	436.320	1.020		
1.030	49.820	87.420	114.680	251.920	1.030	71.710	112.110	247.450	431.270	1.030		
1.040	49.820	87.420	114.680	251.920	1.040	71.710	112.110	247.450	431.270	1.040		
1.050	49.820	87.420	114.680	251.920	1.050	74.250	111.870	247.500	433.620	1.050		
1.060	49.820	87.420	114.680	251.920	1.060	72.270	109.890	244.530	426.690	1.060		
1.070	49.820	89.770	114.680	254.270	1.070	74.250	109.890	247.500	431.640	1.070		
1.080	49.820	89.770	117.500	257.090	1.080	72.270	109.890	244.530	426.690	1.080		
1.090	52.170	89.770	117.500	259.440	1.090	72.270	109.890	247.500	429.660	1.090		
1.100	52.170	89.770	117.500	259.440	1.100	74.250	109.890	244.530	428.670	1.100		
1.110	52.170	89.770	117.500	259.440	1.110	74.250	109.890	247.500	431.640	1.110		
1.120	52.170	89.770	117.500	259.440	1.120	72.270	109.890	247.500	429.660	1.120		
1.130	52.170	92.120	117.500	261.790	1.130	74.250	109.890	244.530	428.670	1.130		
1.140	52.170	89.770	117.500	259.440	1.140	72.270	109.890	244.530	426.690	1.140		
1.150	52.170	89.770	114.680	256.620	1.150	74.250	109.890	244.530	428.670	1.150		
1.160	52.170	89.770	114.680	256.620	1.160	74.250	109.890	247.500	431.640	1.160		
1.170	52.170	89.770	114.680	256.620	1.170	72.270	109.890	247.500	429.660	1.170		
1.180	52.170	89.770	114.680	256.620	1.180	74.250	109.890	247.500	431.640	1.180		
1.190	52.170	89.770	114.680	256.620	1.190	72.270	109.890	244.530	426.690	1.190		
1.200	52.170	89.770	114.680	256.620	1.200	72.000	110.000	247.000	429.000	1.200		
1.210	52.170	89.770	114.680	256.620	1.210	75.000	110.000	247.000	432.000	1.210		
1.220	52.170	89.770	114.680	256.620	1.220	72.000	110.000	247.000	429.000	1.220		
1.230	52.170	89.770	114.680	256.620	1.230	72.000	110.000	247.000	429.000	1.230		
1.240	49.820	89.770	114.680	254.270	1.240	72.000	110.000	247.000	429.000	1.240		
1.250	49.820	89.770	114.680	254.270	1.250	72.000	110.000	247.000	429.000	1.250		
1.260	49.820	89.770	117.500	257.090	1.260	75.000	110.000	247.000	432.000	1.260		
1.270	49.820	89.770	117.500	257.090	1.270	75.000	110.000	247.000	432.000	1.270		
1.280	49.820	89.770	114.680	254.270	1.280	75.000	112.000	247.000	434.000	1.280		
1.290	49.820	89.770	114.680	254.270	1.290	75.000	112.000	247.000	434.000	1.290		
1.300	49.820	89.770	114.680	254.270	1.300	75.000	110.000	247.000	432.000	1.300		
1.310	52.440	89.700	115.000	257.140	1.310	75.000	110.000	247.000	432.000	1.310		
1.320	52.440	89.700	115.000	257.140	1.320	75.000	110.000	247.000	432.000	1.320		
1.330	52.440	89.700	115.000	257.140	1.330	75.000	110.000	247.000	432.000	1.330		
1.340	52.440	89.700	115.000	257.140	1.340	72.000	110.000	250.000	432.000	1.340		
1.350	52.440	89.700	115.000	257.140	1.350	74.740	112.110	249.470	436.320	1.350		
1.360	52.440	89.700	115.000	257.140	1.360	74.740	109.080	249.470	433.290	1.360		
1.370	52.440	89.700	115.000	257.140	1.370	71.710	112.110	249.470	433.290	1.370		
1.380	52.440	89.700	115.000	257.140	1.380	74.740	112.110	249.470	436.320	1.380		
1.390	49.680	89.700	112.240	251.620	1.390	74.740	112.110	249.470	436.320	1.390		
1.400	49.680	87.400	115.000	252.080	1.400	74.740	112.110	249.470	436.320	1.400		
1.410	52.440	87.400	115.000	254.840	1.410	71.710	112.110	249.470	433.290	1.410		
1.420	49.680	87.400	115.000	252.080	1.420	71.710	112.110	252.500	436.320	1.420		
1.430	49.680	87.400	115.000	252.080	1.430	71.710	112.110	252.500	436.320	1.430		
1.440	52.440	87.400	115.000	254.840	1.440	71.710	112.110	252.500	436.320	1.440		
1.450	49.680	87.400	115.000	252.080	1.450	74.740	112.110	252.500	439.350	1.450		
1.460	49.680	89.700	115.000	254.380	1.460	71.710	112.110	252.500	436.320	1.460		
1.470	52.440	89.700	115.000	257.140	1.470	71.710	112.110	252.500	436.320	1.470		
1.480	49.680	89.700	115.000	254.380	1.480	71.710	112.110	252.500	436.320	1.480		
1.490	49.680	87.400	115.000	252.080	1.490	74.740	112.110	249.470	436.320	1.490		
1.500	52.440	87.400	115.000	254.840	1.500	71.710	112.110	249.470	433.290	1.500		
1.510	52.440	87.400	115.000	254.840	1.510	71.710	112.110	249.470	433.290	1.510		
1.520	52.440	87.400	112.240	252.080	1.520	71.710	112.110	249.470	433.290	1.520		
1.530	52.440	87.400	115.000	254.840	1.530	71.710	112.110	249.470	433.290	1.530		
1.540	52.440	87.400	112.240	252.080	1.540	71.710	112.110	249.470	433.290	1.540		
1.550	52.440	87.400	112.240	252.080	1.550	71.710	112.110	249.470	433.290	1.550		
1.560	52.440	87.400	112.240	252.080	1.560	71.710	112.110	249.470	433.290	1.560		
1.570	52.440	87.400	112.240	252.080	1.570	74.740	112.110	249.470	436.320	1.570		
1.580	52.440	87.400	112.240	252.080	1.580	74.740	112.110	252.500	439.350	1.580		
1.590	52.440	84.640	112.240	249.320	1.590	71.710	112.110	249.470	433.290	1.590		
1.600	52.440	87.400	112.240	252.080	1.600	74.740	112.110	249.470	436.320	1.600		
1.610	54.900	84.600	112.500	252.000	1.610	74.740	114.130	249.470	438.340	1.610		
1.620	54.900	87.300	109.800	252.000	1.620	71.710	112.110	249.470	433.290	1.620		
1.630	54.900	87.300	112.500	254.700	1.630	74.740	112.110	249.470	436.320	1.630		
