C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\16\loadapp_2025-12-15_15-15-43-831.load
Comment s16vh crashed 6
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	45.000	54.900	49.800	149.700	0.000	67.200	141.400	350.000	558.600	0.000		
0.010	52.500	57.300	52.500	162.300	0.010	64.400	134.400	338.800	537.600	0.010		
0.020	57.300	62.400	57.300	177.000	0.020	64.400	131.600	334.600	530.600	0.020		
0.030	60.000	62.400	57.300	179.700	0.030	61.600	128.800	329.000	519.400	0.030		
0.040	62.400	64.800	57.300	184.500	0.040	58.800	127.400	324.800	511.000	0.040		
0.050	64.800	67.500	60.000	192.300	0.050	58.800	124.600	315.000	498.400	0.050		
0.060	64.800	67.500	60.000	192.300	0.060	58.800	121.800	309.400	490.000	0.060		
0.070	64.800	69.900	62.400	197.100	0.070	57.400	119.000	302.400	478.800	0.070		
0.080	67.500	72.300	62.400	202.200	0.080	57.400	119.000	296.800	473.200	0.080		
0.090	64.800	75.000	67.500	207.300	0.090	57.400	116.200	291.200	464.800	0.090		
0.100	64.800	75.000	67.500	207.300	0.100	58.800	116.200	289.800	464.800	0.100		
0.110	64.800	75.000	69.900	209.700	0.110	58.800	116.200	284.200	459.200	0.110		
0.120	64.740	77.220	69.810	211.770	0.120	58.800	116.200	284.200	459.200	0.120		
0.130	67.470	79.950	74.880	222.300	0.130	58.800	116.200	284.200	459.200	0.130		
0.140	64.740	79.950	74.880	219.570	0.140	58.800	119.000	284.200	462.000	0.140		
0.150	64.740	79.950	77.220	221.910	0.150	59.800	121.900	287.500	469.200	0.150		
0.160	64.740	82.290	77.220	224.250	0.160	59.800	121.900	287.500	469.200	0.160		
0.170	64.740	79.950	79.950	224.640	0.170	59.800	124.200	284.050	468.050	0.170		
0.180	62.400	79.950	79.950	222.300	0.180	62.100	124.200	284.050	470.350	0.180		
0.190	62.400	79.950	82.290	224.640	0.190	62.100	126.500	281.750	470.350	0.190		
0.200	59.670	79.950	84.630	224.250	0.200	64.400	129.950	279.450	473.800	0.200		
0.210	59.670	77.220	87.360	224.250	0.210	62.100	132.250	279.450	473.800	0.210		
0.220	59.670	77.220	89.700	226.590	0.220	64.400	134.550	277.150	476.100	0.220		
0.230	57.330	77.220	89.700	224.250	0.230	64.400	136.850	277.150	478.400	0.230		
0.240	57.330	77.220	92.430	226.980	0.240	62.100	136.850	274.850	473.800	0.240		
0.250	57.330	79.950	92.430	229.710	0.250	62.100	139.150	271.400	472.650	0.250		
0.260	54.990	79.950	97.500	232.440	0.260	62.100	141.450	269.100	472.650	0.260		
0.270	52.500	80.000	100.000	232.500	0.270	59.800	144.900	264.500	469.200	0.270		
0.280	52.500	80.000	100.000	232.500	0.280	59.800	144.900	262.200	466.900	0.280		
0.290	50.000	80.000	102.500	232.500	0.290	59.800	147.200	256.450	463.450	0.290		
0.300	47.500	80.000	105.000	232.500	0.300	62.000	147.000	250.000	459.000	0.300		
0.310	47.500	80.000	107.500	235.000	0.310	62.000	147.000	245.000	454.000	0.310		
0.320	47.500	80.000	110.000	237.500	0.320	62.000	147.000	240.000	449.000	0.320		
0.330	45.000	80.000	110.000	235.000	0.330	62.000	147.000	235.000	444.000	0.330		
0.340	45.000	82.500	112.500	240.000	0.340	65.000	147.000	232.000	444.000	0.340		
0.350	47.500	82.500	115.000	245.000	0.350	65.000	145.000	230.000	440.000	0.350		
0.360	45.000	85.000	115.000	245.000	0.360	67.000	142.000	225.000	434.000	0.360		
0.370	47.500	87.500	120.000	255.000	0.370	67.000	140.000	222.000	429.000	0.370		
0.380	47.500	87.500	120.000	255.000	0.380	67.000	135.000	222.000	424.000	0.380		
0.390	47.500	90.000	120.000	257.500	0.390	72.000	135.000	222.000	429.000	0.390		
0.400	50.000	92.500	122.500	265.000	0.400	72.000	130.000	222.000	424.000	0.400		
0.410	50.000	92.500	125.000	267.500	0.410	72.000	127.000	222.000	421.000	0.410		
0.420	52.250	94.600	127.050	273.900	0.420	77.000	127.000	225.000	429.000	0.420		
0.430	52.250	97.350	127.050	276.650	0.430	77.000	127.000	227.000	431.000	0.430		
0.440	52.250	94.600	127.050	273.900	0.440	80.000	127.000	227.000	434.000	0.440		
0.450	52.250	97.350	127.050	276.650	0.450	79.170	127.400	227.500	434.070	0.450		
0.460	52.250	97.350	127.050	276.650	0.460	79.170	127.400	224.770	431.340	0.460		
0.470	52.250	97.350	129.800	279.400	0.470	79.170	127.400	224.770	431.340	0.470		
0.480	52.250	97.350	129.800	279.400	0.480	79.170	127.400	222.040	428.610	0.480		
0.490	52.250	97.350	129.800	279.400	0.490	81.900	127.400	219.310	428.610	0.490		
0.500	52.250	97.350	132.000	281.600	0.500	79.170	124.670	217.490	421.330	0.500		
0.510	52.250	97.350	132.000	281.600	0.510	81.900	124.670	214.760	421.330	0.510		
0.520	49.500	97.350	132.000	278.850	0.520	81.900	124.670	214.760	421.330	0.520		
0.530	49.500	97.350	134.750	281.600	0.530	81.900	124.670	214.760	421.330	0.530		
0.540	49.500	97.350	134.750	281.600	0.540	81.900	127.400	212.030	421.330	0.540		
0.550	49.500	97.350	134.750	281.600	0.550	81.900	124.670	209.300	415.870	0.550		
0.560	47.300	97.350	137.500	282.150	0.560	81.900	124.670	209.300	415.870	0.560		
0.570	47.120	97.340	139.500	283.960	0.570	84.630	124.670	207.480	416.780	0.570		
0.580	44.640	97.340	139.500	281.480	0.580	84.630	127.400	207.480	419.510	0.580		
0.590	44.640	97.340	139.500	281.480	0.590	84.630	127.400	204.750	416.780	0.590		
0.600	42.160	97.340	141.980	281.480	0.600	84.460	127.100	205.000	416.560	0.600		
0.610	42.160	97.340	144.460	283.960	0.610	86.920	129.560	201.720	418.200	0.610		
0.620	42.160	94.860	146.940	283.960	0.620	86.920	129.560	199.260	415.740	0.620		
0.630	39.680	97.340	146.940	283.960	0.630	86.920	129.560	199.260	415.740	0.630		
0.640	39.680	94.860	149.420	283.960	0.640	89.380	132.020	196.800	418.200	0.640		
