C:\Users\Public\Documents\Novel Studio\load_data\2025-12-15\16\loadapp_2025-12-15_15-28-20-685.load
Comment s16vh crashed (5 oder 6)
	PRV263-L::heel	PRV263-L::mid	PRV263-L::front	PRV263-L		PRV264-R::front	PRV264-R::mid	PRV264-R::heel	PRV264-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	55.000	82.280	110.000	247.280	0.000	79.800	114.950	231.800	426.550	0.000		
0.010	55.000	82.280	110.000	247.280	0.010	81.700	112.100	231.800	425.600	0.010		
0.020	55.000	82.280	107.360	244.640	0.020	81.700	114.950	231.800	428.450	0.020		
0.030	55.000	82.280	110.000	247.280	0.030	81.700	112.100	234.650	428.450	0.030		
0.040	55.000	82.280	107.360	244.640	0.040	79.800	112.100	234.650	426.550	0.040		
0.050	55.000	79.640	107.360	242.000	0.050	81.700	114.950	234.650	431.300	0.050		
0.060	55.000	79.640	107.360	242.000	0.060	79.800	114.950	234.650	429.400	0.060		
0.070	55.000	79.640	107.360	242.000	0.070	79.800	114.950	237.500	432.250	0.070		
0.080	55.000	82.280	107.360	244.640	0.080	79.800	114.950	237.500	432.250	0.080		
0.090	55.000	79.640	107.360	242.000	0.090	81.700	114.950	237.500	434.150	0.090		
0.100	55.000	79.640	107.360	242.000	0.100	81.700	114.950	237.500	434.150	0.100		
0.110	55.000	79.640	107.360	242.000	0.110	81.700	114.950	237.500	434.150	0.110		
0.120	55.000	79.640	104.720	239.360	0.120	81.700	114.950	237.500	434.150	0.120		
0.130	55.000	79.640	104.720	239.360	0.130	81.700	114.950	237.500	434.150	0.130		
0.140	54.610	79.980	107.500	242.090	0.140	79.800	116.850	237.500	434.150	0.140		
0.150	54.610	79.980	107.500	242.090	0.150	79.380	114.660	237.160	431.200	0.150		
0.160	54.610	79.980	107.500	242.090	0.160	82.320	114.660	237.160	434.140	0.160		
0.170	54.610	79.980	107.500	242.090	0.170	79.380	116.620	237.160	433.160	0.170		
0.180	54.610	77.400	107.500	239.510	0.180	79.380	116.620	237.160	433.160	0.180		
0.190	52.460	77.400	104.920	234.780	0.190	82.320	116.620	237.160	436.100	0.190		
0.200	52.460	77.400	104.920	234.780	0.200	82.320	116.620	237.160	436.100	0.200		
0.210	52.460	77.400	104.920	234.780	0.210	82.320	116.620	239.120	438.060	0.210		
0.220	52.460	77.400	107.500	237.360	0.220	82.320	119.560	239.120	441.000	0.220		
0.230	52.460	77.400	107.500	237.360	0.230	79.380	119.560	239.120	438.060	0.230		
0.240	52.460	77.400	104.920	234.780	0.240	82.320	119.560	242.060	443.940	0.240		
0.250	52.460	77.400	104.920	234.780	0.250	79.380	119.560	239.120	438.060	0.250		
0.260	52.460	77.400	107.500	237.360	0.260	82.320	119.560	242.060	443.940	0.260		
0.270	52.460	74.820	104.920	232.200	0.270	79.380	119.560	242.060	441.000	0.270		
0.280	52.460	74.820	104.920	232.200	0.280	79.380	122.500	242.060	443.940	0.280		
0.290	49.720	74.800	104.720	229.240	0.290	79.380	124.460	245.000	448.840	0.290		
0.300	49.720	74.800	107.360	231.880	0.300	79.200	124.740	244.530	448.470	0.300		
0.310	49.720	74.800	104.720	229.240	0.310	79.200	124.740	244.530	448.470	0.310		
0.320	47.080	74.800	104.720	226.600	0.320	79.200	126.720	247.500	453.420	0.320		
0.330	47.080	72.160	104.720	223.960	0.330	79.200	126.720	247.500	453.420	0.330		
0.340	47.080	72.160	104.720	223.960	0.340	77.220	129.690	247.500	454.410	0.340		
0.350	47.080	72.160	107.360	226.600	0.350	77.220	129.690	247.500	454.410	0.350		
0.360	44.880	72.160	107.360	224.400	0.360	77.220	129.690	247.500	454.410	0.360		
0.370	44.880	72.160	104.720	221.760	0.370	77.220	129.690	244.530	451.440	0.370		
0.380	44.880	69.960	104.720	219.560	0.380	77.220	129.690	244.530	451.440	0.380		
0.390	44.880	72.160	107.360	224.400	0.390	77.220	129.690	247.500	454.410	0.390		
0.400	42.240	69.960	107.360	219.560	0.400	74.250	129.690	244.530	448.470	0.400		
0.410	42.240	69.960	107.360	219.560	0.410	74.250	131.670	244.530	450.450	0.410		
0.420	42.240	72.160	110.000	224.400	0.420	74.250	131.670	244.530	450.450	0.420		
0.430	42.240	69.960	107.360	219.560	0.430	74.250	129.690	244.530	448.470	0.430		
0.440	39.560	72.220	109.940	221.720	0.440	74.250	129.690	244.530	448.470	0.440		
0.450	39.560	69.920	109.940	219.420	0.450	71.540	129.360	245.000	445.900	0.450		
0.460	39.560	69.920	109.940	219.420	0.460	71.540	129.360	245.000	445.900	0.460		
0.470	39.560	69.920	109.940	219.420	0.470	71.540	129.360	245.000	445.900	0.470		
0.480	42.320	72.220	112.240	226.780	0.480	71.540	129.360	245.000	445.900	0.480		
0.490	42.320	72.220	112.240	226.780	0.490	71.540	129.360	245.000	445.900	0.490		
0.500	39.560	72.220	112.240	224.020	0.500	71.540	129.360	245.000	445.900	0.500		
0.510	42.320	72.220	112.240	226.780	0.510	71.540	129.360	242.060	442.960	0.510		
0.520	42.320	74.980	115.000	232.300	0.520	71.540	129.360	242.060	442.960	0.520		
0.530	42.320	74.980	112.240	229.540	0.530	71.540	129.360	239.120	440.020	0.530		
0.540	42.320	74.980	112.240	229.540	0.540	71.540	129.360	239.120	440.020	0.540		
0.550	42.320	74.980	115.000	232.300	0.550	71.540	132.300	239.120	442.960	0.550		
0.560	42.320	74.980	115.000	232.300	0.560	71.540	132.300	237.160	441.000	0.560		
0.570	42.320	74.980	115.000	232.300	0.570	74.480	132.300	237.160	443.940	0.570		
0.580	42.320	74.980	115.000	232.300	0.580	74.480	132.300	234.220	441.000	0.580		
0.590	42.240	74.880	114.720	231.840	0.590	74.480	132.300	234.220	441.000	0.590		
0.600	42.240	74.880	114.720	231.840	0.600	72.380	131.600	235.000	438.980	0.600		
0.610	42.240	77.280	117.120	236.640	0.610	74.260	131.600	232.180	438.040	0.610		
0.620	42.240	74.880	117.120	234.240	0.620	74.260	131.600	235.000	440.860	0.620		
0.630	42.240	77.280	117.120	236.640	0.630	74.260	134.420	232.180	440.860	0.630		
0.640	42.240	74.880	117.120	234.240	0.640	74.260	131.600	232.180	438.040	0.640		
0.650	42.240	74.880	117.120	234.240	0.650	74.260	131.600	232.180	438.040	0.650		
0.660	42.240	74.880	117.120	234.240	0.660	74.260	131.600	229.360	435.220	0.660		
0.670	42.240	77.280	117.120	236.640	0.670	74.260	131.600	229.360	435.220	0.670		
0.680	42.240	74.880	120.000	237.120	0.680	74.260	131.600	229.360	435.220	0.680		
0.690	42.240	74.880	117.120	234.240	0.690	74.260	131.600	229.360	435.220	0.690		
0.700	39.840	74.880	120.000	234.720	0.700	74.260	131.600	229.360	435.220	0.700		
0.710	39.840	74.880	117.120	231.840	0.710	74.260	131.600	229.360	435.220	0.710		
0.720	39.840	74.880	117.120	231.840	0.720	74.260	131.600	232.180	438.040	0.720		
0.730	39.840	74.880	117.120	231.840	0.730	74.260	131.600	232.180	438.040	0.730		
0.740	42.300	74.730	117.500	234.530	0.740	74.260	131.600	232.180	438.040	0.740		
0.750	42.300	74.730	117.500	234.530	0.750	72.000	132.480	232.320	436.800	0.750		
0.760	42.300	77.080	117.500	236.880	0.760	72.000	129.600	234.240	435.840	0.760		
0.770	42.300	77.080	117.500	236.880	0.770	72.000	129.600	234.240	435.840	0.770		
0.780	44.650	77.080	117.500	239.230	0.780	74.880	129.600	234.240	438.720	0.780		
0.790	44.650	79.900	117.500	242.050	0.790	74.880	129.600	234.240	438.720	0.790		
0.800	44.650	77.080	117.500	239.230	0.800	72.000	129.600	234.240	435.840	0.800		
0.810	44.650	79.900	117.500	242.050	0.810	72.000	129.600	234.240	435.840	0.810		
0.820	44.650	79.900	117.500	242.050	0.820	72.000	126.720	234.240	432.960	0.820		
0.830	44.650	77.080	114.680	236.410	0.830	72.000	126.720	234.240	432.960	0.830		
0.840	47.470	79.900	117.500	244.870	0.840	72.000	126.720	234.240	432.960	0.840		
0.850	47.470	79.900	114.680	242.050	0.850	72.000	126.720	237.120	435.840	0.850		
0.860	47.470	77.080	114.680	239.230	0.860	69.120	124.800	237.120	431.040	0.860		
0.870	47.470	79.900	114.680	242.050	0.870	72.000	126.720	237.120	435.840	0.870		
0.880	47.470	79.900	114.680	242.050	0.880	69.120	124.800	237.120	431.040	0.880		
0.890	49.680	79.580	115.000	244.260	0.890	72.000	124.800	240.000	436.800	0.890		
0.900	49.680	79.580	115.000	244.260	0.900	69.300	121.800	239.400	430.500	0.900		
0.910	49.680	79.580	112.240	241.500	0.910	69.300	121.800	239.400	430.500	0.910		
0.920	52.440	79.580	112.240	244.260	0.920	69.300	121.800	241.500	432.600	0.920		
0.930	52.440	79.580	109.940	241.960	0.930	67.200	119.700	241.500	428.400	0.930		
0.940	52.440	79.580	109.940	241.960	0.940	67.200	119.700	244.650	431.550	0.940		
0.950	52.440	79.580	109.940	241.960	0.950	64.050	119.700	246.750	430.500	0.950		
0.960	54.740	79.580	107.180	241.500	0.960	64.050	119.700	246.750	430.500	0.960		
0.970	57.500	77.280	104.880	239.660	0.970	64.050	116.550	249.900	430.500	0.970		
0.980	59.800	77.280	102.120	239.200	0.980	61.950	116.550	252.000	430.500	0.980		
0.990	62.100	77.280	99.820	239.200	0.990	61.950	114.450	252.000	428.400	0.990		
1.000	64.860	74.980	94.760	234.600	1.000	61.950	114.450	254.100	430.500	1.000		
1.010	69.920	77.280	92.460	239.660	1.010	59.850	112.350	257.250	429.450	1.010		
1.020	72.220	74.980	87.400	234.600	1.020	59.850	112.350	259.350	431.550	1.020		
1.030	74.980	74.980	84.640	234.600	1.030	59.850	112.350	262.500	434.700	1.030		
1.040	79.920	74.740	82.140	236.800	1.040	56.700	112.350	262.500	431.550	1.040		
1.050	79.920	72.150	79.920	231.990	1.050	57.240	109.180	265.000	431.420	1.050		
1.060	82.140	72.150	77.330	231.620	1.060	54.060	109.180	265.000	428.240	1.060		
1.070	84.730	72.150	77.330	234.210	1.070	54.060	109.180	265.000	428.240	1.070		
1.080	84.730	72.150	77.330	234.210	1.080	54.060	109.180	265.000	428.240	1.080		
1.090	84.730	72.150	77.330	234.210	1.090	54.060	107.060	265.000	426.120	1.090		
1.100	84.730	74.740	77.330	236.800	1.100	54.060	107.060	265.000	426.120	1.100		
1.110	82.140	72.150	77.330	231.620	1.110	54.060	107.060	265.000	426.120	1.110		
1.120	84.730	72.150	77.330	234.210	1.120	51.940	104.940	265.000	421.880	1.120		
1.130	84.730	72.150	77.330	234.210	1.130	49.820	107.060	265.000	421.880	1.130		
1.140	84.730	72.150	77.330	234.210	1.140	49.820	104.940	265.000	419.760	1.140		
1.150	84.730	72.150	77.330	234.210	1.150	49.820	104.940	261.820	416.580	1.150		
1.160	87.320	72.150	74.740	234.210	1.160	49.820	101.760	261.820	413.400	1.160		
1.170	89.910	74.740	74.740	239.390	1.170	46.640	99.640	256.520	402.800	1.170		
1.180	92.500	74.740	74.740	241.980	1.180	46.640	99.640	254.400	400.680	1.180		
1.190	97.090	77.380	74.460	248.930	1.190	46.640	96.460	249.100	392.200	1.190		
1.200	104.390	79.570	72.270	256.230	1.200	44.290	96.820	249.260	390.370	1.200		
1.210	112.420	79.570	72.270	264.260	1.210	42.230	96.820	249.260	388.310	1.210		
1.220	116.800	82.490	67.160	266.450	1.220	42.230	94.760	249.260	386.250	1.220		
1.230	121.910	82.490	67.160	271.560	1.230	39.140	94.760	252.350	386.250	1.230		
1.240	127.020	82.490	64.970	274.480	1.240	39.140	94.760	252.350	386.250	1.240		
1.250	129.940	79.570	62.050	271.560	1.250	37.080	94.760	252.350	384.190	1.250		
1.260	134.320	79.570	56.940	270.830	1.260	33.990	91.670	252.350	378.010	1.260		
1.270	139.430	79.570	56.940	275.940	1.270	29.870	89.610	254.410	373.890	1.270		
1.280	144.540	77.380	51.830	273.750	1.280	26.780	89.610	254.410	370.800	1.280		
1.290	151.840	77.380	49.640	278.860	1.290	24.720	86.520	254.410	365.650	1.290		
1.300	159.870	77.380	47.450	284.700	1.300	21.630	84.460	257.500	363.590	1.300		
1.310	167.170	74.460	42.340	283.970	1.310	19.570	84.460	257.500	361.530	1.310		
1.320	174.470	74.460	39.420	288.350	1.320	16.480	82.400	257.500	356.380	1.320		
1.330	182.500	74.460	37.230	294.190	1.330	12.360	77.250	254.410	344.020	1.330		
1.340	189.080	74.240	34.800	298.120	1.340	9.270	74.160	252.350	335.780	1.340		
1.350	194.880	76.560	34.800	306.240	1.350	6.930	72.270	247.500	326.700	1.350		
1.360	199.520	76.560	34.800	310.880	1.360	4.950	67.320	244.530	316.800	1.360		
1.370	204.160	76.560	32.480	313.200	1.370	1.980	62.370	239.580	303.930	1.370		
1.380	212.280	76.560	32.480	321.320	1.380	0.000	59.400	234.630	294.030	1.380		
1.390	219.240	76.560	29.000	324.800	1.390	0.000	57.420	226.710	284.130	1.390		
1.400	223.880	76.560	26.680	327.120	1.400	0.000	57.420	219.780	277.200	1.400		
1.410	232.000	76.560	24.360	332.920	1.410	0.000	57.420	214.830	272.250	1.410		
1.420	242.440	76.560	22.040	341.040	1.420	0.000	57.420	206.910	264.330	1.420		
1.430	249.400	74.240	22.040	345.680	1.430	0.000	57.420	199.980	257.400	1.430		
1.440	256.360	74.240	19.720	350.320	1.440	0.000	57.420	189.090	246.510	1.440		
1.450	266.800	74.240	17.400	358.440	1.450	0.000	59.400	179.190	238.590	1.450		
1.460	277.240	74.240	17.400	368.880	1.460	1.980	62.370	169.290	233.640	1.460		
1.470	281.880	76.560	17.400	375.840	1.470	4.950	67.320	159.390	231.660	1.470		
1.480	290.000	76.560	13.920	380.480	1.480	9.900	72.270	152.460	234.630	1.480		
1.490	292.500	77.220	16.380	386.100	1.490	16.830	79.200	144.540	240.570	1.490		
1.500	286.650	77.220	16.380	380.250	1.500	27.400	86.310	142.480	256.190	1.500		
1.510	274.950	77.220	16.380	368.550	1.510	36.990	94.530	142.480	274.000	1.510		
1.520	259.740	77.220	16.380	353.340	1.520	46.580	101.380	139.740	287.700	1.520		
1.530	234.000	74.880	16.380	325.260	1.530	56.170	109.600	137.000	302.770	1.530		
1.540	202.410	69.030	22.230	293.670	1.540	69.870	119.190	131.520	320.580	1.540		
1.550	164.970	69.030	26.910	260.910	1.550	89.050	134.260	128.780	352.090	1.550		
1.560	126.360	64.350	31.590	222.300	1.560	112.340	152.070	127.410	391.820	1.560		
1.570	88.920	57.330	39.780	186.030	1.570	134.260	169.880	127.410	431.550	1.570		
1.580	57.330	51.480	46.800	155.610	1.580	158.920	184.950	124.670	468.540	1.580		
1.590	33.930	42.120	54.990	131.040	1.590	184.950	198.650	116.450	500.050	1.590		
1.600	22.230	31.590	62.010	115.830	1.600	209.610	209.610	101.380	520.600	1.600		
1.610	14.040	26.910	64.350	105.300	1.610	239.750	219.200	86.310	545.260	1.610		
1.620	9.360	19.890	64.350	93.600	1.620	274.000	228.790	73.980	576.770	1.620		
1.630	4.680	16.380	66.690	87.750	1.630	306.880	234.270	64.390	605.540	1.630		
1.640	2.430	12.420	67.500	82.350	1.640	342.500	239.750	54.800	637.050	1.640		
1.650	0.000	9.990	62.370	72.360	1.650	381.900	241.200	46.900	670.000	1.650		
1.660	0.000	7.290	54.810	62.100	1.660	415.400	237.850	36.850	690.100	1.660		
1.670	0.000	2.430	47.250	49.680	1.670	448.900	234.500	33.500	716.900	1.670		
1.680	0.000	2.430	37.260	39.690	1.680	482.400	234.500	30.150	747.050	1.680		
1.690	0.000	0.000	29.970	29.970	1.690	509.200	227.800	23.450	760.450	1.690		
1.700	0.000	0.000	17.280	17.280	1.700	539.350	221.100	16.750	777.200	1.700		
1.710	0.000	0.000	12.420	12.420	1.710	572.850	214.400	13.400	800.650	1.710		
1.720	0.000	0.000	2.430	2.430	1.720	603.000	214.400	10.050	827.450	1.720		
1.730	0.000	0.000	0.000	0.000	1.730	629.800	214.400	10.050	854.250	1.730		
1.740	0.000	0.000	0.000	0.000	1.740	663.300	217.750	6.700	887.750	1.740		
1.750	0.000	0.000	0.000	0.000	1.750	693.450	224.450	6.700	924.600	1.750		
1.760	0.000	0.000	0.000	0.000	1.760	726.950	224.450	6.700	958.100	1.760		
