C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_09-54-14-816.load
Comment s17b
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	107.100	52.020	231.030	390.150	0.000	42.140	47.040	122.500	211.680	0.000		
0.010	107.100	52.020	244.800	403.920	0.010	42.140	47.040	122.500	211.680	0.010		
0.020	108.630	53.550	258.570	420.750	0.020	37.240	44.590	117.110	198.940	0.020		
0.030	108.630	56.610	276.930	442.170	0.030	34.790	39.690	112.210	186.690	0.030		
0.040	108.630	59.670	293.760	462.060	0.040	32.340	37.240	107.310	176.890	0.040		
0.050	111.690	59.670	306.000	477.360	0.050	29.890	32.340	97.020	159.250	0.050		
0.060	111.690	61.200	321.300	494.190	0.060	24.990	29.890	87.220	142.100	0.060		
0.070	114.750	64.260	333.540	512.550	0.070	24.990	27.440	77.420	129.850	0.070		
0.080	114.750	67.320	344.250	526.320	0.080	22.050	24.990	67.130	114.170	0.080		
0.090	119.340	67.320	351.900	538.560	0.090	22.050	22.050	59.780	103.880	0.090		
0.100	119.340	67.320	359.550	546.210	0.100	22.050	19.600	52.430	94.080	0.100		
0.110	119.340	68.850	368.730	556.920	0.110	22.050	19.600	47.040	88.690	0.110		
0.120	122.400	68.850	376.380	567.630	0.120	22.050	17.150	42.140	81.340	0.120		
0.130	123.930	68.850	382.500	575.280	0.130	22.050	14.700	37.240	73.990	0.130		
0.140	124.800	71.760	383.760	580.320	0.140	22.050	17.150	39.690	78.890	0.140		
0.150	126.360	71.760	390.000	588.120	0.150	22.050	17.150	39.690	78.890	0.150		
0.160	126.360	74.880	390.000	591.240	0.160	22.500	15.000	37.500	75.000	0.160		
0.170	126.360	74.880	390.000	591.240	0.170	19.950	17.400	37.500	74.850	0.170		
0.180	126.360	74.880	390.000	591.240	0.180	19.950	15.000	37.500	72.450	0.180		
0.190	124.800	74.880	386.880	586.560	0.190	19.950	15.000	37.500	72.450	0.190		
0.200	126.360	74.880	383.760	585.000	0.200	19.950	15.000	32.400	67.350	0.200		
0.210	124.800	74.880	383.760	583.440	0.210	19.950	15.000	34.950	69.900	0.210		
0.220	124.800	74.880	379.080	578.760	0.220	17.400	15.000	32.400	64.800	0.220		
0.230	121.680	74.880	379.080	575.640	0.230	17.400	15.000	30.000	62.400	0.230		
0.240	124.800	74.880	375.960	575.640	0.240	17.400	15.000	24.900	57.300	0.240		
0.250	121.680	74.880	374.400	570.960	0.250	17.400	12.450	24.900	54.750	0.250		
0.260	121.680	74.880	374.400	570.960	0.260	17.400	12.450	27.450	57.300	0.260		
0.270	118.560	74.880	374.400	567.840	0.270	17.400	15.000	30.000	62.400	0.270		
0.280	121.680	74.880	374.400	570.960	0.280	17.400	15.000	34.950	67.350	0.280		
0.290	120.000	75.000	375.000	570.000	0.290	17.400	15.000	37.500	69.900	0.290		
0.300	120.000	72.000	375.000	567.000	0.300	17.400	15.000	37.500	69.900	0.300		
0.310	120.000	75.000	375.000	570.000	0.310	17.200	17.200	42.140	76.540	0.310		
0.320	117.000	75.000	375.000	567.000	0.320	19.780	17.200	47.300	84.280	0.320		
0.330	117.000	75.000	375.000	567.000	0.330	22.360	17.200	49.880	89.440	0.330		
0.340	114.000	69.000	372.000	555.000	0.340	24.940	19.780	59.770	104.490	0.340		
0.350	114.000	72.000	369.000	555.000	0.350	27.090	22.360	64.930	114.380	0.350		
0.360	114.000	69.000	364.500	547.500	0.360	27.090	22.360	69.660	119.110	0.360		
0.370	114.000	69.000	360.000	543.000	0.370	34.830	24.940	74.820	134.590	0.370		
0.380	112.500	67.500	354.000	534.000	0.380	42.140	24.940	79.980	147.060	0.380		
0.390	112.500	67.500	349.500	529.500	0.390	47.300	27.090	84.710	159.100	0.390		
0.400	109.500	64.500	339.000	513.000	0.400	52.460	27.090	89.870	169.420	0.400		
0.410	109.500	64.500	330.000	504.000	0.410	57.190	27.090	94.600	178.880	0.410		
0.420	109.500	61.500	322.500	493.500	0.420	57.190	27.090	97.180	181.460	0.420		
0.430	109.500	61.500	315.000	486.000	0.430	62.350	29.670	99.760	191.780	0.430		
0.440	108.900	59.290	302.500	470.690	0.440	62.350	29.670	104.920	196.940	0.440		
0.450	106.480	56.870	291.610	454.960	0.450	64.930	29.670	107.500	202.100	0.450		
0.460	106.480	56.870	279.510	442.860	0.460	69.870	29.580	109.650	209.100	0.460		
0.470	106.480	54.450	272.250	433.180	0.470	72.420	32.130	112.200	216.750	0.470		
0.480	106.480	54.450	264.990	425.920	0.480	77.010	32.130	114.750	223.890	0.480		
0.490	106.480	54.450	256.520	417.450	0.490	79.560	32.130	117.300	228.990	0.490		
0.500	108.900	52.030	249.260	410.190	0.500	84.660	34.680	119.850	239.190	0.500		
0.510	106.480	52.030	244.420	402.930	0.510	89.760	34.680	122.400	246.840	0.510		
0.520	108.900	52.030	239.580	400.510	0.520	94.860	37.230	119.850	251.940	0.520		
0.530	108.900	52.030	232.320	393.250	0.530	97.410	37.230	122.400	257.040	0.530		
0.540	108.900	52.030	229.900	390.830	0.540	102.000	37.230	122.400	261.630	0.540		
0.550	106.480	49.610	227.480	383.570	0.550	107.100	37.230	124.950	269.280	0.550		
0.560	108.900	52.030	221.430	382.360	0.560	112.200	37.230	122.400	271.830	0.560		
0.570	106.480	49.610	219.010	375.100	0.570	117.300	37.230	124.950	279.480	0.570		
0.580	108.900	49.610	216.590	375.100	0.580	119.850	37.230	122.400	279.480	0.580		
0.590	109.220	49.880	215.000	374.100	0.590	124.950	37.230	124.950	287.130	0.590		
0.600	107.500	49.880	209.840	367.220	0.600	127.500	37.230	124.950	289.680	0.600		
0.610	107.500	47.300	207.260	362.060	0.610	129.930	37.210	122.000	289.140	0.610		
0.620	107.500	49.880	204.680	362.060	0.620	132.370	37.210	122.000	291.580	0.620		
0.630	107.500	49.880	202.100	359.480	0.630	134.810	37.210	122.000	294.020	0.630		
0.640	109.220	49.880	199.520	358.620	0.640	137.250	37.210	122.000	296.460	0.640		
0.650	107.500	49.880	196.940	354.320	0.650	139.690	39.650	124.440	303.780	0.650		
0.660	107.500	47.300	196.940	351.740	0.660	139.690	39.650	124.440	303.780	0.660		
