C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_10-05-40-647.load
Comment s17h
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	130.000	39.650	154.700	324.350	0.000	127.440	34.810	147.500	309.750	0.000		
0.010	130.000	39.650	157.300	326.950	0.010	127.440	34.810	144.550	306.800	0.010		
0.020	127.400	39.650	154.700	321.750	0.020	124.490	34.810	142.190	301.490	0.020		
0.030	127.400	39.650	154.700	321.750	0.030	127.440	34.810	142.190	304.440	0.030		
0.040	124.800	39.650	152.100	316.550	0.040	129.800	32.450	142.190	304.440	0.040		
0.050	124.800	37.050	152.100	313.950	0.050	132.160	34.810	139.830	306.800	0.050		
0.060	122.200	37.050	149.500	308.750	0.060	134.520	34.810	144.550	313.880	0.060		
0.070	124.800	37.050	152.100	313.950	0.070	137.470	34.810	142.190	314.470	0.070		
0.080	119.600	39.650	154.700	313.950	0.080	142.190	37.170	142.190	321.550	0.080		
0.090	122.200	39.650	154.700	316.550	0.090	142.190	37.170	142.190	321.550	0.090		
0.100	122.200	39.650	159.900	321.750	0.100	144.550	37.170	144.550	326.270	0.100		
0.110	122.200	39.650	159.900	321.750	0.110	144.550	34.810	142.190	321.550	0.110		
0.120	122.200	39.650	162.500	324.350	0.120	147.500	34.810	139.830	322.140	0.120		
0.130	122.200	39.650	162.500	324.350	0.130	147.500	34.810	142.190	324.500	0.130		
0.140	122.200	39.650	162.500	324.350	0.140	144.550	34.810	142.190	321.550	0.140		
0.150	122.200	39.650	162.500	324.350	0.150	144.570	34.770	142.130	321.470	0.150		
0.160	122.200	39.650	159.900	321.750	0.160	144.570	34.770	142.130	321.470	0.160		
0.170	122.200	39.650	159.900	321.750	0.170	142.130	34.770	142.130	319.030	0.170		
0.180	122.200	39.650	157.300	319.150	0.180	142.130	34.770	142.130	319.030	0.180		
0.190	122.200	37.050	154.700	313.950	0.190	142.130	37.210	142.130	321.470	0.190		
0.200	122.200	34.450	152.100	308.750	0.200	142.130	34.770	142.130	319.030	0.200		
0.210	122.200	34.450	146.900	303.550	0.210	142.130	37.210	142.130	321.470	0.210		
0.220	122.200	34.450	146.900	303.550	0.220	144.570	37.210	142.130	323.910	0.220		
0.230	119.600	34.450	144.950	299.000	0.230	147.010	37.210	144.570	328.790	0.230		
0.240	119.600	34.450	144.950	299.000	0.240	147.010	37.210	144.570	328.790	0.240		
0.250	119.600	34.450	144.950	299.000	0.250	149.450	37.210	144.570	331.230	0.250		
0.260	119.600	34.450	146.900	300.950	0.260	149.450	37.210	144.570	331.230	0.260		
0.270	119.600	34.450	146.900	300.950	0.270	152.500	39.650	147.010	339.160	0.270		
0.280	119.600	34.450	146.900	300.950	0.280	152.500	37.210	147.010	336.720	0.280		
0.290	122.400	37.200	147.000	306.600	0.290	152.500	37.210	147.010	336.720	0.290		
0.300	122.400	34.800	150.000	307.200	0.300	152.320	39.440	149.600	341.360	0.300		
0.310	122.400	37.200	147.000	306.600	0.310	152.320	37.400	146.880	336.600	0.310		
0.320	122.400	37.200	147.000	306.600	0.320	152.320	37.400	149.600	339.320	0.320		
0.330	122.400	34.800	144.600	301.800	0.330	149.600	39.440	149.600	338.640	0.330		
0.340	122.400	34.800	144.600	301.800	0.340	149.600	39.440	149.600	338.640	0.340		
0.350	122.400	34.800	142.200	299.400	0.350	149.600	39.440	152.320	341.360	0.350		
0.360	124.800	34.800	139.800	299.400	0.360	146.880	39.440	152.320	338.640	0.360		
0.370	122.400	34.800	139.800	297.000	0.370	144.840	42.160	157.080	344.080	0.370		
0.380	120.000	34.800	139.800	294.600	0.380	142.120	42.160	157.080	341.360	0.380		
0.390	122.400	34.800	139.800	297.000	0.390	142.120	42.160	159.800	344.080	0.390		
0.400	120.000	32.400	139.800	292.200	0.400	139.400	42.160	161.840	343.400	0.400		
0.410	120.000	32.400	137.400	289.800	0.410	139.400	44.880	164.560	348.840	0.410		
0.420	122.400	32.400	137.400	292.200	0.420	139.400	44.880	164.560	348.840	0.420		
0.430	120.000	32.400	137.400	289.800	0.430	139.400	42.160	167.280	348.840	0.430		
0.440	122.400	32.400	135.000	289.800	0.440	139.400	44.880	170.000	354.280	0.440		
0.450	124.800	32.400	135.000	292.200	0.450	137.200	44.800	172.200	354.200	0.450		
0.460	127.200	32.400	135.000	294.600	0.460	137.200	44.800	172.200	354.200	0.460		
0.470	129.600	34.800	132.000	296.400	0.470	137.200	44.800	172.200	354.200	0.470		
0.480	135.000	32.400	129.600	297.000	0.480	137.200	44.800	175.000	357.000	0.480		
0.490	137.400	32.400	127.200	297.000	0.490	134.400	44.800	175.000	354.200	0.490		
0.500	137.400	34.800	122.400	294.600	0.500	134.400	44.800	175.000	354.200	0.500		
0.510	142.200	34.800	120.000	297.000	0.510	134.400	44.800	175.000	354.200	0.510		
0.520	142.200	34.800	114.600	291.600	0.520	134.400	42.000	175.000	351.400	0.520		
0.530	144.600	34.800	109.800	289.200	0.530	134.400	44.800	175.000	354.200	0.530		
0.540	144.600	34.800	105.000	284.400	0.540	134.400	44.800	175.000	354.200	0.540		
0.550	147.000	34.800	102.000	283.800	0.550	134.400	44.800	175.000	354.200	0.550		
0.560	147.000	34.800	97.200	279.000	0.560	137.200	44.800	172.200	354.200	0.560		
0.570	150.000	34.800	97.200	282.000	0.570	140.000	44.800	172.200	357.000	0.570		
0.580	150.000	34.800	94.800	279.600	0.580	142.100	44.800	169.400	356.300	0.580		
0.590	152.500	34.770	92.110	279.380	0.590	144.900	44.800	169.400	359.100	0.590		
0.600	152.500	37.210	92.110	281.820	0.600	150.000	45.000	167.250	362.250	0.600		
0.610	152.500	37.210	89.670	279.380	0.610	152.250	45.000	167.250	364.500	0.610		
0.620	152.500	37.210	92.110	281.820	0.620	157.500	45.000	165.000	367.500	0.620		
0.630	149.450	37.210	92.110	278.770	0.630	157.500	45.000	162.000	364.500	0.630		
0.640	149.450	37.210	92.110	278.770	0.640	159.750	45.000	159.750	364.500	0.640		
0.650	147.010	39.650	94.550	281.210	0.650	162.000	45.000	159.750	366.750	0.650		
0.660	147.010	39.650	94.550	281.210	0.660	165.000	42.000	157.500	364.500	0.660		
0.670	144.570	39.650	94.550	278.770	0.670	167.250	42.000	154.500	363.750	0.670		
0.680	144.570	42.090	94.550	281.210	0.680	167.250	42.000	152.250	361.500	0.680		
0.690	142.130	39.650	92.110	273.890	0.690	169.500	42.000	152.250	363.750	0.690		
0.700	139.690	39.650	92.110	271.450	0.700	174.750	42.000	150.000	366.750	0.700		
0.710	139.690	39.650	92.110	271.450	0.710	177.000	45.000	150.000	372.000	0.710		
0.720	137.250	42.090	87.230	266.570	0.720	180.000	45.000	147.000	372.000	0.720		
0.730	137.250	42.090	84.790	264.130	0.730	182.250	42.000	147.000	371.250	0.730		
0.740	137.370	42.180	82.080	261.630	0.740	187.500	45.000	147.000	379.500	0.740		
0.750	137.370	42.180	79.800	259.350	0.750	189.140	44.100	147.000	380.240	0.750		
0.760	137.370	44.460	74.670	256.500	0.760	192.080	44.100	144.060	380.240	0.760		
0.770	139.650	44.460	72.390	256.500	0.770	194.040	44.100	144.060	382.200	0.770		
0.780	139.650	44.460	69.540	253.650	0.780	199.920	44.100	142.100	386.120	0.780		
0.790	137.370	44.460	64.980	246.810	0.790	201.880	44.100	142.100	388.080	0.790		
0.800	139.650	42.180	64.980	246.810	0.800	206.780	42.140	142.100	391.020	0.800		
0.810	137.370	42.180	62.130	241.680	0.810	211.680	44.100	142.100	397.880	0.810		
0.820	137.370	44.460	59.850	241.680	0.820	216.580	47.040	142.100	405.720	0.820		
0.830	139.650	44.460	59.850	243.960	0.830	222.460	47.040	139.160	408.660	0.830		
0.840	137.370	44.460	57.000	238.830	0.840	224.420	44.100	137.200	405.720	0.840		
0.850	139.650	44.460	57.000	241.110	0.850	229.320	44.100	137.200	410.620	0.850		
0.860	139.650	44.460	54.720	238.830	0.860	234.220	47.040	137.200	418.460	0.860		
0.870	139.650	44.460	54.720	238.830	0.870	237.160	47.040	134.260	418.460	0.870		
0.880	142.500	44.460	54.720	241.680	0.880	242.060	47.040	134.260	423.360	0.880		
0.890	142.100	44.660	52.200	238.960	0.890	245.000	47.040	132.300	424.340	0.890		
0.900	145.000	44.660	52.200	241.860	0.900	246.750	47.250	132.300	426.300	0.900		
0.910	142.100	44.660	52.200	238.960	0.910	249.900	47.250	129.150	426.300	0.910		
0.920	142.100	44.660	54.520	241.280	0.920	252.000	47.250	129.150	428.400	0.920		
0.930	139.780	44.660	54.520	238.960	0.930	252.000	47.250	127.050	426.300	0.930		
0.940	139.780	44.660	57.420	241.860	0.940	252.000	47.250	127.050	426.300	0.940		
0.950	137.460	44.660	57.420	239.540	0.950	252.000	47.250	127.050	426.300	0.950		
0.960	132.240	42.340	59.740	234.320	0.960	252.000	47.250	127.050	426.300	0.960		
0.970	129.920	42.340	57.420	229.680	0.970	252.000	47.250	124.950	424.200	0.970		
0.980	127.020	39.440	57.420	223.880	0.980	252.000	47.250	124.950	424.200	0.980		
0.990	124.700	39.440	57.420	221.560	0.990	252.000	47.250	124.950	424.200	0.990		
1.000	119.480	39.440	57.420	216.340	1.000	252.000	44.100	124.950	421.050	1.000		
1.010	117.160	37.120	57.420	211.700	1.010	252.000	47.250	124.950	424.200	1.010		
1.020	111.940	37.120	57.420	206.480	1.020	254.100	47.250	124.950	426.300	1.020		
1.030	109.620	34.800	57.420	201.840	1.030	257.250	47.250	124.950	429.450	1.030		
1.040	105.000	32.340	54.600	191.940	1.040	262.500	49.350	124.950	436.800	1.040		
1.050	102.480	32.340	57.120	191.940	1.050	264.000	49.200	127.200	440.400	1.050		
1.060	97.440	32.340	57.120	186.900	1.060	270.000	49.200	127.200	446.400	1.060		
1.070	94.920	29.820	57.120	181.860	1.070	272.400	51.600	127.200	451.200	1.070		
1.080	92.400	29.820	54.600	176.820	1.080	277.200	49.200	127.200	453.600	1.080		
1.090	87.360	29.820	57.120	174.300	1.090	282.000	54.000	129.600	465.600	1.090		
1.100	87.360	27.300	57.120	171.780	1.100	284.400	54.000	129.600	468.000	1.100		
1.110	87.360	27.300	54.600	169.260	1.110	289.200	54.000	127.200	470.400	1.110		
1.120	87.360	29.820	54.600	171.780	1.120	291.600	54.000	127.200	472.800	1.120		
1.130	87.360	27.300	54.600	169.260	1.130	294.000	56.400	129.600	480.000	1.130		
1.140	89.880	29.820	54.600	174.300	1.140	296.400	56.400	127.200	480.000	1.140		
1.150	87.360	29.820	52.500	169.680	1.150	296.400	56.400	132.000	484.800	1.150		
1.160	87.360	27.300	52.500	167.160	1.160	296.400	56.400	132.000	484.800	1.160		
1.170	87.360	27.300	49.980	164.640	1.170	300.000	56.400	134.400	490.800	1.170		
1.180	87.360	27.300	47.460	162.120	1.180	300.000	60.000	134.400	494.400	1.180		
1.190	87.500	27.300	49.700	164.500	1.190	300.000	60.000	132.000	492.000	1.190		
1.200	87.500	24.850	47.250	159.600	1.200	299.280	59.340	134.160	492.780	1.200		
1.210	84.700	24.850	47.250	156.800	1.210	299.280	59.340	134.160	492.780	1.210		
1.220	84.700	24.850	47.250	156.800	1.220	299.280	59.340	134.160	492.780	1.220		
1.230	82.250	24.850	47.250	154.350	1.230	301.860	59.340	136.740	497.940	1.230		
1.240	82.250	24.850	47.250	154.350	1.240	301.860	59.340	134.160	495.360	1.240		
1.250	79.800	22.400	47.250	149.450	1.250	304.440	56.760	134.160	495.360	1.250		
1.260	77.350	22.400	47.250	147.000	1.260	304.440	59.340	134.160	497.940	1.260		
1.270	74.900	22.400	49.700	147.000	1.270	304.440	59.340	131.580	495.360	1.270		
1.280	72.450	22.400	47.250	142.100	1.280	307.020	59.340	131.580	497.940	1.280		
1.290	70.000	19.950	47.250	137.200	1.290	307.020	56.760	131.580	495.360	1.290		
1.300	70.000	19.950	47.250	137.200	1.300	309.600	59.340	129.000	497.940	1.300		
1.310	67.200	19.950	47.250	134.400	1.310	312.180	59.340	129.000	500.520	1.310		
1.320	64.750	17.500	47.250	129.500	1.320	317.340	59.340	129.000	505.680	1.320		
1.330	64.750	19.950	44.800	129.500	1.330	319.920	59.340	129.000	508.260	1.330		
1.340	62.500	17.500	47.500	127.500	1.340	322.500	59.340	129.000	510.840	1.340		
1.350	62.500	17.500	47.500	127.500	1.350	321.750	58.630	127.270	507.650	1.350		
1.360	62.500	17.500	47.500	127.500	1.360	324.610	61.490	127.270	513.370	1.360		
1.370	60.000	17.500	45.000	122.500	1.370	328.900	61.490	128.700	519.090	1.370		
1.380	60.000	17.500	45.000	122.500	1.380	328.900	58.630	127.270	514.800	1.380		
1.390	60.000	17.500	45.000	122.500	1.390	331.760	58.630	127.270	517.660	1.390		
1.400	57.500	15.000	45.000	117.500	1.400	334.620	58.630	124.410	517.660	1.400		
1.410	57.500	17.500	45.000	120.000	1.410	334.620	58.630	124.410	517.660	1.410		
1.420	57.500	17.500	45.000	120.000	1.420	338.910	58.630	127.270	524.810	1.420		
1.430	55.000	17.500	45.000	117.500	1.430	338.910	58.630	124.410	521.950	1.430		
1.440	55.000	17.500	47.500	120.000	1.440	341.770	58.630	124.410	524.810	1.440		
1.450	55.000	15.000	45.000	115.000	1.450	344.630	61.490	121.550	527.670	1.450		
1.460	55.000	15.000	45.000	115.000	1.460	347.490	61.490	121.550	530.530	1.460		
1.470	52.500	15.000	47.500	115.000	1.470	348.920	58.630	117.260	524.810	1.470		
1.480	50.000	15.000	47.500	112.500	1.480	354.640	58.630	117.260	530.530	1.480		
1.490	47.500	15.000	50.000	112.500	1.490	357.500	57.200	114.400	529.100	1.490		
1.500	45.000	15.000	50.000	110.000	1.500	361.580	58.580	113.120	533.280	1.500		
