C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_10-18-09-891.load
Comment s17vh
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	102.050	29.900	152.100	284.050	0.000	106.800	54.290	194.910	356.000	0.000		
0.010	102.050	29.900	152.100	284.050	0.010	104.130	54.290	196.690	355.110	0.010		
0.020	102.050	29.900	149.500	281.450	0.020	102.350	54.290	202.030	358.670	0.020		
0.030	102.050	29.900	146.900	278.850	0.030	102.350	54.290	204.700	361.340	0.030		
0.040	102.050	29.900	144.950	276.900	0.040	99.680	54.290	207.370	361.340	0.040		
0.050	104.650	29.900	142.350	276.900	0.050	99.680	59.630	211.820	371.130	0.050		
0.060	104.650	29.900	142.350	276.900	0.060	97.010	59.630	211.820	368.460	0.060		
0.070	102.050	29.900	139.750	271.700	0.070	97.010	59.630	214.490	371.130	0.070		
0.080	104.650	29.900	139.750	274.300	0.080	94.340	59.630	217.160	371.130	0.080		
0.090	104.650	29.900	137.150	271.700	0.090	94.340	59.630	217.160	371.130	0.090		
0.100	104.650	29.900	137.150	271.700	0.100	94.340	59.630	217.160	371.130	0.100		
0.110	104.650	32.500	139.750	276.900	0.110	91.670	62.300	219.830	373.800	0.110		
0.120	104.720	29.680	137.200	271.600	0.120	91.670	62.300	219.830	373.800	0.120		
0.130	104.720	29.680	137.200	271.600	0.130	91.670	62.300	219.830	373.800	0.130		
0.140	106.960	29.680	137.200	273.840	0.140	89.890	62.300	222.500	374.690	0.140		
0.150	106.960	29.680	137.200	273.840	0.150	89.760	62.480	220.000	372.240	0.150		
0.160	109.760	32.480	137.200	279.440	0.160	87.120	62.480	220.000	369.600	0.160		
0.170	109.760	32.480	137.200	279.440	0.170	87.120	59.840	220.000	366.960	0.170		
0.180	109.760	32.480	137.200	279.440	0.180	87.120	59.840	217.360	364.320	0.180		
0.190	114.800	32.480	137.200	284.480	0.190	87.120	59.840	220.000	366.960	0.190		
0.200	114.800	32.480	140.000	287.280	0.200	87.120	62.480	217.360	366.960	0.200		
0.210	114.800	32.480	140.000	287.280	0.210	84.480	62.480	217.360	364.320	0.210		
0.220	117.040	32.480	140.000	289.520	0.220	84.480	62.480	217.360	364.320	0.220		
0.230	117.040	29.680	137.200	283.920	0.230	81.840	62.480	214.720	359.040	0.230		
0.240	119.840	32.480	140.000	292.320	0.240	84.480	59.840	214.720	359.040	0.240		
0.250	119.840	32.480	140.000	292.320	0.250	81.840	62.480	212.080	356.400	0.250		
0.260	122.080	32.480	140.000	294.560	0.260	81.840	59.840	209.440	351.120	0.260		
0.270	122.080	32.480	140.000	294.560	0.270	79.200	59.840	209.440	348.480	0.270		
