C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_10-08-11-161.load
Comment s17vw
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	110.000	25.000	92.500	227.500	0.000	264.000	34.800	64.800	363.600	0.000		
0.010	112.500	25.000	87.500	225.000	0.010	270.000	37.200	64.800	372.000	0.010		
0.020	112.500	25.000	82.500	220.000	0.020	274.800	37.200	69.600	381.600	0.020		
0.030	112.500	25.000	77.500	215.000	0.030	279.600	39.600	74.400	393.600	0.030		
0.040	112.500	22.500	72.500	207.500	0.040	282.000	39.600	76.800	398.400	0.040		
0.050	115.000	22.500	67.500	205.000	0.050	284.400	42.000	81.600	408.000	0.050		
0.060	112.500	25.000	65.000	202.500	0.060	286.800	42.000	84.000	412.800	0.060		
0.070	112.500	22.500	60.000	195.000	0.070	289.200	44.400	86.400	420.000	0.070		
0.080	110.000	22.500	57.500	190.000	0.080	291.600	46.800	92.400	430.800	0.080		
0.090	107.500	22.500	55.000	185.000	0.090	294.000	46.800	94.800	435.600	0.090		
0.100	107.500	20.000	52.500	180.000	0.100	296.400	46.800	97.200	440.400	0.100		
0.110	105.000	22.260	49.980	177.240	0.110	296.400	46.800	97.200	440.400	0.110		
0.120	99.960	19.740	47.460	167.160	0.120	300.000	49.200	102.000	451.200	0.120		
0.130	99.960	19.740	47.460	167.160	0.130	300.000	49.200	102.000	451.200	0.130		
0.140	97.440	19.740	44.940	162.120	0.140	296.400	51.600	104.400	452.400	0.140		
0.150	92.400	19.740	42.420	154.560	0.150	296.400	51.600	106.800	454.800	0.150		
0.160	89.880	19.740	42.420	152.040	0.160	296.400	51.600	109.200	457.200	0.160		
0.170	87.360	19.740	39.900	147.000	0.170	296.400	51.600	111.600	459.600	0.170		
0.180	82.320	19.740	39.900	141.960	0.180	296.400	51.600	114.000	462.000	0.180		
0.190	79.800	19.740	42.420	141.960	0.190	296.400	54.000	116.400	466.800	0.190		
0.200	77.280	19.740	39.900	136.920	0.200	294.000	54.000	120.000	468.000	0.200		
0.210	74.760	19.740	39.900	134.400	0.210	294.000	56.400	122.400	472.800	0.210		
0.220	74.760	19.740	39.900	134.400	0.220	296.400	56.400	124.800	477.600	0.220		
0.230	72.240	19.740	42.420	134.400	0.230	296.400	56.400	127.200	480.000	0.230		
0.240	69.720	19.740	42.420	131.880	0.240	296.400	60.000	129.600	486.000	0.240		
0.250	72.240	17.220	39.900	129.360	0.250	300.000	62.400	134.400	496.800	0.250		
0.260	72.450	17.500	39.900	129.850	0.260	296.400	64.800	139.200	500.400	0.260		
0.270	74.900	17.500	39.900	132.300	0.270	296.400	64.800	141.600	502.800	0.270		
0.280	77.350	19.950	39.900	137.200	0.280	296.400	67.200	146.400	510.000	0.280		
0.290	77.350	19.950	39.900	137.200	0.290	296.400	69.600	150.000	516.000	0.290		
0.300	79.800	19.950	39.900	139.650	0.300	297.500	71.400	157.080	525.980	0.300		
0.310	82.250	19.950	39.900	142.100	0.310	293.930	71.400	157.080	522.410	0.310		
0.320	84.700	19.950	37.450	142.100	0.320	291.550	71.400	159.460	522.410	0.320		
0.330	82.250	19.950	37.450	139.650	0.330	289.170	71.400	161.840	522.410	0.330		
0.340	84.700	19.950	37.450	142.100	0.340	286.790	71.400	161.840	520.030	0.340		
0.350	84.700	19.950	37.450	142.100	0.350	284.410	71.400	161.840	517.650	0.350		
0.360	84.700	19.950	37.450	142.100	0.360	282.030	69.020	161.840	512.890	0.360		
0.370	84.700	19.950	37.450	142.100	0.370	277.270	69.020	161.840	508.130	0.370		
0.380	84.700	19.950	37.450	142.100	0.380	274.890	71.400	161.840	508.130	0.380		
0.390	87.500	19.950	37.450	144.900	0.390	268.940	69.020	164.220	502.180	0.390		
