C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_10-15-46-462.load
Comment s17w
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	132.240	42.180	102.030	276.450	0.000	187.320	34.440	154.560	376.320	0.000		
0.010	134.520	42.180	102.030	278.730	0.010	184.800	34.440	152.040	371.280	0.010		
0.020	134.520	42.180	102.030	278.730	0.020	187.320	31.920	152.040	371.280	0.020		
0.030	137.370	44.460	102.030	283.860	0.030	187.320	31.920	152.040	371.280	0.030		
0.040	137.370	47.310	102.030	286.710	0.040	187.320	31.920	149.520	368.760	0.040		
0.050	137.370	44.460	99.750	281.580	0.050	187.320	31.920	149.520	368.760	0.050		
0.060	139.650	47.310	99.750	286.710	0.060	189.840	31.920	149.520	371.280	0.060		
0.070	139.650	47.310	97.470	284.430	0.070	189.840	31.920	149.520	371.280	0.070		
0.080	139.650	47.310	94.620	281.580	0.080	189.840	31.920	152.040	373.800	0.080		
0.090	139.650	49.590	92.340	281.580	0.090	189.840	34.440	154.560	378.840	0.090		
0.100	142.500	49.590	89.490	281.580	0.100	192.360	31.920	152.040	376.320	0.100		
0.110	142.500	49.590	84.930	277.020	0.110	194.880	34.440	154.560	383.880	0.110		
0.120	142.500	49.590	79.800	271.890	0.120	199.920	34.440	157.080	391.440	0.120		
0.130	142.500	47.310	72.390	262.200	0.130	204.960	36.960	159.600	401.520	0.130		
0.140	142.500	44.460	62.130	249.090	0.140	210.000	39.480	164.640	414.120	0.140		
0.150	142.500	44.460	57.000	243.960	0.150	217.350	39.150	167.400	423.900	0.150		
0.160	142.500	42.180	49.590	234.270	0.160	224.100	41.850	171.450	437.400	0.160		
0.170	142.500	44.460	42.180	229.140	0.170	232.200	44.550	174.150	450.900	0.170		
0.180	142.500	42.180	34.770	219.450	0.180	241.650	47.250	179.550	468.450	0.180		
0.190	142.500	39.900	24.510	206.910	0.190	252.450	49.950	182.250	484.650	0.190		
0.200	142.500	37.050	17.100	196.650	0.200	261.900	51.300	184.950	498.150	0.200		
0.210	137.370	34.770	9.690	181.830	0.210	271.350	56.700	189.000	517.050	0.210		
0.220	132.240	32.490	4.560	169.290	0.220	279.450	59.400	191.700	530.550	0.220		
0.230	127.110	29.640	0.000	156.750	0.230	286.200	62.100	194.400	542.700	0.230		
0.240	117.420	27.360	0.000	144.780	0.240	294.300	62.100	197.100	553.500	0.240		
0.250	107.160	19.950	0.000	127.110	0.250	302.400	64.800	197.100	564.300	0.250		
0.260	92.340	17.100	0.000	109.440	0.260	311.850	67.500	199.800	579.150	0.260		
0.270	74.670	14.820	0.000	89.490	0.270	319.950	71.550	202.500	594.000	0.270		
0.280	55.000	12.320	0.000	67.320	0.280	326.700	68.850	202.500	598.050	0.280		
0.290	37.400	9.900	0.000	47.300	0.290	337.500	71.550	203.850	612.900	0.290		
0.300	27.500	9.900	0.000	37.400	0.300	344.040	74.730	204.450	623.220	0.300		
0.310	14.960	7.480	0.000	22.440	0.310	349.680	74.730	201.630	626.040	0.310		
0.320	12.320	7.480	2.420	22.220	0.320	352.500	76.140	204.450	633.090	0.320		
0.330	9.900	7.480	2.420	19.800	0.330	352.500	76.140	201.630	630.270	0.330		
0.340	9.900	7.480	2.420	19.800	0.340	352.500	76.140	204.450	633.090	0.340		
0.350	7.480	7.480	4.840	19.800	0.350	344.040	76.140	204.450	624.630	0.350		
0.360	9.900	4.840	4.840	19.580	0.360	336.990	76.140	204.450	617.580	0.360		
0.370	7.480	4.840	4.840	17.160	0.370	327.120	74.730	204.450	606.300	0.370		
0.380	7.480	4.840	7.480	19.800	0.380	318.660	76.140	207.270	602.070	0.380		
0.390	4.840	4.840	7.480	17.160	0.390	311.610	76.140	211.500	599.250	0.390		
0.400	4.840	4.840	9.900	19.580	0.400	307.380	76.140	214.320	597.840	0.400		
0.410	4.840	4.840	9.900	19.580	0.410	304.560	78.960	217.140	600.660	0.410		
0.420	4.840	4.840	9.900	19.580	0.420	301.740	81.780	221.370	604.890	0.420		
0.430	4.970	4.970	12.460	22.400	0.430	296.100	84.600	224.190	604.890	0.430		
0.440	7.490	7.490	14.980	29.960	0.440	289.050	87.420	231.240	607.710	0.440		
0.450	4.970	4.970	14.980	24.920	0.450	277.020	88.920	239.400	605.340	0.450		
0.460	4.970	4.970	14.980	24.920	0.460	262.200	92.340	243.960	598.500	0.460		
0.470	4.970	4.970	14.980	24.920	0.470	254.220	92.340	254.220	600.780	0.470		
0.480	4.970	4.970	17.500	27.440	0.480	243.960	94.620	262.200	600.780	0.480		
0.490	4.970	4.970	17.500	27.440	0.490	237.120	94.620	269.040	600.780	0.490		
0.500	7.490	4.970	14.980	27.440	0.500	237.120	96.900	274.740	608.760	0.500		
0.510	7.490	4.970	17.500	29.960	0.510	237.120	99.180	277.020	613.320	0.510		
0.520	4.970	4.970	14.980	24.920	0.520	239.400	101.460	279.300	620.160	0.520		
0.530	4.970	4.970	17.500	27.440	0.530	243.960	104.880	285.000	633.840	0.530		
0.540	4.970	4.970	14.980	24.920	0.540	251.940	107.160	285.000	644.100	0.540		
0.550	7.490	4.970	12.460	24.920	0.550	254.220	104.880	281.580	640.680	0.550		
0.560	7.490	4.970	7.490	19.950	0.560	259.920	107.160	279.300	646.380	0.560		
0.570	4.970	4.970	4.970	14.910	0.570	264.480	107.160	279.300	650.940	0.570		
0.580	7.020	4.680	0.000	11.700	0.580	266.760	107.160	277.020	650.940	0.580		
0.590	7.020	2.340	0.000	9.360	0.590	266.760	104.880	269.040	640.680	0.590		
0.600	34.320	2.340	0.000	36.660	0.600	267.500	104.860	267.500	639.860	0.600		
0.610	139.620	2.340	12.480	154.440	0.610	264.290	101.650	264.290	630.230	0.610		
0.620	134.940	4.680	0.000	139.620	0.620	256.800	99.510	258.940	615.250	0.620		
0.630	184.860	9.360	14.820	209.040	0.630	243.960	97.370	249.310	590.640	0.630		
0.640	181.740	14.820	9.360	205.920	0.640	228.980	92.020	243.960	564.960	0.640		
0.650	191.880	21.840	19.500	233.220	0.650	214.000	86.670	239.680	540.350	0.650		
0.660	195.000	39.780	56.940	291.720	0.660	199.020	82.390	232.190	513.600	0.660		
0.670	181.740	49.920	119.340	351.000	0.670	176.550	77.040	224.700	478.290	0.670		
0.680	179.400	46.800	119.340	345.540	0.680	157.290	64.200	214.000	435.490	0.680		
0.690	181.740	42.120	97.500	321.360	0.690	139.100	59.920	206.510	405.530	0.690		
0.700	184.860	37.440	71.760	294.060	0.700	127.330	52.430	199.020	378.780	0.700		
0.710	187.200	34.320	56.940	278.460	0.710	121.980	47.080	187.250	356.310	0.710		
0.720	187.200	37.440	52.260	276.900	0.720	119.840	41.730	176.550	338.120	0.720		
0.730	187.500	39.750	57.000	284.250	0.730	121.980	37.450	166.920	326.350	0.730		
0.740	184.500	39.750	62.250	286.500	0.740	121.980	37.450	159.430	318.860	0.740		
0.750	180.000	45.000	69.750	294.750	0.750	122.100	32.340	152.460	306.900	0.750		
0.760	177.000	47.250	77.250	301.500	0.760	119.460	29.700	144.540	293.700	0.760		
0.770	169.500	52.500	90.000	312.000	0.770	117.480	29.700	139.920	287.100	0.770		
0.780	165.000	57.000	102.000	324.000	0.780	112.200	27.060	137.280	276.540	0.780		
0.790	159.750	60.000	114.750	334.500	0.790	104.940	24.420	132.000	261.360	0.790		
0.800	154.500	62.250	122.250	339.000	0.800	99.660	24.420	134.640	258.720	0.800		
0.810	152.250	62.250	124.500	339.000	0.810	92.400	22.440	134.640	249.480	0.810		
0.820	152.250	64.500	124.500	341.250	0.820	84.480	22.440	134.640	241.560	0.820		
0.830	150.000	62.250	122.250	334.500	0.830	79.860	22.440	137.280	239.580	0.830		
0.840	150.000	64.500	122.250	336.750	0.840	74.580	19.800	137.280	231.660	0.840		
0.850	152.250	67.500	127.500	347.250	0.850	69.960	19.800	141.900	231.660	0.850		
0.860	154.500	69.750	132.000	356.250	0.860	64.680	19.800	147.180	231.660	0.860		
0.870	154.500	69.750	137.250	361.500	0.870	59.400	17.160	152.460	229.020	0.870		
0.880	159.960	71.610	144.150	375.720	0.880	52.140	19.800	159.720	231.660	0.880		
0.890	159.960	69.750	151.590	381.300	0.890	49.500	19.800	165.000	234.300	0.890		
0.900	159.960	71.610	159.960	391.530	0.900	46.800	17.160	172.380	236.340	0.900		
0.910	161.820	71.610	164.610	398.040	0.910	44.460	17.160	177.060	238.680	0.910		
0.920	161.820	71.610	167.400	400.830	0.920	42.120	14.820	184.860	241.800	0.920		
0.930	167.400	71.610	172.050	411.060	0.930	39.780	14.820	189.540	244.140	0.930		
0.940	167.400	71.610	172.050	411.060	0.940	37.440	12.480	195.000	244.920	0.940		
0.950	172.050	71.610	172.050	415.710	0.950	34.320	9.360	195.000	238.680	0.950		
0.960	176.700	74.400	169.260	420.360	0.960	31.980	9.360	195.000	236.340	0.960		
0.970	184.140	74.400	164.610	423.150	0.970	27.300	9.360	195.000	231.660	0.970		
0.980	189.720	77.190	157.170	424.080	0.980	21.840	4.680	184.860	211.380	0.980		
0.990	197.160	77.190	151.590	425.940	0.990	14.820	4.680	179.400	198.900	0.990		
1.000	207.390	79.980	146.940	434.310	1.000	14.820	2.340	172.380	189.540	1.000		
1.010	219.480	81.840	139.500	440.820	1.010	12.480	2.340	164.580	179.400	1.010		
1.020	232.500	84.630	134.850	451.980	1.020	9.360	0.000	154.440	163.800	1.020		
1.030	242.190	88.920	132.210	463.320	1.030	4.680	0.000	139.620	144.300	1.030		
1.040	249.210	94.770	132.210	476.190	1.040	4.680	0.000	127.140	131.820	1.040		
1.050	257.400	94.770	132.210	484.380	1.050	2.150	0.000	107.500	109.650	1.050		
1.060	262.080	99.450	132.210	493.740	1.060	2.150	0.000	89.870	92.020	1.060		
1.070	266.760	101.790	136.890	505.440	1.070	2.150	0.000	74.820	76.970	1.070		
1.080	271.440	106.470	139.230	517.140	1.080	2.150	0.000	57.190	59.340	1.080		
1.090	279.630	109.980	141.570	531.180	1.090	4.730	0.000	42.140	46.870	1.090		
1.100	281.970	114.660	143.910	540.540	1.100	4.730	0.000	27.090	31.820	1.100		
1.110	286.650	117.000	147.420	551.070	1.110	4.730	0.000	14.620	19.350	1.110		
1.120	288.990	117.000	152.100	558.090	1.120	7.310	0.000	4.730	12.040	1.120		
1.130	292.500	119.340	156.780	568.620	1.130	7.310	0.000	0.000	7.310	1.130		
1.140	292.500	117.000	159.120	568.620	1.140	4.730	0.000	0.000	4.730	1.140		
1.150	292.500	119.340	161.460	573.300	1.150	4.730	0.000	0.000	4.730	1.150		
1.160	292.500	119.340	164.970	576.810	1.160	4.730	0.000	0.000	4.730	1.160		
1.170	292.500	117.000	164.970	574.470	1.170	4.730	0.000	0.000	4.730	1.170		
1.180	293.560	114.560	161.100	569.220	1.180	4.730	0.000	0.000	4.730	1.180		
1.190	298.930	110.980	159.310	569.220	1.190	4.730	0.000	0.000	4.730	1.190		
1.200	306.090	109.190	148.570	563.850	1.200	5.000	0.000	0.000	5.000	1.200		
1.210	316.830	110.980	141.410	569.220	1.210	5.000	0.000	0.000	5.000	1.210		
1.220	325.780	109.190	128.880	563.850	1.220	2.500	0.000	0.000	2.500	1.220		
1.230	338.310	107.400	119.930	565.640	1.230	2.500	0.000	0.000	2.500	1.230		
1.240	350.840	103.820	107.400	562.060	1.240	2.500	0.000	0.000	2.500	1.240		
1.250	366.950	102.030	96.660	565.640	1.250	2.500	0.000	0.000	2.500	1.250		
1.260	379.480	98.450	85.920	563.850	1.260	2.500	0.000	0.000	2.500	1.260		
1.270	392.010	94.870	76.970	563.850	1.270	2.500	0.000	0.000	2.500	1.270		
1.280	404.540	85.920	69.810	560.270	1.280	0.000	0.000	0.000	0.000	1.280		
1.290	417.070	84.130	60.860	562.060	1.290	0.000	0.000	0.000	0.000	1.290		
1.300	426.020	78.760	59.070	563.850	1.300	0.000	0.000	0.000	0.000	1.300		
1.310	434.970	73.390	53.700	562.060	1.310	0.000	0.000	0.000	0.000	1.310		
1.320	447.500	71.600	51.910	571.010	1.320	0.000	0.000	0.000	0.000	1.320		
1.330	456.950	69.160	49.400	575.510	1.330	0.000	0.000	0.000	0.000	1.330		
1.340	469.300	64.220	46.930	580.450	1.340	0.000	0.000	0.000	0.000	1.340		
1.350	479.180	64.220	46.930	590.330	1.350	0.000	0.000	0.000	0.000	1.350		
1.360	491.530	59.280	44.460	595.270	1.360	0.000	0.000	0.000	0.000	1.360		
1.370	503.880	56.810	44.460	605.150	1.370	0.000	0.000	0.000	0.000	1.370		
1.380	513.760	54.340	41.990	610.090	1.380	0.000	0.000	0.000	0.000	1.380		
1.390	526.110	49.400	37.050	612.560	1.390	0.000	0.000	0.000	0.000	1.390		
1.400	538.460	49.400	37.050	624.910	1.400	0.000	0.000	0.000	0.000	1.400		
1.410	548.340	46.930	34.580	629.850	1.410	0.000	0.000	0.000	0.000	1.410		
1.420	560.690	44.460	34.580	639.730	1.420	0.000	0.000	0.000	0.000	1.420		
1.430	573.040	39.520	29.640	642.200	1.430	0.000	0.000	0.000	0.000	1.430		
1.440	585.390	37.050	27.170	649.610	1.440	0.000	0.000	0.000	0.000	1.440		
