C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\17\loadapp_2025-12-16_10-10-49-506.load
Comment s17w crashed
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	132.160	42.480	144.550	319.190	0.000	137.460	34.800	132.240	304.500	0.000		
0.010	129.800	42.480	144.550	316.830	0.010	134.560	37.120	132.240	303.920	0.010		
0.020	132.160	42.480	144.550	319.190	0.020	134.560	34.800	134.560	303.920	0.020		
0.030	129.800	44.840	144.550	319.190	0.030	132.240	34.800	134.560	301.600	0.030		
0.040	132.160	44.840	144.550	321.550	0.040	129.920	37.120	137.460	304.500	0.040		
0.050	132.160	44.840	142.190	319.190	0.050	129.920	37.120	139.780	306.820	0.050		
0.060	132.160	44.840	144.550	321.550	0.060	127.020	37.120	139.780	303.920	0.060		
0.070	134.520	44.840	144.550	323.910	0.070	124.700	37.120	142.100	303.920	0.070		
0.080	132.160	44.840	144.550	321.550	0.080	124.700	37.120	142.100	303.920	0.080		
0.090	132.160	44.840	144.550	321.550	0.090	122.380	37.120	145.000	304.500	0.090		
0.100	134.520	47.200	144.550	326.270	0.100	122.380	39.440	145.000	306.820	0.100		
0.110	134.520	44.840	144.550	323.910	0.110	122.380	39.440	142.100	303.920	0.110		
0.120	134.520	44.840	144.550	323.910	0.120	122.380	37.120	142.100	301.600	0.120		
0.130	132.160	44.840	144.550	321.550	0.130	124.700	37.120	142.100	303.920	0.130		
0.140	134.520	47.200	147.500	329.220	0.140	124.700	37.120	139.780	301.600	0.140		
0.150	134.520	47.200	147.500	329.220	0.150	124.830	37.050	139.650	301.530	0.150		
0.160	132.160	47.200	147.500	326.860	0.160	127.110	37.050	137.370	301.530	0.160		
0.170	134.520	47.200	147.500	329.220	0.170	129.960	37.050	134.520	301.530	0.170		
0.180	132.160	44.840	147.500	324.500	0.180	129.960	37.050	132.240	299.250	0.180		
0.190	132.160	47.200	147.500	326.860	0.190	132.240	37.050	129.960	299.250	0.190		
0.200	132.160	47.200	147.500	326.860	0.200	134.520	37.050	129.960	301.530	0.200		
0.210	132.160	44.840	147.500	324.500	0.210	134.520	34.770	127.110	296.400	0.210		
0.220	132.160	44.840	147.500	324.500	0.220	137.370	34.770	124.830	296.970	0.220		
0.230	134.520	44.840	147.500	326.860	0.230	139.650	34.770	124.830	299.250	0.230		
0.240	132.160	44.840	147.500	324.500	0.240	142.500	34.770	124.830	302.100	0.240		
0.250	134.520	44.840	144.550	323.910	0.250	142.500	34.770	119.700	296.970	0.250		
0.260	134.560	44.660	145.000	324.220	0.260	142.500	34.770	121.980	299.250	0.260		
0.270	134.560	44.660	145.000	324.220	0.270	142.500	34.770	121.980	299.250	0.270		
0.280	134.560	44.660	145.000	324.220	0.280	142.500	34.770	121.980	299.250	0.280		
