C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\18\loadapp_2025-12-16_14-39-02-378.load
Comment s18vh crashed 9
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	82.080	82.080	132.300	296.460	0.000	202.500	117.450	102.060	422.010	0.000		
0.010	84.780	82.080	132.300	299.160	0.010	202.500	119.880	104.490	426.870	0.010		
0.020	84.780	82.080	132.300	299.160	0.020	202.500	119.880	102.060	424.440	0.020		
0.030	84.780	84.780	132.300	301.860	0.030	199.260	119.880	104.490	423.630	0.030		
0.040	84.780	82.080	132.300	299.160	0.040	202.500	119.880	104.490	426.870	0.040		
0.050	87.480	84.780	132.300	304.560	0.050	199.260	119.880	106.920	426.060	0.050		
0.060	87.480	84.780	129.600	301.860	0.060	199.260	119.880	104.490	423.630	0.060		
0.070	87.480	82.080	129.600	299.160	0.070	199.260	119.880	104.490	423.630	0.070		
0.080	87.480	84.780	129.600	301.860	0.080	199.260	119.880	104.490	423.630	0.080		
0.090	87.480	84.780	127.440	299.700	0.090	199.260	122.310	106.920	428.490	0.090		
0.100	87.480	84.780	129.600	301.860	0.100	199.260	122.310	106.920	428.490	0.100		
0.110	87.480	84.780	127.440	299.700	0.110	199.260	119.880	104.490	423.630	0.110		
0.120	87.210	84.660	127.500	299.370	0.120	196.830	119.880	104.490	421.200	0.120		
0.130	87.210	84.660	127.500	299.370	0.130	196.830	119.880	106.920	423.630	0.130		
0.140	89.760	84.660	127.500	301.920	0.140	196.830	119.880	106.920	423.630	0.140		
0.150	89.760	84.660	127.500	301.920	0.150	197.500	119.290	107.440	424.230	0.150		
0.160	89.760	87.210	127.500	304.470	0.160	194.340	122.450	109.810	426.600	0.160		
0.170	89.760	87.210	127.500	304.470	0.170	194.340	122.450	107.440	424.230	0.170		
0.180	89.760	84.660	127.500	301.920	0.180	194.340	122.450	107.440	424.230	0.180		
0.190	92.310	87.210	127.500	307.020	0.190	194.340	122.450	109.810	426.600	0.190		
