C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\18\loadapp_2025-12-16_14-28-42-882.load
Comment s18w crashed 3
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	109.740	107.380	144.550	361.670	0.000	82.500	129.750	180.000	392.250	0.000		
0.010	109.740	107.380	144.550	361.670	0.010	82.500	129.750	182.250	394.500	0.010		
0.020	109.740	107.380	144.550	361.670	0.020	79.500	127.500	180.000	387.000	0.020		
0.030	109.740	107.380	144.550	361.670	0.030	79.500	129.750	182.250	391.500	0.030		
0.040	109.740	107.380	144.550	361.670	0.040	79.500	129.750	182.250	391.500	0.040		
0.050	109.740	107.380	142.190	359.310	0.050	79.500	129.750	184.500	393.750	0.050		
0.060	112.100	107.380	142.190	361.670	0.060	79.500	129.750	184.500	393.750	0.060		
0.070	109.740	107.380	144.550	361.670	0.070	79.500	129.750	184.500	393.750	0.070		
0.080	109.740	107.380	144.550	361.670	0.080	79.500	132.000	184.500	396.000	0.080		
0.090	109.740	107.380	144.550	361.670	0.090	79.500	129.750	182.250	391.500	0.090		
0.100	109.740	104.430	142.190	356.360	0.100	79.500	129.750	184.500	393.750	0.100		
0.110	112.100	107.380	144.550	364.030	0.110	79.500	129.750	184.500	393.750	0.110		
0.120	109.740	107.380	144.550	361.670	0.120	77.250	129.750	187.500	394.500	0.120		
0.130	109.740	104.430	144.550	358.720	0.130	77.250	129.750	184.500	391.500	0.130		
0.140	109.740	107.380	144.550	361.670	0.140	77.250	129.750	184.500	391.500	0.140		
0.150	109.740	107.380	144.550	361.670	0.150	77.250	129.750	184.500	391.500	0.150		
0.160	109.740	107.380	144.550	361.670	0.160	77.250	127.500	184.500	389.250	0.160		
0.170	109.740	107.380	144.550	361.670	0.170	77.250	129.750	184.500	391.500	0.170		
0.180	109.740	107.380	144.550	361.670	0.180	77.250	129.750	184.500	391.500	0.180		
0.190	109.740	107.380	144.550	361.670	0.190	77.250	129.750	184.500	391.500	0.190		
0.200	109.740	107.380	147.500	364.620	0.200	77.250	129.750	184.500	391.500	0.200		
0.210	109.740	107.380	147.500	364.620	0.210	77.250	129.750	184.500	391.500	0.210		
0.220	109.740	107.380	147.500	364.620	0.220	77.250	129.750	187.500	394.500	0.220		
0.230	109.740	107.380	144.550	361.670	0.230	77.250	129.750	184.500	391.500	0.230		
0.240	107.380	104.430	147.500	359.310	0.240	77.250	129.750	184.500	391.500	0.240		
0.250	109.740	104.430	147.500	361.670	0.250	77.250	129.750	184.500	391.500	0.250		
0.260	109.740	107.380	147.500	364.620	0.260	75.000	129.750	184.500	389.250	0.260		
0.270	107.440	107.440	146.880	361.760	0.270	75.000	129.750	184.500	389.250	0.270		
0.280	109.480	107.440	149.600	366.520	0.280	77.250	129.750	187.500	394.500	0.280		
0.290	107.440	107.440	149.600	364.480	0.290	75.000	129.750	184.500	389.250	0.290		
0.300	107.440	107.440	149.600	364.480	0.300	74.800	129.200	184.450	388.450	0.300		
0.310	107.440	107.440	152.320	367.200	0.310	74.800	129.200	187.000	391.000	0.310		
0.320	104.720	107.440	152.320	364.480	0.320	74.800	129.200	187.000	391.000	0.320		
0.330	104.720	107.440	152.320	364.480	0.330	72.250	129.200	187.000	388.450	0.330		
0.340	104.720	107.440	154.360	366.520	0.340	69.700	129.200	189.550	388.450	0.340		
0.350	104.720	107.440	157.080	369.240	0.350	69.700	129.200	189.550	388.450	0.350		
