C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-27-08-059.load
Comment müll
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	114.570	134.670	167.500	416.740	0.000	167.500	111.890	94.470	373.860	0.000		
0.010	114.570	134.670	164.820	414.060	0.010	167.500	109.880	94.470	371.850	0.010		
0.020	114.570	131.990	164.820	411.380	0.020	167.500	109.880	94.470	371.850	0.020		
0.030	114.570	131.990	164.820	411.380	0.030	167.500	109.880	94.470	371.850	0.030		
0.040	114.570	131.990	164.820	411.380	0.040	167.500	109.880	94.470	371.850	0.040		
0.050	114.570	131.990	164.820	411.380	0.050	167.500	109.880	94.470	371.850	0.050		
0.060	114.570	131.990	164.820	411.380	0.060	167.500	111.890	97.150	376.540	0.060		
0.070	114.570	131.990	162.140	408.700	0.070	167.500	111.890	97.150	376.540	0.070		
0.080	114.570	131.990	162.140	408.700	0.080	167.500	111.890	97.150	376.540	0.080		
0.090	114.570	131.990	162.140	408.700	0.090	167.500	111.890	97.150	376.540	0.090		
0.100	114.570	131.990	162.140	408.700	0.100	167.500	111.890	97.150	376.540	0.100		
0.110	114.570	131.990	164.820	411.380	0.110	167.500	111.890	97.150	376.540	0.110		
0.120	114.570	131.990	162.140	408.700	0.120	167.500	111.890	97.150	376.540	0.120		
0.130	114.570	131.990	162.140	408.700	0.130	167.500	114.570	99.830	381.900	0.130		
0.140	114.570	131.990	164.820	411.380	0.140	167.500	114.570	99.830	381.900	0.140		
0.150	114.840	132.000	162.360	409.200	0.150	164.560	114.920	99.960	379.440	0.150		
0.160	114.840	129.360	162.360	406.560	0.160	164.560	114.920	99.960	379.440	0.160		
0.170	114.840	132.000	162.360	409.200	0.170	167.280	114.920	102.000	384.200	0.170		
0.180	112.200	129.360	159.720	401.280	0.180	167.280	116.960	99.960	384.200	0.180		
0.190	112.200	129.360	159.720	401.280	0.190	164.560	116.960	102.000	383.520	0.190		
0.200	112.200	129.360	162.360	403.920	0.200	164.560	116.960	102.000	383.520	0.200		
0.210	109.560	129.360	162.360	401.280	0.210	167.280	119.680	102.000	388.960	0.210		
0.220	112.200	129.360	162.360	403.920	0.220	164.560	116.960	102.000	383.520	0.220		
0.230	109.560	129.360	162.360	401.280	0.230	164.560	116.960	102.000	383.520	0.230		
0.240	109.560	129.360	162.360	401.280	0.240	167.280	116.960	102.000	386.240	0.240		
0.250	109.560	127.380	162.360	399.300	0.250	167.280	116.960	102.000	386.240	0.250		
0.260	106.920	129.360	162.360	398.640	0.260	167.280	119.680	102.000	388.960	0.260		
0.270	106.920	129.360	165.000	401.280	0.270	167.280	116.960	102.000	386.240	0.270		
0.280	109.560	129.360	162.360	401.280	0.280	167.280	116.960	99.960	384.200	0.280		
0.290	106.920	127.380	159.720	394.020	0.290	170.000	116.960	99.960	386.920	0.290		
0.300	107.200	127.300	159.460	393.960	0.300	167.280	116.960	99.960	384.200	0.300		
0.310	107.200	127.300	162.140	396.640	0.310	170.000	114.920	97.240	382.160	0.310		
0.320	107.200	129.980	164.820	402.000	0.320	170.000	116.960	99.960	386.920	0.320		
0.330	107.200	129.980	159.460	396.640	0.330	170.000	116.960	97.240	384.200	0.330		
0.340	107.200	129.980	162.140	399.320	0.340	170.000	119.680	97.240	386.920	0.340		
0.350	107.200	129.980	164.820	402.000	0.350	170.000	116.960	97.240	384.200	0.350		
0.360	107.200	131.990	162.140	401.330	0.360	170.000	116.960	97.240	384.200	0.360		
0.370	107.200	131.990	164.820	404.010	0.370	170.000	116.960	94.520	381.480	0.370		
0.380	107.200	131.990	164.820	404.010	0.380	170.000	114.920	94.520	379.440	0.380		
0.390	107.200	129.980	164.820	402.000	0.390	170.000	114.920	94.520	379.440	0.390		
0.400	109.880	131.990	164.820	406.690	0.400	170.000	114.920	97.240	382.160	0.400		
0.410	109.880	134.670	162.140	406.690	0.410	170.000	116.960	94.520	381.480	0.410		
0.420	109.880	134.670	164.820	409.370	0.420	170.000	116.960	94.520	381.480	0.420		
0.430	109.880	134.670	164.820	409.370	0.430	170.000	116.960	94.520	381.480	0.430		
0.440	109.880	134.670	167.500	412.050	0.440	170.000	114.920	94.520	379.440	0.440		
0.450	109.480	134.640	167.280	411.400	0.450	169.740	114.540	94.530	378.810	0.450		
0.460	109.480	134.640	164.560	408.680	0.460	169.740	114.540	94.530	378.810	0.460		
0.470	109.480	131.920	164.560	405.960	0.470	169.740	117.300	92.460	379.500	0.470		
0.480	109.480	134.640	167.280	411.400	0.480	169.740	114.540	92.460	376.740	0.480		
0.490	109.480	134.640	164.560	408.680	0.490	172.500	114.540	92.460	379.500	0.490		
0.500	109.480	134.640	167.280	411.400	0.500	172.500	114.540	92.460	379.500	0.500		
0.510	109.480	134.640	167.280	411.400	0.510	169.740	114.540	92.460	376.740	0.510		
0.520	107.440	134.640	167.280	409.360	0.520	169.740	114.540	92.460	376.740	0.520		
0.530	109.480	134.640	170.000	414.120	0.530	172.500	117.300	94.530	384.330	0.530		
0.540	107.440	134.640	167.280	409.360	0.540	169.740	114.540	92.460	376.740	0.540		
0.550	107.440	134.640	167.280	409.360	0.550	169.740	114.540	92.460	376.740	0.550		
0.560	107.440	134.640	167.280	409.360	0.560	172.500	114.540	92.460	379.500	0.560		
0.570	107.440	134.640	170.000	412.080	0.570	172.500	114.540	89.700	376.740	0.570		
0.580	107.440	134.640	170.000	412.080	0.580	169.740	117.300	92.460	379.500	0.580		
0.590	107.440	134.640	170.000	412.080	0.590	172.500	114.540	92.460	379.500	0.590		
0.600	106.950	134.550	169.740	411.240	0.600	169.740	117.300	92.460	379.500	0.600		
0.610	106.950	134.550	169.740	411.240	0.610	172.500	114.540	92.460	379.500	0.610		
0.620	106.950	134.550	172.500	414.000	0.620	172.500	117.300	92.460	382.260	0.620		
0.630	106.950	134.550	169.740	411.240	0.630	169.740	114.540	92.460	376.740	0.630		
0.640	106.950	134.550	169.740	411.240	0.640	169.740	114.540	92.460	376.740	0.640		
0.650	106.950	134.550	169.740	411.240	0.650	169.740	114.540	92.460	376.740	0.650		
0.660	104.880	134.550	169.740	409.170	0.660	172.500	117.300	92.460	382.260	0.660		
0.670	104.880	132.480	169.740	407.100	0.670	172.500	117.300	92.460	382.260	0.670		
