C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-37-44-453.load
Comment s19h crashed 7
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	194.340	59.860	69.700	323.900	0.000	18.850	56.550	304.500	379.900	0.000		
0.010	191.880	59.860	69.700	321.440	0.010	18.850	56.550	304.500	379.900	0.010		
0.020	186.960	57.400	67.240	311.600	0.020	18.850	59.450	308.850	387.150	0.020		
0.030	182.040	54.940	67.240	304.220	0.030	18.850	53.650	314.650	387.150	0.030		
0.040	179.580	52.480	64.780	296.840	0.040	17.400	56.550	316.100	390.050	0.040		
0.050	174.660	52.480	62.320	289.460	0.050	18.850	56.550	321.900	397.300	0.050		
0.060	172.200	49.200	59.860	281.260	0.060	17.400	56.550	326.250	400.200	0.060		
0.070	169.740	46.740	54.940	271.420	0.070	17.400	56.550	332.050	406.000	0.070		
0.080	167.280	46.740	54.940	268.960	0.080	17.400	56.550	336.400	410.350	0.080		
0.090	167.280	44.280	52.480	264.040	0.090	17.400	56.550	339.300	413.250	0.090		
0.100	167.280	44.280	49.200	260.760	0.100	17.400	59.450	343.650	420.500	0.100		
0.110	164.820	44.280	49.200	258.300	0.110	17.400	59.450	346.550	423.400	0.110		
0.120	165.000	44.880	49.500	259.380	0.120	17.400	62.350	352.350	432.100	0.120		
0.130	165.000	42.240	46.860	254.100	0.130	17.400	62.350	353.800	433.550	0.130		
0.140	165.000	42.240	44.880	252.120	0.140	17.400	62.350	359.600	439.350	0.140		
0.150	162.360	42.240	44.880	249.480	0.150	18.850	62.350	362.500	443.700	0.150		
0.160	159.720	39.600	42.240	241.560	0.160	16.000	64.000	364.800	444.800	0.160		
0.170	159.720	36.960	42.240	238.920	0.170	16.000	64.000	366.400	446.400	0.170		
0.180	157.080	36.960	39.600	233.640	0.180	16.000	64.000	369.600	449.600	0.180		
0.190	157.080	34.980	39.600	231.660	0.190	16.000	64.000	371.200	451.200	0.190		
0.200	154.440	34.980	36.960	226.380	0.200	19.200	64.000	376.000	459.200	0.200		
0.210	154.440	32.340	36.960	223.740	0.210	16.000	64.000	379.200	459.200	0.210		
0.220	154.440	29.700	34.980	219.120	0.220	19.200	62.400	379.200	460.800	0.220		
0.230	152.460	24.420	32.340	209.220	0.230	16.000	64.000	384.000	464.000	0.230		
0.240	152.460	22.440	27.060	201.960	0.240	16.000	64.000	387.200	467.200	0.240		
0.250	154.440	22.440	27.060	203.940	0.250	16.000	64.000	388.800	468.800	0.250		
0.260	152.460	19.800	22.440	194.700	0.260	16.000	64.000	392.000	472.000	0.260		
0.270	152.500	21.960	19.520	193.980	0.270	16.000	64.000	393.600	473.600	0.270		
0.280	149.450	19.520	19.520	188.490	0.280	14.400	64.000	396.800	475.200	0.280		
0.290	149.450	17.080	19.520	186.050	0.290	14.400	64.000	400.000	478.400	0.290		
0.300	149.450	19.520	19.520	188.490	0.300	14.400	64.000	400.000	478.400	0.300		
0.310	147.010	17.080	17.080	181.170	0.310	14.670	63.570	404.240	482.480	0.310		
0.320	147.010	17.080	17.080	181.170	0.320	16.300	63.570	404.240	484.110	0.320		
0.330	144.570	17.080	17.080	178.730	0.330	16.300	66.830	404.240	487.370	0.330		
0.340	142.130	14.640	14.640	171.410	0.340	14.670	63.570	404.240	482.480	0.340		
0.350	142.130	17.080	17.080	176.290	0.350	16.300	66.830	404.240	487.370	0.350		
0.360	139.690	14.640	17.080	171.410	0.360	16.300	66.830	404.240	487.370	0.360		
0.370	139.690	14.640	14.640	168.970	0.370	16.300	66.830	404.240	487.370	0.370		
0.380	137.250	17.080	14.640	168.970	0.380	16.300	66.830	404.240	487.370	0.380		
0.390	137.250	14.640	14.640	166.530	0.390	16.300	66.830	400.980	484.110	0.390		
0.400	137.250	14.640	17.080	168.970	0.400	16.300	68.460	404.240	489.000	0.400		
0.410	137.250	14.640	14.640	166.530	0.410	16.300	68.460	404.240	489.000	0.410		
0.420	137.500	14.850	17.050	169.400	0.420	16.300	68.460	404.240	489.000	0.420		
0.430	134.750	14.850	14.850	164.450	0.430	16.300	68.460	404.240	489.000	0.430		
0.440	134.750	14.850	12.100	161.700	0.440	16.300	68.460	407.500	492.260	0.440		
0.450	134.750	12.100	14.850	161.700	0.450	16.300	68.460	407.500	492.260	0.450		
0.460	134.750	12.100	14.850	161.700	0.460	19.560	68.460	404.240	492.260	0.460		
0.470	134.750	14.850	17.050	166.650	0.470	16.300	66.830	407.500	490.630	0.470		
0.480	132.000	17.050	17.050	166.100	0.480	16.300	66.830	404.240	487.370	0.480		
0.490	132.000	14.850	14.850	161.700	0.490	16.300	66.830	404.240	487.370	0.490		
0.500	134.750	14.850	14.850	164.450	0.500	16.300	66.830	404.240	487.370	0.500		
0.510	134.750	17.050	17.050	168.850	0.510	16.300	68.460	407.500	492.260	0.510		
0.520	132.000	17.050	14.850	163.900	0.520	16.300	68.460	407.500	492.260	0.520		
0.530	134.750	17.050	17.050	168.850	0.530	19.560	68.460	404.240	492.260	0.530		
0.540	134.750	17.050	19.800	171.600	0.540	19.560	68.460	404.240	492.260	0.540		
0.550	134.750	17.050	19.800	171.600	0.550	19.560	68.460	400.980	489.000	0.550		
0.560	134.750	17.050	19.800	171.600	0.560	19.560	71.720	399.350	490.630	0.560		
0.570	135.000	19.980	19.980	174.960	0.570	19.560	68.460	394.460	482.480	0.570		
0.580	132.300	19.980	22.140	174.420	0.580	19.560	71.720	391.200	482.480	0.580		
0.590	132.300	22.140	22.140	176.580	0.590	21.190	71.720	386.310	479.220	0.590		
0.600	132.300	22.140	24.840	179.280	0.600	21.190	71.720	384.680	477.590	0.600		
0.610	129.600	24.840	24.840	179.280	0.610	21.280	74.480	380.000	475.760	0.610		
0.620	129.600	24.840	27.000	181.440	0.620	24.320	74.480	376.960	475.760	0.620		
0.630	127.440	27.000	29.700	184.140	0.630	27.360	76.000	372.400	475.760	0.630		
0.640	127.440	27.000	32.400	186.840	0.640	27.360	76.000	366.320	469.680	0.640		
0.650	127.440	29.700	34.560	191.700	0.650	27.360	79.040	361.760	468.160	0.650		
0.660	127.440	32.400	34.560	194.400	0.660	31.920	82.080	358.720	472.720	0.660		
0.670	124.740	32.400	37.260	194.400	0.670	31.920	82.080	354.160	468.160	0.670		
0.680	124.740	34.560	37.260	196.560	0.680	34.960	83.600	349.600	468.160	0.680		
0.690	124.740	34.560	37.260	196.560	0.690	34.960	83.600	346.560	465.120	0.690		
0.700	122.040	34.560	39.960	196.560	0.700	36.480	83.600	343.520	463.600	0.700		
0.710	122.040	34.560	42.120	198.720	0.710	36.480	83.600	338.960	459.040	0.710		
0.720	120.000	37.440	42.240	199.680	0.720	36.480	83.600	338.960	459.040	0.720		
0.730	117.120	34.560	42.240	193.920	0.730	39.520	86.640	338.960	465.120	0.730		
0.740	117.120	37.440	44.640	199.200	0.740	39.520	86.640	337.440	463.600	0.740		
0.750	117.120	37.440	44.640	199.200	0.750	39.520	86.640	337.440	463.600	0.750		
0.760	114.720	34.560	44.640	193.920	0.760	41.540	87.100	335.000	463.640	0.760		
0.770	114.720	34.560	44.640	193.920	0.770	38.860	89.780	335.000	463.640	0.770		
0.780	112.320	37.440	47.040	196.800	0.780	41.540	89.780	335.000	466.320	0.780		
0.790	112.320	37.440	47.040	196.800	0.790	41.540	89.780	335.000	466.320	0.790		
0.800	112.320	37.440	47.040	196.800	0.800	41.540	89.780	335.000	466.320	0.800		
0.810	112.320	37.440	47.040	196.800	0.810	44.220	92.460	332.320	469.000	0.810		
