C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-33-30-748.load
Comment s19vh
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	160.000	119.680	124.800	404.480	0.000	77.050	69.680	167.500	314.230	0.000		
0.010	160.000	119.680	124.800	404.480	0.010	77.050	69.680	167.500	314.230	0.010		
0.020	160.000	119.680	122.240	401.920	0.020	82.410	69.680	164.820	316.910	0.020		
0.030	160.000	122.240	124.800	407.040	0.030	79.730	72.360	164.820	316.910	0.030		
0.040	160.000	119.680	124.800	404.480	0.040	82.410	69.680	164.820	316.910	0.040		
0.050	160.000	119.680	124.800	404.480	0.050	82.410	69.680	164.820	316.910	0.050		
0.060	157.440	122.240	127.360	407.040	0.060	84.420	69.680	162.140	316.240	0.060		
0.070	157.440	122.240	124.800	404.480	0.070	82.410	69.680	162.140	314.230	0.070		
0.080	154.880	122.240	127.360	404.480	0.080	87.100	72.360	162.140	321.600	0.080		
0.090	157.440	122.240	124.800	404.480	0.090	84.420	72.360	162.140	318.920	0.090		
0.100	154.880	122.240	127.360	404.480	0.100	84.420	74.370	162.140	320.930	0.100		
0.110	154.880	119.680	127.360	401.920	0.110	84.420	72.360	162.140	318.920	0.110		
0.120	152.320	119.680	127.360	399.360	0.120	84.420	74.370	162.140	320.930	0.120		
0.130	152.320	122.240	127.360	401.920	0.130	84.420	72.360	162.140	318.920	0.130		
0.140	152.500	119.560	127.490	399.550	0.140	87.100	74.370	159.460	320.930	0.140		
0.150	149.450	122.000	127.490	398.940	0.150	87.100	74.370	159.460	320.930	0.150		
0.160	149.450	119.560	129.930	398.940	0.160	87.040	77.440	160.000	324.480	0.160		
0.170	147.010	119.560	129.930	396.500	0.170	89.600	77.440	160.000	327.040	0.170		
0.180	147.010	122.000	127.490	396.500	0.180	89.600	77.440	160.000	327.040	0.180		
0.190	144.570	119.560	129.930	394.060	0.190	89.600	77.440	157.440	324.480	0.190		
0.200	144.570	122.000	129.930	396.500	0.200	89.600	77.440	160.000	327.040	0.200		
0.210	144.570	119.560	129.930	394.060	0.210	89.600	77.440	157.440	324.480	0.210		
0.220	142.130	119.560	129.930	391.620	0.220	92.160	80.000	160.000	332.160	0.220		
0.230	142.130	119.560	129.930	391.620	0.230	89.600	80.000	160.000	329.600	0.230		
0.240	142.130	119.560	129.930	391.620	0.240	89.600	80.000	160.000	329.600	0.240		
0.250	139.690	119.560	129.930	389.180	0.250	92.160	80.000	157.440	329.600	0.250		
0.260	139.690	119.560	132.370	391.620	0.260	89.600	81.920	160.000	331.520	0.260		
0.270	139.690	119.560	132.370	391.620	0.270	94.720	81.920	157.440	334.080	0.270		
0.280	139.690	122.000	132.370	394.060	0.280	92.160	81.920	157.440	331.520	0.280		
0.290	137.500	122.100	132.000	391.600	0.290	92.160	81.920	157.440	331.520	0.290		
0.300	137.500	122.100	132.000	391.600	0.300	97.280	81.920	154.880	334.080	0.300		
0.310	137.500	122.100	134.750	394.350	0.310	94.500	81.900	154.980	331.380	0.310		
0.320	134.750	122.100	132.000	388.850	0.320	97.020	81.900	154.980	333.900	0.320		
0.330	134.750	122.100	134.750	391.600	0.330	97.020	81.900	154.980	333.900	0.330		
0.340	132.000	119.900	134.750	386.650	0.340	97.020	84.420	154.980	336.420	0.340		
0.350	132.000	119.900	134.750	386.650	0.350	97.020	84.420	154.980	336.420	0.350		
0.360	132.000	119.900	134.750	386.650	0.360	97.020	84.420	154.980	336.420	0.360		
0.370	129.800	119.900	134.750	384.450	0.370	99.540	86.940	157.500	343.980	0.370		
0.380	127.050	119.900	137.500	384.450	0.380	99.540	86.940	157.500	343.980	0.380		
0.390	127.050	119.900	134.750	381.700	0.390	99.540	86.940	154.980	341.460	0.390		
0.400	127.050	119.900	134.750	381.700	0.400	99.540	89.460	157.500	346.500	0.400		
0.410	127.050	119.900	134.750	381.700	0.410	102.060	89.460	154.980	346.500	0.410		
0.420	127.050	117.150	134.750	378.950	0.420	102.060	89.460	154.980	346.500	0.420		
0.430	124.850	117.150	137.500	379.500	0.430	102.060	89.460	154.980	346.500	0.430		
0.440	122.380	117.160	137.460	377.000	0.440	102.060	89.460	154.980	346.500	0.440		
0.450	122.380	117.160	134.560	374.100	0.450	104.580	91.980	154.980	351.540	0.450		
0.460	119.480	114.840	134.560	368.880	0.460	104.780	92.380	155.000	352.160	0.460		
0.470	119.480	114.840	134.560	368.880	0.470	107.260	92.380	155.000	354.640	0.470		
0.480	119.480	114.840	134.560	368.880	0.480	107.260	94.860	151.900	354.020	0.480		
0.490	119.480	114.840	137.460	371.780	0.490	107.260	94.860	151.900	354.020	0.490		
0.500	117.160	111.940	137.460	366.560	0.500	109.740	94.860	151.900	356.500	0.500		
0.510	117.160	111.940	139.780	368.880	0.510	109.740	94.860	149.420	354.020	0.510		
0.520	117.160	109.620	139.780	366.560	0.520	109.740	94.860	149.420	354.020	0.520		
0.530	114.840	109.620	142.100	366.560	0.530	112.220	94.860	146.940	354.020	0.530		
