C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-57-55-975.load
Comment s19 w
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	177.500	104.370	114.310	396.180	0.000	137.500	87.450	110.000	334.950	0.000		
0.010	177.500	102.240	114.310	394.050	0.010	137.500	87.450	110.000	334.950	0.010		
0.020	177.500	102.240	117.150	396.890	0.020	137.500	84.700	110.000	332.200	0.020		
0.030	177.500	102.240	114.310	394.050	0.030	137.500	87.450	107.250	332.200	0.030		
0.040	177.500	102.240	114.310	394.050	0.040	134.750	84.700	107.250	326.700	0.040		
0.050	177.500	104.370	117.150	399.020	0.050	137.500	87.450	107.250	332.200	0.050		
0.060	177.500	104.370	114.310	396.180	0.060	134.750	87.450	110.000	332.200	0.060		
0.070	177.500	104.370	114.310	396.180	0.070	134.750	84.700	107.250	326.700	0.070		
0.080	177.500	104.370	117.150	399.020	0.080	137.500	87.450	107.250	332.200	0.080		
0.090	177.500	104.370	114.310	396.180	0.090	137.500	84.700	107.250	329.450	0.090		
0.100	177.500	104.370	114.310	396.180	0.100	137.500	84.700	107.250	329.450	0.100		
0.110	174.660	104.370	117.150	396.180	0.110	137.500	84.700	107.250	329.450	0.110		
0.120	175.000	105.000	116.900	396.900	0.120	137.500	87.450	107.250	332.200	0.120		
0.130	175.000	105.000	119.700	399.700	0.130	137.500	87.450	107.250	332.200	0.130		
0.140	175.000	105.000	116.900	396.900	0.140	137.500	84.700	107.250	329.450	0.140		
0.150	175.000	105.000	119.700	399.700	0.150	137.200	87.360	104.720	329.280	0.150		
0.160	175.000	105.000	116.900	396.900	0.160	137.200	87.360	106.960	331.520	0.160		
0.170	172.200	105.000	119.700	396.900	0.170	137.200	87.360	104.720	329.280	0.170		
0.180	172.200	107.100	119.700	399.000	0.180	137.200	84.560	106.960	328.720	0.180		
0.190	172.200	107.100	119.700	399.000	0.190	140.000	87.360	106.960	334.320	0.190		
0.200	172.200	107.100	119.700	399.000	0.200	137.200	87.360	106.960	331.520	0.200		
0.210	172.200	107.100	122.500	401.800	0.210	137.200	87.360	106.960	331.520	0.210		
0.220	169.400	109.900	122.500	401.800	0.220	137.200	87.360	104.720	329.280	0.220		
0.230	167.300	107.100	122.500	396.900	0.230	137.200	87.360	104.720	329.280	0.230		
0.240	167.300	109.900	124.600	401.800	0.240	137.200	87.360	104.720	329.280	0.240		
0.250	167.300	109.900	127.400	404.600	0.250	140.000	87.360	104.720	332.080	0.250		
0.260	164.500	109.900	127.400	401.800	0.260	137.200	87.360	104.720	329.280	0.260		
0.270	165.000	112.200	124.740	401.940	0.270	137.200	87.360	106.960	331.520	0.270		
0.280	165.000	112.200	127.380	404.580	0.280	140.000	87.360	104.720	332.080	0.280		
0.290	162.360	112.200	129.360	403.920	0.290	140.000	87.360	104.720	332.080	0.290		
0.300	162.360	112.200	129.360	403.920	0.300	140.000	87.360	104.720	332.080	0.300		
0.310	162.360	112.200	129.360	403.920	0.310	140.000	89.600	104.720	334.320	0.310		
0.320	159.720	112.200	129.360	401.280	0.320	140.000	87.360	104.720	332.080	0.320		
0.330	159.720	114.840	129.360	403.920	0.330	140.000	87.360	104.720	332.080	0.330		
0.340	159.720	114.840	129.360	403.920	0.340	140.000	87.360	104.720	332.080	0.340		
0.350	159.720	112.200	132.000	403.920	0.350	140.000	84.560	104.720	329.280	0.350		
0.360	159.720	112.200	129.360	401.280	0.360	137.200	87.360	104.720	329.280	0.360		
0.370	157.080	114.840	132.000	403.920	0.370	140.000	87.360	104.720	332.080	0.370		
0.380	159.720	114.840	132.000	406.560	0.380	140.000	87.360	104.720	332.080	0.380		
0.390	159.720	114.840	129.360	403.920	0.390	140.000	87.360	102.480	329.840	0.390		
0.400	159.720	114.840	132.000	406.560	0.400	140.000	87.360	102.480	329.840	0.400		
0.410	157.080	112.200	132.000	401.280	0.410	140.000	87.360	102.480	329.840	0.410		
0.420	157.500	114.660	132.300	404.460	0.420	140.000	87.360	104.720	332.080	0.420		
0.430	157.500	114.660	132.300	404.460	0.430	137.200	84.560	102.480	324.240	0.430		
0.440	157.500	114.660	132.300	404.460	0.440	140.000	87.360	102.480	329.840	0.440		
0.450	157.500	114.660	132.300	404.460	0.450	140.000	84.560	102.480	327.040	0.450		
0.460	157.500	114.660	132.300	404.460	0.460	140.000	87.360	102.480	329.840	0.460		
0.470	157.500	114.660	134.820	406.980	0.470	137.200	87.360	102.480	327.040	0.470		
0.480	157.500	114.660	134.820	406.980	0.480	140.000	84.560	102.480	327.040	0.480		
0.490	157.500	114.660	134.820	406.980	0.490	140.000	87.360	102.480	329.840	0.490		
0.500	154.980	114.660	134.820	404.460	0.500	140.000	87.360	102.480	329.840	0.500		
0.510	154.980	117.180	134.820	406.980	0.510	140.000	84.560	102.480	327.040	0.510		
0.520	154.980	117.180	134.820	406.980	0.520	140.000	87.360	102.480	329.840	0.520		
0.530	154.980	117.180	137.340	409.500	0.530	137.200	87.360	102.480	327.040	0.530		
0.540	154.980	117.180	137.340	409.500	0.540	140.000	87.360	102.480	329.840	0.540		
0.550	154.980	117.180	137.340	409.500	0.550	140.000	87.360	102.480	329.840	0.550		
0.560	154.980	117.180	137.340	409.500	0.560	140.000	87.360	102.480	329.840	0.560		
0.570	152.500	117.120	137.250	406.870	0.570	140.000	84.560	102.480	327.040	0.570		
0.580	152.500	117.120	139.690	409.310	0.580	140.000	87.360	102.480	329.840	0.580		
0.590	152.500	114.680	137.250	404.430	0.590	140.000	87.360	102.480	329.840	0.590		
0.600	152.500	117.120	139.690	409.310	0.600	140.000	87.360	102.480	329.840	0.600		
0.610	149.450	117.120	139.690	406.260	0.610	140.000	87.360	102.480	329.840	0.610		
0.620	149.450	117.120	137.250	403.820	0.620	140.000	87.360	104.720	332.080	0.620		
0.630	149.450	117.120	139.690	406.260	0.630	140.000	87.360	102.480	329.840	0.630		
0.640	149.450	117.120	139.690	406.260	0.640	140.000	87.360	102.480	329.840	0.640		
0.650	149.450	117.120	137.250	403.820	0.650	140.000	87.360	102.480	329.840	0.650		
0.660	147.010	119.560	139.690	406.260	0.660	140.000	89.600	104.720	334.320	0.660		
0.670	147.010	119.560	139.690	406.260	0.670	140.000	87.360	104.720	332.080	0.670		
0.680	144.570	117.120	142.130	403.820	0.680	140.000	89.600	104.720	334.320	0.680		
0.690	147.010	117.120	139.690	403.820	0.690	140.000	89.600	102.480	332.080	0.690		
0.700	147.010	119.560	142.130	408.700	0.700	140.000	89.600	102.480	332.080	0.700		
0.710	144.570	119.560	142.130	406.260	0.710	140.000	89.600	104.720	334.320	0.710		
0.720	144.600	117.000	142.200	403.800	0.720	140.000	87.360	102.480	329.840	0.720		
0.730	144.600	120.000	142.200	406.800	0.730	140.000	89.600	102.480	332.080	0.730		
0.740	142.200	120.000	144.600	406.800	0.740	140.000	89.600	102.480	332.080	0.740		
0.750	142.200	117.000	142.200	401.400	0.750	139.650	87.210	102.030	328.890	0.750		
0.760	142.200	120.000	144.600	406.800	0.760	139.650	89.490	102.030	331.170	0.760		
0.770	142.200	120.000	144.600	406.800	0.770	139.650	87.210	102.030	328.890	0.770		
0.780	139.800	120.000	144.600	404.400	0.780	139.650	89.490	102.030	331.170	0.780		
0.790	139.800	120.000	144.600	404.400	0.790	139.650	89.490	104.880	334.020	0.790		
0.800	139.800	120.000	144.600	404.400	0.800	142.500	89.490	102.030	334.020	0.800		
0.810	139.800	120.000	144.600	404.400	0.810	139.650	87.210	102.030	328.890	0.810		
0.820	137.400	120.000	147.000	404.400	0.820	139.650	89.490	102.030	331.170	0.820		
0.830	137.400	120.000	147.000	404.400	0.830	139.650	89.490	102.030	331.170	0.830		
0.840	137.400	122.400	147.000	406.800	0.840	142.500	89.490	102.030	334.020	0.840		
0.850	137.400	122.400	147.000	406.800	0.850	139.650	89.490	102.030	331.170	0.850		
0.860	135.000	120.000	150.000	405.000	0.860	142.500	89.490	102.030	334.020	0.860		
0.870	134.820	122.220	149.940	406.980	0.870	139.650	92.340	104.880	336.870	0.870		
0.880	132.300	122.220	149.940	404.460	0.880	139.650	89.490	102.030	331.170	0.880		
0.890	132.300	122.220	149.940	404.460	0.890	142.500	92.340	102.030	336.870	0.890		
0.900	132.300	124.740	152.460	409.500	0.900	142.190	89.680	102.070	333.940	0.900		
0.910	129.780	122.220	152.460	404.460	0.910	139.830	89.680	102.070	331.580	0.910		
0.920	129.780	122.220	152.460	404.460	0.920	142.190	92.040	102.070	336.300	0.920		
0.930	129.780	122.220	154.980	406.980	0.930	142.190	92.040	102.070	336.300	0.930		
0.940	127.260	124.740	154.980	406.980	0.940	142.190	89.680	102.070	333.940	0.940		
0.950	127.260	122.220	154.980	404.460	0.950	142.190	89.680	99.710	331.580	0.950		
0.960	127.260	124.740	157.500	409.500	0.960	142.190	89.680	99.710	331.580	0.960		
0.970	124.740	124.740	154.980	404.460	0.970	144.550	89.680	99.710	333.940	0.970		
0.980	124.740	124.740	157.500	406.980	0.980	144.550	92.040	99.710	336.300	0.980		
0.990	124.740	124.740	154.980	404.460	0.990	144.550	92.040	99.710	336.300	0.990		
1.000	122.220	124.740	157.500	404.460	1.000	144.550	92.040	99.710	336.300	1.000		
1.010	122.220	122.220	157.500	401.940	1.010	147.500	89.680	99.710	336.890	1.010		
1.020	122.100	122.100	157.080	401.280	1.020	147.500	89.680	97.350	334.530	1.020		
1.030	119.460	122.100	157.080	398.640	1.030	147.500	92.040	97.350	336.890	1.030		
1.040	119.460	122.100	159.720	401.280	1.040	147.500	92.040	97.350	336.890	1.040		
1.050	119.460	124.740	159.720	403.920	1.050	147.000	92.400	97.200	336.600	1.050		
1.060	119.460	122.100	159.720	401.280	1.060	147.000	92.400	97.200	336.600	1.060		
1.070	119.460	124.740	162.360	406.560	1.070	147.000	92.400	97.200	336.600	1.070		
1.080	117.480	124.740	162.360	404.580	1.080	147.000	92.400	97.200	336.600	1.080		
1.090	117.480	124.740	162.360	404.580	1.090	147.000	92.400	94.800	334.200	1.090		
