C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\19\loadapp_2025-12-16_15-51-46-749.load
Comment s19w crashed 7
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	109.880	147.400	164.820	422.100	0.000	155.000	71.920	52.080	279.000	0.000		
0.010	111.890	147.400	162.140	421.430	0.010	155.000	71.920	52.080	279.000	0.010		
0.020	111.890	147.400	164.820	424.110	0.020	155.000	71.920	52.080	279.000	0.020		
0.030	111.890	147.400	162.140	421.430	0.030	155.000	71.920	52.080	279.000	0.030		
0.040	111.890	147.400	164.820	424.110	0.040	155.000	74.400	52.080	281.480	0.040		
0.050	111.890	144.720	162.140	418.750	0.050	155.000	74.400	52.080	281.480	0.050		
0.060	111.890	144.720	159.460	416.070	0.060	155.000	77.500	54.560	287.060	0.060		
0.070	111.890	144.720	159.460	416.070	0.070	155.000	77.500	54.560	287.060	0.070		
0.080	111.890	144.720	159.460	416.070	0.080	155.000	77.500	54.560	287.060	0.080		
0.090	109.880	142.040	157.450	409.370	0.090	155.000	79.980	57.040	292.020	0.090		
0.100	109.880	142.040	157.450	409.370	0.100	155.000	79.980	57.040	292.020	0.100		
0.110	109.880	142.040	159.460	411.380	0.110	155.000	82.460	59.520	296.980	0.110		
0.120	109.880	139.360	157.450	406.690	0.120	155.000	82.460	57.040	294.500	0.120		
0.130	109.880	139.360	157.450	406.690	0.130	155.000	82.460	59.520	296.980	0.130		
0.140	107.100	139.860	157.500	404.460	0.140	155.000	82.460	59.520	296.980	0.140		
0.150	107.100	139.860	157.500	404.460	0.150	155.000	84.940	62.000	301.940	0.150		
0.160	104.580	139.860	154.980	399.420	0.160	157.300	84.500	62.400	304.200	0.160		
0.170	102.060	137.340	154.980	394.380	0.170	157.300	84.500	65.000	306.800	0.170		
0.180	102.060	137.340	157.500	396.900	0.180	157.300	87.100	65.000	309.400	0.180		
0.190	102.060	137.340	157.500	396.900	0.190	157.300	87.100	65.000	309.400	0.190		
0.200	99.540	137.340	154.980	391.860	0.200	159.900	87.100	65.000	312.000	0.200		
0.210	97.020	134.820	154.980	386.820	0.210	157.300	89.700	66.950	313.950	0.210		
0.220	97.020	134.820	154.980	386.820	0.220	159.900	89.700	66.950	316.550	0.220		
0.230	94.500	134.820	157.500	386.820	0.230	159.900	89.700	66.950	316.550	0.230		
0.240	94.500	132.300	157.500	384.300	0.240	159.900	92.300	69.550	321.750	0.240		
0.250	91.980	134.820	154.980	381.780	0.250	159.900	92.300	69.550	321.750	0.250		
0.260	91.980	132.300	154.980	379.260	0.260	159.900	92.300	69.550	321.750	0.260		
0.270	91.980	132.300	157.500	381.780	0.270	159.900	92.300	69.550	321.750	0.270		
0.280	89.460	132.300	154.980	376.740	0.280	162.500	92.300	69.550	324.350	0.280		
0.290	89.700	131.950	154.700	376.350	0.290	159.900	92.300	69.550	321.750	0.290		
0.300	87.100	131.950	157.300	376.350	0.300	159.900	94.900	69.550	324.350	0.300		
0.310	87.100	130.000	154.700	371.800	0.310	162.360	94.380	69.960	326.700	0.310		
0.320	87.100	131.950	154.700	373.750	0.320	162.360	94.380	69.960	326.700	0.320		
0.330	87.100	130.000	157.300	374.400	0.330	162.360	94.380	69.960	326.700	0.330		
0.340	87.100	131.950	159.900	378.950	0.340	162.360	94.380	69.960	326.700	0.340		
0.350	84.500	130.000	159.900	374.400	0.350	162.360	94.380	69.960	326.700	0.350		
0.360	84.500	131.950	159.900	376.350	0.360	162.360	94.380	69.960	326.700	0.360		
0.370	84.500	130.000	159.900	374.400	0.370	162.360	94.380	69.960	326.700	0.370		
0.380	84.500	130.000	157.300	371.800	0.380	165.000	94.380	69.960	329.340	0.380		
0.390	84.500	130.000	159.900	374.400	0.390	165.000	94.380	69.960	329.340	0.390		
0.400	81.900	131.950	159.900	373.750	0.400	162.360	94.380	69.960	326.700	0.400		
0.410	81.900	130.000	159.900	371.800	0.410	162.360	94.380	69.960	326.700	0.410		
0.420	81.900	131.950	162.500	376.350	0.420	165.000	94.380	67.320	326.700	0.420		
0.430	81.900	130.000	159.900	371.800	0.430	165.000	94.380	69.960	329.340	0.430		
0.440	79.860	132.000	162.360	374.220	0.440	165.000	94.380	69.960	329.340	0.440		
0.450	79.860	129.360	162.360	371.580	0.450	165.000	94.380	69.960	329.340	0.450		
0.460	79.860	129.360	162.360	371.580	0.460	164.560	97.240	69.360	331.160	0.460		
0.470	79.860	132.000	162.360	374.220	0.470	164.560	97.240	69.360	331.160	0.470		
0.480	77.220	129.360	162.360	368.940	0.480	164.560	97.240	69.360	331.160	0.480		
0.490	79.860	129.360	162.360	371.580	0.490	164.560	94.520	67.320	326.400	0.490		
0.500	77.220	129.360	162.360	368.940	0.500	167.280	97.240	69.360	333.880	0.500		
