C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\2\loadapp_2025-12-09_11-14-25-548.load
Comment S2
bl real
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	107.380	84.960	147.500	339.840	0.000	97.500	24.960	92.430	214.890	0.000		
0.010	107.380	82.010	144.550	333.940	0.010	97.500	24.960	92.430	214.890	0.010		
0.020	107.380	82.010	144.550	333.940	0.020	97.500	24.960	89.700	212.160	0.020		
0.030	107.380	82.010	144.550	333.940	0.030	97.500	24.960	92.430	214.890	0.030		
0.040	107.380	84.960	144.550	336.890	0.040	97.500	24.960	92.430	214.890	0.040		
0.050	107.380	84.960	147.500	339.840	0.050	97.500	24.960	89.700	212.160	0.050		
0.060	104.430	82.010	144.550	330.990	0.060	97.500	24.960	92.430	214.890	0.060		
0.070	107.380	82.010	144.550	333.940	0.070	97.500	24.960	92.430	214.890	0.070		
0.080	107.380	84.960	144.550	336.890	0.080	97.500	24.960	92.430	214.890	0.080		
0.090	107.380	84.960	144.550	336.890	0.090	97.500	24.960	89.700	212.160	0.090		
0.100	107.380	84.960	144.550	336.890	0.100	97.500	27.300	92.430	217.230	0.100		
0.110	107.380	82.010	144.550	333.940	0.110	97.500	24.960	92.430	214.890	0.110		
0.120	109.740	82.010	144.550	336.300	0.120	97.500	24.960	89.700	212.160	0.120		
0.130	109.740	82.010	142.190	333.940	0.130	94.770	24.960	92.430	212.160	0.130		
0.140	109.740	84.960	144.550	339.250	0.140	94.770	24.960	92.430	212.160	0.140		
0.150	109.620	84.680	145.000	339.300	0.150	94.770	24.960	92.430	212.160	0.150		
0.160	107.300	82.360	142.100	331.760	0.160	94.770	24.960	89.700	209.430	0.160		
0.170	109.620	84.680	142.100	336.400	0.170	94.770	27.300	94.770	216.840	0.170		
0.180	109.620	84.680	142.100	336.400	0.180	94.770	24.960	92.430	212.160	0.180		
0.190	109.620	84.680	142.100	336.400	0.190	94.770	24.960	94.770	214.500	0.190		
0.200	109.620	82.360	142.100	334.080	0.200	94.770	24.960	94.770	214.500	0.200		
0.210	111.940	82.360	142.100	336.400	0.210	94.770	24.960	92.430	212.160	0.210		
0.220	109.620	82.360	142.100	334.080	0.220	94.770	24.960	94.770	214.500	0.220		
0.230	109.620	82.360	142.100	334.080	0.230	94.770	27.300	94.770	216.840	0.230		
0.240	111.940	82.360	142.100	336.400	0.240	94.770	24.960	94.770	214.500	0.240		
0.250	111.940	82.360	142.100	336.400	0.250	94.770	24.960	94.770	214.500	0.250		
0.260	111.940	82.360	139.780	334.080	0.260	94.770	24.960	94.770	214.500	0.260		
0.270	111.940	82.360	139.780	334.080	0.270	92.430	24.960	94.770	212.160	0.270		
0.280	111.940	82.360	139.780	334.080	0.280	92.430	24.960	97.500	214.890	0.280		
0.290	111.940	82.360	139.780	334.080	0.290	94.770	27.300	94.770	216.840	0.290		
0.300	112.000	82.320	140.000	334.320	0.300	92.430	24.960	97.500	214.890	0.300		
0.310	112.000	84.560	140.000	336.560	0.310	92.250	24.600	97.170	214.020	0.310		
0.320	117.040	82.320	140.000	339.360	0.320	92.250	24.600	94.710	211.560	0.320		
