C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\2\loadapp_2025-12-09_11-26-40-832.load
Comment S2
bl VR
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	196.830	79.380	49.410	325.620	0.000	47.400	39.600	150.000	237.000	0.000		
0.010	196.830	79.380	51.840	328.050	0.010	47.400	39.600	147.000	234.000	0.010		
0.020	196.830	79.380	49.410	325.620	0.020	47.400	37.200	144.600	229.200	0.020		
0.030	196.830	81.810	51.840	330.480	0.030	49.800	37.200	147.000	234.000	0.030		
0.040	199.260	81.810	51.840	332.910	0.040	49.800	39.600	147.000	236.400	0.040		
0.050	196.830	84.240	54.270	335.340	0.050	52.200	39.600	147.000	238.800	0.050		
0.060	196.830	84.240	54.270	335.340	0.060	52.200	39.600	147.000	238.800	0.060		
0.070	199.260	84.240	54.270	337.770	0.070	52.200	39.600	144.600	236.400	0.070		
0.080	199.260	84.240	54.270	337.770	0.080	52.200	39.600	144.600	236.400	0.080		
0.090	199.260	84.240	54.270	337.770	0.090	52.200	39.600	144.600	236.400	0.090		
0.100	202.500	84.240	54.270	341.010	0.100	54.600	39.600	144.600	238.800	0.100		
0.110	199.260	84.240	54.270	337.770	0.110	52.200	39.600	142.200	234.000	0.110		
0.120	199.260	84.240	54.270	337.770	0.120	54.600	39.600	142.200	236.400	0.120		
0.130	199.260	84.240	54.270	337.770	0.130	54.600	39.600	142.200	236.400	0.130		
0.140	199.260	84.240	54.270	337.770	0.140	54.600	39.600	142.200	236.400	0.140		
0.150	199.260	84.240	54.270	337.770	0.150	54.720	39.900	142.500	237.120	0.150		
0.160	199.260	84.240	51.840	335.340	0.160	57.000	39.900	142.500	239.400	0.160		
0.170	199.260	81.810	51.840	332.910	0.170	57.000	39.900	139.650	236.550	0.170		
0.180	199.260	84.240	51.840	335.340	0.180	54.720	37.050	139.650	231.420	0.180		
0.190	199.260	81.810	51.840	332.910	0.190	57.000	39.900	139.650	236.550	0.190		
0.200	199.260	79.380	51.840	330.480	0.200	57.000	39.900	139.650	236.550	0.200		
0.210	199.260	79.380	51.840	330.480	0.210	57.000	39.900	137.370	234.270	0.210		
0.220	199.260	79.380	51.840	330.480	0.220	57.000	37.050	134.520	228.570	0.220		
0.230	202.500	79.380	51.840	333.720	0.230	57.000	37.050	137.370	231.420	0.230		
0.240	199.260	79.380	51.840	330.480	0.240	57.000	39.900	137.370	234.270	0.240		
