C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\2\loadapp_2025-12-09_11-32-55-162.load
Comment 
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	157.500	92.400	74.900	324.800	0.000	59.920	36.960	122.080	218.960	0.000		
0.010	159.600	92.400	74.900	326.900	0.010	59.920	39.760	124.880	224.560	0.010		
0.020	159.600	92.400	72.100	324.100	0.020	59.920	39.760	124.880	224.560	0.020		
0.030	162.400	89.600	72.100	324.100	0.030	57.120	39.760	127.120	224.000	0.030		
0.040	162.400	87.500	70.000	319.900	0.040	54.880	39.760	127.120	221.760	0.040		
0.050	164.500	87.500	67.200	319.200	0.050	54.880	39.760	129.920	224.560	0.050		
0.060	167.300	84.700	64.400	316.400	0.060	52.080	39.760	129.920	221.760	0.060		
0.070	167.300	81.900	62.300	311.500	0.070	49.840	39.760	132.160	221.760	0.070		
0.080	169.400	81.900	62.300	313.600	0.080	49.840	39.760	132.160	221.760	0.080		
0.090	172.200	81.900	62.300	316.400	0.090	47.040	39.760	134.960	221.760	0.090		
0.100	172.200	79.800	59.500	311.500	0.100	47.040	36.960	134.960	218.960	0.100		
0.110	175.000	79.800	59.500	314.300	0.110	44.800	36.960	134.960	216.720	0.110		
0.120	174.720	79.560	56.940	311.220	0.120	44.800	36.960	137.200	218.960	0.120		
0.130	177.060	79.560	56.940	313.560	0.130	44.800	39.760	137.200	221.760	0.130		
0.140	179.400	79.560	56.940	315.900	0.140	44.800	39.760	140.000	224.560	0.140		
0.150	179.400	81.900	56.940	318.240	0.150	44.640	39.680	141.980	226.300	0.150		
0.160	181.740	81.900	56.940	320.580	0.160	44.640	39.680	141.980	226.300	0.160		
0.170	181.740	79.560	56.940	318.240	0.170	44.640	39.680	141.980	226.300	0.170		
0.180	184.860	81.900	56.940	323.700	0.180	42.160	39.680	144.460	226.300	0.180		
0.190	187.200	81.900	56.940	326.040	0.190	42.160	39.680	144.460	226.300	0.190		
0.200	187.200	81.900	56.940	326.040	0.200	42.160	42.160	146.940	231.260	0.200		
0.210	187.200	81.900	56.940	326.040	0.210	42.160	42.160	149.420	233.740	0.210		
0.220	189.540	81.900	54.600	326.040	0.220	42.160	39.680	149.420	231.260	0.220		
0.230	191.880	79.560	54.600	326.040	0.230	39.680	39.680	149.420	228.780	0.230		
0.240	191.880	79.560	54.600	326.040	0.240	42.160	39.680	151.900	233.740	0.240		
0.250	195.000	79.560	52.260	326.820	0.250	39.680	39.680	151.900	231.260	0.250		
0.260	195.000	79.560	52.260	326.820	0.260	39.680	39.680	149.420	228.780	0.260		
0.270	194.880	79.800	52.080	326.760	0.270	39.680	39.680	151.900	231.260	0.270		
0.280	197.400	77.280	49.560	324.240	0.280	37.200	39.680	151.900	228.780	0.280		
0.290	197.400	77.280	49.560	324.240	0.290	37.200	39.680	155.000	231.880	0.290		
0.300	197.400	77.280	47.040	321.720	0.300	37.120	39.680	152.320	229.120	0.300		
0.310	199.920	77.280	47.040	324.240	0.310	37.120	39.680	152.320	229.120	0.310		
0.320	199.920	74.760	44.520	319.200	0.320	34.560	39.680	152.320	226.560	0.320		
0.330	202.440	77.280	44.520	324.240	0.330	34.560	39.680	152.320	226.560	0.330		
0.340	202.440	74.760	44.520	321.720	0.340	34.560	39.680	154.880	229.120	0.340		
0.350	202.440	74.760	44.520	321.720	0.350	34.560	37.120	154.880	226.560	0.350		
0.360	204.960	74.760	42.000	321.720	0.360	34.560	37.120	154.880	226.560	0.360		
0.370	204.960	74.760	42.000	321.720	0.370	34.560	37.120	154.880	226.560	0.370		
0.380	204.960	74.760	42.000	321.720	0.380	34.560	37.120	154.880	226.560	0.380		
0.390	204.960	74.760	42.000	321.720	0.390	32.000	37.120	154.880	224.000	0.390		
0.400	207.480	74.760	42.000	324.240	0.400	29.440	37.120	157.440	224.000	0.400		
0.410	210.000	74.760	42.000	326.760	0.410	26.880	39.680	157.440	224.000	0.410		
0.420	207.260	77.400	42.140	326.800	0.420	24.960	39.680	157.440	222.080	0.420		
0.430	207.260	77.400	42.140	326.800	0.430	24.960	37.120	157.440	219.520	0.430		
0.440	207.260	77.400	42.140	326.800	0.440	24.960	39.680	160.000	224.640	0.440		
0.450	209.840	77.400	42.140	329.380	0.450	24.700	39.650	159.900	224.250	0.450		
0.460	209.840	77.400	42.140	329.380	0.460	22.100	37.050	159.900	219.050	0.460		
0.470	209.840	77.400	42.140	329.380	0.470	22.100	37.050	162.500	221.650	0.470		
0.480	212.420	77.400	42.140	331.960	0.480	24.700	37.050	159.900	221.650	0.480		
0.490	212.420	77.400	42.140	331.960	0.490	22.100	37.050	159.900	219.050	0.490		
0.500	215.000	77.400	44.720	337.120	0.500	22.100	37.050	162.500	221.650	0.500		
0.510	215.000	77.400	42.140	334.540	0.510	22.100	37.050	159.900	219.050	0.510		
0.520	212.420	77.400	42.140	331.960	0.520	22.100	37.050	159.900	219.050	0.520		
0.530	212.420	77.400	39.560	329.380	0.530	19.500	37.050	159.900	216.450	0.530		
0.540	215.000	77.400	39.560	331.960	0.540	19.500	34.450	159.900	213.850	0.540		
0.550	215.000	74.820	42.140	331.960	0.550	19.500	39.650	162.500	221.650	0.550		
0.560	215.000	77.400	39.560	331.960	0.560	19.500	37.050	159.900	216.450	0.560		
0.570	215.000	77.400	42.140	334.540	0.570	19.500	37.050	162.500	219.050	0.570		
0.580	215.000	77.400	42.140	334.540	0.580	19.500	37.050	162.500	219.050	0.580		
