C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-27-12-858.load
Comment s20b
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	312.480	104.580	114.660	531.720	0.000	2.430	0.000	22.500	24.930	0.000		
0.010	309.960	104.580	117.180	531.720	0.010	2.430	0.000	19.980	22.410	0.010		
0.020	304.920	104.580	119.700	529.200	0.020	0.000	0.000	17.460	17.460	0.020		
0.030	299.880	102.060	119.700	521.640	0.030	0.000	0.000	14.940	14.940	0.030		
0.040	294.840	102.060	122.220	519.120	0.040	0.000	0.000	17.460	17.460	0.040		
0.050	292.320	102.060	122.220	516.600	0.050	0.000	0.000	17.460	17.460	0.050		
0.060	292.320	104.580	124.740	521.640	0.060	0.000	0.000	14.940	14.940	0.060		
0.070	289.800	104.580	124.740	519.120	0.070	0.000	0.000	17.460	17.460	0.070		
0.080	289.800	107.100	127.260	524.160	0.080	0.000	0.000	17.460	17.460	0.080		
0.090	287.280	107.100	129.780	524.160	0.090	0.000	0.000	17.460	17.460	0.090		
0.100	287.280	109.620	132.300	529.200	0.100	0.000	0.000	17.460	17.460	0.100		
0.110	287.280	109.620	134.820	531.720	0.110	0.000	0.000	17.460	17.460	0.110		
0.120	287.280	112.140	134.820	534.240	0.120	0.000	0.000	17.460	17.460	0.120		
0.130	287.280	112.140	134.820	534.240	0.130	0.000	0.000	19.980	19.980	0.130		
0.140	287.500	115.000	139.150	541.650	0.140	0.000	0.000	19.980	19.980	0.140		
0.150	287.500	115.000	139.150	541.650	0.150	0.000	0.000	19.470	19.470	0.150		
0.160	284.050	115.000	139.150	538.200	0.160	0.000	0.000	19.470	19.470	0.160		
0.170	284.050	115.000	141.450	540.500	0.170	0.000	0.000	17.110	17.110	0.170		
0.180	284.050	115.000	141.450	540.500	0.180	0.000	0.000	19.470	19.470	0.180		
0.190	281.750	115.000	139.150	535.900	0.190	0.000	0.000	19.470	19.470	0.190		
0.200	279.450	111.550	139.150	530.150	0.200	0.000	0.000	17.110	17.110	0.200		
0.210	274.850	111.550	136.850	523.250	0.210	0.000	0.000	17.110	17.110	0.210		
0.220	271.400	111.550	139.150	522.100	0.220	0.000	0.000	19.470	19.470	0.220		
0.230	271.400	111.550	136.850	519.800	0.230	0.000	0.000	19.470	19.470	0.230		
0.240	269.100	109.250	134.550	512.900	0.240	2.360	0.000	19.470	21.830	0.240		
0.250	266.800	109.250	134.550	510.600	0.250	0.000	2.360	19.470	21.830	0.250		
