C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-41-27-532.load
Comment s20bvr
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	112.240	52.440	87.400	252.080	0.000	42.000	65.000	250.000	357.000	0.000		
0.010	112.240	52.440	87.400	252.080	0.010	45.000	62.000	250.000	357.000	0.010		
0.020	112.240	52.440	87.400	252.080	0.020	45.000	62.000	250.000	357.000	0.020		
0.030	112.240	52.440	87.400	252.080	0.030	42.000	62.000	250.000	354.000	0.030		
0.040	112.240	49.680	84.640	246.560	0.040	45.000	65.000	250.000	360.000	0.040		
0.050	112.240	52.440	87.400	252.080	0.050	42.000	62.000	247.000	351.000	0.050		
0.060	112.240	52.440	87.400	252.080	0.060	42.000	62.000	250.000	354.000	0.060		
0.070	112.240	52.440	84.640	249.320	0.070	42.000	62.000	247.000	351.000	0.070		
0.080	115.000	52.440	84.640	252.080	0.080	42.000	62.000	247.000	351.000	0.080		
0.090	115.000	52.440	87.400	254.840	0.090	45.000	62.000	247.000	354.000	0.090		
0.100	115.000	52.440	84.640	252.080	0.100	42.000	62.000	247.000	351.000	0.100		
0.110	115.000	52.440	84.640	252.080	0.110	45.000	62.000	247.000	354.000	0.110		
0.120	115.000	54.740	87.400	257.140	0.120	45.000	62.000	247.000	354.000	0.120		
0.130	115.000	52.440	87.400	254.840	0.130	42.000	62.000	245.000	349.000	0.130		
0.140	115.000	54.740	84.640	254.380	0.140	45.000	62.000	245.000	352.000	0.140		
0.150	115.000	52.440	87.400	254.840	0.150	42.140	61.740	245.000	348.880	0.150		
0.160	112.500	54.900	87.300	254.700	0.160	42.140	61.740	245.000	348.880	0.160		
0.170	112.500	54.900	87.300	254.700	0.170	42.140	61.740	245.000	348.880	0.170		
0.180	112.500	52.200	87.300	252.000	0.180	44.100	61.740	245.000	350.840	0.180		
0.190	112.500	54.900	90.000	257.400	0.190	44.100	59.780	245.000	348.880	0.190		
0.200	112.500	54.900	87.300	254.700	0.200	44.100	59.780	245.000	348.880	0.200		
0.210	109.800	52.200	87.300	249.300	0.210	44.100	61.740	245.000	350.840	0.210		
0.220	109.800	54.900	90.000	254.700	0.220	44.100	64.680	245.000	353.780	0.220		
0.230	109.800	52.200	90.000	252.000	0.230	47.040	61.740	245.000	353.780	0.230		
0.240	109.800	54.900	90.000	254.700	0.240	44.100	64.680	245.000	353.780	0.240		
0.250	107.100	54.900	90.000	252.000	0.250	44.100	64.680	245.000	353.780	0.250		
0.260	107.100	54.900	90.000	252.000	0.260	47.040	64.680	245.000	356.720	0.260		
0.270	104.850	54.900	92.250	252.000	0.270	47.040	64.680	245.000	356.720	0.270		
0.280	104.850	54.900	94.950	254.700	0.280	47.040	64.680	245.000	356.720	0.280		
0.290	104.850	57.150	92.250	254.250	0.290	47.040	61.740	245.000	353.780	0.290		
0.300	102.150	54.900	94.950	252.000	0.300	46.800	64.350	244.530	355.680	0.300		
0.310	99.640	57.240	94.870	251.750	0.310	49.140	64.350	244.530	358.020	0.310		
0.320	96.990	54.590	96.990	248.570	0.320	49.140	62.010	246.870	358.020	0.320		
0.330	96.990	54.590	96.990	248.570	0.330	46.800	64.350	249.210	360.360	0.330		
0.340	94.870	54.590	96.990	246.450	0.340	46.800	64.350	249.210	360.360	0.340		
0.350	94.870	54.590	96.990	246.450	0.350	46.800	66.690	251.550	365.040	0.350		
0.360	92.220	54.590	96.990	243.800	0.360	46.800	64.350	253.890	365.040	0.360		
0.370	89.570	54.590	99.640	243.800	0.370	46.800	66.690	257.400	370.890	0.370		
0.380	84.800	57.240	102.290	244.330	0.380	46.800	64.350	264.420	375.570	0.380		
0.390	82.150	57.240	104.940	244.330	0.390	44.460	66.690	266.760	377.910	0.390		
0.400	77.380	59.890	107.060	244.330	0.400	44.460	66.690	271.440	382.590	0.400		
0.410	69.960	59.890	112.360	242.210	0.410	44.460	64.350	277.290	386.100	0.410		
0.420	64.660	59.890	117.130	241.680	0.420	42.120	66.690	284.310	393.120	0.420		
0.430	57.240	57.240	119.780	234.260	0.430	42.120	64.350	286.650	393.120	0.430		
0.440	49.820	57.240	127.200	234.260	0.440	39.780	66.690	292.500	398.970	0.440		
0.450	44.520	54.590	132.500	231.610	0.450	39.040	67.100	294.020	400.160	0.450		
