C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_18-03-50-910.load
Comment s20h
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	149.450	54.900	52.460	256.810	0.000	51.500	59.740	247.200	358.440	0.000		
0.010	152.500	54.900	54.900	262.300	0.010	51.500	59.740	247.200	358.440	0.010		
0.020	152.500	54.900	52.460	259.860	0.020	49.440	56.650	247.200	353.290	0.020		
0.030	149.450	54.900	52.460	256.810	0.030	49.440	59.740	249.260	358.440	0.030		
0.040	152.500	54.900	49.410	256.810	0.040	49.440	59.740	249.260	358.440	0.040		
0.050	152.500	54.900	52.460	259.860	0.050	47.380	59.740	252.350	359.470	0.050		
0.060	152.500	52.460	49.410	254.370	0.060	47.380	59.740	252.350	359.470	0.060		
0.070	152.500	52.460	49.410	254.370	0.070	44.290	59.740	252.350	356.380	0.070		
0.080	152.500	54.900	52.460	259.860	0.080	44.290	56.650	252.350	353.290	0.080		
0.090	152.500	52.460	46.970	251.930	0.090	44.290	56.650	252.350	353.290	0.090		
0.100	152.500	54.900	49.410	256.810	0.100	44.290	56.650	254.410	355.350	0.100		
0.110	154.440	52.140	49.500	256.080	0.110	44.290	59.740	254.410	358.440	0.110		
0.120	154.440	54.780	49.500	258.720	0.120	44.290	59.740	254.410	358.440	0.120		
0.130	154.440	52.140	49.500	256.080	0.130	42.230	56.650	257.500	356.380	0.130		
0.140	154.440	52.140	46.860	253.440	0.140	44.290	56.650	257.500	358.440	0.140		
0.150	154.440	52.140	46.860	253.440	0.150	42.400	57.240	256.520	356.160	0.150		
0.160	157.080	52.140	49.500	258.720	0.160	42.400	59.360	259.700	361.460	0.160		
0.170	157.080	52.140	46.860	256.080	0.170	42.400	57.240	259.700	359.340	0.170		
0.180	157.080	52.140	46.860	256.080	0.180	42.400	57.240	259.700	359.340	0.180		
0.190	159.720	52.140	46.860	258.720	0.190	39.220	54.060	261.820	355.100	0.190		
0.200	159.720	52.140	44.880	256.740	0.200	39.220	57.240	261.820	358.280	0.200		
0.210	162.360	52.140	46.860	261.360	0.210	37.100	54.060	261.820	352.980	0.210		
0.220	162.360	52.140	44.880	259.380	0.220	37.100	54.060	261.820	352.980	0.220		
0.230	162.360	52.140	44.880	259.380	0.230	39.220	54.060	261.820	355.100	0.230		
