C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-50-18-681.load
Comment s20h crashed 9
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	109.800	47.250	59.850	216.900	0.000	56.840	69.580	245.000	371.420	0.000		
0.010	109.800	45.000	62.100	216.900	0.010	59.780	64.680	239.120	363.580	0.010		
0.020	107.100	45.000	62.100	214.200	0.020	61.740	66.640	239.120	367.500	0.020		
0.030	107.100	45.000	62.100	214.200	0.030	61.740	66.640	239.120	367.500	0.030		
0.040	104.850	47.250	62.100	214.200	0.040	64.680	69.580	237.160	371.420	0.040		
0.050	104.850	47.250	64.800	216.900	0.050	64.680	71.540	237.160	373.380	0.050		
0.060	104.850	45.000	64.800	214.650	0.060	64.680	71.540	234.220	370.440	0.060		
0.070	102.150	45.000	64.800	211.950	0.070	69.580	69.580	229.320	368.480	0.070		
0.080	99.900	47.250	67.500	214.650	0.080	69.580	71.540	227.360	368.480	0.080		
0.090	99.900	47.250	67.500	214.650	0.090	69.580	71.540	224.420	365.540	0.090		
0.100	99.900	47.250	67.500	214.650	0.100	71.540	71.540	222.460	365.540	0.100		
0.110	99.900	47.250	67.500	214.650	0.110	71.540	77.420	222.460	371.420	0.110		
0.120	97.500	47.190	69.810	214.500	0.120	74.480	77.420	219.520	371.420	0.120		
0.130	97.500	47.190	69.810	214.500	0.130	74.480	77.420	216.580	368.480	0.130		
0.140	97.500	47.190	69.810	214.500	0.140	74.480	77.420	214.620	366.520	0.140		
0.150	94.770	49.920	72.150	216.840	0.150	77.350	77.350	212.500	367.200	0.150		
0.160	94.770	47.190	72.150	214.110	0.160	77.350	77.350	212.500	367.200	0.160		
0.170	94.770	49.920	72.150	216.840	0.170	77.350	79.900	209.950	367.200	0.170		
0.180	94.770	49.920	72.150	216.840	0.180	79.900	77.350	209.950	367.200	0.180		
0.190	92.430	49.920	72.150	214.500	0.190	79.900	79.900	209.950	369.750	0.190		
0.200	92.430	49.920	72.150	214.500	0.200	79.900	77.350	209.950	367.200	0.200		
