C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-59-31-311.load
Comment s20vh crashed 8
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	107.500	59.770	59.770	227.040	0.000	62.060	54.570	247.170	363.800	0.000		
0.010	104.920	59.770	57.190	221.880	0.010	64.200	54.570	243.960	362.730	0.010		
0.020	107.500	59.770	57.190	224.460	0.020	59.920	54.570	243.960	358.450	0.020		
0.030	107.500	59.770	54.610	221.880	0.030	62.060	54.570	243.960	360.590	0.030		
0.040	107.500	59.770	57.190	224.460	0.040	62.060	54.570	247.170	363.800	0.040		
0.050	107.500	59.770	57.190	224.460	0.050	59.920	54.570	247.170	361.660	0.050		
0.060	107.500	59.770	57.190	224.460	0.060	59.920	54.570	247.170	361.660	0.060		
0.070	107.500	59.770	54.610	221.880	0.070	59.920	54.570	247.170	361.660	0.070		
0.080	107.500	59.770	54.610	221.880	0.080	56.710	54.570	249.310	360.590	0.080		
0.090	104.920	59.770	54.610	219.300	0.090	59.920	54.570	249.310	363.800	0.090		
0.100	104.920	59.770	57.190	221.880	0.100	56.710	54.570	251.450	362.730	0.100		
0.110	104.920	59.770	54.610	219.300	0.110	56.710	54.570	254.660	365.940	0.110		
0.120	104.920	59.770	54.610	219.300	0.120	54.570	54.570	258.940	368.080	0.120		
0.130	102.340	57.190	54.610	214.140	0.130	52.430	52.430	262.150	367.010	0.130		
0.140	102.340	59.770	57.190	219.300	0.140	52.430	54.570	267.500	374.500	0.140		
0.150	100.000	60.000	57.200	217.200	0.150	49.210	54.530	269.990	373.730	0.150		
0.160	100.000	60.000	57.200	217.200	0.160	46.550	54.530	271.320	372.400	0.160		
0.170	97.200	60.000	57.200	214.400	0.170	43.890	57.190	273.980	375.060	0.170		
0.180	94.800	60.000	60.000	214.800	0.180	43.890	54.530	279.300	377.720	0.180		
0.190	94.800	60.000	57.200	212.000	0.190	41.230	57.190	284.620	383.040	0.190		
