C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_18-07-01-694.load
Comment s20vh crashed 5
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	100.000	44.800	70.000	214.800	0.000	86.860	86.860	215.000	388.720	0.000		
0.010	100.000	44.800	70.000	214.800	0.010	86.860	86.860	212.420	386.140	0.010		
0.020	97.200	44.800	70.000	212.000	0.020	86.860	86.860	212.420	386.140	0.020		
0.030	97.200	44.800	70.000	212.000	0.030	86.860	86.860	212.420	386.140	0.030		
0.040	97.200	44.800	70.000	212.000	0.040	86.860	84.280	209.840	380.980	0.040		
0.050	97.200	44.800	72.400	214.400	0.050	86.860	86.860	212.420	386.140	0.050		
0.060	97.200	44.800	72.400	214.400	0.060	86.860	86.860	209.840	383.560	0.060		
0.070	97.200	47.200	72.400	216.800	0.070	86.860	86.860	209.840	383.560	0.070		
0.080	97.200	47.200	72.400	216.800	0.080	89.440	86.860	209.840	386.140	0.080		
0.090	97.200	47.200	72.400	216.800	0.090	86.860	86.860	209.840	383.560	0.090		
0.100	97.200	44.800	70.000	212.000	0.100	86.860	86.860	209.840	383.560	0.100		
0.110	97.200	47.200	72.400	216.800	0.110	86.860	86.860	212.420	386.140	0.110		
0.120	100.000	47.200	72.400	219.600	0.120	86.860	84.280	212.420	383.560	0.120		
0.130	100.000	47.200	72.400	219.600	0.130	86.860	86.860	215.000	388.720	0.130		
0.140	100.000	47.200	72.400	219.600	0.140	89.440	84.280	212.420	386.140	0.140		
0.150	100.000	47.200	72.400	219.600	0.150	86.860	84.280	212.420	383.560	0.150		
0.160	100.000	47.200	72.400	219.600	0.160	84.280	84.280	212.420	380.980	0.160		
0.170	100.000	47.200	72.400	219.600	0.170	86.860	86.860	212.420	386.140	0.170		
0.180	100.000	47.200	72.400	219.600	0.180	86.860	84.280	212.420	383.560	0.180		
0.190	100.000	44.800	72.400	217.200	0.190	86.860	81.700	212.420	380.980	0.190		
0.200	97.200	47.200	72.400	216.800	0.200	86.860	81.700	212.420	380.980	0.200		
0.210	100.000	44.800	70.000	214.800	0.210	84.280	81.700	212.420	378.400	0.210		
0.220	100.000	47.200	72.400	219.600	0.220	84.280	81.700	209.840	375.820	0.220		
0.230	100.000	44.800	70.000	214.800	0.230	81.700	79.980	209.840	371.520	0.230		
0.240	100.000	47.200	70.000	217.200	0.240	84.280	79.980	212.420	376.680	0.240		
0.250	100.000	44.800	70.000	214.800	0.250	81.700	79.980	212.420	374.100	0.250		
0.260	100.000	47.200	70.000	217.200	0.260	81.700	79.980	212.420	374.100	0.260		
0.270	99.960	44.940	69.720	214.620	0.270	81.700	79.980	212.420	374.100	0.270		
0.280	99.960	47.460	69.720	217.140	0.280	79.980	77.400	212.420	369.800	0.280		
0.290	99.960	47.460	69.720	217.140	0.290	81.700	79.980	215.000	376.680	0.290		
0.300	99.960	44.940	69.720	214.620	0.300	79.200	77.440	214.720	371.360	0.300		
0.310	99.960	44.940	67.200	212.100	0.310	81.840	77.440	214.720	374.000	0.310		
0.320	99.960	44.940	69.720	214.620	0.320	79.200	77.440	214.720	371.360	0.320		
0.330	99.960	44.940	67.200	212.100	0.330	79.200	79.200	217.360	375.760	0.330		
0.340	99.960	44.940	69.720	214.620	0.340	79.200	79.200	217.360	375.760	0.340		
0.350	102.480	44.940	69.720	217.140	0.350	79.200	79.200	217.360	375.760	0.350		
0.360	102.480	47.460	69.720	219.660	0.360	79.200	77.440	217.360	374.000	0.360		
0.370	102.480	47.460	67.200	217.140	0.370	77.440	79.200	217.360	374.000	0.370		
0.380	102.480	44.940	67.200	214.620	0.380	79.200	77.440	220.000	376.640	0.380		
0.390	102.480	47.460	67.200	217.140	0.390	77.440	79.200	220.000	376.640	0.390		
0.400	102.480	44.940	67.200	214.620	0.400	77.440	77.440	220.000	374.880	0.400		
0.410	105.000	47.460	69.720	222.180	0.410	79.200	77.440	220.000	376.640	0.410		
0.420	107.360	47.080	67.320	221.760	0.420	77.440	77.440	220.000	374.880	0.420		
0.430	104.720	47.080	69.960	221.760	0.430	77.440	74.800	220.000	372.240	0.430		
0.440	107.360	47.080	69.960	224.400	0.440	77.440	77.440	220.000	374.880	0.440		
0.450	107.360	47.080	67.320	221.760	0.450	77.190	77.190	219.480	373.860	0.450		
0.460	107.360	47.080	67.320	221.760	0.460	77.190	77.190	222.270	376.650	0.460		
0.470	107.360	47.080	69.960	224.400	0.470	77.190	77.190	224.130	378.510	0.470		
0.480	107.360	47.080	67.320	221.760	0.480	74.400	77.190	224.130	375.720	0.480		
0.490	107.360	47.080	67.320	221.760	0.490	74.400	74.400	226.920	375.720	0.490		
0.500	110.000	47.080	67.320	224.400	0.500	74.400	77.190	226.920	378.510	0.500		
0.510	110.000	47.080	69.960	227.040	0.510	74.400	74.400	226.920	375.720	0.510		
0.520	107.360	47.080	67.320	221.760	0.520	74.400	74.400	229.710	378.510	0.520		
0.530	110.000	47.080	67.320	224.400	0.530	74.400	71.610	229.710	375.720	0.530		
0.540	107.360	44.880	67.320	219.560	0.540	74.400	71.610	229.710	375.720	0.540		
0.550	107.360	47.080	67.320	221.760	0.550	74.400	71.610	229.710	375.720	0.550		
0.560	107.360	44.880	67.320	219.560	0.560	71.610	71.610	229.710	372.930	0.560		
0.570	107.180	47.380	67.160	221.720	0.570	71.610	71.610	232.500	375.720	0.570		
0.580	107.180	47.380	64.860	219.420	0.580	71.610	74.400	232.500	378.510	0.580		
0.590	109.940	44.620	67.160	221.720	0.590	69.750	71.610	232.500	373.860	0.590		
0.600	109.940	47.380	67.160	224.480	0.600	69.120	72.000	234.240	375.360	0.600		
0.610	109.940	47.380	67.160	224.480	0.610	69.120	72.000	234.240	375.360	0.610		
0.620	112.240	44.620	67.160	224.020	0.620	67.200	72.000	237.120	376.320	0.620		
0.630	112.240	44.620	64.860	221.720	0.630	69.120	72.000	237.120	378.240	0.630		
0.640	112.240	47.380	67.160	226.780	0.640	67.200	72.000	237.120	376.320	0.640		
0.650	112.240	47.380	64.860	224.480	0.650	67.200	72.000	237.120	376.320	0.650		
0.660	115.000	47.380	67.160	229.540	0.660	67.200	72.000	240.000	379.200	0.660		
0.670	112.240	47.380	67.160	226.780	0.670	67.200	72.000	240.000	379.200	0.670		
0.680	112.240	47.380	67.160	226.780	0.680	67.200	72.000	240.000	379.200	0.680		
0.690	115.000	47.380	67.160	229.540	0.690	67.200	69.120	240.000	376.320	0.690		
0.700	115.000	47.380	67.160	229.540	0.700	67.200	72.000	240.000	379.200	0.700		
0.710	112.240	47.380	67.160	226.780	0.710	69.120	72.000	240.000	381.120	0.710		
0.720	112.500	47.250	67.500	227.250	0.720	69.120	72.000	237.120	378.240	0.720		
0.730	112.500	47.250	67.500	227.250	0.730	67.200	72.000	240.000	379.200	0.730		
0.740	112.500	47.250	67.500	227.250	0.740	69.120	72.000	237.120	378.240	0.740		
0.750	112.500	47.250	67.500	227.250	0.750	67.450	69.350	237.500	374.300	0.750		
0.760	109.800	47.250	67.500	224.550	0.760	67.450	72.200	237.500	377.150	0.760		
0.770	109.800	47.250	67.500	224.550	0.770	67.450	72.200	237.500	377.150	0.770		
0.780	109.800	47.250	67.500	224.550	0.780	69.350	72.200	237.500	379.050	0.780		
0.790	109.800	45.000	69.750	224.550	0.790	67.450	72.200	237.500	377.150	0.790		
0.800	107.100	47.250	67.500	221.850	0.800	69.350	74.100	237.500	380.950	0.800		
0.810	107.100	47.250	69.750	224.100	0.810	69.350	74.100	234.650	378.100	0.810		
0.820	107.100	45.000	69.750	221.850	0.820	69.350	72.200	234.650	376.200	0.820		
0.830	107.100	47.250	69.750	224.100	0.830	69.350	74.100	237.500	380.950	0.830		
0.840	104.850	45.000	69.750	219.600	0.840	72.200	72.200	234.650	379.050	0.840		
0.850	107.100	47.250	72.450	226.800	0.850	72.200	74.100	234.650	380.950	0.850		
0.860	104.850	45.000	69.750	219.600	0.860	69.350	74.100	234.650	378.100	0.860		
0.870	105.000	44.940	69.720	219.660	0.870	69.350	74.100	234.650	378.100	0.870		
0.880	105.000	44.940	69.720	219.660	0.880	69.350	74.100	234.650	378.100	0.880		
0.890	105.000	47.460	69.720	222.180	0.890	69.350	74.100	234.650	378.100	0.890		
0.900	102.480	44.940	69.720	217.140	0.900	72.380	74.260	235.000	381.640	0.900		
0.910	102.480	44.940	69.720	217.140	0.910	72.380	74.260	235.000	381.640	0.910		
0.920	105.000	44.940	72.240	222.180	0.920	72.380	74.260	235.000	381.640	0.920		
0.930	102.480	44.940	69.720	217.140	0.930	69.560	74.260	232.180	376.000	0.930		
0.940	102.480	44.940	69.720	217.140	0.940	74.260	72.380	232.180	378.820	0.940		
0.950	102.480	44.940	69.720	217.140	0.950	72.380	74.260	232.180	378.820	0.950		
0.960	102.480	44.940	67.200	214.620	0.960	72.380	77.080	229.360	378.820	0.960		
0.970	102.480	44.940	69.720	217.140	0.970	72.380	74.260	229.360	376.000	0.970		
0.980	102.480	44.940	69.720	217.140	0.980	72.380	74.260	224.660	371.300	0.980		
0.990	102.480	44.940	69.720	217.140	0.990	74.260	74.260	227.480	376.000	0.990		
1.000	102.480	44.940	67.200	214.620	1.000	74.260	77.080	227.480	378.820	1.000		
1.010	102.480	44.940	67.200	214.620	1.010	74.260	77.080	227.480	378.820	1.010		
1.020	102.340	44.720	69.660	216.720	1.020	74.260	74.260	224.660	373.180	1.020		
1.030	102.340	44.720	67.080	214.140	1.030	74.260	74.260	224.660	373.180	1.030		
1.040	102.340	44.720	69.660	216.720	1.040	74.260	77.080	227.480	378.820	1.040		
1.050	102.340	42.140	69.660	214.140	1.050	71.540	77.420	227.360	376.320	1.050		
1.060	104.920	44.720	69.660	219.300	1.060	74.480	77.420	227.360	379.260	1.060		
1.070	104.920	44.720	67.080	216.720	1.070	74.480	77.420	229.320	381.220	1.070		
1.080	104.920	42.140	67.080	214.140	1.080	74.480	77.420	232.260	384.160	1.080		
1.090	104.920	42.140	67.080	214.140	1.090	74.480	77.420	234.220	386.120	1.090		
1.100	104.920	42.140	67.080	214.140	1.100	71.540	79.380	234.220	385.140	1.100		
1.110	104.920	44.720	67.080	216.720	1.110	71.540	77.420	237.160	386.120	1.110		
1.120	104.920	42.140	64.930	211.990	1.120	71.540	77.420	237.160	386.120	1.120		
1.130	104.920	42.140	64.930	211.990	1.130	71.540	77.420	237.160	386.120	1.130		
1.140	104.920	42.140	64.930	211.990	1.140	74.480	74.480	239.120	388.080	1.140		
1.150	104.920	42.140	67.080	214.140	1.150	71.540	79.380	242.060	392.980	1.150		
1.160	107.500	42.140	64.930	214.570	1.160	74.480	79.380	245.000	398.860	1.160		
1.170	107.360	42.240	64.680	214.280	1.170	74.480	79.380	245.000	398.860	1.170		
1.180	107.360	42.240	64.680	214.280	1.180	74.480	79.380	245.000	398.860	1.180		
1.190	110.000	44.880	64.680	219.560	1.190	74.480	79.380	242.060	395.920	1.190		
1.200	107.360	44.880	64.680	216.920	1.200	76.800	79.680	240.000	396.480	1.200		
1.210	107.360	44.880	64.680	216.920	1.210	76.800	76.800	237.120	390.720	1.210		
1.220	104.720	42.240	64.680	211.640	1.220	74.880	76.800	234.240	385.920	1.220		
1.230	102.080	42.240	64.680	209.000	1.230	76.800	76.800	234.240	387.840	1.230		
1.240	102.080	42.240	64.680	209.000	1.240	76.800	76.800	232.320	385.920	1.240		
1.250	99.880	39.600	64.680	204.160	1.250	76.800	76.800	229.440	383.040	1.250		
1.260	97.240	42.240	67.320	206.800	1.260	76.800	76.800	226.560	380.160	1.260		
1.270	97.240	39.600	64.680	201.520	1.270	79.680	76.800	226.560	383.040	1.270		
1.280	97.240	42.240	67.320	206.800	1.280	76.800	74.880	226.560	378.240	1.280		
1.290	97.240	42.240	67.320	206.800	1.290	76.800	76.800	224.640	378.240	1.290		
1.300	97.240	42.240	67.320	206.800	1.300	76.800	79.680	229.440	385.920	1.300		
1.310	99.880	42.240	67.320	209.440	1.310	76.800	79.680	229.440	385.920	1.310		
1.320	99.960	42.420	64.680	207.060	1.320	76.800	79.680	229.440	385.920	1.320		
1.330	99.960	42.420	67.200	209.580	1.330	76.800	79.680	232.320	388.800	1.330		
