C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-45-08-294.load
Comment s20vw
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	122.500	54.880	52.430	229.810	0.000	72.240	84.840	207.480	364.560	0.000		
0.010	122.500	54.880	52.430	229.810	0.010	69.720	84.840	207.480	362.040	0.010		
0.020	122.500	54.880	52.430	229.810	0.020	72.240	84.840	204.960	362.040	0.020		
0.030	122.500	54.880	52.430	229.810	0.030	72.240	84.840	204.960	362.040	0.030		
0.040	122.500	54.880	52.430	229.810	0.040	72.240	87.360	204.960	364.560	0.040		
0.050	122.500	54.880	54.880	232.260	0.050	72.240	84.840	204.960	362.040	0.050		
0.060	122.500	54.880	52.430	229.810	0.060	72.240	87.360	204.960	364.560	0.060		
0.070	122.500	54.880	54.880	232.260	0.070	72.240	87.360	204.960	364.560	0.070		
0.080	122.500	54.880	54.880	232.260	0.080	72.240	84.840	204.960	362.040	0.080		
0.090	122.500	54.880	54.880	232.260	0.090	72.240	84.840	202.440	359.520	0.090		
0.100	122.500	54.880	54.880	232.260	0.100	72.240	87.360	202.440	362.040	0.100		
0.110	119.560	54.880	54.880	229.320	0.110	72.240	87.360	202.440	362.040	0.110		
0.120	122.500	57.330	54.880	234.710	0.120	72.240	87.360	202.440	362.040	0.120		
0.130	122.500	54.880	52.430	229.810	0.130	74.760	87.360	202.440	364.560	0.130		
0.140	122.500	54.880	54.880	232.260	0.140	74.400	87.200	200.000	361.600	0.140		
0.150	120.000	54.720	54.720	229.440	0.150	74.400	87.200	196.800	358.400	0.150		
0.160	120.000	57.120	57.120	234.240	0.160	74.400	87.200	196.800	358.400	0.160		
0.170	120.000	57.120	54.720	231.840	0.170	74.400	87.200	196.800	358.400	0.170		
0.180	120.000	57.120	57.120	234.240	0.180	74.400	87.200	196.800	358.400	0.180		
0.190	120.000	54.720	57.120	231.840	0.190	76.800	87.200	194.400	358.400	0.190		
0.200	120.000	57.120	57.120	234.240	0.200	76.800	87.200	194.400	358.400	0.200		
0.210	120.000	57.120	60.000	237.120	0.210	76.800	87.200	194.400	358.400	0.210		
0.220	117.120	54.720	57.120	228.960	0.220	76.800	87.200	194.400	358.400	0.220		
0.230	117.120	57.120	60.000	234.240	0.230	76.800	87.200	194.400	358.400	0.230		
0.240	120.000	57.120	60.000	237.120	0.240	76.800	89.600	194.400	360.800	0.240		
0.250	117.120	57.120	60.000	234.240	0.250	74.400	84.800	192.000	351.200	0.250		
0.260	117.120	57.120	60.000	234.240	0.260	76.800	87.200	194.400	358.400	0.260		
0.270	117.120	57.120	60.000	234.240	0.270	76.800	87.200	192.000	356.000	0.270		
0.280	117.120	60.000	60.000	237.120	0.280	74.400	87.200	192.000	353.600	0.280		
0.290	114.720	57.120	60.000	231.840	0.290	77.420	86.900	194.340	358.660	0.290		
0.300	114.680	59.690	59.690	234.060	0.300	77.420	84.530	191.970	353.920	0.300		
0.310	114.680	59.690	59.690	234.060	0.310	77.420	86.900	194.340	358.660	0.310		
0.320	114.680	59.690	62.040	236.410	0.320	74.260	84.530	191.970	350.760	0.320		
0.330	114.680	59.690	62.040	236.410	0.330	74.260	84.530	194.340	353.130	0.330		
0.340	114.680	59.690	62.040	236.410	0.340	74.260	84.530	194.340	353.130	0.340		
0.350	114.680	59.690	59.690	234.060	0.350	74.260	84.530	194.340	353.130	0.350		
0.360	114.680	59.690	62.040	236.410	0.360	74.260	86.900	194.340	355.500	0.360		
0.370	117.500	59.690	62.040	239.230	0.370	74.260	84.530	197.500	356.290	0.370		
0.380	117.500	59.690	62.040	239.230	0.380	71.890	84.530	197.500	353.920	0.380		
0.390	117.500	59.690	62.040	239.230	0.390	71.890	84.530	197.500	353.920	0.390		
0.400	114.680	59.690	62.040	236.410	0.400	71.890	82.160	197.500	351.550	0.400		
0.410	114.680	59.690	62.040	236.410	0.410	71.890	84.530	197.500	353.920	0.410		
0.420	117.500	59.690	62.040	239.230	0.420	71.890	82.160	197.500	351.550	0.420		
0.430	117.500	59.690	62.040	239.230	0.430	71.890	82.160	197.500	351.550	0.430		
0.440	114.680	59.690	62.040	236.410	0.440	72.160	79.540	199.260	350.960	0.440		
0.450	114.680	59.690	62.040	236.410	0.450	72.160	82.000	199.260	353.420	0.450		
0.460	117.500	59.690	62.040	239.230	0.460	72.160	82.000	199.260	353.420	0.460		
0.470	117.500	59.690	62.040	239.230	0.470	69.700	82.000	199.260	350.960	0.470		
0.480	117.500	59.690	59.690	236.880	0.480	69.700	82.000	199.260	350.960	0.480		
0.490	117.500	59.690	62.040	239.230	0.490	69.700	79.540	199.260	348.500	0.490		
0.500	117.500	59.690	62.040	239.230	0.500	69.700	79.540	199.260	348.500	0.500		
0.510	114.680	59.690	62.040	236.410	0.510	69.700	79.540	199.260	348.500	0.510		
0.520	114.680	59.690	62.040	236.410	0.520	69.700	79.540	199.260	348.500	0.520		
0.530	114.680	59.690	62.040	236.410	0.530	69.700	79.540	201.720	350.960	0.530		
0.540	114.680	59.690	64.860	239.230	0.540	67.240	79.540	201.720	348.500	0.540		
0.550	114.680	59.690	62.040	236.410	0.550	69.700	79.540	201.720	350.960	0.550		
0.560	114.680	59.690	62.040	236.410	0.560	69.700	79.540	201.720	350.960	0.560		
0.570	114.680	59.690	62.040	236.410	0.570	67.240	79.540	205.000	351.780	0.570		
0.580	114.680	59.690	64.860	239.230	0.580	67.240	77.080	205.000	349.320	0.580		
0.590	114.680	62.040	64.860	241.580	0.590	67.240	79.540	205.000	351.780	0.590		
0.600	114.680	59.690	64.860	239.230	0.600	67.240	79.540	205.000	351.780	0.600		
0.610	114.680	59.690	64.860	239.230	0.610	67.240	79.540	201.720	348.500	0.610		
0.620	114.680	62.040	64.860	241.580	0.620	67.240	79.540	205.000	351.780	0.620		
0.630	114.680	59.690	64.860	239.230	0.630	67.240	79.540	205.000	351.780	0.630		
0.640	114.680	62.040	62.040	238.760	0.640	67.240	79.540	201.720	348.500	0.640		
0.650	117.500	59.690	62.040	239.230	0.650	67.240	79.540	205.000	351.780	0.650		
0.660	114.680	59.690	62.040	236.410	0.660	67.240	79.540	205.000	351.780	0.660		
0.670	114.680	62.040	62.040	238.760	0.670	69.700	82.000	205.000	356.700	0.670		
0.680	117.500	59.690	62.040	239.230	0.680	67.240	77.080	201.720	346.040	0.680		
0.690	114.680	59.690	62.040	236.410	0.690	69.700	79.540	201.720	350.960	0.690		
0.700	114.680	59.690	62.040	236.410	0.700	67.240	79.540	205.000	351.780	0.700		
0.710	114.680	59.690	62.040	236.410	0.710	67.240	79.540	205.000	351.780	0.710		
0.720	117.500	59.690	62.040	239.230	0.720	67.240	79.540	201.720	348.500	0.720		
0.730	117.500	59.690	62.040	239.230	0.730	67.240	77.080	205.000	349.320	0.730		
0.740	117.500	59.690	62.040	239.230	0.740	67.230	79.680	204.180	351.090	0.740		
0.750	117.120	62.400	62.400	241.920	0.750	67.230	79.680	204.180	351.090	0.750		
0.760	117.120	60.000	62.400	239.520	0.760	67.230	79.680	204.180	351.090	0.760		
0.770	117.120	60.000	62.400	239.520	0.770	67.230	79.680	204.180	351.090	0.770		
0.780	117.120	60.000	62.400	239.520	0.780	67.230	79.680	204.180	351.090	0.780		
0.790	117.120	62.400	60.000	239.520	0.790	67.230	79.680	204.180	351.090	0.790		
0.800	117.120	60.000	62.400	239.520	0.800	67.230	77.190	204.180	348.600	0.800		
0.810	117.120	60.000	62.400	239.520	0.810	67.230	79.680	204.180	351.090	0.810		
0.820	117.120	60.000	62.400	239.520	0.820	67.230	79.680	207.500	354.410	0.820		
0.830	117.120	60.000	62.400	239.520	0.830	67.230	79.680	204.180	351.090	0.830		
0.840	117.120	60.000	62.400	239.520	0.840	67.230	79.680	204.180	351.090	0.840		
0.850	117.120	60.000	62.400	239.520	0.850	67.230	79.680	207.500	354.410	0.850		
0.860	117.120	60.000	62.400	239.520	0.860	67.230	79.680	204.180	351.090	0.860		
0.870	117.120	60.000	62.400	239.520	0.870	67.230	77.190	204.180	348.600	0.870		
0.880	120.000	60.000	62.400	242.400	0.880	67.230	79.680	207.500	354.410	0.880		
0.890	120.000	60.000	60.000	240.000	0.890	67.200	77.280	204.960	349.440	0.890		
0.900	120.000	60.000	62.400	242.400	0.900	67.200	77.280	204.960	349.440	0.900		
0.910	117.120	60.000	62.400	239.520	0.910	67.200	79.800	204.960	351.960	0.910		
0.920	117.120	60.000	62.400	239.520	0.920	64.680	79.800	207.480	351.960	0.920		
0.930	120.000	60.000	62.400	242.400	0.930	64.680	77.280	204.960	346.920	0.930		
0.940	120.000	60.000	62.400	242.400	0.940	64.680	79.800	207.480	351.960	0.940		
0.950	120.000	60.000	62.400	242.400	0.950	64.680	77.280	207.480	349.440	0.950		
0.960	117.120	60.000	62.400	239.520	0.960	64.680	77.280	204.960	346.920	0.960		
0.970	117.120	60.000	62.400	239.520	0.970	64.680	77.280	204.960	346.920	0.970		
0.980	117.120	60.000	62.400	239.520	0.980	64.680	77.280	207.480	349.440	0.980		
0.990	117.120	60.000	62.400	239.520	0.990	64.680	74.760	207.480	346.920	0.990		
1.000	117.120	60.000	62.400	239.520	1.000	64.680	77.280	207.480	349.440	1.000		
1.010	120.000	60.000	62.400	242.400	1.010	64.680	77.280	207.480	349.440	1.010		
1.020	117.120	60.000	62.400	239.520	1.020	64.680	77.280	207.480	349.440	1.020		
1.030	120.000	60.000	60.000	240.000	1.030	64.680	77.280	210.000	351.960	1.030		
1.040	117.120	60.000	60.000	237.120	1.040	64.500	77.400	209.840	351.740	1.040		
