C:\Users\Public\Documents\Novel Studio\load_data\2025-12-16\20\loadapp_2025-12-16_17-56-24-994.load
Comment s20w
	PRU147-L::heel	PRU147-L::mid	PRU147-L::front	PRU147-L		PRU148-R::front	PRU148-R::mid	PRU148-R::heel	PRU148-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	214.700	49.400	41.800	305.900	0.000	14.760	29.520	196.800	241.080	0.000		
0.010	216.600	49.400	39.900	305.900	0.010	14.760	29.520	196.800	241.080	0.010		
0.020	222.300	49.400	39.900	311.600	0.020	14.760	29.520	196.800	241.080	0.020		
0.030	224.200	47.500	37.050	308.750	0.030	12.300	27.060	196.800	236.160	0.030		
0.040	227.050	47.500	37.050	311.600	0.040	9.840	27.060	196.800	233.700	0.040		
0.050	229.900	47.500	34.200	311.600	0.050	9.840	24.600	201.720	236.160	0.050		
0.060	231.800	47.500	34.200	313.500	0.060	9.840	24.600	201.720	236.160	0.060		
0.070	234.650	44.650	32.300	311.600	0.070	7.380	22.140	201.720	231.240	0.070		
0.080	234.650	44.650	34.200	313.500	0.080	7.380	22.140	205.000	234.520	0.080		
0.090	237.500	44.650	34.200	316.350	0.090	7.380	19.680	201.720	228.780	0.090		
0.100	237.500	44.650	32.300	314.450	0.100	7.380	22.140	201.720	231.240	0.100		
0.110	234.650	47.500	34.200	316.350	0.110	7.380	22.140	201.720	231.240	0.110		
0.120	232.500	44.640	31.620	308.760	0.120	4.920	22.140	199.260	226.320	0.120		
0.130	232.500	44.640	34.410	311.550	0.130	7.380	22.140	196.800	226.320	0.130		
0.140	229.710	44.640	34.410	308.760	0.140	7.380	22.140	196.800	226.320	0.140		
0.150	229.710	47.430	34.410	311.550	0.150	9.840	19.680	194.340	223.860	0.150		
0.160	226.920	44.640	34.410	305.970	0.160	9.480	24.490	197.500	231.470	0.160		
0.170	224.130	47.430	37.200	308.760	0.170	9.480	24.490	194.340	228.310	0.170		
0.180	222.270	47.430	37.200	306.900	0.180	11.850	26.860	194.340	233.050	0.180		
0.190	219.480	44.640	37.200	301.320	0.190	11.850	26.860	191.970	230.680	0.190		
0.200	214.830	47.430	39.990	302.250	0.200	17.380	29.230	189.600	236.210	0.200		
0.210	212.040	47.430	41.850	301.320	0.210	19.750	32.390	187.230	239.370	0.210		
0.220	207.390	47.430	41.850	296.670	0.220	22.120	32.390	184.860	239.370	0.220		
0.230	204.600	47.430	41.850	293.880	0.230	22.120	32.390	184.860	239.370	0.230		
