C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-26-10-699.load
Comment s21b
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	200.000	116.800	122.400	439.200	0.000	102.090	104.580	207.500	414.170	0.000		
0.010	200.000	116.800	122.400	439.200	0.010	102.090	102.090	204.180	408.360	0.010		
0.020	200.000	116.800	124.800	441.600	0.020	102.090	102.090	207.500	411.680	0.020		
0.030	196.800	116.800	124.800	438.400	0.030	102.090	102.090	204.180	408.360	0.030		
0.040	200.000	120.000	124.800	444.800	0.040	102.090	102.090	204.180	408.360	0.040		
0.050	196.800	120.000	124.800	441.600	0.050	102.090	104.580	204.180	410.850	0.050		
0.060	196.800	120.000	127.200	444.000	0.060	102.090	102.090	204.180	408.360	0.060		
0.070	196.800	122.400	127.200	446.400	0.070	102.090	102.090	201.690	405.870	0.070		
0.080	196.800	120.000	127.200	444.000	0.080	102.090	102.090	201.690	405.870	0.080		
0.090	196.800	122.400	129.600	448.800	0.090	102.090	102.090	201.690	405.870	0.090		
0.100	196.800	122.400	129.600	448.800	0.100	102.090	99.600	201.690	403.380	0.100		
0.110	196.800	122.400	129.600	448.800	0.110	102.090	102.090	199.200	403.380	0.110		
0.120	194.400	122.400	127.200	444.000	0.120	104.580	102.090	199.200	405.870	0.120		
0.130	194.340	124.820	129.560	448.720	0.130	102.090	99.600	199.200	400.890	0.130		
0.140	194.340	124.820	129.560	448.720	0.140	102.090	99.600	199.200	400.890	0.140		
0.150	194.340	124.820	129.560	448.720	0.150	102.400	100.000	200.000	402.400	0.150		
0.160	194.340	124.820	129.560	448.720	0.160	100.000	100.000	200.000	400.000	0.160		
0.170	194.340	127.190	131.930	453.460	0.170	102.400	100.000	200.000	402.400	0.170		
0.180	194.340	127.190	131.930	453.460	0.180	100.000	100.000	196.800	396.800	0.180		
0.190	194.340	127.190	131.930	453.460	0.190	102.400	96.800	196.800	396.000	0.190		
0.200	194.340	129.560	134.300	458.200	0.200	100.000	96.800	196.800	393.600	0.200		
0.210	197.500	127.190	134.300	458.990	0.210	100.000	96.800	196.800	393.600	0.210		
0.220	194.340	129.560	134.300	458.200	0.220	100.000	96.800	196.800	393.600	0.220		
0.230	197.500	129.560	134.300	461.360	0.230	102.400	100.000	196.800	399.200	0.230		
0.240	197.500	129.560	131.930	458.990	0.240	102.400	96.800	194.400	393.600	0.240		
0.250	197.500	129.560	134.300	461.360	0.250	100.000	96.800	194.400	391.200	0.250		
0.260	197.500	129.560	134.300	461.360	0.260	100.000	96.800	194.400	391.200	0.260		
0.270	197.500	129.560	134.300	461.360	0.270	100.000	96.800	194.400	391.200	0.270		
0.280	196.830	129.600	134.460	460.890	0.280	100.000	96.800	192.000	388.800	0.280		
0.290	196.830	129.600	134.460	460.890	0.290	100.000	96.800	192.000	388.800	0.290		
0.300	196.830	132.030	136.890	465.750	0.300	99.330	97.020	192.500	388.850	0.300		
0.310	196.830	132.030	136.890	465.750	0.310	99.330	94.710	192.500	386.540	0.310		
0.320	196.830	132.030	136.890	465.750	0.320	99.330	94.710	189.420	383.460	0.320		
0.330	196.830	134.460	136.890	468.180	0.330	99.330	94.710	189.420	383.460	0.330		
0.340	196.830	132.030	136.890	465.750	0.340	99.330	94.710	189.420	383.460	0.340		
0.350	196.830	134.460	139.320	470.610	0.350	99.330	94.710	189.420	383.460	0.350		
0.360	196.830	132.030	139.320	468.180	0.360	99.330	94.710	189.420	383.460	0.360		
0.370	199.260	134.460	136.890	470.610	0.370	97.020	94.710	189.420	381.150	0.370		
0.380	199.260	136.890	139.320	475.470	0.380	99.330	92.400	187.110	378.840	0.380		
0.390	199.260	134.460	139.320	473.040	0.390	99.330	94.710	187.110	381.150	0.390		
0.400	199.260	134.460	139.320	473.040	0.400	97.020	92.400	189.420	378.840	0.400		
0.410	199.260	136.890	139.320	475.470	0.410	97.020	92.400	187.110	376.530	0.410		
0.420	202.500	136.890	139.320	478.710	0.420	97.020	92.400	187.110	376.530	0.420		
0.430	202.100	136.740	139.320	478.160	0.430	97.020	92.400	187.110	376.530	0.430		
0.440	202.100	136.740	139.320	478.160	0.440	97.020	92.400	187.110	376.530	0.440		
0.450	202.100	139.320	139.320	480.740	0.450	97.500	92.250	187.500	377.250	0.450		
0.460	204.680	136.740	139.320	480.740	0.460	97.500	90.000	187.500	375.000	0.460		
0.470	204.680	139.320	139.320	483.320	0.470	94.500	90.000	184.500	369.000	0.470		
0.480	204.680	139.320	139.320	483.320	0.480	97.500	90.000	184.500	372.000	0.480		
0.490	207.260	139.320	139.320	485.900	0.490	97.500	90.000	184.500	372.000	0.490		
0.500	207.260	139.320	141.900	488.480	0.500	94.500	87.000	184.500	366.000	0.500		
0.510	207.260	139.320	139.320	485.900	0.510	94.500	90.000	184.500	369.000	0.510		
0.520	209.840	141.900	139.320	491.060	0.520	94.500	87.000	182.250	363.750	0.520		
0.530	212.420	139.320	139.320	491.060	0.530	94.500	87.000	182.250	363.750	0.530		
0.540	212.420	139.320	136.740	488.480	0.540	94.500	87.000	180.000	361.500	0.540		
0.550	212.420	139.320	139.320	491.060	0.550	94.500	87.000	180.000	361.500	0.550		
0.560	215.000	139.320	136.740	491.060	0.560	94.500	87.000	177.000	358.500	0.560		
0.570	215.000	139.320	139.320	493.640	0.570	94.500	84.750	177.000	356.250	0.570		
0.580	216.600	139.650	139.650	495.900	0.580	94.500	87.000	174.750	356.250	0.580		
0.590	219.450	139.650	136.800	495.900	0.590	94.500	87.000	174.750	356.250	0.590		
0.600	219.450	139.650	136.800	495.900	0.600	94.500	84.700	175.000	354.200	0.600		
0.610	222.300	142.500	139.650	504.450	0.610	94.500	84.700	172.200	351.400	0.610		
0.620	222.300	139.650	136.800	498.750	0.620	94.500	84.700	172.200	351.400	0.620		
0.630	224.200	139.650	136.800	500.650	0.630	94.500	84.700	169.400	348.600	0.630		
0.640	224.200	139.650	134.900	498.750	0.640	94.500	81.900	169.400	345.800	0.640		
0.650	227.050	142.500	136.800	506.350	0.650	94.500	81.900	169.400	345.800	0.650		
0.660	229.900	142.500	136.800	509.200	0.660	92.400	81.900	167.300	341.600	0.660		
0.670	229.900	142.500	134.900	507.300	0.670	92.400	81.900	167.300	341.600	0.670		
0.680	231.800	139.650	134.900	506.350	0.680	92.400	81.900	167.300	341.600	0.680		
0.690	231.800	142.500	136.800	511.100	0.690	92.400	79.800	164.500	336.700	0.690		
0.700	231.800	142.500	134.900	509.200	0.700	92.400	79.800	167.300	339.500	0.700		
0.710	234.650	142.500	134.900	512.050	0.710	92.400	79.800	164.500	336.700	0.710		
0.720	237.500	142.500	134.900	514.900	0.720	92.400	79.800	164.500	336.700	0.720		
0.730	237.120	142.480	134.160	513.760	0.730	92.400	79.800	162.400	334.600	0.730		
0.740	239.200	142.480	134.160	515.840	0.740	92.400	79.800	162.400	334.600	0.740		
0.750	242.320	144.560	134.160	521.040	0.750	92.160	80.000	160.000	332.160	0.750		
0.760	242.320	144.560	134.160	521.040	0.760	89.600	77.440	160.000	327.040	0.760		
0.770	244.400	142.480	134.160	521.040	0.770	89.600	77.440	157.440	324.480	0.770		
0.780	244.400	142.480	134.160	521.040	0.780	89.600	77.440	160.000	327.040	0.780		
0.790	246.480	144.560	132.080	523.120	0.790	89.600	77.440	157.440	324.480	0.790		
0.800	249.600	144.560	132.080	526.240	0.800	89.600	74.880	157.440	321.920	0.800		
0.810	249.600	144.560	134.160	528.320	0.810	89.600	74.880	157.440	321.920	0.810		
0.820	251.680	144.560	132.080	528.320	0.820	89.600	77.440	157.440	324.480	0.820		
0.830	251.680	144.560	132.080	528.320	0.830	87.040	74.880	154.880	316.800	0.830		
0.840	254.800	142.480	130.000	527.280	0.840	89.600	74.880	154.880	319.360	0.840		
0.850	254.800	142.480	130.000	527.280	0.850	89.600	72.320	154.880	316.800	0.850		
