C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-34-17-664.load
Comment s21bvr
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	122.180	164.820	201.720	488.720	0.000	129.930	117.150	177.500	424.580	0.000		
0.010	122.180	162.360	201.720	486.260	0.010	129.930	117.150	177.500	424.580	0.010		
0.020	122.180	164.820	201.720	488.720	0.020	129.930	117.150	177.500	424.580	0.020		
0.030	122.180	164.820	201.720	488.720	0.030	129.930	117.150	177.500	424.580	0.030		
0.040	122.180	164.820	201.720	488.720	0.040	132.060	117.150	177.500	426.710	0.040		
0.050	122.180	164.820	201.720	488.720	0.050	129.930	117.150	177.500	424.580	0.050		
0.060	119.720	164.820	201.720	486.260	0.060	129.930	117.150	174.660	421.740	0.060		
0.070	119.720	164.820	205.000	489.540	0.070	132.060	117.150	174.660	423.870	0.070		
0.080	119.720	164.820	201.720	486.260	0.080	132.060	117.150	174.660	423.870	0.080		
0.090	119.720	164.820	201.720	486.260	0.090	129.930	117.150	171.820	418.900	0.090		
0.100	119.720	164.820	201.720	486.260	0.100	129.930	117.150	171.820	418.900	0.100		
0.110	119.720	164.820	201.720	486.260	0.110	132.060	117.150	171.820	421.030	0.110		
0.120	122.180	164.820	205.000	492.000	0.120	132.060	117.150	171.820	421.030	0.120		
0.130	122.180	167.280	201.720	491.180	0.130	132.060	117.150	171.820	421.030	0.130		
0.140	122.180	167.280	201.720	491.180	0.140	132.060	117.150	171.820	421.030	0.140		
0.150	122.180	164.820	205.000	492.000	0.150	129.720	117.300	169.740	416.760	0.150		
0.160	122.180	164.820	201.720	488.720	0.160	129.720	117.300	172.500	419.520	0.160		
0.170	122.180	167.280	205.000	494.460	0.170	132.480	117.300	169.740	419.520	0.170		
0.180	122.180	167.280	205.000	494.460	0.180	129.720	114.540	169.740	414.000	0.180		
0.190	122.180	164.820	205.000	492.000	0.190	132.480	114.540	169.740	416.760	0.190		
0.200	122.180	164.820	205.000	492.000	0.200	129.720	112.470	169.740	411.930	0.200		
0.210	122.180	164.820	205.000	492.000	0.210	129.720	114.540	166.980	411.240	0.210		
