C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-38-12-616.load
Comment s21h
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	167.280	144.840	134.640	446.760	0.000	144.900	124.740	154.980	424.620	0.000		
0.010	167.280	142.120	134.640	444.040	0.010	144.900	124.740	154.980	424.620	0.010		
0.020	167.280	144.840	134.640	446.760	0.020	144.900	124.740	154.980	424.620	0.020		
0.030	170.000	142.120	134.640	446.760	0.030	144.900	124.740	154.980	424.620	0.030		
0.040	170.000	144.840	134.640	449.480	0.040	144.900	124.740	154.980	424.620	0.040		
0.050	167.280	142.120	131.920	441.320	0.050	142.380	124.740	157.500	424.620	0.050		
0.060	170.000	142.120	134.640	446.760	0.060	142.380	124.740	157.500	424.620	0.060		
0.070	170.000	144.840	134.640	449.480	0.070	142.380	122.220	157.500	422.100	0.070		
0.080	170.000	144.840	134.640	449.480	0.080	142.380	124.740	157.500	424.620	0.080		
0.090	170.000	144.840	134.640	449.480	0.090	144.900	124.740	157.500	427.140	0.090		
0.100	170.000	142.120	134.640	446.760	0.100	144.900	124.740	157.500	427.140	0.100		
0.110	170.000	142.120	134.640	446.760	0.110	142.380	122.220	157.500	422.100	0.110		
0.120	170.000	142.120	134.640	446.760	0.120	142.380	124.740	157.500	424.620	0.120		
0.130	170.000	144.840	134.640	449.480	0.130	142.380	122.220	157.500	422.100	0.130		
0.140	171.820	144.840	134.900	451.560	0.140	142.380	122.220	157.500	422.100	0.140		
0.150	169.690	144.840	134.900	449.430	0.150	139.750	122.200	159.900	421.850	0.150		
0.160	171.820	144.840	132.060	448.720	0.160	139.750	122.200	159.900	421.850	0.160		
0.170	171.820	144.840	132.060	448.720	0.170	139.750	122.200	162.500	424.450	0.170		
0.180	171.820	144.840	134.900	451.560	0.180	139.750	122.200	159.900	421.850	0.180		
0.190	171.820	142.000	134.900	448.720	0.190	139.750	122.200	162.500	424.450	0.190		
0.200	171.820	144.840	134.900	451.560	0.200	139.750	122.200	162.500	424.450	0.200		
0.210	174.660	144.840	132.060	451.560	0.210	139.750	122.200	159.900	421.850	0.210		
0.220	174.660	144.840	132.060	451.560	0.220	137.150	122.200	159.900	419.250	0.220		
0.230	174.660	144.840	134.900	454.400	0.230	137.150	122.200	162.500	421.850	0.230		
0.240	171.820	144.840	132.060	448.720	0.240	139.750	122.200	162.500	424.450	0.240		
0.250	174.660	144.840	134.900	454.400	0.250	137.150	122.200	162.500	421.850	0.250		
0.260	174.660	144.840	132.060	451.560	0.260	137.150	119.600	162.500	419.250	0.260		
0.270	177.500	146.970	134.900	459.370	0.270	137.150	119.600	159.900	416.650	0.270		
0.280	177.500	146.970	134.900	459.370	0.280	137.150	119.600	159.900	416.650	0.280		
0.290	177.120	144.720	132.480	454.320	0.290	139.750	119.600	159.900	419.250	0.290		
0.300	180.000	146.880	132.480	459.360	0.300	139.920	119.460	159.720	419.100	0.300		
0.310	180.000	146.880	132.480	459.360	0.310	137.280	119.460	159.720	416.460	0.310		
0.320	180.000	146.880	132.480	459.360	0.320	137.280	117.480	157.080	411.840	0.320		
0.330	177.120	146.880	132.480	456.480	0.330	137.280	119.460	157.080	413.820	0.330		
0.340	177.120	144.720	132.480	454.320	0.340	137.280	117.480	157.080	411.840	0.340		
0.350	177.120	144.720	132.480	454.320	0.350	137.280	117.480	157.080	411.840	0.350		
0.360	174.960	144.720	132.480	452.160	0.360	137.280	117.480	157.080	411.840	0.360		
0.370	174.960	144.720	132.480	452.160	0.370	137.280	117.480	157.080	411.840	0.370		
0.380	174.960	144.720	132.480	452.160	0.380	137.280	117.480	159.720	414.480	0.380		
0.390	174.960	144.720	132.480	452.160	0.390	137.280	117.480	159.720	414.480	0.390		
0.400	174.960	144.720	132.480	452.160	0.400	137.280	117.480	162.360	417.120	0.400		
0.410	174.960	144.720	132.480	452.160	0.410	134.640	119.460	162.360	416.460	0.410		
0.420	174.960	144.720	134.640	454.320	0.420	134.640	117.480	162.360	414.480	0.420		
0.430	177.120	144.720	132.480	454.320	0.430	134.640	117.480	165.000	417.120	0.430		
0.440	177.000	144.750	132.000	453.750	0.440	132.000	117.480	165.000	414.480	0.440		
0.450	177.000	144.750	135.000	456.750	0.450	131.920	116.960	164.560	413.440	0.450		
0.460	177.000	144.750	132.000	453.750	0.460	131.920	116.960	167.280	416.160	0.460		
0.470	177.000	144.750	129.750	451.500	0.470	131.920	116.960	167.280	416.160	0.470		
0.480	177.000	144.750	132.000	453.750	0.480	131.920	116.960	167.280	416.160	0.480		
0.490	180.000	144.750	129.750	454.500	0.490	131.920	116.960	167.280	416.160	0.490		
0.500	180.000	144.750	132.000	456.750	0.500	129.880	114.920	167.280	412.080	0.500		
0.510	180.000	144.750	132.000	456.750	0.510	131.920	116.960	170.000	418.880	0.510		
0.520	182.250	144.750	132.000	459.000	0.520	129.880	114.920	170.000	414.800	0.520		
0.530	182.250	144.750	129.750	456.750	0.530	129.880	114.920	170.000	414.800	0.530		
0.540	184.500	144.750	132.000	461.250	0.540	129.880	116.960	170.000	416.840	0.540		
0.550	187.500	147.000	129.750	464.250	0.550	129.880	114.920	170.000	414.800	0.550		
0.560	187.500	147.000	129.750	464.250	0.560	129.880	114.920	170.000	414.800	0.560		
0.570	187.500	147.000	129.750	464.250	0.570	129.880	114.920	170.000	414.800	0.570		
0.580	187.500	147.000	129.750	464.250	0.580	129.880	112.200	167.280	409.360	0.580		
0.590	186.960	144.400	129.960	461.320	0.590	127.160	112.200	167.280	406.640	0.590		
0.600	186.960	144.400	129.960	461.320	0.600	127.440	112.320	167.040	406.800	0.600		
0.610	186.960	144.400	126.920	458.280	0.610	127.440	112.320	164.880	404.640	0.610		
0.620	186.960	142.120	126.920	456.000	0.620	129.600	112.320	167.040	408.960	0.620		
0.630	186.960	144.400	126.920	458.280	0.630	127.440	112.320	167.040	406.800	0.630		
0.640	186.960	142.120	126.920	456.000	0.640	127.440	112.320	167.040	406.800	0.640		
0.650	186.960	139.840	124.640	451.440	0.650	127.440	112.320	169.920	409.680	0.650		
