C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-52-37-312.load
Comment müll
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	449.550	209.050	103.600	762.200	0.000	39.950	17.340	37.400	94.690	0.000		
0.010	451.400	210.900	103.600	765.900	0.010	39.950	17.340	37.400	94.690	0.010		
0.020	451.400	209.050	103.600	764.050	0.020	37.400	17.340	37.400	92.140	0.020		
0.030	453.250	210.900	103.600	767.750	0.030	37.400	17.340	37.400	92.140	0.030		
0.040	453.250	209.050	103.600	765.900	0.040	37.400	17.340	37.400	92.140	0.040		
0.050	456.950	209.050	101.750	767.750	0.050	34.850	17.340	37.400	89.590	0.050		
0.060	456.950	209.050	101.750	767.750	0.060	34.850	17.340	37.400	89.590	0.060		
0.070	456.950	209.050	101.750	767.750	0.070	34.850	17.340	39.950	92.140	0.070		
0.080	458.800	209.050	101.750	769.600	0.080	32.470	17.340	39.950	89.760	0.080		
0.090	458.800	209.050	101.750	769.600	0.090	29.920	14.960	39.950	84.830	0.090		
0.100	458.800	207.200	99.900	765.900	0.100	27.370	17.340	39.950	84.660	0.100		
0.110	462.500	207.200	99.900	769.600	0.110	22.440	14.960	42.500	79.900	0.110		
0.120	464.640	207.360	99.840	771.840	0.120	22.440	14.960	42.500	79.900	0.120		
0.130	466.560	207.360	101.760	775.680	0.130	19.890	14.960	42.500	77.350	0.130		
0.140	466.560	207.360	99.840	773.760	0.140	19.890	14.960	42.500	77.350	0.140		
0.150	468.480	207.360	99.840	775.680	0.150	17.460	14.940	45.000	77.400	0.150		
0.160	468.480	209.280	99.840	777.600	0.160	17.460	12.420	45.000	74.880	0.160		
0.170	472.320	207.360	96.000	775.680	0.170	17.460	14.940	45.000	77.400	0.170		
0.180	472.320	207.360	96.000	775.680	0.180	14.940	14.940	45.000	74.880	0.180		
0.190	474.240	203.520	99.840	777.600	0.190	14.940	12.420	45.000	72.360	0.190		
0.200	474.240	207.360	99.840	781.440	0.200	14.940	12.420	45.000	72.360	0.200		
0.210	476.160	207.360	96.000	779.520	0.210	12.420	14.940	45.000	72.360	0.210		
0.220	476.160	207.360	96.000	779.520	0.220	12.420	12.420	45.000	69.840	0.220		
0.230	480.000	207.360	96.000	783.360	0.230	12.420	12.420	45.000	69.840	0.230		
0.240	480.000	207.360	99.840	787.200	0.240	12.420	12.420	45.000	69.840	0.240		
0.250	480.000	207.360	96.000	783.360	0.250	12.420	12.420	45.000	69.840	0.250		
0.260	480.000	207.360	96.000	783.360	0.260	12.420	12.420	45.000	69.840	0.260		
0.270	478.640	208.440	98.430	785.510	0.270	9.900	12.420	45.000	67.320	0.270		
0.280	478.640	208.440	96.500	783.580	0.280	9.900	9.900	45.000	64.800	0.280		
0.290	482.500	208.440	98.430	789.370	0.290	9.900	12.420	45.000	67.320	0.290		
0.300	478.640	208.440	98.430	785.510	0.300	9.900	9.900	45.000	64.800	0.300		
0.310	478.640	212.300	96.500	787.440	0.310	9.900	9.900	45.000	64.800	0.310		
0.320	478.640	208.440	98.430	785.510	0.320	9.900	9.900	45.000	64.800	0.320		
0.330	478.640	208.440	98.430	785.510	0.330	9.900	12.420	45.000	67.320	0.330		
0.340	478.640	212.300	96.500	787.440	0.340	7.380	9.900	45.000	62.280	0.340		
0.350	478.640	208.440	98.430	785.510	0.350	7.380	9.900	45.000	62.280	0.350		
0.360	478.640	208.440	98.430	785.510	0.360	7.380	9.900	45.000	62.280	0.360		
0.370	478.640	208.440	96.500	783.580	0.370	7.380	9.900	45.000	62.280	0.370		
0.380	478.640	208.440	98.430	785.510	0.380	9.900	9.900	45.000	64.800	0.380		
0.390	478.640	212.300	98.430	789.370	0.390	9.900	12.420	45.000	67.320	0.390		
0.400	478.640	212.300	98.430	789.370	0.400	9.900	12.420	45.000	67.320	0.400		
0.410	478.640	212.300	98.430	789.370	0.410	7.380	12.420	45.000	64.800	0.410		
0.420	477.500	212.010	99.320	788.830	0.420	9.900	9.900	42.480	62.280	0.420		
0.430	477.500	212.010	99.320	788.830	0.430	12.420	12.420	45.000	69.840	0.430		
0.440	477.500	212.010	99.320	788.830	0.440	9.900	12.420	42.480	64.800	0.440		
0.450	477.500	212.010	101.230	790.740	0.450	12.410	12.410	42.500	67.320	0.450		
0.460	477.500	212.010	101.230	790.740	0.460	12.410	12.410	42.500	67.320	0.460		
0.470	473.680	212.010	101.230	786.920	0.470	12.410	12.410	39.950	64.770	0.470		
0.480	473.680	212.010	99.320	785.010	0.480	12.410	12.410	39.950	64.770	0.480		
0.490	473.680	212.010	101.230	786.920	0.490	12.410	12.410	39.950	64.770	0.490		
0.500	473.680	212.010	99.320	785.010	0.500	14.960	12.410	39.950	67.320	0.500		
0.510	473.680	212.010	99.320	785.010	0.510	14.960	12.410	39.950	67.320	0.510		
0.520	473.680	212.010	101.230	786.920	0.520	14.960	12.410	37.400	64.770	0.520		
0.530	473.680	212.010	99.320	785.010	0.530	14.960	12.410	39.950	67.320	0.530		
0.540	473.680	212.010	99.320	785.010	0.540	14.960	12.410	37.400	64.770	0.540		
0.550	473.680	212.010	101.230	786.920	0.550	12.410	9.860	37.400	59.670	0.550		
0.560	473.680	212.010	101.230	786.920	0.560	14.960	12.410	37.400	64.770	0.560		
0.570	473.680	212.010	99.320	785.010	0.570	14.960	9.860	37.400	62.220	0.570		
0.580	477.500	212.010	101.230	790.740	0.580	14.960	12.410	39.950	67.320	0.580		
0.590	477.500	212.010	99.320	788.830	0.590	12.410	12.410	39.950	64.770	0.590		
0.600	473.680	208.190	99.320	781.190	0.600	12.480	12.480	40.000	64.960	0.600		
0.610	477.500	212.010	99.320	788.830	0.610	14.880	12.480	40.000	67.360	0.610		
0.620	473.680	212.010	99.320	785.010	0.620	12.480	12.480	40.000	64.960	0.620		
0.630	473.680	212.010	99.320	785.010	0.630	12.480	12.480	40.000	64.960	0.630		
0.640	473.680	212.010	99.320	785.010	0.640	14.880	12.480	40.000	67.360	0.640		
0.650	473.680	208.190	99.320	781.190	0.650	14.880	12.480	40.000	67.360	0.650		
0.660	473.680	208.190	99.320	781.190	0.660	14.880	12.480	40.000	67.360	0.660		
0.670	477.500	208.190	99.320	785.010	0.670	14.880	12.480	40.000	67.360	0.670		
0.680	477.500	212.010	101.230	790.740	0.680	14.880	12.480	40.000	67.360	0.680		
0.690	477.500	208.190	99.320	785.010	0.690	14.880	12.480	40.000	67.360	0.690		
0.700	477.500	212.010	99.320	788.830	0.700	14.880	12.480	40.000	67.360	0.700		
0.710	477.500	212.010	99.320	788.830	0.710	14.880	12.480	37.440	64.800	0.710		
0.720	477.500	212.010	101.230	790.740	0.720	14.880	12.480	40.000	67.360	0.720		
0.730	473.680	212.010	99.320	785.010	0.730	14.880	12.480	40.000	67.360	0.730		
0.740	477.500	212.010	101.230	790.740	0.740	14.880	12.480	37.440	64.800	0.740		
0.750	473.680	212.010	99.320	785.010	0.750	14.880	9.920	37.440	62.240	0.750		
0.760	477.500	212.010	99.320	788.830	0.760	14.880	12.480	37.440	64.800	0.760		
0.770	473.680	212.010	99.320	785.010	0.770	14.880	9.920	37.440	62.240	0.770		
0.780	477.500	212.010	101.230	790.740	0.780	14.880	12.480	37.440	64.800	0.780		
0.790	473.680	212.010	101.230	786.920	0.790	12.480	12.480	37.440	62.400	0.790		
0.800	473.680	212.010	101.230	786.920	0.800	14.880	12.480	37.440	64.800	0.800		
0.810	473.680	213.920	101.230	788.830	0.810	14.880	9.920	37.440	62.240	0.810		
