C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-41-30-230.load
Comment s21vh crashed 7
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	225.000	72.000	59.400	356.400	0.000	144.690	137.410	227.500	509.600	0.000		
0.010	225.000	72.000	62.100	359.100	0.010	144.690	137.410	227.500	509.600	0.010		
0.020	225.000	74.700	62.100	361.800	0.020	144.690	139.230	227.500	511.420	0.020		
0.030	225.000	74.700	62.100	361.800	0.030	144.690	137.410	224.770	506.870	0.030		
0.040	225.000	74.700	64.800	364.500	0.040	144.690	137.410	227.500	509.600	0.040		
0.050	225.000	74.700	62.100	361.800	0.050	144.690	137.410	227.500	509.600	0.050		
0.060	225.000	74.700	64.800	364.500	0.060	144.690	137.410	224.770	506.870	0.060		
0.070	225.000	74.700	62.100	361.800	0.070	144.690	137.410	224.770	506.870	0.070		
0.080	225.000	74.700	62.100	361.800	0.080	144.690	137.410	224.770	506.870	0.080		
0.090	225.000	74.700	64.800	364.500	0.090	144.690	137.410	224.770	506.870	0.090		
0.100	225.000	74.700	64.800	364.500	0.100	144.690	139.230	224.770	508.690	0.100		
0.110	225.000	74.700	62.100	361.800	0.110	144.690	137.410	224.770	506.870	0.110		
0.120	225.000	74.700	64.800	364.500	0.120	147.420	137.410	222.040	506.870	0.120		
0.130	225.000	74.700	64.800	364.500	0.130	144.690	137.410	222.040	504.140	0.130		
0.140	225.000	74.700	64.800	364.500	0.140	147.420	137.410	222.040	506.870	0.140		
0.150	225.000	74.700	64.800	364.500	0.150	146.850	139.730	222.500	509.080	0.150		
0.160	225.000	77.400	64.800	367.200	0.160	146.850	139.730	222.500	509.080	0.160		
0.170	222.300	74.700	62.100	359.100	0.170	144.180	137.060	222.500	503.740	0.170		
0.180	225.000	77.400	64.800	367.200	0.180	144.180	137.060	222.500	503.740	0.180		
0.190	225.000	77.400	64.800	367.200	0.190	144.180	137.060	222.500	503.740	0.190		
0.200	225.000	77.400	64.800	367.200	0.200	144.180	137.060	222.500	503.740	0.200		
0.210	225.000	77.400	64.800	367.200	0.210	144.180	137.060	222.500	503.740	0.210		
0.220	225.000	77.400	64.800	367.200	0.220	144.180	137.060	222.500	503.740	0.220		
0.230	225.000	77.400	64.800	367.200	0.230	144.180	137.060	222.500	503.740	0.230		
0.240	225.000	77.400	64.800	367.200	0.240	144.180	137.060	222.500	503.740	0.240		
0.250	225.000	74.700	62.100	361.800	0.250	144.180	134.390	222.500	501.070	0.250		
0.260	224.770	77.350	64.610	366.730	0.260	144.180	137.060	222.500	503.740	0.260		
0.270	227.500	77.350	64.610	369.460	0.270	144.180	137.060	222.500	503.740	0.270		
0.280	227.500	77.350	64.610	369.460	0.280	144.180	137.060	222.500	503.740	0.280		
0.290	227.500	77.350	64.610	369.460	0.290	146.850	137.060	222.500	506.410	0.290		
0.300	227.500	77.350	64.610	369.460	0.300	144.180	137.060	222.500	503.740	0.300		
0.310	227.500	77.350	67.340	372.190	0.310	144.180	137.060	219.830	501.070	0.310		
0.320	227.500	77.350	64.610	369.460	0.320	144.180	137.060	222.500	503.740	0.320		
0.330	227.500	77.350	64.610	369.460	0.330	144.180	137.060	222.500	503.740	0.330		
0.340	227.500	77.350	64.610	369.460	0.340	144.180	137.060	222.500	503.740	0.340		
0.350	227.500	77.350	64.610	369.460	0.350	144.180	134.390	222.500	501.070	0.350		
0.360	227.500	77.350	64.610	369.460	0.360	144.180	134.390	222.500	501.070	0.360		
