C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-54-02-654.load
Comment s21vh crashed 5
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	382.500	134.640	68.850	585.990	0.000	1.980	16.830	234.630	253.440	0.000		
0.010	382.500	131.580	67.320	581.400	0.010	0.000	16.830	236.610	253.440	0.010		
0.020	382.500	131.580	67.320	581.400	0.020	0.000	16.830	239.580	256.410	0.020		
0.030	382.500	131.580	64.260	578.340	0.030	0.000	16.830	241.560	258.390	0.030		
0.040	382.500	131.580	67.320	581.400	0.040	0.000	16.830	244.530	261.360	0.040		
0.050	379.440	128.520	67.320	575.280	0.050	0.000	16.830	244.530	261.360	0.050		
0.060	376.380	128.520	67.320	572.220	0.060	0.000	16.830	247.500	264.330	0.060		
0.070	376.380	128.520	67.320	572.220	0.070	0.000	16.830	247.500	264.330	0.070		
0.080	376.380	128.520	67.320	572.220	0.080	0.000	16.830	247.500	264.330	0.080		
0.090	374.850	128.520	67.320	570.690	0.090	0.000	14.850	247.500	262.350	0.090		
0.100	374.850	128.520	67.320	570.690	0.100	0.000	14.850	244.530	259.380	0.100		
0.110	375.000	129.000	67.500	571.500	0.110	0.000	16.830	244.530	261.360	0.110		
0.120	372.000	129.000	67.500	568.500	0.120	0.000	16.830	244.530	261.360	0.120		
0.130	372.000	129.000	67.500	568.500	0.130	0.000	14.850	247.500	262.350	0.130		
0.140	372.000	127.500	67.500	567.000	0.140	0.000	14.850	247.500	262.350	0.140		
0.150	369.000	127.500	67.500	564.000	0.150	0.000	16.480	249.260	265.740	0.150		
0.160	369.000	127.500	67.500	564.000	0.160	0.000	16.480	252.350	268.830	0.160		
0.170	369.000	127.500	67.500	564.000	0.170	0.000	19.570	252.350	271.920	0.170		
0.180	367.500	127.500	67.500	562.500	0.180	0.000	19.570	254.410	273.980	0.180		
0.190	367.500	127.500	67.500	562.500	0.190	0.000	19.570	254.410	273.980	0.190		
0.200	364.500	127.500	67.500	559.500	0.200	0.000	19.570	257.500	277.070	0.200		
0.210	361.500	124.500	67.500	553.500	0.210	0.000	19.570	257.500	277.070	0.210		
0.220	361.500	124.500	67.500	553.500	0.220	2.060	21.630	257.500	281.190	0.220		
0.230	357.000	124.500	69.000	550.500	0.230	0.000	24.720	257.500	282.220	0.230		
0.240	354.000	124.500	69.000	547.500	0.240	2.060	26.780	254.410	283.250	0.240		
0.250	352.500	124.500	69.000	546.000	0.250	0.000	29.870	254.410	284.280	0.250		
0.260	350.000	124.600	70.000	544.600	0.260	2.060	29.870	252.350	284.280	0.260		
0.270	347.200	124.600	70.000	541.800	0.270	4.120	31.930	249.260	285.310	0.270		
0.280	344.400	124.600	71.400	540.400	0.280	9.270	33.990	247.200	290.460	0.280		
0.290	338.800	127.400	71.400	537.600	0.290	12.360	37.080	244.110	293.550	0.290		
0.300	337.400	127.400	74.200	539.000	0.300	14.550	39.770	242.500	296.820	0.300		
0.310	331.800	127.400	74.200	533.400	0.310	17.460	39.770	239.590	296.820	0.310		
0.320	329.000	127.400	77.000	533.400	0.320	19.400	39.770	239.590	298.760	0.320		
0.330	324.800	127.400	77.000	529.200	0.330	19.400	41.710	236.680	297.790	0.330		
0.340	322.000	127.400	81.200	530.600	0.340	22.310	41.710	236.680	300.700	0.340		
0.350	316.400	128.800	79.800	525.000	0.350	22.310	44.620	234.740	301.670	0.350		
0.360	316.400	131.600	81.200	529.200	0.360	24.250	46.560	234.740	305.550	0.360		
0.370	315.000	128.800	84.000	527.800	0.370	27.160	46.560	231.830	305.550	0.370		
0.380	312.200	131.600	84.000	527.800	0.380	29.100	46.560	229.890	305.550	0.380		
0.390	306.600	131.600	86.800	525.000	0.390	29.100	46.560	229.890	305.550	0.390		
0.400	303.800	134.400	86.800	525.000	0.400	29.100	49.470	229.890	308.460	0.400		
0.410	304.200	133.900	89.700	527.800	0.410	29.100	49.470	226.980	305.550	0.410		
0.420	304.200	136.500	89.700	530.400	0.420	32.010	46.560	224.070	302.640	0.420		
0.430	304.200	139.100	92.300	535.600	0.430	29.100	46.560	224.070	299.730	0.430		
0.440	306.800	141.700	92.300	540.800	0.440	32.010	46.560	219.220	297.790	0.440		
0.450	309.400	144.300	94.900	548.600	0.450	31.820	44.720	215.000	291.540	0.450		
0.460	314.600	146.900	97.500	559.000	0.460	31.820	44.720	209.840	286.380	0.460		
0.470	317.200	149.500	98.800	565.500	0.470	31.820	42.140	204.680	278.640	0.470		
0.480	319.800	152.100	98.800	570.700	0.480	29.240	42.140	199.520	270.900	0.480		
0.490	322.400	154.700	101.400	578.500	0.490	29.240	39.560	194.360	263.160	0.490		
0.500	322.400	157.300	98.800	578.500	0.500	29.240	39.560	189.200	258.000	0.500		
0.510	322.400	157.300	101.400	581.100	0.510	29.240	39.560	187.480	256.280	0.510		
0.520	322.400	159.900	104.000	586.300	0.520	29.240	36.980	184.900	251.120	0.520		
0.530	325.000	159.900	104.000	588.900	0.530	29.240	36.980	182.320	248.540	0.530		
0.540	322.400	159.900	104.000	586.300	0.540	29.240	36.980	182.320	248.540	0.540		
0.550	322.400	159.900	104.000	586.300	0.550	29.240	36.980	179.740	245.960	0.550		
0.560	322.400	157.300	104.000	583.700	0.560	29.240	36.980	179.740	245.960	0.560		
0.570	325.000	157.300	104.000	586.300	0.570	29.240	36.980	182.320	248.540	0.570		
0.580	322.400	157.300	104.000	583.700	0.580	29.240	39.560	182.320	251.120	0.580		
0.590	322.400	154.700	101.400	578.500	0.590	29.240	39.560	182.320	251.120	0.590		
0.600	319.800	154.700	101.400	575.900	0.600	29.400	39.480	184.800	253.680	0.600		
0.610	317.200	154.700	101.400	573.300	0.610	29.400	42.000	187.320	258.720	0.610		
0.620	317.200	152.100	101.400	570.700	0.620	29.400	42.000	189.840	261.240	0.620		
0.630	314.600	152.100	101.400	568.100	0.630	31.920	44.520	192.360	268.800	0.630		
0.640	312.000	149.500	98.800	560.300	0.640	31.920	44.520	192.360	268.800	0.640		
0.650	309.400	149.500	98.800	557.700	0.650	31.920	47.040	194.880	273.840	0.650		
0.660	309.400	146.900	98.800	555.100	0.660	34.440	47.040	197.400	278.880	0.660		
0.670	306.800	146.900	98.800	552.500	0.670	34.440	47.040	199.920	281.400	0.670		
0.680	304.200	144.300	98.800	547.300	0.680	34.440	52.080	202.440	288.960	0.680		
0.690	301.600	144.300	98.800	544.700	0.690	36.960	52.080	202.440	291.480	0.690		
0.700	301.600	141.700	97.500	540.800	0.700	36.960	52.080	204.960	294.000	0.700		
0.710	300.000	141.600	97.200	538.800	0.710	36.960	54.600	204.960	296.520	0.710		
0.720	296.400	139.200	94.800	530.400	0.720	39.480	57.120	207.480	304.080	0.720		
0.730	294.000	136.800	97.200	528.000	0.730	42.000	59.640	210.000	311.640	0.730		
0.740	291.600	134.400	94.800	520.800	0.740	42.000	59.640	210.000	311.640	0.740		
0.750	289.200	134.400	94.800	518.400	0.750	44.720	61.920	212.420	319.060	0.750		
0.760	286.800	134.400	97.200	518.400	0.760	47.300	64.500	212.420	324.220	0.760		
0.770	284.400	132.000	94.800	511.200	0.770	49.880	64.500	212.420	326.800	0.770		
0.780	282.000	134.400	94.800	511.200	0.780	49.880	67.080	212.420	329.380	0.780		
0.790	279.600	132.000	94.800	506.400	0.790	52.460	69.660	215.000	337.120	0.790		
0.800	277.200	129.600	94.800	501.600	0.800	54.180	72.240	215.000	341.420	0.800		
0.810	274.800	129.600	94.800	499.200	0.810	56.760	77.400	215.000	349.160	0.810		
0.820	272.400	129.600	94.800	496.800	0.820	59.340	77.400	212.420	349.160	0.820		
0.830	270.000	129.600	94.800	494.400	0.830	59.340	77.400	212.420	349.160	0.830		
0.840	270.000	127.200	94.800	492.000	0.840	61.920	79.980	209.840	351.740	0.840		
0.850	270.000	129.600	97.200	496.800	0.850	64.500	79.980	209.840	354.320	0.850		
0.860	267.500	129.470	97.370	494.340	0.860	64.500	81.700	207.260	353.460	0.860		
0.870	267.500	131.610	97.370	496.480	0.870	64.500	81.700	204.680	350.880	0.870		
0.880	267.500	131.610	99.510	498.620	0.880	67.080	81.700	202.100	350.880	0.880		
0.890	267.500	131.610	97.370	496.480	0.890	69.660	81.700	196.940	348.300	0.890		
0.900	264.290	131.610	99.510	495.410	0.900	71.760	81.900	195.000	348.660	0.900		
0.910	264.290	131.610	99.510	495.410	0.910	69.420	84.240	195.000	348.660	0.910		
0.920	264.290	131.610	97.370	493.270	0.920	71.760	84.240	191.880	347.880	0.920		
0.930	262.150	131.610	99.510	493.270	0.930	74.880	84.240	191.880	351.000	0.930		
0.940	262.150	131.610	99.510	493.270	0.940	74.880	84.240	191.880	351.000	0.940		
0.950	262.150	131.610	97.370	491.130	0.950	74.880	87.360	191.880	354.120	0.950		
0.960	262.150	131.610	99.510	493.270	0.960	77.220	87.360	189.540	354.120	0.960		
0.970	262.150	129.470	97.370	488.990	0.970	77.220	89.700	191.880	358.800	0.970		
0.980	262.150	131.610	99.510	493.270	0.980	77.220	89.700	189.540	356.460	0.980		
0.990	258.940	129.470	97.370	485.780	0.990	77.220	89.700	189.540	356.460	0.990		
1.000	258.940	131.610	99.510	490.060	1.000	79.560	89.700	191.880	361.140	1.000		
1.010	260.000	132.080	99.840	491.920	1.010	79.560	89.700	189.540	358.800	1.010		
1.020	256.880	132.080	101.920	490.880	1.020	79.560	89.700	191.880	361.140	1.020		
