C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-46-26-454.load
Comment s21vw
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	167.250	75.000	64.500	306.750	0.000	122.400	151.980	255.000	529.380	0.000		
0.010	167.250	79.500	64.500	311.250	0.010	122.400	149.940	249.900	522.240	0.010		
0.020	167.250	79.500	67.500	314.250	0.020	122.400	149.940	249.900	522.240	0.020		
0.030	167.250	82.500	69.750	319.500	0.030	122.400	146.880	244.800	514.080	0.030		
0.040	167.250	82.500	72.000	321.750	0.040	122.400	146.880	241.740	511.020	0.040		
0.050	169.500	84.750	72.000	326.250	0.050	122.400	144.840	239.700	506.940	0.050		
0.060	169.500	84.750	75.000	329.250	0.060	119.340	144.840	234.600	498.780	0.060		
0.070	172.500	87.000	75.000	334.500	0.070	119.340	144.840	234.600	498.780	0.070		
0.080	172.500	87.000	75.000	334.500	0.080	119.340	141.780	231.540	492.660	0.080		
0.090	174.750	90.000	77.250	342.000	0.090	119.340	141.780	229.500	490.620	0.090		
0.100	177.000	87.000	77.250	341.250	0.100	119.340	139.740	229.500	488.580	0.100		
0.110	180.000	90.000	77.250	347.250	0.110	119.340	139.740	227.460	486.540	0.110		
0.120	182.250	90.000	77.250	349.500	0.120	119.340	136.680	224.400	480.420	0.120		
0.130	182.250	87.000	75.000	344.250	0.130	117.300	136.680	222.360	476.340	0.130		
0.140	187.500	90.000	77.250	354.750	0.140	117.300	134.640	219.300	471.240	0.140		
0.150	189.200	92.020	74.820	356.040	0.150	117.450	134.850	217.500	469.800	0.150		
0.160	191.780	92.020	77.400	361.200	0.160	114.840	134.850	217.500	467.190	0.160		
0.170	194.360	94.600	77.400	366.360	0.170	117.450	132.240	214.890	464.580	0.170		
0.180	196.940	94.600	79.980	371.520	0.180	114.840	129.630	214.890	459.360	0.180		
0.190	199.520	94.600	77.400	371.520	0.190	114.840	129.630	212.280	456.750	0.190		
0.200	199.520	99.760	81.700	380.980	0.200	114.840	129.630	209.670	454.140	0.200		
0.210	202.100	102.340	81.700	386.140	0.210	114.840	127.020	207.060	448.920	0.210		
0.220	202.100	102.340	84.280	388.720	0.220	114.840	124.410	201.840	441.090	0.220		
0.230	204.680	107.500	84.280	396.460	0.230	114.840	124.410	199.230	438.480	0.230		
0.240	204.680	107.500	86.860	399.040	0.240	114.840	121.800	194.880	431.520	0.240		
0.250	207.260	111.800	89.440	408.500	0.250	112.230	119.190	192.270	423.690	0.250		
0.260	209.840	114.380	92.020	416.240	0.260	112.230	117.450	187.050	416.730	0.260		
0.270	209.840	119.540	94.600	423.980	0.270	109.620	114.840	181.830	406.290	0.270		
0.280	212.420	122.120	94.600	429.140	0.280	112.230	112.230	177.480	401.940	0.280		
0.290	215.000	124.700	99.760	439.460	0.290	112.230	112.230	172.260	396.720	0.290		
0.300	214.240	126.690	99.910	440.840	0.300	111.890	109.880	167.500	389.270	0.300		
0.310	217.330	129.780	99.910	447.020	0.310	109.880	107.200	164.820	381.900	0.310		
0.320	219.390	129.780	101.970	451.140	0.320	109.880	107.200	159.460	376.540	0.320		
0.330	222.480	134.930	101.970	459.380	0.330	111.890	104.520	154.770	371.180	0.330		
0.340	224.540	136.990	104.030	465.560	0.340	109.880	101.840	149.410	361.130	0.340		
0.350	226.600	136.990	104.030	467.620	0.350	111.890	101.840	144.720	358.450	0.350		
0.360	229.690	139.050	104.030	472.770	0.360	111.890	99.830	142.040	353.760	0.360		
0.370	231.750	142.140	107.120	481.010	0.370	111.890	99.830	139.360	351.080	0.370		
0.380	234.840	142.140	107.120	484.100	0.380	111.890	97.150	137.350	346.390	0.380		
0.390	239.990	144.200	107.120	491.310	0.390	111.890	97.150	134.670	343.710	0.390		
0.400	242.050	144.200	107.120	493.370	0.400	111.890	97.150	131.990	341.030	0.400		
0.410	247.200	144.200	107.120	498.520	0.410	111.890	97.150	129.980	339.020	0.410		
0.420	249.260	144.200	104.030	497.490	0.420	111.890	97.150	129.980	339.020	0.420		
0.430	254.410	147.290	104.030	505.730	0.430	111.890	97.150	127.300	336.340	0.430		
