C:\Users\Public\Documents\Novel Studio\load_data\2025-12-17\loadapp_2025-12-17_16-49-33-074.load
Comment s21w
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	141.980	127.100	146.940	416.020	0.000	139.440	129.480	207.500	476.420	0.000		
0.010	141.980	127.100	146.940	416.020	0.010	139.440	129.480	207.500	476.420	0.010		
0.020	141.980	127.100	146.940	416.020	0.020	139.440	129.480	207.500	476.420	0.020		
0.030	141.980	127.100	149.420	418.500	0.030	139.440	129.480	204.180	473.100	0.030		
0.040	141.980	127.100	149.420	418.500	0.040	139.440	129.480	204.180	473.100	0.040		
0.050	139.500	127.100	151.900	418.500	0.050	139.440	129.480	204.180	473.100	0.050		
0.060	139.500	127.100	149.420	416.020	0.060	139.440	129.480	204.180	473.100	0.060		
0.070	139.500	127.100	151.900	418.500	0.070	139.440	129.480	204.180	473.100	0.070		
0.080	139.500	127.100	151.900	418.500	0.080	139.440	129.480	201.690	470.610	0.080		
0.090	139.500	127.100	151.900	418.500	0.090	139.440	129.480	201.690	470.610	0.090		
0.100	137.020	127.100	149.420	413.540	0.100	139.440	129.480	201.690	470.610	0.100		
0.110	137.020	127.100	151.900	416.020	0.110	141.930	129.480	201.690	473.100	0.110		
0.120	137.020	129.580	151.900	418.500	0.120	141.930	131.970	201.690	475.590	0.120		
0.130	134.540	127.100	151.900	413.540	0.130	141.930	129.480	201.690	473.100	0.130		
0.140	134.540	129.580	155.000	419.120	0.140	141.930	129.480	201.690	473.100	0.140		
0.150	134.400	127.360	154.880	416.640	0.150	141.930	131.970	199.200	473.100	0.150		
0.160	134.400	129.920	157.440	421.760	0.160	142.400	129.600	200.000	472.000	0.160		
0.170	134.400	129.920	154.880	419.200	0.170	142.400	129.600	200.000	472.000	0.170		
0.180	136.960	132.480	157.440	426.880	0.180	144.800	132.000	200.000	476.800	0.180		
0.190	134.400	132.480	157.440	424.320	0.190	142.400	132.000	200.000	474.400	0.190		
0.200	134.400	129.920	157.440	421.760	0.200	144.800	132.000	200.000	476.800	0.200		
0.210	134.400	129.920	157.440	421.760	0.210	144.800	129.600	196.800	471.200	0.210		
0.220	134.400	129.920	157.440	421.760	0.220	144.800	132.000	200.000	476.800	0.220		
0.230	134.400	129.920	157.440	421.760	0.230	144.800	132.000	196.800	473.600	0.230		
0.240	132.480	129.920	157.440	419.840	0.240	144.800	132.000	200.000	476.800	0.240		
0.250	132.480	129.920	157.440	419.840	0.250	144.800	132.000	200.000	476.800	0.250		
0.260	132.480	129.920	157.440	419.840	0.260	144.800	132.000	200.000	476.800	0.260		
0.270	129.920	129.920	160.000	419.840	0.270	144.800	132.000	200.000	476.800	0.270		
0.280	129.920	127.360	157.440	414.720	0.280	144.800	132.000	200.000	476.800	0.280		
0.290	129.920	129.920	160.000	419.840	0.290	144.800	132.000	200.000	476.800	0.290		
0.300	127.380	129.360	159.720	416.460	0.300	147.200	132.000	200.000	479.200	0.300		
0.310	127.380	129.360	159.720	416.460	0.310	146.780	134.480	201.720	482.980	0.310		
0.320	127.380	127.380	162.360	417.120	0.320	146.780	134.480	201.720	482.980	0.320		
0.330	124.740	129.360	162.360	416.460	0.330	146.780	134.480	201.720	482.980	0.330		
0.340	124.740	129.360	159.720	413.820	0.340	146.780	134.480	201.720	482.980	0.340		
0.350	124.740	127.380	159.720	411.840	0.350	144.320	134.480	201.720	480.520	0.350		
0.360	122.100	127.380	162.360	411.840	0.360	144.320	134.480	205.000	483.800	0.360		
0.370	122.100	127.380	159.720	409.200	0.370	146.780	134.480	201.720	482.980	0.370		
0.380	122.100	127.380	162.360	411.840	0.380	146.780	134.480	201.720	482.980	0.380		
0.390	122.100	127.380	162.360	411.840	0.390	146.780	134.480	201.720	482.980	0.390		
0.400	122.100	129.360	165.000	416.460	0.400	146.780	134.480	201.720	482.980	0.400		
0.410	119.460	127.380	162.360	409.200	0.410	146.780	134.480	201.720	482.980	0.410		
0.420	119.460	127.380	162.360	409.200	0.420	144.320	134.480	201.720	480.520	0.420		
0.430	119.460	127.380	165.000	411.840	0.430	146.780	134.480	205.000	486.260	0.430		
0.440	119.460	127.380	165.000	411.840	0.440	144.320	134.480	205.000	483.800	0.440		
0.450	119.930	127.300	164.820	412.050	0.450	144.320	134.480	205.000	483.800	0.450		
0.460	119.930	127.300	164.820	412.050	0.460	146.910	134.460	204.180	485.550	0.460		
0.470	117.250	127.300	164.820	409.370	0.470	144.420	134.460	204.180	483.060	0.470		
0.480	117.250	129.980	162.140	409.370	0.480	144.420	134.460	204.180	483.060	0.480		
0.490	117.250	129.980	164.820	412.050	0.490	144.420	131.970	204.180	480.570	0.490		
0.500	119.930	129.980	167.500	417.410	0.500	141.930	134.460	207.500	483.890	0.500		
0.510	117.250	129.980	167.500	414.730	0.510	141.930	131.970	204.180	478.080	0.510		
0.520	117.250	129.980	167.500	414.730	0.520	141.930	131.970	204.180	478.080	0.520		
0.530	119.930	129.980	167.500	417.410	0.530	141.930	131.970	207.500	481.400	0.530		
0.540	119.930	129.980	167.500	417.410	0.540	141.930	131.970	204.180	478.080	0.540		
0.550	119.930	129.980	167.500	417.410	0.550	141.930	131.970	204.180	478.080	0.550		
0.560	119.930	129.980	167.500	417.410	0.560	141.930	131.970	207.500	481.400	0.560		
0.570	119.930	129.980	164.820	414.730	0.570	141.930	131.970	207.500	481.400	0.570		
0.580	119.930	129.980	167.500	417.410	0.580	139.440	129.480	207.500	476.420	0.580		
0.590	117.250	129.980	167.500	414.730	0.590	141.930	129.480	207.500	478.910	0.590		
0.600	119.680	129.880	167.280	416.840	0.600	141.930	129.480	207.500	478.910	0.600		
0.610	119.680	129.880	167.280	416.840	0.610	139.200	129.630	207.060	475.890	0.610		
0.620	116.960	129.880	167.280	414.120	0.620	139.200	129.630	209.670	478.500	0.620		
0.630	116.960	129.880	167.280	414.120	0.630	139.200	129.630	209.670	478.500	0.630		
0.640	119.680	129.880	167.280	416.840	0.640	139.200	129.630	209.670	478.500	0.640		
0.650	116.960	129.880	167.280	414.120	0.650	139.200	129.630	209.670	478.500	0.650		
0.660	116.960	129.880	167.280	414.120	0.660	139.200	132.240	212.280	483.720	0.660		
