C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-00-38-681.load
Comment S3
Baseline
no VR
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	25.000	5.000	12.500	42.500	0.000	307.500	111.930	116.850	536.280	0.000		
0.010	25.000	5.000	12.500	42.500	0.010	307.500	111.930	119.310	538.740	0.010		
0.020	25.000	5.000	12.500	42.500	0.020	303.810	111.930	116.850	532.590	0.020		
0.030	22.500	5.000	12.500	40.000	0.030	301.350	111.930	119.310	532.590	0.030		
0.040	17.500	7.500	15.000	40.000	0.040	298.890	111.930	119.310	530.130	0.040		
0.050	20.000	7.500	15.000	42.500	0.050	296.430	114.390	121.770	532.590	0.050		
0.060	17.500	7.500	15.000	40.000	0.060	293.970	116.850	121.770	532.590	0.060		
0.070	17.500	7.500	15.000	40.000	0.070	291.510	119.310	126.690	537.510	0.070		
0.080	20.000	7.500	15.000	42.500	0.080	289.050	121.770	129.150	539.970	0.080		
0.090	20.000	7.500	15.000	42.500	0.090	286.590	124.230	131.610	542.430	0.090		
0.100	20.000	7.500	12.500	40.000	0.100	284.130	126.690	134.070	544.890	0.100		
0.110	20.000	10.000	12.500	42.500	0.110	281.670	129.150	136.530	547.350	0.110		
0.120	22.500	7.500	12.500	42.500	0.120	276.750	131.610	141.450	549.810	0.120		
0.130	20.000	10.000	12.500	42.500	0.130	271.830	134.070	143.910	549.810	0.130		
0.140	22.500	10.000	12.500	45.000	0.140	269.370	136.530	146.370	552.270	0.140		
0.150	22.500	7.500	10.000	40.000	0.150	265.000	139.920	149.460	554.380	0.150		
0.160	22.440	9.960	9.960	42.360	0.160	261.820	142.040	151.580	555.440	0.160		
0.170	22.440	7.440	9.960	39.840	0.170	259.700	142.040	154.760	556.500	0.170		
0.180	22.440	7.440	7.440	37.320	0.180	256.520	144.160	159.000	559.680	0.180		
0.190	22.440	7.440	9.960	39.840	0.190	254.400	144.160	159.000	557.560	0.190		
0.200	22.440	7.440	9.960	39.840	0.200	254.400	144.160	162.180	560.740	0.200		
0.210	22.440	7.440	7.440	37.320	0.210	252.280	147.340	162.180	561.800	0.210		
0.220	22.440	7.440	7.440	37.320	0.220	249.100	147.340	164.300	560.740	0.220		
0.230	24.960	7.440	4.920	37.320	0.230	249.100	149.460	167.480	566.040	0.230		
0.240	22.440	7.440	7.440	37.320	0.240	249.100	149.460	167.480	566.040	0.240		
0.250	27.480	7.440	7.440	42.360	0.250	249.100	147.340	167.480	563.920	0.250		
0.260	27.480	7.440	4.920	39.840	0.260	246.980	149.460	167.480	563.920	0.260		
0.270	27.480	7.440	2.400	37.320	0.270	249.100	149.460	167.480	566.040	0.270		
0.280	27.480	7.440	4.920	39.840	0.280	249.100	151.580	169.600	570.280	0.280		
0.290	27.480	4.920	2.400	34.800	0.290	249.100	154.760	171.720	575.580	0.290		
0.300	30.000	4.920	0.000	34.920	0.300	250.000	155.000	172.000	577.000	0.300		
0.310	27.500	4.950	0.000	32.450	0.310	250.000	155.000	175.000	580.000	0.310		
0.320	27.500	4.950	0.000	32.450	0.320	250.000	157.000	177.000	584.000	0.320		
0.330	27.500	4.950	0.000	32.450	0.330	250.000	160.000	177.000	587.000	0.330		
0.340	24.970	4.950	0.000	29.920	0.340	250.000	160.000	182.000	592.000	0.340		
0.350	24.970	2.420	0.000	27.390	0.350	250.000	162.000	182.000	594.000	0.350		
0.360	22.440	2.420	0.000	24.860	0.360	247.000	162.000	185.000	594.000	0.360		
0.370	24.970	0.000	0.000	24.970	0.370	247.000	165.000	187.000	599.000	0.370		
0.380	22.440	2.420	0.000	24.860	0.380	245.000	167.000	190.000	602.000	0.380		
0.390	19.910	0.000	0.000	19.910	0.390	247.000	167.000	190.000	604.000	0.390		
0.400	19.910	0.000	0.000	19.910	0.400	245.000	170.000	192.000	607.000	0.400		
0.410	17.490	0.000	0.000	17.490	0.410	245.000	172.000	195.000	612.000	0.410		
0.420	14.960	0.000	0.000	14.960	0.420	245.000	172.000	197.000	614.000	0.420		
0.430	14.960	0.000	0.000	14.960	0.430	247.000	175.000	200.000	622.000	0.430		
0.440	12.430	0.000	0.000	12.430	0.440	247.000	175.000	200.000	622.000	0.440		
0.450	9.900	0.000	0.000	9.900	0.450	247.500	177.210	199.980	624.690	0.450		
0.460	7.500	0.000	0.000	7.500	0.460	247.500	177.210	204.930	629.640	0.460		
