C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-08-52-310.load
Comment S3
Baseline
VR
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	114.680	109.980	89.770	314.430	0.000	104.550	82.110	127.500	314.160	0.000		
0.010	114.680	109.980	89.770	314.430	0.010	104.550	82.110	127.500	314.160	0.010		
0.020	117.500	109.980	87.420	314.900	0.020	107.100	82.110	124.950	314.160	0.020		
0.030	114.680	109.980	87.420	312.080	0.030	107.100	82.110	124.950	314.160	0.030		
0.040	117.500	109.980	89.770	317.250	0.040	107.100	79.560	124.950	311.610	0.040		
0.050	117.500	109.980	89.770	317.250	0.050	107.100	79.560	124.950	311.610	0.050		
0.060	117.500	109.980	89.770	317.250	0.060	107.100	79.560	124.950	311.610	0.060		
0.070	117.500	112.330	92.120	321.950	0.070	107.100	79.560	122.400	309.060	0.070		
0.080	117.500	112.330	92.120	321.950	0.080	107.100	79.560	122.400	309.060	0.080		
0.090	117.500	112.330	89.770	319.600	0.090	107.100	79.560	124.950	311.610	0.090		
0.100	117.500	112.330	92.120	321.950	0.100	107.100	79.560	124.950	311.610	0.100		
0.110	117.500	112.330	92.120	321.950	0.110	107.100	79.560	124.950	311.610	0.110		
0.120	114.680	109.980	89.770	314.430	0.120	107.100	79.560	124.950	311.610	0.120		
0.130	117.500	109.980	89.770	317.250	0.130	104.550	79.560	124.950	309.060	0.130		
0.140	117.500	112.330	92.120	321.950	0.140	104.550	82.110	124.950	311.610	0.140		
0.150	117.500	109.980	89.770	317.250	0.150	104.550	82.110	127.500	314.160	0.150		
0.160	114.680	109.980	89.770	314.430	0.160	102.060	82.080	127.440	311.580	0.160		
0.170	117.500	109.980	89.770	317.250	0.170	102.060	82.080	129.600	313.740	0.170		
0.180	117.500	109.980	89.770	317.250	0.180	99.900	82.080	124.740	306.720	0.180		
0.190	117.500	109.980	92.120	319.600	0.190	99.900	82.080	129.600	311.580	0.190		
0.200	117.500	107.160	89.770	314.430	0.200	99.900	82.080	129.600	311.580	0.200		
0.210	117.500	109.980	89.770	317.250	0.210	99.900	84.780	129.600	314.280	0.210		
0.220	117.500	109.980	89.770	317.250	0.220	97.200	82.080	129.600	308.880	0.220		
0.230	117.500	109.980	92.120	319.600	0.230	97.200	84.780	129.600	311.580	0.230		
0.240	117.500	109.980	89.770	317.250	0.240	97.200	84.780	132.300	314.280	0.240		
0.250	117.500	109.980	89.770	317.250	0.250	97.200	84.780	132.300	314.280	0.250		
0.260	117.500	109.980	89.770	317.250	0.260	97.200	84.780	132.300	314.280	0.260		
0.270	117.500	109.980	87.420	314.900	0.270	97.200	84.780	132.300	314.280	0.270		
0.280	117.500	109.980	89.770	317.250	0.280	97.200	84.780	132.300	314.280	0.280		
0.290	117.500	109.980	89.770	317.250	0.290	97.200	84.780	135.000	316.980	0.290		
0.300	117.500	109.980	89.770	317.250	0.300	97.200	87.480	132.300	316.980	0.300		
0.310	117.500	109.980	87.420	314.900	0.310	97.200	84.780	132.300	314.280	0.310		
0.320	117.500	109.980	89.770	317.250	0.320	97.200	84.780	135.000	316.980	0.320		
0.330	117.500	109.980	89.770	317.250	0.330	97.200	84.780	132.300	314.280	0.330		
0.340	117.500	107.160	89.770	314.430	0.340	97.200	84.780	132.300	314.280	0.340		
0.350	114.680	107.160	87.420	309.260	0.350	97.200	84.780	132.300	314.280	0.350		
0.360	114.680	107.160	89.770	311.610	0.360	99.900	84.780	132.300	316.980	0.360		
0.370	114.680	107.160	89.770	311.610	0.370	99.900	84.780	132.300	316.980	0.370		
0.380	114.680	107.160	89.770	311.610	0.380	102.060	87.480	132.300	321.840	0.380		
0.390	112.330	107.160	92.120	311.610	0.390	102.060	87.480	132.300	321.840	0.390		
0.400	112.330	107.160	92.120	311.610	0.400	102.060	84.780	129.600	316.440	0.400		
0.410	112.500	107.100	92.250	311.850	0.410	102.060	84.780	129.600	316.440	0.410		
0.420	112.500	107.100	94.950	314.550	0.420	104.760	84.780	129.600	319.140	0.420		
0.430	112.500	107.100	94.950	314.550	0.430	104.760	84.780	129.600	319.140	0.430		
0.440	109.800	104.850	92.250	306.900	0.440	107.460	84.780	127.440	319.680	0.440		
0.450	112.500	104.850	92.250	309.600	0.450	107.460	87.480	129.600	324.540	0.450		
0.460	109.800	104.850	92.250	306.900	0.460	107.120	87.360	127.400	321.880	0.460		
0.470	109.800	107.100	94.950	311.850	0.470	107.120	84.760	127.400	319.280	0.470		
0.480	109.800	104.850	94.950	309.600	0.480	107.120	87.360	127.400	321.880	0.480		
0.490	109.800	104.850	92.250	306.900	0.490	107.120	87.360	127.400	321.880	0.490		
0.500	107.100	104.850	94.950	306.900	0.500	109.720	87.360	127.400	324.480	0.500		
0.510	107.100	104.850	92.250	304.200	0.510	109.720	87.360	127.400	324.480	0.510		
0.520	109.800	104.850	92.250	306.900	0.520	109.720	84.760	127.400	321.880	0.520		
0.530	109.800	104.850	92.250	306.900	0.530	109.720	87.360	127.400	324.480	0.530		
0.540	109.800	104.850	92.250	306.900	0.540	109.720	84.760	127.400	321.880	0.540		
0.550	109.800	104.850	92.250	306.900	0.550	109.720	84.760	130.000	324.480	0.550		
0.560	109.800	104.850	92.250	306.900	0.560	109.720	87.360	124.800	321.880	0.560		
0.570	107.100	104.850	92.250	304.200	0.570	109.720	87.360	127.400	324.480	0.570		
0.580	109.800	104.850	92.250	306.900	0.580	109.720	84.760	127.400	321.880	0.580		
0.590	109.800	104.850	92.250	306.900	0.590	109.720	84.760	124.800	319.280	0.590		
0.600	109.800	104.850	92.250	306.900	0.600	109.720	84.760	127.400	321.880	0.600		
0.610	109.800	104.850	92.250	306.900	0.610	109.650	87.210	127.500	324.360	0.610		
0.620	112.500	104.850	90.000	307.350	0.620	109.650	84.660	124.950	319.260	0.620		
0.630	109.800	104.850	90.000	304.650	0.630	112.200	87.210	127.500	326.910	0.630		
0.640	109.800	104.850	90.000	304.650	0.640	109.650	84.660	127.500	321.810	0.640		
0.650	109.800	104.850	90.000	304.650	0.650	112.200	87.210	124.950	324.360	0.650		
0.660	109.800	104.850	90.000	304.650	0.660	112.200	87.210	124.950	324.360	0.660		
0.670	109.800	104.850	90.000	304.650	0.670	112.200	87.210	124.950	324.360	0.670		
