C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-25-29-380.load
Comment S3
heavy
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	62.400	84.760	130.000	277.160	0.000	149.450	59.780	89.670	298.900	0.000		
0.010	62.400	84.760	130.000	277.160	0.010	152.500	62.220	92.110	306.830	0.010		
0.020	62.400	84.760	130.000	277.160	0.020	149.450	64.660	92.110	306.220	0.020		
0.030	62.400	84.760	130.000	277.160	0.030	149.450	64.660	92.110	306.220	0.030		
0.040	62.400	84.760	130.000	277.160	0.040	147.010	62.220	92.110	301.340	0.040		
0.050	62.400	84.760	130.000	277.160	0.050	147.010	62.220	92.110	301.340	0.050		
0.060	62.400	87.360	130.000	279.760	0.060	147.010	62.220	94.550	303.780	0.060		
0.070	62.400	84.760	130.000	277.160	0.070	147.010	64.660	94.550	306.220	0.070		
0.080	62.400	87.360	130.000	279.760	0.080	147.010	64.660	92.110	303.780	0.080		
0.090	62.400	84.760	130.000	277.160	0.090	144.570	64.660	94.550	303.780	0.090		
0.100	62.400	84.760	130.000	277.160	0.100	144.570	64.660	94.550	303.780	0.100		
0.110	62.400	84.760	130.000	277.160	0.110	144.570	62.220	94.550	301.340	0.110		
0.120	62.400	84.760	130.000	277.160	0.120	144.570	64.660	94.550	303.780	0.120		
0.130	62.400	84.760	130.000	277.160	0.130	144.570	64.660	96.990	306.220	0.130		
0.140	62.400	84.760	130.000	277.160	0.140	144.570	64.660	96.990	306.220	0.140		
0.150	62.400	84.760	130.000	277.160	0.150	145.000	64.960	94.540	304.500	0.150		
0.160	62.400	84.760	130.000	277.160	0.160	145.000	64.960	94.540	304.500	0.160		
0.170	62.400	84.760	130.000	277.160	0.170	145.000	64.960	94.540	304.500	0.170		
0.180	62.400	87.360	130.000	279.760	0.180	145.000	64.960	97.440	307.400	0.180		
0.190	62.400	84.760	130.000	277.160	0.190	142.100	64.960	97.440	304.500	0.190		
0.200	62.400	84.760	130.000	277.160	0.200	142.100	64.960	97.440	304.500	0.200		
0.210	62.400	84.760	130.000	277.160	0.210	142.100	64.960	99.760	306.820	0.210		
0.220	62.400	84.760	130.000	277.160	0.220	142.100	64.960	97.440	304.500	0.220		
0.230	62.400	84.760	130.000	277.160	0.230	142.100	67.280	97.440	306.820	0.230		
0.240	62.400	84.760	130.000	277.160	0.240	142.100	67.280	99.760	309.140	0.240		
0.250	62.400	84.760	130.000	277.160	0.250	142.100	67.280	97.440	306.820	0.250		
0.260	62.400	84.760	130.000	277.160	0.260	142.100	67.280	97.440	306.820	0.260		
0.270	62.400	84.760	130.000	277.160	0.270	142.100	64.960	99.760	306.820	0.270		
0.280	62.400	84.760	130.000	277.160	0.280	142.100	64.960	97.440	304.500	0.280		
0.290	62.400	84.760	130.000	277.160	0.290	142.100	67.280	97.440	306.820	0.290		
0.300	62.400	84.760	130.000	277.160	0.300	142.100	64.960	97.440	304.500	0.300		
0.310	62.400	84.760	130.000	277.160	0.310	145.000	67.280	99.760	312.040	0.310		
0.320	62.400	84.760	130.000	277.160	0.320	142.100	67.280	97.440	306.820	0.320		
0.330	62.400	84.760	127.400	274.560	0.330	145.000	64.960	97.440	307.400	0.330		
0.340	62.400	84.760	130.000	277.160	0.340	145.000	67.280	97.440	309.720	0.340		
0.350	62.400	84.760	127.400	274.560	0.350	145.000	64.960	97.440	307.400	0.350		
0.360	62.400	84.760	130.000	277.160	0.360	145.000	67.280	97.440	309.720	0.360		
0.370	62.400	84.760	127.400	274.560	0.370	145.000	67.280	97.440	309.720	0.370		
0.380	62.400	84.760	130.000	277.160	0.380	145.000	64.960	97.440	307.400	0.380		
0.390	62.400	82.160	127.400	271.960	0.390	145.000	64.960	97.440	307.400	0.390		
0.400	62.400	82.160	127.400	271.960	0.400	145.000	64.960	97.440	307.400	0.400		
0.410	62.400	84.760	130.000	277.160	0.410	145.000	64.960	97.440	307.400	0.410		
0.420	62.400	84.760	130.000	277.160	0.420	145.000	62.060	94.540	301.600	0.420		
0.430	62.400	84.760	130.000	277.160	0.430	145.000	62.060	94.540	301.600	0.430		
0.440	62.400	84.760	130.000	277.160	0.440	145.000	62.060	94.540	301.600	0.440		
0.450	62.400	84.760	130.000	277.160	0.450	147.000	64.800	94.800	306.600	0.450		
0.460	65.000	87.360	130.000	282.360	0.460	144.600	64.800	94.800	304.200	0.460		
0.470	62.400	87.360	130.000	279.760	0.470	147.000	62.400	94.800	304.200	0.470		
0.480	62.400	87.360	130.000	279.760	0.480	147.000	62.400	92.400	301.800	0.480		
0.490	62.400	87.360	130.000	279.760	0.490	147.000	62.400	94.800	304.200	0.490		
0.500	62.400	87.360	130.000	279.760	0.500	147.000	62.400	92.400	301.800	0.500		
0.510	62.400	87.360	130.000	279.760	0.510	147.000	62.400	92.400	301.800	0.510		
0.520	62.400	87.360	130.000	279.760	0.520	147.000	62.400	92.400	301.800	0.520		
0.530	62.400	87.360	130.000	279.760	0.530	147.000	62.400	92.400	301.800	0.530		
0.540	62.400	87.360	130.000	279.760	0.540	147.000	62.400	92.400	301.800	0.540		
0.550	62.400	89.960	130.000	282.360	0.550	150.000	62.400	92.400	304.800	0.550		
0.560	65.000	87.360	130.000	282.360	0.560	150.000	62.400	92.400	304.800	0.560		
0.570	62.400	89.960	130.000	282.360	0.570	147.000	62.400	90.000	299.400	0.570		
0.580	65.000	87.360	130.000	282.360	0.580	147.000	62.400	92.400	301.800	0.580		
0.590	65.000	89.960	130.000	284.960	0.590	150.000	60.000	92.400	302.400	0.590		
0.600	62.400	89.960	130.000	282.360	0.600	149.450	62.220	92.110	303.780	0.600		
0.610	62.400	89.960	130.000	282.360	0.610	147.010	59.780	89.670	296.460	0.610		
0.620	62.400	89.960	127.400	279.760	0.620	147.010	59.780	89.670	296.460	0.620		
