C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-21-52-189.load
Comment S3 
heavy
(crashed)
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	42.400	74.730	129.850	246.980	0.000	162.360	74.580	94.380	331.320	0.000		
0.010	42.400	74.730	129.850	246.980	0.010	162.360	77.220	94.380	333.960	0.010		
0.020	42.400	74.730	129.850	246.980	0.020	162.360	77.220	94.380	333.960	0.020		
0.030	42.400	77.380	129.850	249.630	0.030	162.360	77.220	94.380	333.960	0.030		
0.040	42.400	77.380	129.850	249.630	0.040	162.360	77.220	94.380	333.960	0.040		
0.050	42.400	74.730	129.850	246.980	0.050	162.360	74.580	94.380	331.320	0.050		
0.060	42.400	77.380	129.850	249.630	0.060	162.360	74.580	92.400	329.340	0.060		
0.070	42.400	74.730	129.850	246.980	0.070	162.360	74.580	94.380	331.320	0.070		
0.080	42.400	72.080	129.850	244.330	0.080	162.360	74.580	94.380	331.320	0.080		
0.090	42.400	74.730	129.850	246.980	0.090	165.000	74.580	92.400	331.980	0.090		
0.100	39.750	74.730	129.850	244.330	0.100	162.360	74.580	94.380	331.320	0.100		
0.110	39.750	74.730	132.500	246.980	0.110	162.360	74.580	92.400	329.340	0.110		
0.120	39.750	74.730	129.850	244.330	0.120	165.000	74.580	92.400	331.980	0.120		
0.130	39.750	74.730	132.500	246.980	0.130	162.360	74.580	92.400	329.340	0.130		
0.140	39.750	77.380	129.850	246.980	0.140	165.000	74.580	92.400	331.980	0.140		
0.150	39.750	74.730	132.500	246.980	0.150	162.360	74.580	92.400	329.340	0.150		
0.160	39.750	77.380	132.500	249.630	0.160	162.360	74.580	92.400	329.340	0.160		
0.170	39.750	74.730	132.500	246.980	0.170	162.360	74.580	92.400	329.340	0.170		
0.180	39.750	74.730	132.500	246.980	0.180	165.000	74.580	94.380	333.960	0.180		
0.190	39.750	74.730	132.500	246.980	0.190	165.000	74.580	94.380	333.960	0.190		
0.200	39.750	77.380	132.500	249.630	0.200	162.360	74.580	92.400	329.340	0.200		
0.210	39.750	74.730	132.500	246.980	0.210	165.000	74.580	92.400	331.980	0.210		
0.220	39.750	74.730	132.500	246.980	0.220	165.000	77.220	92.400	334.620	0.220		
0.230	42.400	74.730	129.850	246.980	0.230	162.360	77.220	94.380	333.960	0.230		
0.240	39.750	77.380	132.500	249.630	0.240	162.360	74.580	94.380	331.320	0.240		
0.250	39.750	77.380	132.500	249.630	0.250	162.360	77.220	92.400	331.980	0.250		
0.260	42.400	74.730	129.850	246.980	0.260	162.360	77.220	92.400	331.980	0.260		
0.270	39.750	77.380	132.500	249.630	0.270	162.360	74.580	92.400	329.340	0.270		
0.280	42.400	77.380	129.850	249.630	0.280	162.360	74.580	94.380	331.320	0.280		
0.290	39.750	77.380	129.850	246.980	0.290	162.360	74.580	92.400	329.340	0.290		
0.300	42.400	77.380	129.850	249.630	0.300	162.500	77.350	94.900	334.750	0.300		
0.310	39.750	77.380	129.850	246.980	0.310	162.500	74.750	92.300	329.550	0.310		
