C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-15-24-643.load
Comment S3
very heavy
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	67.200	74.760	102.480	244.440	0.000	152.500	74.420	99.430	326.350	0.000		
0.010	67.200	74.760	102.480	244.440	0.010	152.500	74.420	96.990	323.910	0.010		
0.020	67.200	74.760	102.480	244.440	0.020	152.500	74.420	99.430	326.350	0.020		
0.030	67.200	74.760	105.000	246.960	0.030	149.450	74.420	99.430	323.300	0.030		
0.040	67.200	74.760	102.480	244.440	0.040	147.010	74.420	99.430	320.860	0.040		
0.050	67.200	74.760	102.480	244.440	0.050	147.010	74.420	102.480	323.910	0.050		
0.060	67.200	74.760	105.000	246.960	0.060	147.010	77.470	99.430	323.910	0.060		
0.070	69.720	72.240	102.480	244.440	0.070	144.570	74.420	102.480	321.470	0.070		
0.080	69.720	74.760	102.480	246.960	0.080	144.570	77.470	102.480	324.520	0.080		
0.090	69.720	74.760	102.480	246.960	0.090	144.570	79.910	102.480	326.960	0.090		
0.100	69.720	74.760	102.480	246.960	0.100	144.570	79.910	104.920	329.400	0.100		
0.110	69.720	74.760	102.480	246.960	0.110	142.130	79.910	107.360	329.400	0.110		
0.120	67.240	74.620	99.630	241.490	0.120	139.690	77.470	104.920	322.080	0.120		
0.130	69.700	74.620	102.500	246.820	0.130	139.690	77.470	104.920	322.080	0.130		
0.140	69.700	74.620	99.630	243.950	0.140	139.690	79.910	107.360	326.960	0.140		
0.150	69.700	74.620	102.500	246.820	0.150	135.000	79.920	109.620	324.540	0.150		
0.160	69.700	74.620	102.500	246.820	0.160	135.000	79.920	109.620	324.540	0.160		
0.170	69.700	74.620	102.500	246.820	0.170	132.300	82.080	109.620	324.000	0.170		
0.180	69.700	77.490	102.500	249.690	0.180	132.300	82.080	112.320	326.700	0.180		
0.190	69.700	77.490	102.500	249.690	0.190	129.600	82.080	109.620	321.300	0.190		
0.200	72.160	77.490	102.500	252.150	0.200	129.600	82.080	112.320	324.000	0.200		
0.210	72.160	77.490	99.630	249.280	0.210	127.440	79.920	112.320	319.680	0.210		
0.220	72.160	77.490	102.500	252.150	0.220	127.440	82.080	109.620	319.140	0.220		
0.230	72.160	77.490	102.500	252.150	0.230	127.440	79.920	112.320	319.680	0.230		
0.240	69.700	77.490	102.500	249.690	0.240	127.440	82.080	112.320	321.840	0.240		
0.250	72.160	77.490	102.500	252.150	0.250	124.740	82.080	112.320	319.140	0.250		
0.260	72.160	79.950	102.500	254.610	0.260	124.740	82.080	114.480	321.300	0.260		
0.270	72.160	77.490	102.500	252.150	0.270	124.740	82.080	114.480	321.300	0.270		
0.280	72.160	77.490	102.500	252.150	0.280	122.040	82.080	114.480	318.600	0.280		
0.290	72.160	77.490	102.500	252.150	0.290	122.040	84.780	117.180	324.000	0.290		
0.300	72.160	77.490	102.500	252.150	0.300	120.000	82.080	114.720	316.800	0.300		
0.310	72.160	77.490	99.630	249.280	0.310	120.000	82.080	117.120	319.200	0.310		
0.320	72.160	79.950	99.630	251.740	0.320	120.000	82.080	117.120	319.200	0.320		
0.330	72.160	77.490	102.500	252.150	0.330	120.000	82.080	117.120	319.200	0.330		
0.340	74.620	77.490	102.500	254.610	0.340	120.000	82.080	117.120	319.200	0.340		
0.350	74.620	77.490	102.500	254.610	0.350	120.000	82.080	117.120	319.200	0.350		
0.360	74.620	79.950	102.500	257.070	0.360	120.000	82.080	117.120	319.200	0.360		
0.370	72.160	77.490	102.500	252.150	0.370	120.000	84.960	117.120	322.080	0.370		
0.380	72.160	77.490	102.500	252.150	0.380	120.000	82.080	117.120	319.200	0.380		
0.390	72.160	77.490	102.500	252.150	0.390	117.120	82.080	117.120	316.320	0.390		
0.400	74.620	77.490	102.500	254.610	0.400	120.000	82.080	117.120	319.200	0.400		
0.410	72.160	79.950	102.500	254.610	0.410	117.120	82.080	117.120	316.320	0.410		
0.420	72.240	79.800	102.480	254.520	0.420	120.000	82.080	117.120	319.200	0.420		
0.430	72.240	79.800	102.480	254.520	0.430	120.000	82.080	117.120	319.200	0.430		
0.440	72.240	77.280	105.000	254.520	0.440	120.000	82.080	117.120	319.200	0.440		
0.450	72.240	79.800	105.000	257.040	0.450	120.000	82.080	117.120	319.200	0.450		
0.460	72.240	79.800	105.000	257.040	0.460	120.000	82.080	120.000	322.080	0.460		
0.470	72.240	79.800	105.000	257.040	0.470	120.000	82.080	120.000	322.080	0.470		
0.480	72.240	79.800	105.000	257.040	0.480	120.000	82.080	117.120	319.200	0.480		
0.490	72.240	79.800	105.000	257.040	0.490	120.000	82.080	117.120	319.200	0.490		
0.500	72.240	77.280	105.000	254.520	0.500	117.120	82.080	120.000	319.200	0.500		
0.510	72.240	79.800	105.000	257.040	0.510	120.000	82.080	120.000	322.080	0.510		
0.520	72.240	77.280	105.000	254.520	0.520	120.000	82.080	120.000	322.080	0.520		
0.530	72.240	77.280	105.000	254.520	0.530	120.000	82.080	120.000	322.080	0.530		
0.540	72.240	77.280	105.000	254.520	0.540	120.000	82.080	117.120	319.200	0.540		
0.550	69.720	77.280	105.000	252.000	0.550	117.120	82.080	117.120	316.320	0.550		
0.560	72.240	77.280	105.000	254.520	0.560	120.000	82.080	117.120	319.200	0.560		
0.570	72.240	77.400	104.920	254.560	0.570	120.000	79.680	117.120	316.800	0.570		
0.580	72.240	79.980	107.500	259.720	0.580	120.000	82.080	117.120	319.200	0.580		
0.590	72.240	79.980	107.500	259.720	0.590	120.000	82.080	120.000	322.080	0.590		
0.600	69.660	79.980	104.920	254.560	0.600	119.560	82.320	117.110	318.990	0.600		
0.610	69.660	79.980	107.500	257.140	0.610	119.560	82.320	117.110	318.990	0.610		
0.620	69.660	77.400	107.500	254.560	0.620	119.560	82.320	119.560	321.440	0.620		
0.630	69.660	79.980	107.500	257.140	0.630	119.560	82.320	119.560	321.440	0.630		
0.640	72.240	77.400	104.920	254.560	0.640	119.560	82.320	117.110	318.990	0.640		
0.650	69.660	77.400	104.920	251.980	0.650	119.560	82.320	117.110	318.990	0.650		
0.660	69.660	77.400	104.920	251.980	0.660	119.560	82.320	119.560	321.440	0.660		
0.670	69.660	77.400	104.920	251.980	0.670	119.560	82.320	119.560	321.440	0.670		
0.680	72.240	77.400	104.920	254.560	0.680	119.560	84.770	119.560	323.890	0.680		
0.690	69.660	77.400	104.920	251.980	0.690	119.560	84.770	119.560	323.890	0.690		
0.700	69.660	77.400	104.920	251.980	0.700	119.560	84.770	119.560	323.890	0.700		
0.710	69.660	77.400	104.920	251.980	0.710	119.560	84.770	119.560	323.890	0.710		
0.720	69.660	77.400	104.920	251.980	0.720	117.110	84.770	119.560	321.440	0.720		
0.730	69.660	77.400	104.920	251.980	0.730	119.560	84.770	122.500	326.830	0.730		
0.740	69.660	77.400	104.920	251.980	0.740	117.110	84.770	122.500	324.380	0.740		
0.750	69.660	77.400	104.920	251.980	0.750	120.000	85.000	125.000	330.000	0.750		
0.760	69.660	77.400	104.920	251.980	0.760	120.000	85.000	122.500	327.500	0.760		
0.770	69.660	74.820	102.340	246.820	0.770	117.500	87.500	122.500	327.500	0.770		
0.780	69.660	74.820	104.920	249.400	0.780	117.500	85.000	122.500	325.000	0.780		
0.790	69.660	77.400	104.920	251.980	0.790	120.000	85.000	122.500	327.500	0.790		
0.800	69.660	74.820	104.920	249.400	0.800	120.000	85.000	122.500	327.500	0.800		
0.810	69.660	77.400	104.920	251.980	0.810	120.000	85.000	120.000	325.000	0.810		
0.820	69.660	74.820	104.920	249.400	0.820	120.000	85.000	120.000	325.000	0.820		
0.830	67.080	74.820	104.920	246.820	0.830	122.500	85.000	120.000	327.500	0.830		
0.840	69.660	74.820	104.920	249.400	0.840	122.500	85.000	120.000	327.500	0.840		
0.850	67.080	74.820	107.500	249.400	0.850	122.500	85.000	122.500	330.000	0.850		
0.860	67.080	74.820	107.500	249.400	0.860	122.500	85.000	120.000	327.500	0.860		
0.870	67.200	74.760	105.000	246.960	0.870	125.000	85.000	120.000	330.000	0.870		
0.880	67.200	77.280	105.000	249.480	0.880	125.000	85.000	120.000	330.000	0.880		
0.890	67.200	74.760	105.000	246.960	0.890	125.000	85.000	120.000	330.000	0.890		
0.900	67.200	74.760	105.000	246.960	0.900	127.050	82.500	117.150	326.700	0.900		
0.910	67.200	74.760	105.000	246.960	0.910	127.050	82.500	117.150	326.700	0.910		
0.920	67.200	74.760	105.000	246.960	0.920	127.050	82.500	114.950	324.500	0.920		
0.930	67.200	74.760	105.000	246.960	0.930	129.800	82.500	114.950	327.250	0.930		
0.940	67.200	72.240	105.000	244.440	0.940	129.800	79.750	112.200	321.750	0.940		
0.950	67.200	72.240	105.000	244.440	0.950	132.000	82.500	112.200	326.700	0.950		
0.960	67.200	74.760	105.000	246.960	0.960	134.750	82.500	114.950	332.200	0.960		
0.970	67.200	74.760	105.000	246.960	0.970	134.750	82.500	112.200	329.450	0.970		
0.980	64.680	74.760	105.000	244.440	0.980	134.750	79.750	112.200	326.700	0.980		
0.990	64.680	74.760	105.000	244.440	0.990	134.750	79.750	110.000	324.500	0.990		
1.000	67.200	74.760	105.000	246.960	1.000	137.500	82.500	110.000	330.000	1.000		
1.010	64.680	74.760	105.000	244.440	1.010	137.500	79.750	110.000	327.250	1.010		
1.020	64.930	74.820	104.920	244.670	1.020	137.500	79.750	110.000	327.250	1.020		
1.030	67.080	74.820	104.920	246.820	1.030	137.500	79.750	110.000	327.250	1.030		
1.040	64.930	74.820	104.920	244.670	1.040	137.500	82.500	110.000	330.000	1.040		
1.050	64.930	74.820	104.920	244.670	1.050	137.370	79.800	109.440	326.610	1.050		
1.060	64.930	74.820	104.920	244.670	1.060	137.370	79.800	109.440	326.610	1.060		
