C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-12-37-985.load
Comment S3
very light
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	72.360	74.880	90.000	237.240	0.000	142.500	72.390	102.030	316.920	0.000		
0.010	72.360	74.880	90.000	237.240	0.010	142.500	72.390	102.030	316.920	0.010		
0.020	72.360	74.880	90.000	237.240	0.020	142.500	74.670	102.030	319.200	0.020		
0.030	72.360	77.400	90.000	239.760	0.030	142.500	72.390	102.030	316.920	0.030		
0.040	72.360	77.400	90.000	239.760	0.040	142.500	72.390	99.750	314.640	0.040		
0.050	72.360	77.400	90.000	239.760	0.050	142.500	72.390	102.030	316.920	0.050		
0.060	72.360	77.400	90.000	239.760	0.060	142.500	72.390	102.030	316.920	0.060		
0.070	72.360	77.400	90.000	239.760	0.070	139.650	72.390	102.030	314.070	0.070		
0.080	69.840	77.400	90.000	237.240	0.080	142.500	72.390	102.030	316.920	0.080		
0.090	72.360	77.400	90.000	239.760	0.090	139.650	72.390	99.750	311.790	0.090		
0.100	72.360	77.400	90.000	239.760	0.100	139.650	72.390	102.030	314.070	0.100		
0.110	74.880	77.400	90.000	242.280	0.110	139.650	72.390	99.750	311.790	0.110		
0.120	74.880	77.400	90.000	242.280	0.120	139.650	72.390	102.030	314.070	0.120		
0.130	72.360	77.400	87.480	237.240	0.130	139.650	72.390	99.750	311.790	0.130		
0.140	72.360	77.400	87.480	237.240	0.140	139.650	72.390	99.750	311.790	0.140		
0.150	72.360	77.400	90.000	239.760	0.150	139.650	69.540	99.750	308.940	0.150		
0.160	72.360	77.400	90.000	239.760	0.160	140.000	72.240	102.480	314.720	0.160		
0.170	74.880	77.400	90.000	242.280	0.170	140.000	72.240	99.680	311.920	0.170		
0.180	72.360	79.920	90.000	242.280	0.180	140.000	72.240	99.680	311.920	0.180		
0.190	74.880	79.920	87.480	242.280	0.190	140.000	72.240	102.480	314.720	0.190		
0.200	74.880	79.920	90.000	244.800	0.200	140.000	72.240	102.480	314.720	0.200		
0.210	72.360	79.920	90.000	242.280	0.210	140.000	72.240	102.480	314.720	0.210		
0.220	74.880	79.920	90.000	244.800	0.220	140.000	70.000	99.680	309.680	0.220		
0.230	72.360	77.400	90.000	239.760	0.230	140.000	72.240	99.680	311.920	0.230		
0.240	72.360	77.400	90.000	239.760	0.240	140.000	72.240	102.480	314.720	0.240		
0.250	72.360	79.920	90.000	242.280	0.250	140.000	72.240	99.680	311.920	0.250		
0.260	72.360	79.920	90.000	242.280	0.260	140.000	72.240	102.480	314.720	0.260		
0.270	74.880	79.920	90.000	244.800	0.270	140.000	72.240	102.480	314.720	0.270		
0.280	72.360	79.920	90.000	242.280	0.280	140.000	72.240	102.480	314.720	0.280		
0.290	72.360	79.920	90.000	242.280	0.290	140.000	72.240	99.680	311.920	0.290		
0.300	74.880	79.920	90.000	244.800	0.300	140.000	72.240	102.480	314.720	0.300		
0.310	74.880	79.920	87.480	242.280	0.310	140.000	70.000	99.680	309.680	0.310		
0.320	74.880	79.920	87.480	242.280	0.320	140.000	72.240	102.480	314.720	0.320		
0.330	74.880	79.920	87.480	242.280	0.330	140.000	70.000	99.680	309.680	0.330		
0.340	74.880	79.920	87.480	242.280	0.340	140.000	72.240	102.480	314.720	0.340		
0.350	74.880	79.920	87.480	242.280	0.350	137.200	72.240	99.680	309.120	0.350		
0.360	74.880	79.920	87.480	242.280	0.360	137.200	72.240	99.680	309.120	0.360		
0.370	74.880	79.920	87.480	242.280	0.370	140.000	72.240	102.480	314.720	0.370		
0.380	74.880	79.920	87.480	242.280	0.380	137.200	72.240	102.480	311.920	0.380		
0.390	74.880	77.400	87.480	239.760	0.390	137.200	72.240	102.480	311.920	0.390		
0.400	74.880	79.920	87.480	242.280	0.400	137.200	70.000	99.680	306.880	0.400		
0.410	74.880	79.920	87.480	242.280	0.410	140.000	72.240	102.480	314.720	0.410		
0.420	74.880	79.920	87.480	242.280	0.420	137.200	72.240	102.480	311.920	0.420		
0.430	77.400	79.920	90.000	247.320	0.430	137.200	72.240	102.480	311.920	0.430		
0.440	74.880	79.920	90.000	244.800	0.440	140.000	72.240	102.480	314.720	0.440		
0.450	77.400	79.920	87.480	244.800	0.450	137.200	72.240	102.480	311.920	0.450		
0.460	74.880	79.920	90.000	244.800	0.460	137.500	72.050	102.300	311.850	0.460		
0.470	74.880	77.400	87.480	239.760	0.470	137.500	72.050	102.300	311.850	0.470		
0.480	74.880	79.920	87.480	242.280	0.480	134.750	69.850	99.550	304.150	0.480		
0.490	74.880	79.920	87.480	242.280	0.490	137.500	69.850	102.300	309.650	0.490		
0.500	74.880	79.920	90.000	244.800	0.500	137.500	69.850	99.550	306.900	0.500		
0.510	74.880	79.920	87.480	242.280	0.510	137.500	69.850	102.300	309.650	0.510		
0.520	74.880	79.920	90.000	244.800	0.520	137.500	72.050	102.300	311.850	0.520		
0.530	74.880	79.920	90.000	244.800	0.530	137.500	72.050	102.300	311.850	0.530		
0.540	77.400	82.440	87.480	247.320	0.540	137.500	69.850	102.300	309.650	0.540		
0.550	74.880	79.920	90.000	244.800	0.550	137.500	72.050	102.300	311.850	0.550		
0.560	77.400	82.440	87.480	247.320	0.560	137.500	72.050	102.300	311.850	0.560		
0.570	77.400	82.440	90.000	249.840	0.570	137.500	72.050	102.300	311.850	0.570		
0.580	77.400	82.440	87.480	247.320	0.580	137.500	69.850	99.550	306.900	0.580		
0.590	77.400	82.440	87.480	247.320	0.590	134.750	72.050	102.300	309.100	0.590		
0.600	77.400	82.440	87.480	247.320	0.600	134.750	72.050	102.300	309.100	0.600		
0.610	79.920	82.440	87.480	249.840	0.610	134.960	72.240	104.720	311.920	0.610		
0.620	79.920	82.440	87.480	249.840	0.620	134.960	70.000	102.480	307.440	0.620		
0.630	77.400	82.440	84.960	244.800	0.630	134.960	70.000	99.680	304.640	0.630		
0.640	79.920	82.440	84.960	247.320	0.640	134.960	70.000	102.480	307.440	0.640		
0.650	79.920	82.440	84.960	247.320	0.650	134.960	70.000	99.680	304.640	0.650		
0.660	79.920	84.960	87.480	252.360	0.660	134.960	70.000	99.680	304.640	0.660		
0.670	79.920	82.440	87.480	249.840	0.670	134.960	70.000	99.680	304.640	0.670		
0.680	79.920	84.960	87.480	252.360	0.680	137.200	70.000	99.680	306.880	0.680		
0.690	79.920	84.960	87.480	252.360	0.690	137.200	70.000	97.440	304.640	0.690		
0.700	79.920	84.960	87.480	252.360	0.700	137.200	70.000	99.680	306.880	0.700		
0.710	79.920	84.960	90.000	254.880	0.710	137.200	70.000	97.440	304.640	0.710		
0.720	79.920	84.960	90.000	254.880	0.720	140.000	70.000	97.440	307.440	0.720		
0.730	79.920	84.960	87.480	252.360	0.730	140.000	70.000	99.680	309.680	0.730		
0.740	79.920	84.960	90.000	254.880	0.740	140.000	70.000	97.440	307.440	0.740		
0.750	77.350	84.700	87.500	249.550	0.750	140.000	70.000	97.440	307.440	0.750		
0.760	79.800	82.250	87.500	249.550	0.760	139.650	69.540	97.470	306.660	0.760		
0.770	77.350	84.700	87.500	249.550	0.770	139.650	69.540	97.470	306.660	0.770		
0.780	79.800	82.250	87.500	249.550	0.780	139.650	72.390	97.470	309.510	0.780		
0.790	77.350	82.250	87.500	247.100	0.790	139.650	69.540	97.470	306.660	0.790		
0.800	79.800	82.250	87.500	249.550	0.800	139.650	69.540	97.470	306.660	0.800		
0.810	79.800	82.250	87.500	249.550	0.810	139.650	69.540	97.470	306.660	0.810		
0.820	79.800	82.250	87.500	249.550	0.820	142.500	69.540	97.470	309.510	0.820		
0.830	77.350	82.250	87.500	247.100	0.830	142.500	69.540	97.470	309.510	0.830		
0.840	79.800	82.250	87.500	249.550	0.840	139.650	69.540	97.470	306.660	0.840		
0.850	79.800	82.250	87.500	249.550	0.850	142.500	69.540	97.470	309.510	0.850		
0.860	79.800	84.700	87.500	252.000	0.860	139.650	69.540	94.620	303.810	0.860		
0.870	82.250	82.250	87.500	252.000	0.870	137.370	67.260	94.620	299.250	0.870		
0.880	79.800	82.250	84.700	246.750	0.880	139.650	67.260	94.620	301.530	0.880		
0.890	82.250	82.250	82.250	246.750	0.890	139.650	67.260	97.470	304.380	0.890		
0.900	79.860	79.860	79.860	239.580	0.900	139.650	67.260	94.620	301.530	0.900		
0.910	79.860	82.500	79.860	242.220	0.910	141.900	69.960	94.380	306.240	0.910		
0.920	79.860	77.220	77.220	234.300	0.920	141.900	69.960	94.380	306.240	0.920		
0.930	79.860	79.860	77.220	236.940	0.930	144.540	69.960	97.020	311.520	0.930		
0.940	79.860	79.860	77.220	236.940	0.940	144.540	71.940	97.020	313.500	0.940		
0.950	79.860	77.220	74.910	231.990	0.950	147.180	71.940	97.020	316.140	0.950		
0.960	79.860	77.220	72.270	229.350	0.960	149.820	74.580	97.020	321.420	0.960		
0.970	79.860	77.220	72.270	229.350	0.970	149.820	74.580	97.020	321.420	0.970		
0.980	79.860	74.910	69.960	224.730	0.980	152.460	74.580	99.660	326.700	0.980		
0.990	79.860	74.910	69.960	224.730	0.990	152.460	74.580	99.660	326.700	0.990		
1.000	79.860	72.270	67.320	219.450	1.000	152.460	77.220	99.660	329.340	1.000		
1.010	79.860	72.270	64.680	216.810	1.010	154.440	77.220	99.660	331.320	1.010		
1.020	79.860	69.960	64.680	214.500	1.020	154.440	77.220	102.300	333.960	1.020		
1.030	77.220	69.960	64.680	211.860	1.030	157.080	79.860	102.300	339.240	1.030		
1.040	79.860	69.960	62.370	212.190	1.040	162.360	79.860	102.300	344.520	1.040		
1.050	80.000	67.200	62.400	209.600	1.050	165.000	79.860	102.300	347.160	1.050		
1.060	77.440	67.200	59.840	204.480	1.060	167.300	81.900	102.200	351.400	1.060		
1.070	77.440	67.200	59.840	204.480	1.070	169.400	81.900	105.000	356.300	1.070		
1.080	77.440	67.200	59.840	204.480	1.080	172.200	84.700	105.000	361.900	1.080		
1.090	80.000	67.200	59.840	207.040	1.090	175.000	84.700	105.000	364.700	1.090		
1.100	77.440	69.760	62.400	209.600	1.100	175.000	87.500	107.100	369.600	1.100		
1.110	77.440	67.200	62.400	207.040	1.110	172.200	84.700	105.000	361.900	1.110		
1.120	77.440	67.200	64.960	209.600	1.120	172.200	84.700	105.000	361.900	1.120		
1.130	74.880	67.200	62.400	204.480	1.130	169.400	84.700	105.000	359.100	1.130		
1.140	74.880	67.200	62.400	204.480	1.140	169.400	84.700	107.100	361.200	1.140		
1.150	77.440	67.200	62.400	207.040	1.150	167.300	84.700	105.000	357.000	1.150		
1.160	77.440	64.960	59.840	202.240	1.160	167.300	81.900	105.000	354.200	1.160		
1.170	77.440	64.960	59.840	202.240	1.170	164.500	81.900	105.000	351.400	1.170		
1.180	77.440	64.960	57.280	199.680	1.180	164.500	81.900	105.000	351.400	1.180		
1.190	77.440	64.960	57.280	199.680	1.190	167.300	81.900	105.000	354.200	1.190		
1.200	77.220	64.680	59.730	201.630	1.200	164.500	79.800	105.000	349.300	1.200		
1.210	77.220	67.320	59.730	204.270	1.210	165.000	79.860	104.940	349.800	1.210		
1.220	77.220	67.320	62.370	206.910	1.220	165.000	82.500	102.300	349.800	1.220		
1.230	79.860	69.960	64.680	214.500	1.230	165.000	79.860	102.300	347.160	1.230		
1.240	79.860	69.960	64.680	214.500	1.240	165.000	79.860	102.300	347.160	1.240		
